"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Tipus_Discapacitat","Nombre"
2016,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Intel·lectual",120
2016,6,"Gràcia",28,"Vallcarca i els Penitents","Intel·lectual",79
2016,6,"Gràcia",29,"el Coll","Intel·lectual",39
2016,6,"Gràcia",30,"la Salut","Intel·lectual",135
2016,6,"Gràcia",31,"la Vila de Gràcia","Intel·lectual",262
2016,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Intel·lectual",193
2016,7,"Horta-Guinardó",33,"el Baix Guinardó","Intel·lectual",110
2016,7,"Horta-Guinardó",34,"Can Baró","Intel·lectual",56
2016,7,"Horta-Guinardó",35,"el Guinardó","Intel·lectual",196
2016,7,"Horta-Guinardó",36,"la Font d'en Fargues","Intel·lectual",48
2016,7,"Horta-Guinardó",37,"el Carmel","Intel·lectual",231
2016,7,"Horta-Guinardó",38,"la Teixonera","Intel·lectual",74
2016,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Intel·lectual",39
2016,7,"Horta-Guinardó",40,"Montbau","Intel·lectual",44
2016,7,"Horta-Guinardó",41,"la Vall d'Hebron","Intel·lectual",36
2016,7,"Horta-Guinardó",42,"la Clota","Intel·lectual",4
2016,7,"Horta-Guinardó",43,"Horta","Intel·lectual",163
2016,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Intel·lectual",182
2016,8,"Nou Barris",45,"Porta","Intel·lectual",177
2016,8,"Nou Barris",46,"el Turó de la Peira","Intel·lectual",88
2016,8,"Nou Barris",47,"Can Peguera","Intel·lectual",35
2016,8,"Nou Barris",48,"la Guineueta","Intel·lectual",138
2016,8,"Nou Barris",49,"Canyelles","Intel·lectual",57
2016,8,"Nou Barris",50,"les Roquetes","Intel·lectual",140
2016,8,"Nou Barris",51,"Verdun","Intel·lectual",107
2016,8,"Nou Barris",52,"la Prosperitat","Intel·lectual",141
2016,8,"Nou Barris",53,"la Trinitat Nova","Intel·lectual",76
2016,8,"Nou Barris",54,"Torre Baró","Intel·lectual",54
2016,8,"Nou Barris",55,"Ciutat Meridiana","Intel·lectual",104
2016,8,"Nou Barris",56,"Vallbona","Intel·lectual",17
2016,9,"Sant Andreu",57,"la Trinitat Vella","Intel·lectual",107
2016,9,"Sant Andreu",58,"Baró de Viver","Intel·lectual",40
2016,9,"Sant Andreu",59,"el Bon Pastor","Intel·lectual",104
2016,9,"Sant Andreu",60,"Sant Andreu","Intel·lectual",321
2016,9,"Sant Andreu",61,"la Sagrera","Intel·lectual",183
2016,9,"Sant Andreu",62,"el Congrés i els Indians","Intel·lectual",106
2016,9,"Sant Andreu",63,"Navas","Intel·lectual",111
2016,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Intel·lectual",216
