"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Grups_Edat","Nombre"
2016,7,"Horta-Guinardó",33,"el Baix Guinardó","De 45 a 64 anys",640
2016,7,"Horta-Guinardó",34,"Can Baró","De 45 a 64 anys",273
2016,7,"Horta-Guinardó",35,"el Guinardó","De 45 a 64 anys",883
2016,7,"Horta-Guinardó",36,"la Font d'en Fargues","De 45 a 64 anys",206
2016,7,"Horta-Guinardó",37,"el Carmel","De 45 a 64 anys",1040
2016,7,"Horta-Guinardó",38,"la Teixonera","De 45 a 64 anys",358
2016,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","De 45 a 64 anys",165
2016,7,"Horta-Guinardó",40,"Montbau","De 45 a 64 anys",146
2016,7,"Horta-Guinardó",41,"la Vall d'Hebron","De 45 a 64 anys",144
2016,7,"Horta-Guinardó",42,"la Clota","De 45 a 64 anys",14
2016,7,"Horta-Guinardó",43,"Horta","De 45 a 64 anys",771
2016,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","De 45 a 64 anys",685
2016,8,"Nou Barris",45,"Porta","De 45 a 64 anys",750
2016,8,"Nou Barris",46,"el Turó de la Peira","De 45 a 64 anys",533
2016,8,"Nou Barris",47,"Can Peguera","De 45 a 64 anys",146
2016,8,"Nou Barris",48,"la Guineueta","De 45 a 64 anys",564
2016,8,"Nou Barris",49,"Canyelles","De 45 a 64 anys",350
2016,8,"Nou Barris",50,"les Roquetes","De 45 a 64 anys",671
2016,8,"Nou Barris",51,"Verdun","De 45 a 64 anys",464
2016,8,"Nou Barris",52,"la Prosperitat","De 45 a 64 anys",763
2016,8,"Nou Barris",53,"la Trinitat Nova","De 45 a 64 anys",375
2016,8,"Nou Barris",54,"Torre Baró","De 45 a 64 anys",156
2016,8,"Nou Barris",55,"Ciutat Meridiana","De 45 a 64 anys",408
2016,8,"Nou Barris",56,"Vallbona","De 45 a 64 anys",80
2016,9,"Sant Andreu",57,"la Trinitat Vella","De 45 a 64 anys",344
2016,9,"Sant Andreu",58,"Baró de Viver","De 45 a 64 anys",152
2016,9,"Sant Andreu",59,"el Bon Pastor","De 45 a 64 anys",431
2016,9,"Sant Andreu",60,"Sant Andreu","De 45 a 64 anys",1594
2016,9,"Sant Andreu",61,"la Sagrera","De 45 a 64 anys",839
2016,9,"Sant Andreu",62,"el Congrés i els Indians","De 45 a 64 anys",425
2016,9,"Sant Andreu",63,"Navas","De 45 a 64 anys",566
2016,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","De 45 a 64 anys",1032
2016,10,"Sant Martí",65,"el Clot","De 45 a 64 anys",747
2016,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","De 45 a 64 anys",531
2016,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","De 45 a 64 anys",137
2016,10,"Sant Martí",68,"el Poblenou","De 45 a 64 anys",815
2016,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","De 45 a 64 anys",256
2016,10,"Sant Martí",70,"el Besòs i el Maresme","De 45 a 64 anys",869
2016,10,"Sant Martí",71,"Provençals del Poblenou","De 45 a 64 anys",617
2016,10,"Sant Martí",72,"Sant Martí de Provençals","De 45 a 64 anys",821
2016,10,"Sant Martí",73,"la Verneda i la Pau","De 45 a 64 anys",1024
2016,1,"Ciutat Vella",1,"el Raval","De 65 a 74 anys",751
2016,1,"Ciutat Vella",2,"el Barri Gòtic","De 65 a 74 anys",260
2016,1,"Ciutat Vella",3,"la Barceloneta","De 65 a 74 anys",283
2016,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","De 65 a 74 anys",363
2016,2,"Eixample",5,"el Fort Pienc","De 65 a 74 anys",487
2016,2,"Eixample",6,"la Sagrada Família","De 65 a 74 anys",878
2016,2,"Eixample",7,"la Dreta de l'Eixample","De 65 a 74 anys",621
2016,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","De 65 a 74 anys",600
2016,2,"Eixample",9,"la Nova Esquerra de l'Eixample","De 65 a 74 anys",1001
2016,2,"Eixample",10,"Sant Antoni","De 65 a 74 anys",661
2016,3,"Sants-Montjuïc",11,"el Poble Sec","De 65 a 74 anys",656
2016,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","De 65 a 74 anys",30
2016,3,"Sants-Montjuïc",13,"la Marina de Port","De 65 a 74 anys",717
2016,3,"Sants-Montjuïc",14,"la Font de la Guatlla","De 65 a 74 anys",273
2016,3,"Sants-Montjuïc",15,"Hostafrancs","De 65 a 74 anys",271
2016,3,"Sants-Montjuïc",16,"la Bordeta","De 65 a 74 anys",363
2016,3,"Sants-Montjuïc",17,"Sants - Badal","De 65 a 74 anys",436
2016,3,"Sants-Montjuïc",18,"Sants","De 65 a 74 anys",664
2016,4,"Les Corts",19,"les Corts","De 65 a 74 anys",799
2016,4,"Les Corts",20,"la Maternitat i Sant Ramon","De 65 a 74 anys",454
2016,4,"Les Corts",21,"Pedralbes","De 65 a 74 anys",135
2016,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","De 65 a 74 anys",48
2016,5,"Sarrià-Sant Gervasi",23,"Sarrià","De 65 a 74 anys",240
2016,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","De 65 a 74 anys",147
2016,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","De 65 a 74 anys",298
2016,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","De 65 a 74 anys",467
2016,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","De 65 a 74 anys",342
2016,6,"Gràcia",28,"Vallcarca i els Penitents","De 65 a 74 anys",239
2016,6,"Gràcia",29,"el Coll","De 65 a 74 anys",145
2016,6,"Gràcia",30,"la Salut","De 65 a 74 anys",225
