"﻿""Any""","Codi_districte","Nom_districte","Codi_barri","Nom_barri","Estructura_domicili","Nombre"
2020,3,"Sants-Montjuïc",13,"la Marina de Port","Un home sol de 18 a 64 anys",923
2020,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Un home sol de 18 a 64 anys",381
2020,3,"Sants-Montjuïc",15,"Hostafrancs","Un home sol de 18 a 64 anys",643
2020,3,"Sants-Montjuïc",16,"la Bordeta","Un home sol de 18 a 64 anys",611
2020,3,"Sants-Montjuïc",17,"Sants - Badal","Un home sol de 18 a 64 anys",794
2020,3,"Sants-Montjuïc",18,"Sants","Un home sol de 18 a 64 anys",1539
2020,4,"Les Corts",19,"les Corts","Un home sol de 18 a 64 anys",1359
2020,4,"Les Corts",20,"la Maternitat i Sant Ramon","Un home sol de 18 a 64 anys",621
2020,4,"Les Corts",21,"Pedralbes","Un home sol de 18 a 64 anys",250
2020,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Un home sol de 18 a 64 anys",128
2020,5,"Sarrià-Sant Gervasi",23,"Sarrià","Un home sol de 18 a 64 anys",621
2020,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Un home sol de 18 a 64 anys",314
2020,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Un home sol de 18 a 64 anys",661
2020,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Un home sol de 18 a 64 anys",1411
2020,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Un home sol de 18 a 64 anys",1058
2020,6,"Gràcia",28,"Vallcarca i els Penitents","Un home sol de 18 a 64 anys",599
2020,6,"Gràcia",29,"el Coll","Un home sol de 18 a 64 anys",291
2020,6,"Gràcia",30,"la Salut","Un home sol de 18 a 64 anys",444
2020,6,"Gràcia",31,"la Vila de Gràcia","Un home sol de 18 a 64 anys",2545
2020,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Un home sol de 18 a 64 anys",1198
2020,7,"Horta-Guinardó",33,"el Baix Guinardó","Un home sol de 18 a 64 anys",860
2020,7,"Horta-Guinardó",34,"Can Baró","Un home sol de 18 a 64 anys",343
2020,7,"Horta-Guinardó",35,"el Guinardó","Un home sol de 18 a 64 anys",1332
2020,7,"Horta-Guinardó",36,"la Font d'en Fargues","Un home sol de 18 a 64 anys",292
