"﻿""CODI_CAPA""","CAPA_GENERICA","NOM_CAPA","ED50_COORD_X","ED50_COORD_Y","ETRS89_COORD_X","ETRS89_COORD_Y","LONGITUD","LATITUD","DISTRICTE","BARRI","NOM_DISTRICTE","NOM_BARRI","EQUIPAMENT","ADRECA","TELEFON"
"G008","Serveis religiosos","Esglésies catòliques",429011.26,4582836.616,428919.342,4582635.677,2.149768,41.392114,2,8,"Eixample","l'Antiga Esquerra de l'Eixample","Parròquia de la Mare de Déu del Pilar","C Casanova, 175","934309588"
"G008","Serveis religiosos","Esglésies catòliques",429026.333,4584792.098,428934.415,4584591.14,2.1497189999999997,41.409728,6,30,"Gràcia","la Salut","Monestir de la Divina Providència","C Albigesos, 6","932182632"
"G008","Serveis religiosos","Esglésies catòliques",431178.84,4581196.587,431086.901,4580995.662,2.17588,41.377532,1,1,"Ciutat Vella","el Raval","Parròquia de Sant Josep, Santa Mònica i Sant Josafat","C Rambla, 9",""
"G009","Serveis religiosos","Esglésies evangèliques",433350.117,4588457.036,433258.16,4588256.0430000005,2.2010419999999997,41.443107,9,59,"Sant Andreu","el Bon Pastor","Església Evangèlica Canaan","C Potosí, 7","600206674"
"G008","Serveis religiosos","Esglésies catòliques",432187.999,4582282.924,432096.05100000004,4582081.989,2.187825,41.387402,1,2,"Ciutat Vella","el Barri Gòtic","Parròquia Castrense de Plaça","Parc Ciutadella, ","933169452"
"G008","Serveis religiosos","Esglésies catòliques",432222.152,4581456.714,432130.20399999997,4581255.786,2.188326,41.379963000000004,1,3,"Ciutat Vella","la Barceloneta","Parròquia de Sant Miquel del Port","C Sant Miquel, 39","932216550"
"G008","Serveis religiosos","Esglésies catòliques",427269.79600000003,4580963.178,427177.893,4580762.256,2.129166,41.375085,3,17,"Sants-Montjuïc","Sants - Badal","Parròquia de la Mare de Déu dels Dolors","C Begur, 8","934313840"
"G008","Serveis religiosos","Esglésies catòliques",431530.855,4582125.384,431438.91299999994,4581924.45,2.179984,41.385927,1,4,"Ciutat Vella","Sant Pere, Santa Caterina i la Ribera","Capella Marcús","C Carders, 4","933190516"
"G008","Serveis religiosos","Esglésies catòliques",428651.148,4580557.405,428559.232,4580356.487,2.14573,41.371553999999996,3,14,"Sants-Montjuïc","la Font de la Guatlla","Parròquia de Santa Dorotea","C Santa Dorotea, 5","934233033"
"G008","Serveis religiosos","Esglésies catòliques",429704.92600000004,4583573.296,429613.001,4583372.348999999,2.157979,41.39881,6,31,"Gràcia","la Vila de Gràcia","Parròquia de Santa Maria de Gràcia","C Sant Pere Màrtir, 5","932187572"
