"SECCIO_CENSAL","HOMES","DONES","EDAT_0_A_14","EDAT_15_A_24","EDAT_25_A_64","EDAT_65_A_MES","NACIONALS","COMUNITARIS","ESTRANGERS","DATA_DADES"
8058,756,883,176,161,916,386,1401,39,199,"07-03-2021 11:00:04"
8059,476,527,120,96,553,234,886,12,105,"07-03-2021 11:00:04"
8060,532,648,123,88,588,381,1109,14,57,"07-03-2021 11:00:04"
8061,799,849,194,150,871,433,1526,20,102,"07-03-2021 11:00:04"
8062,544,603,94,101,586,366,1091,10,46,"07-03-2021 11:00:04"
8063,509,564,84,78,472,439,1020,8,45,"07-03-2021 11:00:04"
8064,861,935,234,163,969,430,1638,26,132,"07-03-2021 11:00:04"
8065,921,894,329,237,1024,225,1371,66,378,"07-03-2021 11:00:04"
8066,811,855,281,206,951,228,1292,53,321,"07-03-2021 11:00:04"
8067,877,939,247,211,1033,325,1438,48,330,"07-03-2021 11:00:04"
8068,942,1023,308,219,1082,356,1434,38,493,"07-03-2021 11:00:04"
8069,760,833,209,169,916,299,1164,44,385,"07-03-2021 11:00:04"
8070,717,774,219,159,843,270,1101,39,351,"07-03-2021 11:00:04"
8071,855,898,233,191,988,341,1370,25,358,"07-03-2021 11:00:04"
8072,564,655,163,127,621,308,988,31,200,"07-03-2021 11:00:04"
8073,826,942,240,170,1079,279,1217,58,493,"07-03-2021 11:00:04"
8074,754,796,250,173,871,256,1103,42,405,"07-03-2021 11:00:04"
8075,884,1045,252,194,1096,387,1425,46,458,"07-03-2021 11:00:04"
8076,744,889,189,122,862,460,1309,38,286,"07-03-2021 11:00:04"
8077,674,774,205,153,801,289,1232,19,197,"07-03-2021 11:00:04"
8078,735,828,184,140,943,296,1146,53,364,"07-03-2021 11:00:04"
8079,681,776,196,160,842,259,1088,41,328,"07-03-2021 11:00:04"
8080,763,813,200,177,855,344,1174,47,355,"07-03-2021 11:00:04"
8081,815,876,277,186,961,267,1167,49,475,"07-03-2021 11:00:04"
8082,731,898,187,153,905,384,1245,32,352,"07-03-2021 11:00:04"
8083,630,704,177,117,749,291,980,45,309,"07-03-2021 11:00:04"
8084,518,627,136,96,596,317,967,17,161,"07-03-2021 11:00:04"
8085,721,758,175,173,861,270,1145,34,300,"07-03-2021 11:00:04"
8086,794,920,212,170,931,401,1352,51,311,"07-03-2021 11:00:04"
8087,593,667,159,110,665,326,1034,15,211,"07-03-2021 11:00:04"
