"Anys_Periode","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Nombre"
"2010-2014",4,"Les Corts",20,"la Maternitat i Sant Ramon",497
"2010-2014",4,"Les Corts",21,"Pedralbes",194
"2010-2014",5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes",96
"2010-2014",5,"Sarrià-Sant Gervasi",23,"Sarrià",621
"2010-2014",5,"Sarrià-Sant Gervasi",24,"les Tres Torres",357
"2010-2014",5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova",505
"2010-2014",5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany",981
"2010-2014",5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró",665
"2010-2014",6,"Gràcia",28,"Vallcarca i els Penitents",357
"2010-2014",6,"Gràcia",29,"el Coll",181
"2010-2014",6,"Gràcia",30,"la Salut",303
"2010-2014",6,"Gràcia",31,"la Vila de Gràcia",1258
"2010-2014",6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova",725
"2010-2014",7,"Horta-Guinardó",33,"el Baix Guinardó",580
"2010-2014",7,"Horta-Guinardó",34,"Can Baró",211
"2010-2014",7,"Horta-Guinardó",35,"el Guinardó",862
"2010-2014",7,"Horta-Guinardó",36,"la Font d'en Fargues",195
"2010-2014",7,"Horta-Guinardó",37,"el Carmel",882
"2010-2014",7,"Horta-Guinardó",38,"la Teixonera",325
"2010-2014",7,"Horta-Guinardó",39,"Sant Genís dels Agudells",144
"2010-2014",7,"Horta-Guinardó",40,"Montbau",115
"2010-2014",7,"Horta-Guinardó",41,"la Vall d'Hebron",91
"2010-2014",7,"Horta-Guinardó",42,"la Clota",17
"2010-2014",7,"Horta-Guinardó",43,"Horta",557
"2010-2014",8,"Nou Barris",44,"Vilapicina i la Torre Llobeta",552
"2010-2014",8,"Nou Barris",45,"Porta",644
"2010-2014",8,"Nou Barris",46,"el Turó de la Peira",492
"2010-2014",8,"Nou Barris",47,"Can Peguera",69
"2010-2014",8,"Nou Barris",48,"la Guineueta",315
"2010-2014",8,"Nou Barris",49,"Canyelles",150
"2010-2014",8,"Nou Barris",50,"les Roquetes",597
"2010-2014",8,"Nou Barris",51,"Verdun",372
"2010-2014",8,"Nou Barris",52,"la Prosperitat",731
"2010-2014",8,"Nou Barris",53,"la Trinitat Nova",269
"2010-2014",8,"Nou Barris",54,"Torre Baró",75
"2010-2014",8,"Nou Barris",55,"Ciutat Meridiana",409
"2010-2014",8,"Nou Barris",56,"Vallbona",74
"2010-2014",9,"Sant Andreu",57,"la Trinitat Vella",416
"2010-2014",9,"Sant Andreu",58,"Baró de Viver",81
"2010-2014",9,"Sant Andreu",59,"el Bon Pastor",443
"2010-2014",9,"Sant Andreu",60,"Sant Andreu",1385
"2010-2014",9,"Sant Andreu",61,"la Sagrera",727
"2010-2014",9,"Sant Andreu",62,"el Congrés i els Indians",367
"2010-2014",9,"Sant Andreu",63,"Navas",515
"2010-2014",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",887
"2010-2014",10,"Sant Martí",65,"el Clot",598
"2010-2014",10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou",366
"2010-2014",10,"Sant Martí",67,"la Vila Olímpica del Poblenou",204
"2010-2014",10,"Sant Martí",68,"el Poblenou",949
"2010-2014",10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou",457
"2010-2014",10,"Sant Martí",70,"el Besòs i el Maresme",769
"2010-2014",10,"Sant Martí",71,"Provençals del Poblenou",586
"2010-2014",10,"Sant Martí",72,"Sant Martí de Provençals",572
"2010-2014",10,"Sant Martí",73,"la Verneda i la Pau",690
"2010-2014",99,"No consta",99,"No consta",1967
"2011-2015",1,"Ciutat Vella",1,"el Raval",1524
"2011-2015",1,"Ciutat Vella",2,"el Barri Gòtic",267
"2011-2015",1,"Ciutat Vella",3,"la Barceloneta",347
"2011-2015",1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",500
"2011-2015",2,"Eixample",5,"el Fort Pienc",703
"2011-2015",2,"Eixample",6,"la Sagrada Família",1145
"2011-2015",2,"Eixample",7,"la Dreta de l'Eixample",836
"2011-2015",2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",835
"2011-2015",2,"Eixample",9,"la Nova Esquerra de l'Eixample",1185
"2011-2015",2,"Eixample",10,"Sant Antoni",852
"2011-2015",3,"Sants-Montjuïc",11,"el Poble Sec",1126
"2011-2015",3,"Sants-Montjuïc",12,"la Marina del Prat Vermell",51
"2011-2015",3,"Sants-Montjuïc",13,"la Marina de Port",796
"2011-2015",3,"Sants-Montjuïc",14,"la Font de la Guatlla",211
"2011-2015",3,"Sants-Montjuïc",15,"Hostafrancs",364
"2011-2015",3,"Sants-Montjuïc",16,"la Bordeta",431
"2011-2015",3,"Sants-Montjuïc",17,"Sants - Badal",543
"2011-2015",3,"Sants-Montjuïc",18,"Sants",1003
"2011-2015",4,"Les Corts",19,"les Corts",885
"2011-2015",4,"Les Corts",20,"la Maternitat i Sant Ramon",481
"2011-2015",4,"Les Corts",21,"Pedralbes",196
"2011-2015",5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes",102
"2011-2015",5,"Sarrià-Sant Gervasi",23,"Sarrià",604
"2011-2015",5,"Sarrià-Sant Gervasi",24,"les Tres Torres",337
"2011-2015",5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova",504
"2011-2015",5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany",970
"2011-2015",5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró",673
"2011-2015",6,"Gràcia",28,"Vallcarca i els Penitents",348
"2011-2015",6,"Gràcia",29,"el Coll",167
"2011-2015",6,"Gràcia",30,"la Salut",303
"2011-2015",6,"Gràcia",31,"la Vila de Gràcia",1235
"2011-2015",6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova",695
"2011-2015",7,"Horta-Guinardó",33,"el Baix Guinardó",541
"2011-2015",7,"Horta-Guinardó",34,"Can Baró",181
"2011-2015",7,"Horta-Guinardó",35,"el Guinardó",859
"2011-2015",7,"Horta-Guinardó",36,"la Font d'en Fargues",194
"2011-2015",7,"Horta-Guinardó",37,"el Carmel",841
"2011-2015",7,"Horta-Guinardó",38,"la Teixonera",308
"2011-2015",7,"Horta-Guinardó",39,"Sant Genís dels Agudells",145
"2011-2015",7,"Horta-Guinardó",40,"Montbau",98
"2011-2015",7,"Horta-Guinardó",41,"la Vall d'Hebron",102
"2011-2015",7,"Horta-Guinardó",42,"la Clota",23
"2011-2015",7,"Horta-Guinardó",43,"Horta",530
"2011-2015",8,"Nou Barris",44,"Vilapicina i la Torre Llobeta",563
"2011-2015",8,"Nou Barris",45,"Porta",614
"2011-2015",8,"Nou Barris",46,"el Turó de la Peira",492
"2011-2015",8,"Nou Barris",47,"Can Peguera",66
"2011-2015",8,"Nou Barris",48,"la Guineueta",293
"2011-2015",8,"Nou Barris",49,"Canyelles",155
"2011-2015",8,"Nou Barris",50,"les Roquetes",577
"2011-2015",8,"Nou Barris",51,"Verdun",359
"2011-2015",8,"Nou Barris",52,"la Prosperitat",696
"2011-2015",8,"Nou Barris",53,"la Trinitat Nova",254
"2011-2015",8,"Nou Barris",54,"Torre Baró",88
"2011-2015",8,"Nou Barris",55,"Ciutat Meridiana",373
"2011-2015",8,"Nou Barris",56,"Vallbona",62
"2011-2015",9,"Sant Andreu",57,"la Trinitat Vella",349
"2011-2015",9,"Sant Andreu",58,"Baró de Viver",81
"2011-2015",9,"Sant Andreu",59,"el Bon Pastor",385
"2011-2015",9,"Sant Andreu",60,"Sant Andreu",1292
