"﻿""Any""","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Sexe","Nacionalitat","Edat_quinquennal","Nombre"
2020,9,"Sant Andreu",57,"la Trinitat Vella","Dona","Espanyola","90-94 anys",41
2020,9,"Sant Andreu",58,"Baró de Viver","Dona","Espanyola","90-94 anys",18
2020,9,"Sant Andreu",59,"el Bon Pastor","Dona","Espanyola","90-94 anys",68
2020,9,"Sant Andreu",60,"Sant Andreu","Dona","Espanyola","90-94 anys",446
2020,9,"Sant Andreu",61,"la Sagrera","Dona","Espanyola","90-94 anys",217
2020,9,"Sant Andreu",62,"el Congrés i els Indians","Dona","Espanyola","90-94 anys",213
2020,9,"Sant Andreu",63,"Navas","Dona","Espanyola","90-94 anys",203
2020,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Dona","Espanyola","90-94 anys",355
2020,10,"Sant Martí",65,"el Clot","Dona","Espanyola","90-94 anys",198
2020,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Dona","Espanyola","90-94 anys",125
2020,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Dona","Espanyola","90-94 anys",30
2020,10,"Sant Martí",68,"el Poblenou","Dona","Espanyola","90-94 anys",261
2020,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Dona","Espanyola","90-94 anys",47
2020,10,"Sant Martí",70,"el Besòs i el Maresme","Dona","Espanyola","90-94 anys",151
2020,10,"Sant Martí",71,"Provençals del Poblenou","Dona","Espanyola","90-94 anys",126
2020,10,"Sant Martí",72,"Sant Martí de Provençals","Dona","Espanyola","90-94 anys",264
2020,10,"Sant Martí",73,"la Verneda i la Pau","Dona","Espanyola","90-94 anys",243
2020,1,"Ciutat Vella",1,"el Raval","Dona","Espanyola","95-99 anys",59
2020,1,"Ciutat Vella",2,"el Barri Gòtic","Dona","Espanyola","95-99 anys",42
2020,1,"Ciutat Vella",3,"la Barceloneta","Dona","Espanyola","95-99 anys",32
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Dona","Espanyola","95-99 anys",47
2020,2,"Eixample",5,"el Fort Pienc","Dona","Espanyola","95-99 anys",104
2020,2,"Eixample",6,"la Sagrada Família","Dona","Espanyola","95-99 anys",158
2020,2,"Eixample",7,"la Dreta de l'Eixample","Dona","Espanyola","95-99 anys",205
2020,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Dona","Espanyola","95-99 anys",155
2020,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Dona","Espanyola","95-99 anys",196
