"﻿""Any""","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Sexe","Lloc_de_naixement","Nombre"
2020,2,"Eixample",6,"la Sagrada Família","Dona","Aragó",752
2020,2,"Eixample",7,"la Dreta de l'Eixample","Dona","Aragó",445
2020,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Dona","Aragó",393
2020,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Dona","Aragó",780
2020,2,"Eixample",10,"Sant Antoni","Dona","Aragó",434
2020,3,"Sants-Montjuïc",11,"el Poble Sec","Dona","Aragó",297
2020,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Dona","Aragó",3
2020,3,"Sants-Montjuïc",13,"la Marina de Port","Dona","Aragó",266
2020,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Dona","Aragó",158
2020,3,"Sants-Montjuïc",15,"Hostafrancs","Dona","Aragó",182
2020,3,"Sants-Montjuïc",16,"la Bordeta","Dona","Aragó",213
2020,3,"Sants-Montjuïc",17,"Sants - Badal","Dona","Aragó",296
2020,3,"Sants-Montjuïc",18,"Sants","Dona","Aragó",440
2020,4,"Les Corts",19,"les Corts","Dona","Aragó",678
2020,4,"Les Corts",20,"la Maternitat i Sant Ramon","Dona","Aragó",327
2020,4,"Les Corts",21,"Pedralbes","Dona","Aragó",119
2020,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Dona","Aragó",24
2020,5,"Sarrià-Sant Gervasi",23,"Sarrià","Dona","Aragó",183
2020,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Dona","Aragó",117
2020,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Dona","Aragó",227
2020,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Dona","Aragó",415
2020,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Dona","Aragó",272
2020,6,"Gràcia",28,"Vallcarca i els Penitents","Dona","Aragó",195
2020,6,"Gràcia",29,"el Coll","Dona","Aragó",79
2020,6,"Gràcia",30,"la Salut","Dona","Aragó",128
2020,6,"Gràcia",31,"la Vila de Gràcia","Dona","Aragó",471
2020,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Dona","Aragó",482
2020,7,"Horta-Guinardó",33,"el Baix Guinardó","Dona","Aragó",400
2020,7,"Horta-Guinardó",34,"Can Baró","Dona","Aragó",89
2020,7,"Horta-Guinardó",35,"el Guinardó","Dona","Aragó",461
2020,7,"Horta-Guinardó",36,"la Font d'en Fargues","Dona","Aragó",110
2020,7,"Horta-Guinardó",37,"el Carmel","Dona","Aragó",265
2020,7,"Horta-Guinardó",38,"la Teixonera","Dona","Aragó",112
2020,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Dona","Aragó",104
2020,7,"Horta-Guinardó",40,"Montbau","Dona","Aragó",90
2020,7,"Horta-Guinardó",41,"la Vall d'Hebron","Dona","Aragó",99
2020,7,"Horta-Guinardó",42,"la Clota","Dona","Aragó",3
2020,7,"Horta-Guinardó",43,"Horta","Dona","Aragó",310
2020,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Dona","Aragó",378
2020,8,"Nou Barris",45,"Porta","Dona","Aragó",365
2020,8,"Nou Barris",46,"el Turó de la Peira","Dona","Aragó",212
2020,8,"Nou Barris",47,"Can Peguera","Dona","Aragó",21
2020,8,"Nou Barris",48,"la Guineueta","Dona","Aragó",207
2020,8,"Nou Barris",49,"Canyelles","Dona","Aragó",64
2020,8,"Nou Barris",50,"les Roquetes","Dona","Aragó",87
2020,8,"Nou Barris",51,"Verdun","Dona","Aragó",120
2020,8,"Nou Barris",52,"la Prosperitat","Dona","Aragó",279
2020,8,"Nou Barris",53,"la Trinitat Nova","Dona","Aragó",41
2020,8,"Nou Barris",54,"Torre Baró","Dona","Aragó",8
2020,8,"Nou Barris",55,"Ciutat Meridiana","Dona","Aragó",56
2020,8,"Nou Barris",56,"Vallbona","Dona","Aragó",6
2020,9,"Sant Andreu",57,"la Trinitat Vella","Dona","Aragó",33
2020,9,"Sant Andreu",58,"Baró de Viver","Dona","Aragó",9
2020,9,"Sant Andreu",59,"el Bon Pastor","Dona","Aragó",70
2020,9,"Sant Andreu",60,"Sant Andreu","Dona","Aragó",547
2020,9,"Sant Andreu",61,"la Sagrera","Dona","Aragó",391
2020,9,"Sant Andreu",62,"el Congrés i els Indians","Dona","Aragó",175
2020,9,"Sant Andreu",63,"Navas","Dona","Aragó",298
2020,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Dona","Aragó",507
2020,10,"Sant Martí",65,"el Clot","Dona","Aragó",323
2020,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Dona","Aragó",194
2020,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Dona","Aragó",96
2020,10,"Sant Martí",68,"el Poblenou","Dona","Aragó",233
2020,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Dona","Aragó",122
2020,10,"Sant Martí",70,"el Besòs i el Maresme","Dona","Aragó",135
2020,10,"Sant Martí",71,"Provençals del Poblenou","Dona","Aragó",195
2020,10,"Sant Martí",72,"Sant Martí de Provençals","Dona","Aragó",318
2020,10,"Sant Martí",73,"la Verneda i la Pau","Dona","Aragó",355
2020,1,"Ciutat Vella",1,"el Raval","Dona","Principat d'Astúries",57
2020,1,"Ciutat Vella",2,"el Barri Gòtic","Dona","Principat d'Astúries",28
2020,1,"Ciutat Vella",3,"la Barceloneta","Dona","Principat d'Astúries",25
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Dona","Principat d'Astúries",40
2020,2,"Eixample",5,"el Fort Pienc","Dona","Principat d'Astúries",54
2020,2,"Eixample",6,"la Sagrada Família","Dona","Principat d'Astúries",105
2020,2,"Eixample",7,"la Dreta de l'Eixample","Dona","Principat d'Astúries",74
2020,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Dona","Principat d'Astúries",92
2020,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Dona","Principat d'Astúries",120
2020,2,"Eixample",10,"Sant Antoni","Dona","Principat d'Astúries",63
2020,3,"Sants-Montjuïc",11,"el Poble Sec","Dona","Principat d'Astúries",62
2020,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Dona","Principat d'Astúries",1
2020,3,"Sants-Montjuïc",13,"la Marina de Port","Dona","Principat d'Astúries",48
2020,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Dona","Principat d'Astúries",20
2020,3,"Sants-Montjuïc",15,"Hostafrancs","Dona","Principat d'Astúries",27
2020,3,"Sants-Montjuïc",16,"la Bordeta","Dona","Principat d'Astúries",33
2020,3,"Sants-Montjuïc",17,"Sants - Badal","Dona","Principat d'Astúries",35
2020,3,"Sants-Montjuïc",18,"Sants","Dona","Principat d'Astúries",66
2020,4,"Les Corts",19,"les Corts","Dona","Principat d'Astúries",96
2020,4,"Les Corts",20,"la Maternitat i Sant Ramon","Dona","Principat d'Astúries",46
2020,4,"Les Corts",21,"Pedralbes","Dona","Principat d'Astúries",18
2020,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Dona","Principat d'Astúries",1
2020,5,"Sarrià-Sant Gervasi",23,"Sarrià","Dona","Principat d'Astúries",47
2020,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Dona","Principat d'Astúries",29
2020,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Dona","Principat d'Astúries",32
2020,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Dona","Principat d'Astúries",91
2020,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Dona","Principat d'Astúries",53
2020,6,"Gràcia",28,"Vallcarca i els Penitents","Dona","Principat d'Astúries",32
2020,6,"Gràcia",29,"el Coll","Dona","Principat d'Astúries",16
2020,6,"Gràcia",30,"la Salut","Dona","Principat d'Astúries",18
2020,6,"Gràcia",31,"la Vila de Gràcia","Dona","Principat d'Astúries",104
2020,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Dona","Principat d'Astúries",54
2020,7,"Horta-Guinardó",33,"el Baix Guinardó","Dona","Principat d'Astúries",35
2020,7,"Horta-Guinardó",34,"Can Baró","Dona","Principat d'Astúries",14
2020,7,"Horta-Guinardó",35,"el Guinardó","Dona","Principat d'Astúries",62
2020,7,"Horta-Guinardó",36,"la Font d'en Fargues","Dona","Principat d'Astúries",7
2020,7,"Horta-Guinardó",37,"el Carmel","Dona","Principat d'Astúries",34
2020,7,"Horta-Guinardó",38,"la Teixonera","Dona","Principat d'Astúries",16
2020,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Dona","Principat d'Astúries",15
2020,7,"Horta-Guinardó",40,"Montbau","Dona","Principat d'Astúries",5
2020,7,"Horta-Guinardó",41,"la Vall d'Hebron","Dona","Principat d'Astúries",15
2020,7,"Horta-Guinardó",42,"la Clota","Dona","Principat d'Astúries",1
2020,7,"Horta-Guinardó",43,"Horta","Dona","Principat d'Astúries",30
2020,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Dona","Principat d'Astúries",27
2020,8,"Nou Barris",45,"Porta","Dona","Principat d'Astúries",33
2020,8,"Nou Barris",46,"el Turó de la Peira","Dona","Principat d'Astúries",26
2020,8,"Nou Barris",47,"Can Peguera","Dona","Principat d'Astúries",4
2020,8,"Nou Barris",48,"la Guineueta","Dona","Principat d'Astúries",21
2020,8,"Nou Barris",49,"Canyelles","Dona","Principat d'Astúries",9
2020,8,"Nou Barris",50,"les Roquetes","Dona","Principat d'Astúries",8
2020,8,"Nou Barris",51,"Verdun","Dona","Principat d'Astúries",10
2020,8,"Nou Barris",52,"la Prosperitat","Dona","Principat d'Astúries",33
2020,8,"Nou Barris",53,"la Trinitat Nova","Dona","Principat d'Astúries",6
2020,8,"Nou Barris",54,"Torre Baró","Dona","Principat d'Astúries",2
2020,8,"Nou Barris",55,"Ciutat Meridiana","Dona","Principat d'Astúries",4
2020,8,"Nou Barris",56,"Vallbona","Dona","Principat d'Astúries",4
2020,9,"Sant Andreu",57,"la Trinitat Vella","Dona","Principat d'Astúries",7
2020,9,"Sant Andreu",58,"Baró de Viver","Dona","Principat d'Astúries",3
2020,9,"Sant Andreu",59,"el Bon Pastor","Dona","Principat d'Astúries",8
2020,9,"Sant Andreu",60,"Sant Andreu","Dona","Principat d'Astúries",71
2020,9,"Sant Andreu",61,"la Sagrera","Dona","Principat d'Astúries",30
2020,9,"Sant Andreu",62,"el Congrés i els Indians","Dona","Principat d'Astúries",12
2020,9,"Sant Andreu",63,"Navas","Dona","Principat d'Astúries",31
2020,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Dona","Principat d'Astúries",48
2020,10,"Sant Martí",65,"el Clot","Dona","Principat d'Astúries",58
2020,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Dona","Principat d'Astúries",30
2020,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Dona","Principat d'Astúries",16
2020,10,"Sant Martí",68,"el Poblenou","Dona","Principat d'Astúries",38
2020,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Dona","Principat d'Astúries",13
2020,10,"Sant Martí",70,"el Besòs i el Maresme","Dona","Principat d'Astúries",27
2020,10,"Sant Martí",71,"Provençals del Poblenou","Dona","Principat d'Astúries",35
2020,10,"Sant Martí",72,"Sant Martí de Provençals","Dona","Principat d'Astúries",39
2020,10,"Sant Martí",73,"la Verneda i la Pau","Dona","Principat d'Astúries",35
2020,1,"Ciutat Vella",1,"el Raval","Dona","Illes Balears",47
2020,1,"Ciutat Vella",2,"el Barri Gòtic","Dona","Illes Balears",18
2020,1,"Ciutat Vella",3,"la Barceloneta","Dona","Illes Balears",19
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Dona","Illes Balears",26
2020,2,"Eixample",5,"el Fort Pienc","Dona","Illes Balears",35
2020,2,"Eixample",6,"la Sagrada Família","Dona","Illes Balears",77
2020,2,"Eixample",7,"la Dreta de l'Eixample","Dona","Illes Balears",77
2020,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Dona","Illes Balears",72
2020,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Dona","Illes Balears",96
2020,2,"Eixample",10,"Sant Antoni","Dona","Illes Balears",58
2020,3,"Sants-Montjuïc",11,"el Poble Sec","Dona","Illes Balears",53
2020,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Dona","Illes Balears",0
2020,3,"Sants-Montjuïc",13,"la Marina de Port","Dona","Illes Balears",29
2020,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Dona","Illes Balears",11
2020,3,"Sants-Montjuïc",15,"Hostafrancs","Dona","Illes Balears",20
2020,3,"Sants-Montjuïc",16,"la Bordeta","Dona","Illes Balears",26
2020,3,"Sants-Montjuïc",17,"Sants - Badal","Dona","Illes Balears",28
2020,3,"Sants-Montjuïc",18,"Sants","Dona","Illes Balears",60
2020,4,"Les Corts",19,"les Corts","Dona","Illes Balears",80
2020,4,"Les Corts",20,"la Maternitat i Sant Ramon","Dona","Illes Balears",33
2020,4,"Les Corts",21,"Pedralbes","Dona","Illes Balears",17
2020,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Dona","Illes Balears",11
2020,5,"Sarrià-Sant Gervasi",23,"Sarrià","Dona","Illes Balears",61
2020,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Dona","Illes Balears",43
