"Any","Codi_districte","Nom_districte","Codi_barri","Nom_barri","Seccio_censal","Desc_tipus_propietari","Concepte","Valor"
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",44,"Subjecte físic","Valor_cadastral",87218785.01
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",44,"Subjecte jurídic","Valor_cadastral",60905261.56
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",44,"Comunitat de propietaris","Valor_cadastral",47065.61
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",44,"Altres","Valor_cadastral",1949128.49
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",45,"Subjecte físic","Valor_cadastral",104089475.99
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",45,"Subjecte jurídic","Valor_cadastral",65045980.65
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",45,"Comunitat de propietaris","Valor_cadastral",15114.06
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",45,"Altres","Valor_cadastral",885151.63
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",46,"Subjecte físic","Valor_cadastral",85307181.06
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",46,"Subjecte jurídic","Valor_cadastral",133620553.73
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",46,"Altres","Valor_cadastral",2673663.32
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",47,"Subjecte físic","Valor_cadastral",65432481.4
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",47,"Subjecte jurídic","Valor_cadastral",123217271.15
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",47,"Altres","Valor_cadastral",7638799.63
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",48,"Subjecte físic","Valor_cadastral",62456569.49
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",48,"Subjecte jurídic","Valor_cadastral",46752279.28
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",48,"Altres","Valor_cadastral",2905892.14
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",49,"Subjecte físic","Valor_cadastral",72194853.91
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",49,"Subjecte jurídic","Valor_cadastral",40391342.9
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",49,"Comunitat de propietaris","Valor_cadastral",5995.27
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",50,"Subjecte físic","Valor_cadastral",58792454.02
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",50,"Subjecte jurídic","Valor_cadastral",35275369.12
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",50,"Altres","Valor_cadastral",46796.17
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",51,"Subjecte físic","Valor_cadastral",61637477.69
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",51,"Subjecte jurídic","Valor_cadastral",19943061.14
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",51,"Comunitat de propietaris","Valor_cadastral",4200.24
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",51,"Altres","Valor_cadastral",470777.81
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",52,"Subjecte físic","Valor_cadastral",152012783.88
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",52,"Subjecte jurídic","Valor_cadastral",181305712.27
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",52,"Altres","Valor_cadastral",7775891.02
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",53,"Subjecte físic","Valor_cadastral",58493179.52
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",53,"Subjecte jurídic","Valor_cadastral",52916261.02
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",53,"Comunitat de propietaris","Valor_cadastral",23857.74
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",53,"Altres","Valor_cadastral",61428.25
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",54,"Subjecte físic","Valor_cadastral",49681763.45
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",54,"Subjecte jurídic","Valor_cadastral",27606018.59
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",54,"Altres","Valor_cadastral",153289.94
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",55,"Subjecte físic","Valor_cadastral",65310972.78
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",55,"Subjecte jurídic","Valor_cadastral",63547021.12
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",55,"Altres","Valor_cadastral",5083917.1
2020,2,"Eixample",5,"el Fort Pienc",1,"Subjecte físic","Valor_cadastral",52132066.34
2020,2,"Eixample",5,"el Fort Pienc",1,"Subjecte jurídic","Valor_cadastral",112764448.82
2020,2,"Eixample",5,"el Fort Pienc",1,"Altres","Valor_cadastral",328788.02
2020,2,"Eixample",5,"el Fort Pienc",2,"Subjecte físic","Valor_cadastral",79574669.51
2020,2,"Eixample",5,"el Fort Pienc",2,"Subjecte jurídic","Valor_cadastral",36302480.85
2020,2,"Eixample",5,"el Fort Pienc",2,"Comunitat de propietaris","Valor_cadastral",11007.28
2020,2,"Eixample",5,"el Fort Pienc",2,"Altres","Valor_cadastral",375879.38
2020,2,"Eixample",5,"el Fort Pienc",3,"Subjecte físic","Valor_cadastral",52666543.31
