"Codi_Senyal","Descripció_Senyal"
"B-85b","Carril Bici"
"B-86","Otros servicios"
"B-87a","Gasolinera Moviment a l'esquerra"
"B-87b","Otros servicios"
"B-88a","Gasolinera Moviment a la dreta"
"B-88b","Gasolinera Moviment a la dreta"
"B-89","Electrolinera Direcció recta"
"B-90a","Electrolinera Moviment a l'esquerra"
"B-90b","Electrolinera Moviment a l'esquerra"
"B-91a","Electrolinera Moviment a la dreta"
"B-91b","Gasolinera Moviment a la dreta"
"B-92","Punt Verd Recte"
"B-93a","Punt Verd Esquerra"
"B-93b","Punt Verd Esquerra recte"
"B-94a","Punt Verd Dreta"
"B-94b","Punt Verd Dreta recte"
"BCNETA","Barceloneta"
"BICBLA","Carril Bici"
"BICI_CurvaDre",""
"BICI_CurvaIzq",""
"BICI3","Carril Bici Todas Direcciones"
"BICIS1","BICIS1"
"BICIVD","Carril Bici Cambio de Sentido"
"BICIVE","Carril Bici"
"BICRDE","Carril Bici"
"BICVER","Carril Bici Verde"
"BICVIAMOT","Calzada Obligatoria para Peatones, Bicicletas y Motocicletas"
"BORN01","Pg. Born - Reserva Motos"
"BORN02","Pg. Born - Reserva Motos"
"BORN03","Pg. Born - Prohibido Estacionar"
"BORN04","Pg. Born - Prohibido Estacionar"
"BORN05","Pg. Born - Prohibido Estacionar"
"BORN06","Pg. Born - Prohibido Estacionar"
"C-10","Plaques complementàries de senyals de reglamentació"
"C-10a","Plaques complementàries de senyals de reglamentació"
"C-10b","Plaques complementàries de senyals de reglamentació"
"C-11","Plaques complementàries de senyals de reglamentació"
"C-11a","Plaques complementàries de senyals de reglamentació"
"C-11b","Plaques complementàries de senyals de reglamentació"
"C-12","Plaques complementàries de senyals de reglamentació"
"C-12a","Plaques complementàries de senyals de reglamentació"
"C-12b","Plaques complementàries de senyals de reglamentació"
"C-13","Plaques complementàries de senyals de reglamentació"
"C-13a","Plaques complementàries de senyals de reglamentació"
"C-13b","Plaques complementàries de senyals de reglamentació"
"C-14a","Plaques complementàries de senyals de reglamentació"
"C-14b","Plaques complementàries de senyals de reglamentació"
"C-14c","Plaques complementàries de senyals de reglamentació"
"C-15a","Plaques complementàries de senyals de reglamentació"
"C-15b","Plaques complementàries de senyals de reglamentació"
"C-15c","Plaques complementàries de senyals de reglamentació"
"C-15d","Plaques complementàries de senyals de reglamentació"
"C-1a","Plaques complementàries de senyals de reglamentació"
"C-1b","Plaques complementàries de senyals de reglamentació"
"C-1c","Plaques complementàries de senyals de reglamentació"
"C-2a","Plaques complementàries de senyals de reglamentació"
"C-2b","Plaques complementàries de senyals de reglamentació"
"C-2c","Plaques complementàries de senyals de reglamentació"
"C-2d","Plaques complementàries de senyals de reglamentació"
"C-2d2","Plaques complementàries de senyals de reglamentació"
"C-2e","Plaques complementàries de senyals de reglamentació"
"C-2f","Plaques complementàries de senyals de reglamentació"
"C-2g","Plaques complementàries de senyals de reglamentació"
"C-2h","Plaques complementàries de senyals de reglamentació"
"C-2i","Plaques complementàries de senyals de reglamentació"
"C-2j","Plaques complementàries de senyals de reglamentació"
"C-30a","Plaques genèriques d'una linia 30x12 Hb5"
"C-30b","Plaques genèriques d'una linia 30x12 Hb4"
"C-30c","Plaques genèriques d'una linia 45x12 Hb5"
"C-30d","Plaques genèriques d'una linia 45x12 Hb4"
"C-30e","Plaques genèriques d'una linia 50x12 Hb5"
"C-30f","Plaques genèriques d'una linia 50x12 Hb4"
"C-30g","Plaques genèriques d'una linia 60x12 Hb5"
"C-30h","Plaques genèriques d'una linia 60x12 Hb4"
"C-31a","Plaques genèriques de dues línies 45x20 Hb5"
"C-31b","Plaques genèriques de dues línies 45x30 Hb4"
"C-31c","Plaques genèriques de dues línies 50x20 Hb5"
"C-31d","Plaques genèriques de dues línies 50x20 Hb4"
"C-31e","Plaques genèriques de dues línies 60x20 Hb5"
"C-31f","Plaques genèriques de dues línies 60x20 Hb4"
"C-32a","Plaques genèriques de tres línies 45x20"
"C-32b","Plaques genèriques de tres línies 50x20"
"C-32c","Plaques genèriques de tres línies 60x20"
"C-32d","Plaques genèriques de tres línies 50x25"
"C-32e","Plaques genèriques de tres línies 60x25"
"C-32f","Plaques genèriques de tres línies 60x30"
"C-33a","Plaques genèriques de quatre línies 50x25"
"C-33b","Plaques genèriques de quatre línies 60x25"
"C-33c","Plaques genèriques de quatre línies 60x30"
"C-34a","Plaques genèriques de 30 cm d'alçada 30x"
"C-34b","Plaques genèriques de 30 cm d'alçada 30x20"
"C-34c","Plaques genèriques de 30 cm d'alçada 30x25"
"C-34d","Plaques genèriques de 30 cm d'alçada 30x30"
"C-3a","Plaques complementàries de senyals de reglamentació"
"C-3b","Plaques complementàries de senyals de reglamentació"
"C-3c","Plaques complementàries de senyals de reglamentació"
"C-3d","Plaques complementàries de senyals de reglamentació"
"C-3e","Plaques complementàries de senyals de reglamentació"
"C-3f","Plaques complementàries de senyals de reglamentació"
"C-3g","Plaques complementàries de senyals de reglamentació"
"C-4a","Plaques complementàries de senyals de reglamentació"
"C-4b","Plaques complementàries de senyals de reglamentació"
"C-4c","Plaques complementàries de senyals de reglamentació"
"C-5a","Plaques complementàries de senyals de reglamentació"
"C-5b","Plaques complementàries de senyals de reglamentació"
"C-5c","Plaques complementàries de senyals de reglamentació"
"C-5d","Plaques complementàries de senyals de reglamentació"
"C-5e","Plaques complementàries de senyals de reglamentació"
"C-5f","Plaques complementàries de senyals de reglamentació"
"C-5g","Plaques complementàries de senyals de reglamentació"
"C-5h","Plaques complementàries de senyals de reglamentació"
"C-5i","Plaques complementàries de senyals de reglamentació"
