"Tipus_ens","Nom_ens","Sindicat","Nombre de delegats","Nombre de persones que tenen dispensa d'assistència al treball","Hores autoritzades als delegats per a l'exercici de les seves funcions","Valoració en euros dels costos pel temps dedicat pels delegats a l'activitat sindical"
"ORGANISMES AUTÒNOMS","Institut Municipal d'Hisenda","Central Sindical Independent i de Funcionaris",0.0,0.0,"0","0"
"ORGANISMES AUTÒNOMS","Institut Municipal d'Informàtica","Central Sindical Independent i de Funcionaris",0.0,0.0,"0","0"
"ORGANISMES AUTÒNOMS","Institut Municipal de Mercats","Central Sindical Independent i de Funcionaris",0.0,0.0,"0","0"
"ORGANISMES AUTÒNOMS","Institut Municipal de Persones amb Discapacitat ","Central Sindical Independent i de Funcionaris",0.0,0.0,"0","0"
"ORGANISMES AUTÒNOMS","Institut Muncipal de Serveis Socials ","Central Sindical Independent i de Funcionaris",0.0,0.0,"0","0"
"ORGANISMES AUTÒNOMS","Institut Municipal d'Educació","Central Sindical Independent i de Funcionaris",0.0,0.0,"0","0"
"ORGANISMES AUTÒNOMS","Institut Barcelona Esports","Central Sindical Independent i de Funcionaris",0.0,0.0,"0","0"
"ORGANISMES AUTÒNOMS","Institut Municipal d'Urbanisme","Central Sindical Independent i de Funcionaris",0.0,0.0,"0","0"
"ORGANISMES AUTÒNOMS","Institut Municipal  del Paisatge Urbà i Qualitat de vida","Central Sindical Independent i de Funcionaris",0.0,0.0,"0","0"
"ENTITAS PÚBLIQUES EMPRESARIALS","Institut Municipal de Parcs i Jardins","Central Sindical Independent i de Funcionaris",0.0,0.0,"0","0"
"ENTITAS PÚBLIQUES EMPRESARIALS","Institut de Cultura de Barcelona","Central Sindical Independent i de Funcionaris",0.0,0.0,"0","0"
"ENTITAS PÚBLIQUES EMPRESARIALS","Institut Municipal de l'Habitatge i Rehabilitació","Central Sindical Independent i de Funcionaris",0.0,0.0,"0","0"
"ENTITAS PÚBLIQUES EMPRESARIALS","Fundació Mies Van der Rohe","Central Sindical Independent i de Funcionaris",0.0,0.0,"0","0"
"SOCIETATS MERCANTILS","SPM Barcelona Activa, SA","Central Sindical Independent i de Funcionaris",0.0,0.0,"0","0"
"SOCIETATS MERCANTILS","SPM Informació i Comunicació de Barcelona, SA","Central Sindical Independent i de Funcionaris",0.0,0.0,"0","0"
"SOCIETATS MERCANTILS","Barcelona Serveis Municipals  (BSM)","Central Sindical Independent i de Funcionaris",5.0,0.0,"200","3842"
"SOCIETATS MERCANTILS","Cementiris de Barcelona, SA","Central Sindical Independent i de Funcionaris",0.0,0.0,"0","0"
"SOCIETATS MERCANTILS","Parc Atraccions Tibidabo, SA","Central Sindical Independent i de Funcionaris",0.0,0.0,"0","0"
"SOCIETATS MERCANTILS","Mercabarna, SA","Central Sindical Independent i de Funcionaris",0.0,0.0,"0","0"
"SOCIETATS MERCANTILS","Tersa","Central Sindical Independent i de Funcionaris",0.0,0.0,"0","0"
"SOCIETATS MERCANTILS","Semesa","Central Sindical Independent i de Funcionaris",0.0,0.0,"0","0"
"SOCIETATS MERCANTILS","Siresa","Central Sindical Independent i de Funcionaris",0.0,0.0,"0","0"
"SOCIETATS MERCANTILS","BCN Insfraestructures Municipals SA","Central Sindical Independent i de Funcionaris",0.0,0.0,"0","0"
"SOCIETATS MERCANTILS","Foment de Ciutat, SA","Central Sindical Independent i de Funcionaris",0.0,0.0,"0","0"
"SOCIETATS MERCANTILS","Barcelona Cicle de l'Aigua, SA","Central Sindical Independent i de Funcionaris",0.0,0.0,"0","0"
"CONSORCIS","Consorci Institut d'Infància i Món Urbà","Central Sindical Independent i de Funcionaris",0.0,0.0,"0","0"
"CONSORCIS","Consorci Campus Universitari Diagonal-Besòs","Central Sindical Independent i de Funcionaris",0.0,0.0,"0","0"
"CONSORCIS","Agència de Salut Pública de Barcelona","Central Sindical Independent i de Funcionaris","","","",""
"CONSORCIS","Agència d'Ecologia Urbana de Barcelona","Central Sindical Independent i de Funcionaris",0.0,0.0,"0","0"
"CONSORCIS","Agència Local de l'Energia de Barcelona","Central Sindical Independent i de Funcionaris",0.0,0.0,"0","0"
"CONSORCIS","Consorci del Besós","Central Sindical Independent i de Funcionaris",0.0,0.0,"0","0"
"CONSORCIS","Consroci de Biblioteques de Barcelona","Central Sindical Independent i de Funcionaris",0.0,0.0,"0","0"
"CONSORCIS","Consorci d'Educació de Barcelona","Central Sindical Independent i de Funcionaris","","","",""
"CONSORCIS","Consorci del Mercat de les Flors/Centre de les Arts de Moviment","Central Sindical Independent i de Funcionaris",0.0,0.0,"0","0"
"CONSORCIS","Consorci Local Localret","Central Sindical Independent i de Funcionaris",0.0,0.0,"0","0"
"CONSORCIS","Consorci Museu de Ciències Naturals","Central Sindical Independent i de Funcionaris",0.0,0.0,"0","0"
"CONSORCIS","Consorci MACBA","Central Sindical Independent i de Funcionaris",0.0,0.0,"0","0"
"CONSORCIS","Consorci de l'Auditori i l'Orquestra ","Central Sindical Independent i de Funcionaris",0.0,0.0,"0","0"
"FUNDACIONS I ASSOCIACIONS","Fundació Barcelona Cultura","Central Sindical Independent i de Funcionaris",0.0,0.0,"0","0"
"FUNDACIONS I ASSOCIACIONS","Fundació Navegació Oceània de Barcelona","Central Sindical Independent i de Funcionaris",0.0,0.0,"0","0"
"FUNDACIONS I ASSOCIACIONS","Asociación Red Internacional de Ciudades Educadoras","Central Sindical Independent i de Funcionaris",0.0,0.0,"0","0"
"FUNDACIONS I ASSOCIACIONS","Red de Juderías de España, Caminos de Sefarad","Central Sindical Independent i de Funcionaris",0.0,0.0,"0","0"
"FUNDACIONS I ASSOCIACIONS","Carles Pi i Sunyer d'estudis autonòmics i locals","Central Sindical Independent i de Funcionaris",0.0,0.0,"0","0"
"ORGANISMES AUTÒNOMS","Institut Municipal d'Hisenda","Sindicato de Agentes de Policia Local",0.0,0.0,"0","0"
"ORGANISMES AUTÒNOMS","Institut Municipal d'Informàtica","Sindicato de Agentes de Policia Local",0.0,0.0,"0","0"
"ORGANISMES AUTÒNOMS","Institut Municipal de Mercats","Sindicato de Agentes de Policia Local",0.0,0.0,"0","0"
"ORGANISMES AUTÒNOMS","Institut Municipal de Persones amb Discapacitat ","Sindicato de Agentes de Policia Local",0.0,0.0,"0","0"
"ORGANISMES AUTÒNOMS","Institut Muncipal de Serveis Socials ","Sindicato de Agentes de Policia Local",0.0,0.0,"0","0"
"ORGANISMES AUTÒNOMS","Institut Municipal d'Educació","Sindicato de Agentes de Policia Local",0.0,0.0,"0","0"
"ORGANISMES AUTÒNOMS","Institut Barcelona Esports","Sindicato de Agentes de Policia Local",0.0,0.0,"0","0"
"ORGANISMES AUTÒNOMS","Institut Municipal d'Urbanisme","Sindicato de Agentes de Policia Local",0.0,0.0,"0","0"
"ORGANISMES AUTÒNOMS","Institut Municipal  del Paisatge Urbà i Qualitat de vida","Sindicato de Agentes de Policia Local",0.0,0.0,"0","0"
"ENTITAS PÚBLIQUES EMPRESARIALS","Institut Municipal de Parcs i Jardins","Sindicato de Agentes de Policia Local",0.0,0.0,"0","0"
"ENTITAS PÚBLIQUES EMPRESARIALS","Institut de Cultura de Barcelona","Sindicato de Agentes de Policia Local",0.0,0.0,"0","0"
"ENTITAS PÚBLIQUES EMPRESARIALS","Institut Municipal de l'Habitatge i Rehabilitació","Sindicato de Agentes de Policia Local",0.0,0.0,"0","0"
"ENTITAS PÚBLIQUES EMPRESARIALS","Fundació Mies Van der Rohe","Sindicato de Agentes de Policia Local",0.0,0.0,"0","0"
"SOCIETATS MERCANTILS","SPM Barcelona Activa, SA","Sindicato de Agentes de Policia Local",0.0,0.0,"0","0"
"SOCIETATS MERCANTILS","SPM Informació i Comunicació de Barcelona, SA","Sindicato de Agentes de Policia Local",0.0,0.0,"0","0"
"SOCIETATS MERCANTILS","Barcelona Serveis Municipals  (BSM)","Sindicato de Agentes de Policia Local",0.0,0.0,"0","0"
"SOCIETATS MERCANTILS","Cementiris de Barcelona, SA","Sindicato de Agentes de Policia Local",0.0,0.0,"0","0"
"SOCIETATS MERCANTILS","Parc Atraccions Tibidabo, SA","Sindicato de Agentes de Policia Local",0.0,0.0,"0","0"
"SOCIETATS MERCANTILS","Mercabarna, SA","Sindicato de Agentes de Policia Local",0.0,0.0,"0","0"
"SOCIETATS MERCANTILS","Tersa","Sindicato de Agentes de Policia Local",0.0,0.0,"0","0"
"SOCIETATS MERCANTILS","Semesa","Sindicato de Agentes de Policia Local",0.0,0.0,"0","0"
"SOCIETATS MERCANTILS","Siresa","Sindicato de Agentes de Policia Local",0.0,0.0,"0","0"
"SOCIETATS MERCANTILS","BCN Insfraestructures Municipals SA","Sindicato de Agentes de Policia Local",0.0,0.0,"0","0"
"SOCIETATS MERCANTILS","Foment de Ciutat, SA","Sindicato de Agentes de Policia Local",0.0,0.0,"0","0"
"SOCIETATS MERCANTILS","Barcelona Cicle de l'Aigua, SA","Sindicato de Agentes de Policia Local",0.0,0.0,"0","0"
"CONSORCIS","Consorci Institut d'Infància i Món Urbà","Sindicato de Agentes de Policia Local",0.0,0.0,"0","0"
