"DENOMINACIO CAMPANYA","CONCEPTE","MITJÀ","IMPORT"
"BARCELONA EXPAT WEEK 2020","MITJANS","EMISSORES DE RÀDIO",0.0
"BARCELONA EXPAT WEEK 2020","MITJANS","EXTERIOR",0.0
"BARCELONA EXPAT WEEK 2020","MITJANS","TELEVISIÓ",0.0
"BARCELONA EXPAT WEEK 2020","MITJANS","PROXIMITAT REVISTES",0.0
"REACTIVACIÓ ECONÒMICA 2020","MITJANS","PREMSA DIÀRIA",204996.66
"REACTIVACIÓ ECONÒMICA 2020","MITJANS","REVISTES",25371.59
"REACTIVACIÓ ECONÒMICA 2020","MITJANS","INTERNET",518123.66
"REACTIVACIÓ ECONÒMICA 2020","MITJANS","EMISSORES DE RÀDIO",239674.24
"REACTIVACIÓ ECONÒMICA 2020","MITJANS","EXTERIOR",44813.57
"REACTIVACIÓ ECONÒMICA 2020","MITJANS","TELEVISIÓ",349178.62
"REACTIVACIÓ ECONÒMICA 2020","MITJANS","PROXIMITAT REVISTES",5572.97
"BICING 2020","MITJANS","PREMSA DIÀRIA",0.0
"BICING 2020","MITJANS","REVISTES",0.0
"BICING 2020","MITJANS","INTERNET",0.0
"BICING 2020","MITJANS","EMISSORES DE RÀDIO",0.0
"BICING 2020","MITJANS","EXTERIOR",15777.19
"BICING 2020","MITJANS","TELEVISIÓ",0.0
"BICING 2020","MITJANS","PROXIMITAT REVISTES",0.0
"BIENNAL DEL PENSAMENT 2020","MITJANS","PREMSA DIÀRIA",42699.25
"BIENNAL DEL PENSAMENT 2020","MITJANS","REVISTES",26744.24
"BIENNAL DEL PENSAMENT 2020","MITJANS","INTERNET",51836.77
"BIENNAL DEL PENSAMENT 2020","MITJANS","EMISSORES DE RÀDIO",25616.93
"BIENNAL DEL PENSAMENT 2020","MITJANS","EXTERIOR",3192.14
"BIENNAL DEL PENSAMENT 2020","MITJANS","TELEVISIÓ",12820.57
"BIENNAL DEL PENSAMENT 2020","MITJANS","PROXIMITAT REVISTES",1887.6
"BONUS CULTURA 2020","MITJANS","PREMSA DIÀRIA",6530.46
"BONUS CULTURA 2020","MITJANS","REVISTES",38446.58
"BONUS CULTURA 2020","MITJANS","INTERNET",25625.25
"BONUS CULTURA 2020","MITJANS","EMISSORES DE RÀDIO",0.0
"BONUS CULTURA 2020","MITJANS","EXTERIOR",0.0
"BONUS CULTURA 2020","MITJANS","TELEVISIÓ",0.0
"BONUS CULTURA 2020","MITJANS","PROXIMITAT REVISTES",0.0
"CARNAVAL 2020","MITJANS","PREMSA DIÀRIA",0.0
"CARNAVAL 2020","MITJANS","REVISTES",1058.75
"CARNAVAL 2020","MITJANS","INTERNET",0.0
"CARNAVAL 2020","MITJANS","EMISSORES DE RÀDIO",0.0
"CARNAVAL 2020","MITJANS","EXTERIOR",0.0
"CARNAVAL 2020","MITJANS","TELEVISIÓ",0.0
"CARNAVAL 2020","MITJANS","PROXIMITAT REVISTES",0.0
"CONVIVÈNCIA 2020","MITJANS","PREMSA DIÀRIA",39484.97
"CONVIVÈNCIA 2020","MITJANS","REVISTES",6471.48
"CONVIVÈNCIA 2020","MITJANS","INTERNET",88059.07
"CONVIVÈNCIA 2020","MITJANS","EMISSORES DE RÀDIO",34951.25
"CONVIVÈNCIA 2020","MITJANS","EXTERIOR",25123.0
"CONVIVÈNCIA 2020","MITJANS","TELEVISIÓ",0.0
"CONVIVÈNCIA 2020","MITJANS","PROXIMITAT REVISTES",0.0
"DEBATS BARCELONA METRÒPOLIS 2020","MITJANS","PREMSA DIÀRIA",15307.99
"DEBATS BARCELONA METRÒPOLIS 2020","MITJANS","REVISTES",0.0
"DEBATS BARCELONA METRÒPOLIS 2020","MITJANS","INTERNET",10869.73
"DEBATS BARCELONA METRÒPOLIS 2020","MITJANS","EMISSORES DE RÀDIO",0.0
"DEBATS BARCELONA METRÒPOLIS 2020","MITJANS","EXTERIOR",0.0
"DEBATS BARCELONA METRÒPOLIS 2020","MITJANS","TELEVISIÓ",0.0
"DEBATS BARCELONA METRÒPOLIS 2020","MITJANS","PROXIMITAT REVISTES",0.0
"DESCONFINAMENT - MESURES SEGURETAT","MITJANS","PREMSA DIÀRIA",43495.22
