"Organ Gestor","Núm Exp","Objecte ","Import  Adjudicat","Adjudicatari"
"TRACTAMENT I SELECCIÓ DE RESIDUS,S.A.","630","Anàliis jurídic implementació procés recuperació de fred (Ecoenergies)",8697.0,"J & A GARRIGUES, SLP"
"TRACTAMENT I SELECCIÓ DE RESIDUS,S.A.","2638,3981","Informe auditoria taller manteniment ",15944.51,"LIS SOLUTIONS, S.L."
"TRACTAMENT I SELECCIÓ DE RESIDUS,S.A.","2630","Informe auditoria qualitat subministrament BT fotovoltaiques",560.0,"TUV RHEINLAND IBERICA INS.CERT.TEST S.A."
"TRACTAMENT I SELECCIÓ DE RESIDUS,S.A.","3181","Informe Estudio del Grado de cumplimiento de las MTDS previa a la Inspección Integral de la Autorización Ambiental de la Planta de Valoración Energética",7931.66,"RECUPERACION DE ENERGIA. S.A.U"
"TRACTAMENT I SELECCIÓ DE RESIDUS,S.A.","2732","Informe canvi modalitat venda vapor",5508.1,"ENERGIA LOCAL, EMP. SERV. ENERGETICOS SL"
"TRACTAMENT I SELECCIÓ DE RESIDUS,S.A.","2862","Elaboració pla d'igualtat",1408.91,"PIMEC PETITA I MITJANA EMPRESA CAT"
"TRACTAMENT I SELECCIÓ DE RESIDUS,S.A.","2749","Honoraris Informe àmbit Territorial Activitat Comercialització Energia Elèctrica",4250.0,"IURISDIAGONAL, S.L.P."
"SELECTIVES METROPOLITANES, S.A.","1017","Estudi   impacte acùstic i informe canvi substancial planta envasos CTRM (25%)",2560.95,"DEPLAN, S.L."
"SELECTIVES METROPOLITANES, S.A.","1009, 1266","Elaboració  Pla d'Igualtat",2178.84,"PIMEC PETITA I MITJANA EMPRESA CAT"
"Barcelona Activa SAU SPM","815676","Elaboració d’un Cens d'oficines al Districte 22@",13794.0,"SOLUCIONS GEOGRÀFIQUES SCCL"
"Barcelona Activa SAU SPM","816872","Serveis de realització de l’estudi amb títol “Anàlisi de l’evolució de les polítiques de temps a Barcelona i Catalunya”",1815.0,"MONICA GELAMBI TORRELL"
"Barcelona Activa SAU SPM","816683","Serveis de realització d’un “Estudi d’InnoSeus, per a la identificació qualitativa de les seus d’innovació a la ciutat de Barcelona” (Exp. CM14-20)",16199.96,"LTC LAB SL (LEAD TO CHANGE)"
"Barcelona Activa SAU SPM","816895","Estudi d’identificació de noves realitats econòmiques en àmbits emergents, a partir de les capacitats tecnològiques en la Ciutat de Barcelona i la seva Regió Metropolitana (Exp. CM24-20)",17545.0,"CLUSTER DEVELOPMENT SL"
"Barcelona Activa SAU SPM","816894","Serveis de realització d’un “Estudi de Clusterització Urbana: Anàlisi de les Cadenes de Valor i Ubicació d’Agents i Empreses formalment clusteritzats en el Territori de Barcelona i la seva Àrea Metropolitana” (Exp. CM25-20)",16940.0,"ZERO FACTORY SL"
"Barcelona Activa SAU SPM","816596","Segon encàrrec per àrees geogràfiques a partir de l'informe de "" Valoració i interpretació dels resultats obtinguts de la 2a onada i comparació amb la 1a.""",2105.4,"SUMMA COMUNICACIO SL"
"CONSORCI DEL BESÒS","65/18","Estudi d'avaluació de la mobilitat generada PDU 3X",3267.0,"CINESI, CONSULTORIA DE TRANSPORT, SL"
"CONSORCI DEL BESÒS","55/18","Informe avaluació econòmica i sostenibilitat PDU",4356.0,"DUATIS ARQUITECTES, SLP"
"CONSORCI DEL BESÒS","55/20","Redacció de l’informe d’avaluació dels equipaments Barri Vallbona",4235.0,"MERCADE MARIMON MONTSERRAT"
"CONSORCI DEL BESÒS","65/20","Efectes Covid19 en la Biodiversitat Parc fluvial",2420.0,"LARRUY BRUSI JAVIER"
"CONSORCI DEL BESÒS","114/19","Redacció qualitat ambiental sòl riu Besòs",484.0,"FIESTAS CARRASQUER LAURA"
"CONSORCI DEL BESÒS","94/20","Serveis anàlisis riscos Front litoral i propostes",17635.75,"DAC ENVIRO, SL"
"CONSORCI DEL BESÒS","110/20","Redacció de l’informe de clausura de oficina 3X",2371.6,"ROMERO SILES FRANCESC"
"Agència d'Energia de Barcelona","20000046","Informes jurídics eficiència energètica",3388.0,"SINERGIA, ENERGIA, DRET, MEDI AMBIENT SLP"
"Agència d'Energia de Barcelona","20000043","Estudi cobertes fotovoltaiques",1815.0,"ARQUITECTURA CODI SCP"
"Agència d'Energia de Barcelona","20000021","Informe final Poliesportiu Camp del Ferro",4210.8,"ARMENGOL & ROS CONSULTORS I ASSOCIATS SLP"
"IMHAB","20/63","Esudi impacte ambiental edifici Mare de Déu de M. 5-11",4537.5,"Enginers Vibroacústis SL"
"IMHAB","20020","Estudi final impl sistema allotjaments tecnics",4537.5,"LA HIDRA COOPERATIVA, SCCL"
"IMHAB","2020088","Informe parc d'habitatge gestionat IMHAB",3025.0,"CELOBERT ARQUITECTURA INGENYERIA i URBAN. SCCL"
"IMHAB","2020128","Informe parc d'habitatge gestionat IMHAB",4719.0,"CELOBERT ARQUITECTURA INGENYERIA i URBAN. SCCL"
"CONSORCI DEL MUSEU D'ART CONTEMPORANI DE BARCELONA","50867","Estudi de viabilitat d'ocupació parcial de l'aparcament dels Àngels per l'ampliació del Macba",15125.0,"PCG Arquitectura e Ingenieria SLP"
"PARC D'ATRACCIONS TIBIDABO S.A.","2020PA0321ACCM","Estudi satisfacció treballadors 2020",3973.0,"OPEN MET S.L."
"PARC D'ATRACCIONS TIBIDABO S.A.","P18001159","Elaboració i seguiment pla mobilitat",6457.53,"INGENIERIA DE TRAFICO SL"
"FOMENT DE CIUTAT SA","F190000755","ESTUDI DETECCIÓ INFRAHABITATGE CARMEL (20%)",3509.0,"UNIVERSITAT POLITECNICA  CATAL"
"FOMENT DE CIUTAT SA","F200000351","ANÀLISI INFRAESTRUCTURES WIFI EQUIPAMENTS PDB",17669.03,"GERARD MUÑOZ MARTINEZ"
"FOMENT DE CIUTAT SA","F200000418","ESTUDI LOCALS DESÚS ZONA PDB",10769.0,"DEP INSTITUT, S.L."
"FOMENT DE CIUTAT SA","F200000482","ESTUDI PREDIAGNOSI EDIFICACIÓ RESIDENCIAL PDB 30%",14520.0,"UNIVERSITAT POLITECNICA  CATAL"
"FOMENT DE CIUTAT SA","F200000444","AVALUACIÓ PLA DE BARRIS 2020",14036.0,"IVÀLUA"
"CONSORCI MERCAT DE LES FLORS ","F200000079","ESTUDI IMPACTE ACUSTIC CIRC VOST",1331.0,"THE SOUNDWICH PROJECT SL"
"CONSORCI MERCAT DE LES FLORS ","F200000268","REDACCIO ESTUDI PREVI PER A ADEQUACIO TERRASSA MER",907.5,"LLIMOS VIDAL ROGER"
"CONSORCI MERCAT DE LES FLORS ","F200000270","ESTUDI ANALITICA WEB,AUDITORIA BOT-FRIENDLY",6969.6,"PEREZ FERNANDEZ DE CASTRO RICARDO"
"Fundació Privada Julio Muñoz Ramonet","20030","Informes jurírdics projecte FJMR",1089.0,"GAY-ROSELL& SOLANO, S.L.P."
"Institut Barcelona Esports","E200087","Estudi de creació d'un Hub d'Esports i Tecnologia",17545.0,"B82498650 - KPMG ASESORES SL"
"BARCELONA DE SERVEIS MUNICIPALS, SA","P20004056","Realització de l’informe quadrimestral basat en dades de Treball de Camp sobre l’evolució de la indisciplina d’estacionament a la ciutat de Barcelona segregant els resultats segons zones de la ciutat o de tipus de vehicle, entre d’altres.",3504.55,"BOSCH I GIMPERA "
"BARCELONA DE SERVEIS MUNICIPALS, SA","P20007761","Treball de Camp per l'estudi de l' avaluació d'un volum existent d'indisciplina en l'estacionament fora plaça a la Ciutat de Barcelona, per conèixer quin és el grau existent d'indisciplina i l'evolució del mateix.",1586.07,"HIGH REMARK"
"BARCELONA DE SERVEIS MUNICIPALS, SA","P20001176","ESTUDIO ERGONÓMICO GUILLOTINAS DE LA SABANA EN EL ZOO",1318.83,"QUIRON PREVENCION "
"BARCELONA DE SERVEIS MUNICIPALS, SA","P20007107","Estudi per a la realització de l´estimació d´uns vehicles estacionats als nostres aparcaments",790.0,"EUROVAL "
"IMEB","59/20","Avaluació resultats escola segona oportunitats",17569.2,"IVALUA- Inst cat avaluac polit publ"
"Institut Municipal de Mercats de Barcelona","354/19","Estudi sobre l'oferta comercial en entorns dels Mercats",1089.0,"RBD CONSULTING GROUP SL"
"Institut Municipal de Mercats de Barcelona","353/19","Estudi sobre caracterització dels mercats",1452.0,"GESPART S.L."
"Institut Municipal de Mercats de Barcelona","94/20","Estudi mobilitat nou Mercat Montserrat",5936.26,"DESARROLLO ORGANIZACION Y MOVILIDAD"
"Institut de Cultura de Barcelona","C200001267","Estudi impacte econòmic COVID-19",5898.75,"FUNDACIÓ EURECAT - G66210345"
