"dcAccrualPeriodicity","dcAccrualPolicy","dccontributor","dccontributorauthor","dccontributorother","dccoveragespatial","dccoveragetemporal","dccoveragevigencia","dcdatecreated","dcdateissued","dcdescription","dcdescriptionabstract","dcdescriptiontableofcontents","dcformat","dcformatextent","dcformatmimetype","dcidentifierBG","dcidentifierab","dcidentifiercitation","dcidentifierentitat","dcidentifiermandat","dcidentifieruri","dclanguage","dcpublisher","dcrelation","dcrelationhasversion","dcrelationisbasedon","dcrelationisbasisfor","dcrelationisreferencedby","dcrelationisrequiredby","dcrelationisversionof","dcrelationreferences","dcrights","dcrightsaccessrights","dcrightsholder","dcrightsnotes","dcrightsrightsHolder","dcrightsuri","dcsubject","dcsubjectcategory","dcsubjectforma","dcsubjectprogramme","dctitle","dctitlealternative","dctype","dctypedriver","Unnamed: 46"
"","","","Ajuntament de Barcelona","","Barcelona | Barcelona | Barcelona","2008 | 2009","","2009-06","2009","","","","application/pdf","92 p.","application/pdf","5089","","","","Mandat 2007-2011","http://hdl.handle.net/11703/86779","cat","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Planificació estratègica | Strategic planning | Planificación estratégica","Sector públic","informes d'avaluació i de seguiment","Programa d'Actuació Municipal (PAM) 2008-2011 (Barcelona)","Avaluació i seguiment del Programa d'Actuació Municipal 2008-2011: 1r semestre 2009","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","","Districte 4. Les Corts","","Barcelona. Districte 4. Les Corts | Barcelona. District 4. Les Corts | Barcelona. Distrito 4. Les Corts","2010 | 2011","","2011","2011","","","","application/pdf","237 p.","application/pdf","9071","","","districtes","Mandat 2007-2011","http://hdl.handle.net/11703/86813","cat","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Planificació estratègica | Política social | Política ambiental | Política econòmica | Ordenació del territori | Rehabilitació urbana | Desenvolupament urbà sostenible | Strategic planning | Social policy | Environmental policy | Economic policy | Regional planning | Urban renewal | Sustainable urban development | Planificación estratégica | Política social | Política ambiental | Política económica | Ordenación del territorio | Rehabilitación urbana | Desarrollo urbano sostenible","Sector públic","informes d'avaluació i de seguiment","Programa d'Actuació del Districte de Les Corts (PAD) 2008-2011 (Barcelona)","Informe final del Balanç del PAD de les Corts : (Programa d'Actuació del Districte) : 2010-2011","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","","Ajuntament de Barcelona","","Barcelona. Districte 10. Sant Martí | Barcelona. District 10. Sant Martí | Barcelona. Distrito 10. Sant Martí | 22@ (Barcelona) | 22@ (Barcelona) | 22@ (Barcelona)","2008","","2008-12","2008","","","","application/pdf","26 p.","application/pdf","3212","","","","Mandat 2007-2011","http://hdl.handle.net/11703/86822","eng","","http://hdl.handle.net/11703/86820 | http://hdl.handle.net/11703/86821","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Urbanisme | Infraestructures urbanes | Innovacions tecnològiques | City planning | Urban infrastructures | Technological innovations | Urbanismo | Infraestructuras urbanas | Innovaciones tecnológicas","Ciència i tecnologia","informes d'avaluació i de seguiment","22@Barcelona (Projecte)","Barcelona 22@ The district of Innovation: State of execution","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","","Agència de Salut Pública de Barcelona | Consorci Sanitari de Barcelona | Salvador, María | Juárez-Martínez, Olga | Artazcoz Lazcano, Lucía","","Barcelona | Barcelona | Barcelona","","","2017","2017","","","","application/pdf","79 p.","application/pdf","","","","","Mandat 2015-2019","http://hdl.handle.net/11703/115436","cat","Agència de Salut Pública de Barcelona","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","Agència de Salut Pública de Barcelona","","Agència de Salut Pública de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Salut pública | Educació sanitària | Public health | Health education | Salud pública | Educación sanitaria","Salut","informes d'avaluació i de seguiment | revistes i anuaris","","Programes de promoció de la salut en centres d'educació primària i secundària de Barcelona : avaluació. Curs 2015-16","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"","","","Direcció del Programa de Dona | Regidoria de Dona i Drets Civils | Àrea de Qualitat de Vida, Igualtat i Esports","","Barcelona | Barcelona | Barcelona","","","2012-10-16","2012","","","","application/pdf","50 p.","application/pdf","9947","","","","Mandat 2011-2015","http://hdl.handle.net/11703/88769","cat","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Prostitució | Tràfic de persones | Prostitution | Human trafficking | Prostitución | Trata de personas","Societat i benestar","informes als òrgans de govern | informes d'avaluació i de seguiment","Pla per a l'Abordatge Integral del Treball Sexual (Barcelona)","Estat d'execució i impacte de la mesura de govern :  actuacions de millora i nou impuls de l'Agència ABITS : informe","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other | info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","","Consorci d'Educació de Barcelona | Institut Municipal d'Educació (Barcelona) | Àrea de Cultura, Coneixement, Creativitat i Innovació | Regidoria d'Educació i Universitats","","Barcelona | Barcelona | Barcelona","","","2013-10-29","2013","Informe presentat al Consell Municipal del 29-10-2013, pel Regidor d'Educació i Universitats | Citat a la Gaseta Municipal de Barcelona, núm. 1 (10-01-2014)","","","application/pdf","12 p.","application/pdf","12514","","","consorcis | organismes autònoms","Mandat 2011-2015","http://hdl.handle.net/11703/90222","cat","Ajuntament de Barcelona","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Educació secundària obligatòria | Rendiment escolar | Aprenentatge | Política educativa | Mandatory Secondary education | Academic achievement | Learning | Educational policy | Educación Secundaria Obligatoria | Rendimiento académico | Aprendizaje | Política educatival","Educació","informes als òrgans de govern | informes d'avaluació i de seguiment","Pla de Suport a l'Alumnat d'ESO 2013 (Barcelona)","Informe avaluació del Pla de suport a l'alumnat de l'ESO : suport a l'estiu, èxit al setembre","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other | info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","","Ajuntament de Barcelona","","Barcelona. Districte 10. Sant Martí | Barcelona. District 10. Sant Martí | Barcelona. Distrito 10. Sant Martí | 22@ (Barcelona) | 22@ (Barcelona) | 22@ (Barcelona)","2008","","2008-12","2008","","","","application/pdf","26 p.","application/pdf","3210","","","","Mandat 2007-2011","http://hdl.handle.net/11703/86820","cat","","http://hdl.handle.net/11703/86821 | http://hdl.handle.net/11703/86822","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Urbanisme | Infraestructures urbanes | Innovacions tecnològiques | City planning | Urban infrastructures | Technological innovations | Urbanismo | Infraestructuras urbanas | Innovaciones tecnológicas","Ciència i tecnologia","informes d'avaluació i de seguiment","22@Barcelona (Projecte)","Barcelona 22@ el districte de la innovació : estat d'execució","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","","Fundació Jaume Bofill (Barcelona)","","Barcelona | Barcelona | Barcelona","2005 | 2006 | 2007 | 2008 | 2009 | 2010 | 2011","","2011","2011","","","","application/pdf","30 p.","application/pdf","13023","","","","Mandat 2003-2007 | Mandat 2007-2011","http://hdl.handle.net/11703/86807","cat","","","","","","","","","","Tots els drets reservats","info:eu-repo/semantics/embargoAccess","","L'Ajuntament de Barcelona no pot donar autorització sobre l'ús d'aquest document ni facilitar-ne còpies. La utilització i/o reproducció d'aquest document fora de l’àmbit municipal representa l'incompliment de la legislació vigent sobre propietat intel·lectual.","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Educació permanent | Política educativa | Continuing education | Educational policy | Educación permanente | Política educativa","Educació | Sector públic","informes d'avaluació i de seguiment","Programa Temps de Barri (Barcelona)","Informe de les avaluacions dels agents participants al programa 2005-2011","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"Anual","Oberta","","Sindicatura de Greuges de Barcelona","","Barcelona | Barcelona | Barcelona","2014","No","2015","2015","Podeu consultar la versió en català a: http://hdl.handle.net/11703/87763 | Informe presentat al Plenari del Consell Municipal","","","application/pdf","225 p.","application/pdf","","","","","Mandat 2011-2015","http://hdl.handle.net/11703/97500","spa","Ajuntament de Barcelona","http://hdl.handle.net/11703/87763","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Sindicatura de Greuges de Barcelona | Responsabilitat administrativa | Sindicatura de Greuges de Barcelona | Government liability | Sindicatura de Greuges de Barcelona | Responsabilidad del Estado","Societat i benestar","informes d'avaluació i de seguiment | informes als òrgans de govern | memòries","","Actividad de la Sindicatura de Greuges de Barcelona: Informe 2014","Informe al Plenario del Consejo Municipal sobre la actividad de la Sindicatura en 2014","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other | info:eu-repo/semantics/report | info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"","","","Consorci Sanitari de Barcelona | Agència de Salut Pública de Barcelona","","Poble Sec (Barcelona : Barri) | Poble Sec (Barcelona : Neighborhood) | Poble Sec (Barcelona : Barrio)","","","2009","2009","","","","application/pdf","48 p.","application/pdf","","","","","Mandat 2007-2011","http://hdl.handle.net/11703/88306","cat","Agència de Salut Pública de Barcelona","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","","Ajuntament de Barcelona | Agència de Salut Pública de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Indicadors de salut | Política sanitària | Health status indicators | Medical policy | Promoción de la salud | Política sanitaria","Salut","monografies | informes d'avaluació i de seguiment","Programa Salut als Barris (Barcelona)","Salut als barris : avaluació : el Poble Sec","","text","info:eu-repo/semantics/book | info:eu-repo/semantics/report",""
"","","","Direcció d'Inversions | Sector de Serveis Generals","","Barcelona | Barcelona | Barcelona","2004 | 2005 | 2006 | 2007","","2006-09","2006","Informe presentat a la consideració del Consell de Ciutat i Audiència Pública del 09-2006","","","application/pdf","16 p.","application/pdf","3166","","","","Mandat 2003-2007","http://hdl.handle.net/11703/86760","cat","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Política econòmica | Inversions públiques | Economic policy | Public investments | Política económica | Inversiones públicas","Economia | Sector públic","informes als òrgans de govern | informes d'avaluació i de seguiment","Programa d'Inversions Municipals 2004-2007 (Barcelona)","Balanç Programa d'Inversions : 2004-2007 : document provisional : informe","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other | info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","","Àrea de Qualitat de Vida, Igualtat i Esports","","Barcelona | Barcelona | Barcelona","","","2015-03-04","2015-03","Informe presentat i aprovat pel Consell Municipal del Poble Gitano de Barcelona en sessió plenària el 04-03-2015 | Podeu consultar la versió de lectura fàcil a: http://hdl.handle.net/11703/90210","","","application/pdf","92 p.","application/pdf","","","","","Mandat 2011-2015","http://hdl.handle.net/11703/102144","cat","","","http://hdl.handle.net/11703/90210","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Consell Municipal del Poble Gitano de Barcelona | Política social | Integració social | Gitanos | Consell Municipal del Poble Gitano de Barcelona | Social policy | Social integration | Romanies | Consell Municipal del Poble Gitano de Barcelona | Política social | Integración social | Gitanos","Societat i benestar","informes als òrgans de govern | informes d'avaluació i de seguiment","Estratègia Local amb el Poble Gitano de Barcelona 2012-2015","Estratègia local amb el poble gitano de Barcelona : informe","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other | info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","","Àrea de Drets Socials | Regidoria de Cicle de Vida, Feminismes i LGTBI","","Barcelona | Barcelona | Barcelona","2014","","2015-04-17","2015","Informe presentat a la Comissió de Drets Socials, Cultura i Esports de 17-04-2015","","","application/pdf","113 p.","application/pdf","","","","","Mandat 2015-2019","http://hdl.handle.net/11703/102123","cat","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Punts d'Informació i Atenció a les Dones (PIADs) | Servei d'Atenció, Recuperació i Acollida (SARA) | Servei telefònic d'atenció i protecció a les víctimes de la violència de gènere (ATENPRO) | Servei d'Atenció a Homes (SAH) | Violència envers les dones | Indicadors socials | Punts d'Informació i Atenció a les Dones (PIADs) | Servei d'Atenció, Recuperació i Acollida (SARA) | Servei telefònic d'atenció i protecció a les víctimes de la violència de gènere (ATENPRO) | Servei d'Atenció a Homes (SAH) | Violence against women | Social indicators | Punts d'Informació i Atenció a les Dones (PIADs) | Servei d'Atenció, Recuperació i Acollida (SARA) | Servei telefònic d'atenció i protecció a les víctimes de la violència de gènere (ATENPRO) | Servei d'Atenció a Homes (SAH) | Violencia contra las mujeres | Indicadores sociales","Societat i benestar","informes als òrgans de govern | informes d'avaluació i de seguiment","Pla Municipal per a la Igualtat d'Oportunitats Real i Efectiva entre Dones i Homes 2012-2015 (Barcelona)","Informe serveis municipals d'atenció per violència masclista 2014","Serveis municipals d’atenció per violència masclista depenents de la Direcció de Dona : Informe de l'any 2014","text","info:eu-repo/semantics/other | info:eu-repo/semantics/report | info:eu-repo/semantics/other | info:eu-repo/semantics/report",""
"","","","Oficina Municipal de Dades | Gabinet Tècnic de Programació | Gerència Municipal","","Barcelona | Barcelona | Barcelona","2015 | 2016 | 2017 | 2018 | 2019","Si","2019-03-29","2019-05-23","Podeu consultar la versió en català a: http://hdl.handle.net/11703/114178","","","application/pdf","12 p.","application/pdf","","","","","Mandat 2015-2019","http://hdl.handle.net/11703/114179","spa","","http://hdl.handle.net/11703/114178","","","","","","","","CC-BY","","","","","http://creativecommons.org/licenses/by/4.0/deed.ca","Serveis municipals | Política i govern | Política pública | Municipal services | Politics and government | Government policy | Servicios municipales | Política y gobierno | Política gubernamental","Sector públic","informes d'avaluació i de seguiment","","Seguimiento y evaluación de políticas y servicios municipales : estado de la cuestión y recopilación de actuaciones del mandato 2015-2019","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","","Agència de Salut Pública de Barcelona | Consorci Sanitari de Barcelona | Universitat Rovira i Virgili (Barcelona) | Medical Anthropology Research Center","","Barcelona | Barcelona | Barcelona","","","2017","2017","","","","application/pdf","86 p.","application/pdf","","","","","Mandat 2011-2015","http://hdl.handle.net/11703/108505","cat","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","","Agència de Salut Pública de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Drogoaddicció | Drug addiction | Drogadicción","Salut","informes d'avaluació i de seguiment","Pla d'Acció sobre Drogues de Barcelona 2013-2016","Avaluació qualitativa del Pla d'acció sobre Drogues de Barcelona 2013-16 : una avaluació centrada en els col·lectius","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","","Direcció del Programa de Dona | Regidoria de Dona i Drets Civils | Àrea de Qualitat de Vida, Igualtat i Esports","","Barcelona | Barcelona | Barcelona","2011 | 2012 | 2013","","2014-06-17","2014","Informe presentat a la Comissió de Qualitat de Vida, Igualtat, Joventut i Esports del 17-06-2014, per la Sra. Francina Vila i Valls  (Regidora de Dona i Drets Civils)","","","application/pdf","73 p.","application/pdf","17739","","","","Mandat 2011-2015","http://hdl.handle.net/11703/88715","eng","","http://hdl.handle.net/11703/89202 | http://hdl.handle.net/11703/88714","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Prostitució | Tràfic de persones | Prostitution | Human trafficking | Prostitución | Trata de personas","Societat i benestar","informes als òrgans de govern | informes d'avaluació i de seguiment","Pla per a l'Abordatge Integral del Treball Sexual (Barcelona)","2013 report on the state of implementation and impact of actions by the ABITS Agency in its comprehensive approach to prostitution and human trafficking for the purpose of sexual exploitation","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other | info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","","Regidoria de Feminismes i LGTBI | Departament de Transversalitat de Gènere | Gerència de Drets de Ciutadania, Participació i Transparència","","Barcelona | Barcelona | Barcelona","2016","","2016","2016","","","","application/pdf","27 p.","application/pdf","","","","","Mandat 2015-2019","http://hdl.handle.net/11703/109783","cat","Ajuntament de Barcelona","","","","","","","","","CC-BY-NC-SA","info:eu-repo/semantics/openAccess","","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by-nc-sa/4.0/deed.ca","Dones pobres | Treball precari | Igualtat entre els sexes | Política sanitària | Política laboral | Política de l'habitatge | Poor women | Precarious employment | Gender equality | Medical policy | Labor policy | Housing policy | Mujeres pobres | Trabajo precario | Igualdad de género | Política sanitaria | Política laboral | Política de vivienda","Societat i benestar","informes d'avaluació i de seguiment","Estratègia contra la Feminització de la Pobresa i la Precarietat a Barcelona 2016-2024 (Barcelona)","Primer informe de seguiment de l'Estratègia contra la Feminització de la Pobresa i la Precarietat (2016-2024) : informe 2016","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","","Àrea de Drets de Ciutadania, Cultura, Participació i Transparència | Gerència de Drets de Ciutadania, Participació i Transparència","","Barcelona | Barcelona | Barcelona","","","2018-02-16","2018-02-16","Podeu consultar la versió en català a: http://hdl.handle.net/11703/108295","","","application/pdf","24 p.","application/pdf","","","","","Mandat 2015-2019","http://hdl.handle.net/11703/114532","spa","","http://hdl.handle.net/11703/108295","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Islamofòbia | Drets civils | Islamophobia | Civil rights | Islamofobia | Derechos políticos y civiles","Sector públic","informes d'avaluació i de seguiment | mesures de govern","Pla de Lluita Contra la Islamofòbia 2015-2018 (Barcelona)","Plan municipal de Lucha contra la islamofobia : primer año de aplicación de la medida [versión presentación]","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"","","Barcelona","Agència de Salut Pública de Barcelona | Consorci Sanitari de Barcelona | Ariza, Carles | Casamitjana, Montserrat | Juárez-Martínez, Olga | Serral, Jaume | Vallverdú, Imma","","Barcelona | Barcelona | Barcelona","","","2017","2017","","","","application/pdf","60 p.","application/pdf","","","","","Mandat 2015-2019","http://hdl.handle.net/11703/115439","cat","Agència de Salut Pública de Barcelona","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","Agència de Salut Pública de Barcelona","","Agència de Salut Pública de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Salut pública | Educació sanitària | Public health | Health education | Salud pública | Educación sanitaria","Salut","informes d'avaluació i de seguiment | revistes i anuaris","Programa Salut i Escola (Barcelona)","Avaluació del Programa Salut i Escola, Barcelona. Curs escolar 2015-16","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
