"Tipus_despesa","Codi_Organic","Descripcio_organic","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"Despesa financera",104,"Gerència Municipal",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Despesa financera",201,"Acció Social i Ciutadania",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Despesa financera",201,"Qualitat de Vida, Igualtat i Esports / Drets Socials",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Despesa financera",301,"Medi Ambient",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Despesa financera",401,"Prevenció, Seguretat i Mobilitat / Seguretat i Prevenció",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Despesa financera",501,"Hàbitat Urbà / Ecologia Urbana",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Despesa financera",501,"Urbanisme i Infraestructures",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Despesa financera",502,"Medi Ambient",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Despesa financera",502,"Medi Ambient i Serveis Urbans",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Despesa financera",503,"Urbanisme",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Despesa financera",504,"Infraestructures i coordinació urbana / Mobilitat i infraestructures",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Despesa financera",601,"Ciutat Vella",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Despesa financera",602,"Eixample",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Despesa financera",603,"Sants-Montjuïc",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Despesa financera",604,"Les Corts",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Despesa financera",605,"Sarrià-St.Gervasi",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Despesa financera",606,"Gràcia",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Despesa financera",607,"Horta-Guinardó",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Despesa financera",608,"Nou Barris",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Despesa financera",609,"St. Andreu",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Despesa financera",610,"St. Martí",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Despesa financera",701,"Economia / Presidència i Economia",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
"Despesa financera",701,"Promoció econòmica",0.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Despesa financera",702,"Empresa i Ocupació / Ocupació, Empresa i Turisme",0.0,0.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Despesa financera",703,"Serveis Centrals",0.0,0.0,99.3,112.8,148.3,313.2,173.8,147.2,73.8,79.9
"Despesa financera",704,"Gerència turisme, comerç i mercats",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Despesa financera",801,"Cultura, Coneix., Creativ. i Innov. / Drets Ciutadania, Particip. i Transp.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Despesa financera",801,"Educació, Cultura i Benestar",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Despesa financera",9901,"Serveis Centrals",109.4,130.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Despesa financera",9902,"Serveis Centrals FEOSL",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Despesa total capítols 1 a 9",101,"Recursos",0.0,0.0,203.5,194.6,200.7,172.5,132.5,141.7,140.9,148.3
"Despesa total capítols 1 a 9",101,"Serveis generals i Coord. Territ.",175.0,174.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Despesa total capítols 1 a 9",102,"Recursos Humans i Organització",6.6,6.4,6.0,6.4,6.4,6.6,7.1,7.7,8.1,8.9
"Despesa total capítols 1 a 9",103,"Finances",28.5,26.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Despesa total capítols 1 a 9",104,"Gerència Municipal",4.6,3.4,3.0,3.9,10.4,8.9,4.3,8.3,89.0,83.7
"Despesa total capítols 1 a 9",201,"Acció Social i Ciutadania",112.8,118.4,0.0,0.0,0.0,0.0,0.0,0.0,361.8,0.0
"Despesa total capítols 1 a 9",201,"Qualitat de Vida, Igualtat i Esports / Drets Socials",0.0,0.0,177.6,185.4,194.5,239.8,360.8,341.3,0.0,365.5
"Despesa total capítols 1 a 9",301,"Medi Ambient",432.3,387.8,0.0,0.0,0.0,0.0,0.0,229.8,0.0,0.0
"Despesa total capítols 1 a 9",401,"Prevenció, Seguretat i Mobilitat / Seguretat i Prevenció",247.5,237.1,230.8,239.1,243.9,251.5,258.8,238.1,249.2,267.9
"Despesa total capítols 1 a 9",501,"Hàbitat Urbà / Ecologia Urbana",0.0,0.0,68.3,64.0,89.0,81.0,68.7,68.8,86.6,54.7
"Despesa total capítols 1 a 9",501,"Urbanisme i Infraestructures",71.3,58.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Despesa total capítols 1 a 9",502,"Medi Ambient",0.0,0.0,0.0,349.6,309.7,0.0,0.0,0.0,282.2,0.0
"Despesa total capítols 1 a 9",502,"Medi Ambient i Serveis Urbans",0.0,0.0,365.7,0.0,0.0,314.6,277.1,288.6,0.0,285.6
"Despesa total capítols 1 a 9",503,"Urbanisme",0.0,0.0,0.0,3.7,6.8,5.4,3.5,3.9,3.8,3.3
