"ANY","CONCEPTE","CODI_OPERACIÓ","TIPUS_OPERACIÓ","CODI_CAPÍTOL","NOM_CAPÍTOL","AJUNTAMENT_INDIVIDUAL","AGREGAT_NO_CONSOLIDAT","ELIMINACIÓ_ TRANSFERENCIES_INTERNES","TOTAL_CONSOLIDAT"
2017,"INGRESSOS","B","OPERACIONS DE CAPITAL",6,"VENDA D´INVERSIONS REALS",4021,4250,0,4250
2017,"INGRESSOS","B","OPERACIONS DE CAPITAL",7,"TRANSFERÈNCIES DE CAPITAL",15057,40737,-10015,30722
2017,"INGRESSOS","C","OPERACIONS FINANCERES",8,"ACTIUS FINANCERS",5000,5994,0,5994
2017,"INGRESSOS","C","OPERACIONS FINANCERES",9,"PASSIUS FINANCERS",205833,205833,0,205833
2017,"DESPESES","A","OPERACIONS CORRENTS",1,"DESPESES DE PERSONAL",374483,664785,0,664785
2017,"DESPESES","A","OPERACIONS CORRENTS",2,"DESP. BÉNS CORRENTS I SERVEIS",665063,1049660,-574,1049086
2017,"DESPESES","A","OPERACIONS CORRENTS",3,"DESPESES FINANCERES",22100,22856,0,22856
2017,"DESPESES","A","OPERACIONS CORRENTS",4,"TRANSFÈRENCIES CORRENTS",1076106,1195721,-610383,585338
2017,"DESPESES","A","OPERACIONS CORRENTS",5,"FONS DE CONTINGÈNCIA",13648,13746,0,13746
2017,"DESPESES","B","OPERACIONS DE CAPITAL",6,"INVERSIONS REALS",411879,441670,0,441670
2017,"DESPESES","B","OPERACIONS DE CAPITAL",7,"TRANSFERÈNCIES DE CAPITAL",17225,26940,-10015,16925
2017,"DESPESES","C","OPERACIONS FINANCERES",8,"ACTIUS FINANCERS",27955,31541,0,31541
2017,"DESPESES","C","OPERACIONS FINANCERES",9,"PASSIUS FINANCERS",127725,127752,0,127752
2018,"INGRESSOS","A","OPERACIONS CORRENTS",1,"IMPOSTOS DIRECTES",1074994,1074994,0,1074994
2018,"INGRESSOS","A","OPERACIONS CORRENTS",2,"IMPOSTOS INDIRECTES",76719,76719,0,76719
2018,"INGRESSOS","A","OPERACIONS CORRENTS",3,"TAXES I ALTRES INGRESSOS",270644,457346,-34247,423100
2018,"INGRESSOS","A","OPERACIONS CORRENTS",4,"TRANSFERÈNCIES CORRENTS",1084287,1760727,-628923,1131804
2018,"INGRESSOS","A","OPERACIONS CORRENTS",5,"INGRESSOS PATRIMONIALS",54224,61567,-17729,43839
2018,"INGRESSOS","B","OPERACIONS DE CAPITAL",6,"VENDA D´INVERSIONS REALS",101,13431,0,13431
2018,"INGRESSOS","B","OPERACIONS DE CAPITAL",7,"TRANSFERÈNCIES DE CAPITAL",39464,52619,-12170,40450
2018,"INGRESSOS","C","OPERACIONS FINANCERES",8,"ACTIUS FINANCERS",0,18165,0,18165
2018,"INGRESSOS","C","OPERACIONS FINANCERES",9,"PASSIUS FINANCERS",139525,139525,0,139525
2018,"DESPESES","A","OPERACIONS CORRENTS",1,"DESPESES DE PERSONAL",387544,692621,0,692621
2018,"DESPESES","A","OPERACIONS CORRENTS",2,"DESP. BÉNS CORRENTS I SERVEIS",672520,1095577,-29280,1066296
2018,"DESPESES","A","OPERACIONS CORRENTS",3,"DESPESES FINANCERES",16429,17134,0,17134
2018,"DESPESES","A","OPERACIONS CORRENTS",4,"TRANSFÈRENCIES CORRENTS",1095174,1220362,-634091,586271
2018,"DESPESES","A","OPERACIONS CORRENTS",5,"FONS DE CONTINGÈNCIA",38863,38961,0,38961
2018,"DESPESES","B","OPERACIONS DE CAPITAL",6,"INVERSIONS REALS",412821,440451,0,440451
2018,"DESPESES","B","OPERACIONS DE CAPITAL",7,"TRANSFERÈNCIES DE CAPITAL",20034,30428,-12170,18259
2018,"DESPESES","C","OPERACIONS FINANCERES",8,"ACTIUS FINANCERS",43715,65617,-17528,48089
