"dccontributorauthor","dccontributorother","dccoveragespatial","dccoveragevigencia","dcdatecreated","dcdateissued","dcdatevalidfinal","dcdatevalidinici","dcdescription","dcdescriptionLegislationChangedBy","dcdescriptionLegislationChanges","dcdescriptionsponsorship","dcdescriptiontableofcontents","dcformat","dcformatextent","dcformatmimetype","dcidentifierBG","dcidentifierab","dcidentifiercitation","dcidentifierentitat","dcidentifieruri","dclanguage","dcpublisher","dcrelation","dcrelationisbasedon","dcrelationisbasisfor","dcrelationisformatof","dcrelationisreferencedby","dcrelationisreplacedby","dcrelationisrequiredby","dcrelationreplaces","dcrelationrequires","dcrights","dcrightsaccessrights","dcrightsnotes","dcrightsrightsHolder","dcrightsuri","dcsubject","dcsubjectcategory","dcsubjectforma","dcsubjectprogramme","dctitle","dctitlealternative","dctype","dctypedriver","Unnamed: 45"
"Fundación Dieta Mediterránea","","","No","2011","2011","","","","Substituït pels Estatuts de la Fundación de la Dieta Mediterránea [2013 text no oficial] [http://hdl.handle.net/11703/88632]","","","","application/pdf","6 p.","application/pdf","","","","fundacions","http://hdl.handle.net/11703/106592","spa","","","","","","","http://hdl.handle.net/11703/88632","","","","CC-BY","info:eu-repo/semantics/openAccess","","Fundación Dieta Mediterránea","http://creativecommons.org/licenses/by/4.0/deed.ca","Fundación Dieta Mediterránea | Fundación Dieta Mediterránea | Fundación Dieta Mediterránea","Sector públic","estatuts","","Estatutos de la Fundación de la Dieta Mediterránea [2011 text no oficial]","","text","info:eu-repo/semantics/other",""
"Associació Observatori de les Dones en els Mitjans de Comunicació","","","Si","2008-10-02","2009-01-31","","","Aprovats per la Comissió de Cultura, Educació i Benestar Social de 02-10-2008","","","","","application/pdf","5 p.","application/pdf","16938","","Butlletí Oficial de la Província de Barcelona, núm.27 (31-01-2009)","associacions","http://hdl.handle.net/11703/88522","cat","","","","","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Associació Observatori de les Dones en els Mitjans de Comunicació | Associació Observatori de les Dones en els Mitjans de Comunicació | Associació Observatori de les Dones en els Mitjans de Comunicació","Sector públic","estatuts","","Estatuts de l'Associació Observatori de les Dones en els Mitjans de Comunicació [2008]","","text","info:eu-repo/semantics/other",""
"Institut d'Estudis Regionals i Metropolitans de Barcelona","","","No","2000-07-17","2001-04-26","","2001-04-27","Aprovats pel Consell de Govern de l'Institut d'Estudis Metropolitans de Barcelona de 17-07-2000 | Canvi de nom. Fins aleshores: Consorci d'Institut d'Estudis Metropolitans de Barcelona","Substituït pels Estatuts del Consorci Institut d'Estudis Regionals i Metropolitans de Barcelona [2006 text refós] [http://hdl.handle.net/11703/88578]","","","","application/pdf","2 p.","application/pdf","","","Butlletí Oficial de la Província de Barcelona, núm. 100 (26-04-2001)","consorcis","http://hdl.handle.net/11703/106121","cat","","","","","","","http://hdl.handle.net/11703/88578","","","","Domini públic","info:eu-repo/semantics/openAccess","","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Institut d'Estudis Regionals i Metropolitans de Barcelona | Institut d'Estudis Regionals i Metropolitans de Barcelona | Institut d'Estudis Regionals i Metropolitans de Barcelona","Sector públic","estatuts","","Estatuts del Consorci Institut d'Estudis Regionals i Metropolitans de Barcelona [2000 text refós]","","text","info:eu-repo/semantics/other",""
"Consorci del Parc de Recerca Biomèdica de Barcelona","","","Si","2005-06-26","2005-09-27","","","Aprovats pel Govern de la Generalitat el 26-06-2005","Substituït pels Estatuts del Consorci del Parc de Recerca Biomèdica de Barcelona [2015 text refós] [http://hdl.handle.net/11703/106104]","","","","application/pdf","6 p.","application/pdf","5641","","Diari Oficial de la Generalitat de Catalunya, núm. 4477 (27-09-2005)","consorcis","http://hdl.handle.net/11703/88572","cat","","","","","","","http://hdl.handle.net/11703/106104","","","","Domini públic","info:eu-repo/semantics/openAccess","","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Consorci del Parc de Recerca Biomèdica de Barcelona | Consorci del Parc de Recerca Biomèdica de Barcelona | Consorci del Parc de Recerca Biomèdica de Barcelona","Sector públic","estatuts","","Estatuts del Consorci del Parc de Recerca Biomèdica de Barcelona [2005]","","text","info:eu-repo/semantics/other",""
"Pla Estratègic Metropolità de Barcelona. Associació","","","No","2002-03-18","2002","","","Aprovats pel Consell General de 18-03-2002","Substituït pels Estatuts de l'Associació Pla Estratègic Metropolità de Barcelona [2007 text no oficial] [http://hdl.handle.net/11703/106402]","","","","application/pdf","12 p.","application/pdf","","","","associacions","http://hdl.handle.net/11703/106420","cat","","","","","Reproducció digital del document en suport original","","http://hdl.handle.net/11703/106402","","","","CC-BY","info:eu-repo/semantics/openAccess","","Pla Estratègic Metropolità de Barcelona. Associació","http://creativecommons.org/licenses/by/4.0/deed.ca","Pla Estratègic Metropolità de Barcelona. Associació | Pla Estratègic Metropolità de Barcelona. Associació","Sector públic","estatuts | documents digitalitzats","","Estatuts de l'Associació Pla Estratègic Metropolità de Barcelona [2002 text no oficial]","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Fundació Julio Muñoz Ramonet","","","Si","2013-07-17","2013-07-30","","","Aprovats pel Plenari del Consell Municipal de 28-06-2013 | Correccions d'errades aprovades pel Plenari del Consell Municipal de 28-02-2014","","Substitueix els Estatuts de l'any 1999. Podeu consultar la versió no oficial a: http://hdl.handle.net/11703/88613","","","application/pdf","7 p.","application/pdf","11607 | 13481","","Butlletí Oficial de la Província de Barcelona (30-07-2013) Correccions d'errades: Butlletí Oficial de la Província de Barcelona (17-04-2014)","fundacions","http://hdl.handle.net/11703/86746","cat","","","","","","","","","http://hdl.handle.net/11703/88613","","Domini públic","info:eu-repo/semantics/openAccess","","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Fundació Julio Muñoz Ramonet | Fundació Julio Muñoz Ramonet | Fundació Julio Muñoz Ramonet","Sector públic","estatuts","","Estatuts de la Fundació Julio Muñoz Ramonet [2013 text refós]","","text","info:eu-repo/semantics/other",""
"Institut de Prestacions d’Assistència Mèdica al Personal Municipal (Barcelona)","","","No","2002-10-29","2003","","","Aprovació inicial per la Comissió Permanent del Consorci Sanitari de Barcelona de 11-07-2002 | Aprovació definitiva per la Comissió Permanent del Consorci Sanitari de Barcelona de 29-10-2002 | Podeu consultar la versió publicada al Diari Oficial de la Generalitat de Catalunya a: http://hdl.handle.net/11703/102470","","","","","application/pdf","12 p.","application/pdf","","","","consorcis | consorcis","http://hdl.handle.net/11703/106439","cat","","http://hdl.handle.net/11703/102470","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Institut de Prestacions d’Assistència Mèdica al Personal Municipal (Barcelona)","http://creativecommons.org/licenses/by/4.0/deed.ca","Institut de Prestacions d’Assistència Mèdica al Personal Municipal (Barcelona) | Institut de Prestacions d’Assistència Mèdica al Personal Municipal (Barcelona) | Institut de Prestacions d’Assistència Mèdica al Personal Municipal (Barcelona)","Sector públic","estatuts","","Estatuts de l’Institut de Prestacions d’Assistència Mèdica al Personal Municipal (PAMEM) [2002 text no oficial]","","text","info:eu-repo/semantics/other",""
"Tractament i Selecció de Residus, S.A. (TERSA)","","","Si","2016-12-09","2016","","","Aprovats per la Junta General Extraordinària d'Accionistes de la Societat de 09-12-2016 | Podeu consultar la versió publicada al Butlletí Oficial de la Província de Barcelona a: http://hdl.handle.net/11703/102479","","Substitueix els Tractament i Selecció de Residus, S.A. (TERSA) [2008 text no oficial] [http://hdl.handle.net/11703/85337]","","","application/pdf","11 p.","application/pdf","","","","societats mercantils","http://hdl.handle.net/11703/106440","cat","","http://hdl.handle.net/11703/102479","","","Reproducció digital del document en suport original","","","","http://hdl.handle.net/11703/85337","","CC-BY","info:eu-repo/semantics/openAccess","","Tractament i Selecció de Residus, S.A. (TERSA)","http://creativecommons.org/licenses/by/4.0/deed.ca","Tractament i Selecció de Residus, S.A. (TERSA) | Tractament i Selecció de Residus, S.A. (TERSA) | Tractament i Selecció de Residus, S.A. (TERSA)","Sector públic","estatuts | documents digitalitzats","","Estatuts de Tractament i Selecció de Residus, S.A. (TERSA)  [2016 text refós no oficial]","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Consorci Universitat Internacional Menéndez Pelayo de Barcelona - Centre Ernest Lluch","","","","2002-01-17","2002-03-01","","","Aprovada pel Consell General del Consorci Universitat Internacional Menéndez Pelayo de Barcelona - Centre Ernest Lluch de 17-01-2002","","Modifica els Estatuts del Consorci Universitat Internacional Menéndez Pelayo de Barcelona - Centre Ernest Lluch [1997] [http://hdl.handle.net/11703/106126]","Digitalitzat pel SEDAC","","application/pdf","5 p.","application/pdf","17342","","Butlletí Oficial de la Província de Barcelona, núm. 52 (01-03-2002)","consorcis","http://hdl.handle.net/11703/88589","cat","","","","","Reproducció digital del document en suport original","","","","","http://hdl.handle.net/11703/106126","Domini públic","info:eu-repo/semantics/openAccess","","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Consorci Universitat Internacional Menéndez Pelayo de Barcelona - Centre Ernest Lluch | Consorci Universitat Internacional Menéndez Pelayo de Barcelona - Centre Ernest Lluch | Consorci Universitat Internacional Menéndez Pelayo de Barcelona - Centre Ernest Lluch","Sector públic","estatuts | documents digitalitzats","","Estatuts del Consorci Universitat Internacional Menéndez Pelayo de Barcelona - Centre Ernest Lluch [1997] : modificació [2002-01-17]","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Agència d'Ecologia Urbana de Barcelona","","","No","2012-10-11","2013-04-30","","","Aprovats per l’Assemblea General de l'Agència d’Ecologia Urbana de Barcelona de 11-10-2012 | Ratificat pel Plenari del Consell Municipal de l'Ajuntament de Barcelona de 01-02-2013 | El Text refós inclou la modificació de 01-02-2013","Substituït pels Estatuts de l'Agència d'Ecologia Urbana de Barcelona [2015 text refós]  [http://hdl.handle.net/11703/85201]","Substitueix els Estatuts de l'Agència d'Ecologia Urbana de Barcelona [2011 text refós] [http://hdl.handle.net/11703/89168]","","","application/pdf","11 p.","application/pdf","11122","","Butlletí Oficial de la Província de Barcelona (30-04-2013)","consorcis","http://hdl.handle.net/11703/88518","cat","","","","","","","http://hdl.handle.net/11703/85201","","http://hdl.handle.net/11703/89168","","Domini públic","info:eu-repo/semantics/openAccess","","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Agència d'Ecologia Urbana de Barcelona | Agència d'Ecologia Urbana de Barcelona | Agència d'Ecologia Urbana de Barcelona","Sector públic","estatuts","","Estatuts de l'Agència d'Ecologia Urbana de Barcelona [2013 text refós]","","text","info:eu-repo/semantics/other",""
"Consorci de les Drassanes Reials i Museu Marítim de Barcelona","","","Si","2015-12-29","2016-01-15","","2016-01-16","Aprovats pel Plenari del Consell Municipal de 29-12-2015","","Substitueix els Estatuts del Consorci de les Drassanes Reials i Museu Marítim de Barcelona [2003] [http://hdl.handle.net/11703/88556]","","","application/pdf","19 p.","application/pdf","","","Butlletí Oficial de la Província de Barcelona (15-01-2016)","consorcis","http://hdl.handle.net/11703/106107","cat","","","","","","","","","http://hdl.handle.net/11703/88556","","Domini públic","info:eu-repo/semantics/openAccess","","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Consorci de les Drassanes Reials i Museu Marítim de Barcelona | Consorci de les Drassanes Reials i Museu Marítim de Barcelona | Consorci de les Drassanes Reials i Museu Marítim de Barcelona","Sector públic","estatuts","","Estatuts del Consorci de les Drassanes Reials i Museu Marítim de Barcelona [2015 text refós]","","text","info:eu-repo/semantics/other",""
"Parc d'Atraccions del Tibidabo, S.A.","","Barcelona. Districte 5. Sarrià-Sant Gervasi | Barcelona. Distrito 5. Sarrià-Sant Gervasi | Barcelona. District 5. Sarrià-Sant Gervasi | Tibidabo, Parc d'atraccions (Barcelona) | Tibidabo, Parque de atracciones (Barcelona) | Tibidabo, Amusement park (Barcelona)","Si","2019-05-03","2019-05-23","","2019-05-24","Aprovats pel plenari del Consell Municipal de 03-05-2019 | Basat en la instrucció relativa a la descentralització funcional i als mitjans propis de l'Ajuntament de Barcelona [http://hdl.handle.net/11703/110771]","","Modifica els Estatuts del Parc d'Atraccions del Tibidabo, S.A. [2008] [http://hdl.handle.net/11703/85209]","","","application/pdf","2 documents","application/pdf","","","Butlletí Oficial de la Província de Barcelona (23-05-2019) | Gaseta Municipal de Barcelona (24-05-2019)","societats mercantils","http://hdl.handle.net/11703/114175","cat","","","http://hdl.handle.net/11703/110771","","","","","http://hdl.handle.net/11703/85209","","","Domini públic","info:eu-repo/semantics/openAccess","","Ajutament de Barcelona","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Parc d'Atraccions del Tibidabo, S.A. | Parc d'Atraccions del Tibidabo, S.A. | Parc d'Atraccions del Tibidabo, S.A.","Sector públic","estatuts","","Estatuts del Parc d'Atraccions del Tibidabo, S.A. [2008] : modificació [2019-05-03]","","text","info:eu-repo/semantics/other",""
"Fundació Museu Picasso de Barcelona","","","Si","2012-12-21","2013-01-21","","","Aprovats pel Plenari del Consell Municipal de 21-12-2012 | Podeu consultar-ne una altra versió a: http://hdl.handle.net/11703/106579","","","","","application/pdf","11 p.","application/pdf","10369","","Butlletí Oficial de la Província de Barcelona (21-01-2013)","fundacions","http://hdl.handle.net/11703/88614","cat","","http://hdl.handle.net/11703/106579","","","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Fundació Museu Picasso de Barcelona | Fundació Museu Picasso de Barcelona | Fundació Museu Picasso de Barcelona","Sector públic","estatuts","","Estatuts de la Fundació Museu Picasso [2012]","","text","info:eu-repo/semantics/other",""
"Fundació Museu Picasso de Barcelona","","","","2013-06-23","2013","","","Acta notarial, 26 de setembre de 2013, dóna fe el notari Don Lluís Jou i Mirabent","","Modifica els Estatuts de la Fundació Museu Picasso [2012 text no oficial] [http://hdl.handle.net/11703/106579]","","","application/pdf","9 p.","application/pdf","","","","fundacions | fundacions","http://hdl.handle.net/11703/106580","cat","","","","","Reproducció digital del document en suport original","","","http://hdl.handle.net/11703/106579","","","CC-BY","info:eu-repo/semantics/openAccess","","Fundació Museu Picasso de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Fundació Museu Picasso de Barcelona | Fundació Museu Picasso de Barcelona | Fundació Museu Picasso de Barcelona","Sector públic","estatuts | documents digitalitzats","","Estatuts de la Fundació Museu Picasso [2012 text no oficial] : modificació [2013-06-23]","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Xarxa Audiovisual Local, S.L.","","","Si","2012-10-25","2012-12-10","","2012-12-11","Aprovats pel Ple de la Diputació de Barcelona de 25-10-2012","","","","","application/pdf","5 p.","application/pdf","","","Butlletí Oficial de la Província de Barcelona (10-12-2012)","societats mercantils","http://hdl.handle.net/11703/106128","cat","","","","","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Xarxa Audiovisual Local, S.L. | Xarxa Audiovisual Local, S.L. | Xarxa Audiovisual Local, S.L.","Sector públic","estatuts","","Estatuts de la Xarxa Audiovisual Local, S.L. [2012]","","text","info:eu-repo/semantics/other",""
"Autoritat del Transport Metropolità","","","Si","2002-05-28","2002-06-07","","","Aprovats per Decret 151/2002 de 28-05-2002 | Podeu consultar-ne una altra versió amb les modificacions incloses a: http://hdl.handle.net/11703/106098","Modificats per Decret 288/2004 de 11-05-2004 [http://hdl.handle.net/11703/88544] | Modificats per Decret 97/2005 de 31-05-2005 [http://hdl.handle.net/11703/86737] | Substituït pels Estatuts del Consorci Autoritat del Transport Metropolità [2017 text refós] [http://hdl.handle.net/11703/106110]","","","","application/pdf","4 p.","application/pdf","5582","","Diari Oficial de la Generalitat de Catalunya, núm. 3652 (07-06-2002)","consorcis","http://hdl.handle.net/11703/88543","cat","","http://hdl.handle.net/11703/106098","","","","","http://hdl.handle.net/11703/106110","","","http://hdl.handle.net/11703/88544 | http://hdl.handle.net/11703/86737","Domini públic","info:eu-repo/semantics/openAccess","","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Autoritat del Transport Metropolità | Autoritat del Transport Metropolità | Autoritat del Transport Metropolità","Sector públic","estatuts","","Estatuts del Consorci Autoritat del Transport Metropolità [2002]","","text","info:eu-repo/semantics/other",""
"BCN Emprèn, S.C.R., S.A.","","","No","2000-06-02","2000","2010","","Aprovats per la Junta General d'Accionistes | Acta notarial, 2000, dóna fe el notari Don Miquel Tarragona Coromina","Substituït pels Estatutos de BCN Emprèn SCR, SA [2006 text no oficial] [http://hdl.handle.net/11703/106432]","","","","application/pdf","7 p.","application/pdf","17735","","","societats mercantils","http://hdl.handle.net/11703/88534","cat","","","","","Reproducció digital del document en suport original","","http://hdl.handle.net/11703/106432","","","","CC-BY","info:eu-repo/semantics/openAccess","","BCN Emprèn","http://creativecommons.org/licenses/by/4.0/deed.ca","BCN Emprèn, S.C.R., S.A. | BCN Emprèn, S.C.R., S.A. | BCN Emprèn, S.C.R., S.A.","Sector públic","estatuts | documents digitalitzats","","Estatuts de BCN Emprèn SCR, SA [2000 text no oficial]","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Associació City Protocol Society","","","Si","2013-10-18","2013","","","Aprovats pel Plenari del Consell Municipal de 18-10-2013 | Podeu consultar la versió publicada al Butlletí Oficial de la Província de Barcelona a: http://hdl.handle.net/11703/88527 | Podeu consultar la versió en català a: http://hdl.handle.net/11703/106394","","","","","application/pdf","31 p.","application/pdf","","","","associacions","http://hdl.handle.net/11703/106395","eng","","http://hdl.handle.net/11703/88527 | http://hdl.handle.net/11703/106394","","","Reproducció digital del document en suport original","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Associació City Protocol Society","http://creativecommons.org/licenses/by/4.0/deed.ca","Associació City Protocol Society | Associació City Protocol Society | Associació City Protocol Society","Sector públic","estatuts | documents digitalitzats","","Statutes of the City Protocol Society [2013 text no oficial]","Bylaws of the City Protocol Society [2013 text no oficial]","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Fundació Privada Ulls del Món","","","No","2004","2004","","","Acta notarial, 2004, dóna fe el notari Don José-Javier Cuevas Castaño | Podeu consultar l'acord d'adhesió de l'Ajuntament com a Patró d'aquesta Fundació a: http://hdl.handle.net/11703/110781","Substituït pels Estatuts de la Fundació Privada Ulls del Món [2006 text refós no oficial] [http://hdl.handle.net/11703/106349]","","","","application/pdf","6 p.","application/pdf","","","","fundacions","http://hdl.handle.net/11703/106348","cat","","http://hdl.handle.net/11703/110781","","","Reproducció digital del document en suport original","","http://hdl.handle.net/11703/106349","","","","CC-BY","info:eu-repo/semantics/openAccess","","Fundació Privada Ulls del Món","http://creativecommons.org/licenses/by/4.0/deed.ca","Fundació Privada Ulls del Món | Fundació Privada Ulls del Món | Fundació Privada Ulls del Món","Sector públic","estatuts | documents digitalitzats","","Estatuts de la Fundació Privada Ulls del Món [2004 text no oficial]","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Consorci Institut Ramon Llull","","","Si","2014-02-28","2014-03-25","","","Aprovats pel Plenari del Consell Municipal el 28-02-2014 | Podeu consultar la versió publicada al Butlletí Oficial de la Província de Barcelona a: http://hdl.handle.net/11703/88581","","","","","application/pdf","11 p.","application/pdf","","","","consorcis","http://hdl.handle.net/11703/106204","cat","","http://hdl.handle.net/11703/88581","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Consorci Institut Ramon Llull","http://creativecommons.org/licenses/by/4.0/deed.ca","Consorci Institut Ramon Llull | Consorci Institut Ramon Llull | Consorci Institut Ramon Llull","Sector públic","estatuts","","Estatuts de l'Institut Ramon Llull [2014 text no oficial]","","text","info:eu-repo/semantics/other",""
"Foment de Ciutat Vella, S.A.","","","No","2000-02-23","2001-06-20","2014-08-09","","Aprovats pel Plenari del Consell Municipal de 23-02-2000","Substituït pels Estatuts Foment de Ciutat SA [2014] [ http://hdl.handle.net/11703/84017]","","","","application/pdf","5 p.","application/pdf","5812","","Butlletí Oficial de la Província de Barcelona, núm. 147 (20-06-2001)","societats mercantils | societats mercantils","http://hdl.handle.net/11703/88595","cat","","","","","","","http://hdl.handle.net/11703/84017","","","","Domini públic","info:eu-repo/semantics/openAccess","","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Foment de Ciutat Vella, S.A. | Foment de Ciutat Vella, S.A. | Foment de Ciutat Vella, S.A.","Sector públic","estatuts","","Estatuts de la societat Foment Ciutat Vella, SA [2000]","","text","info:eu-repo/semantics/other",""
"Patronato Municipal de la Vivienda de Barcelona","","","No","1958-03-28 | 1958-05-19","1958","1967","1958-05-20","Aprovats pel Plenari del Consell Municipal de 28-03-1958 | Aprovats per Decret de l'Alcaldia de 19-05-1958","Substituït pels Estatutos del Patrimonio Municipal de Vivienda de Barcelona [1967 text no oficial] [http://hdl.handle.net/11703/101532]","","Digitalitzat pel Patronat Municipal de l'Habitatge de Barcelona","","application/pdf","22 p.","application/pdf","","","","entitats públiques empresarials","http://hdl.handle.net/11703/101531","spa","","","","","Reproducció digital del document en suport original","","http://hdl.handle.net/11703/101532","","","","Domini públic","info:eu-repo/semantics/openAccess","","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Patronat Municipal de l'Habitatge de Barcelona | Patronat Municipal de l'Habitatge de Barcelona | Patronat Municipal de l'Habitatge de Barcelona","Habitatge | Sector públic","estatuts | documents digitalitzats","","Estatutos del Patronato Municipal de Vivienda de Barcelona [1958 text no oficial]","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Inversions Turístiques i Comercials 2009, S.A.","","","Si","2009-03-23","2009","","","Acta notarial, 23 de març de 2009,  dóna fe el notari D. José Serna Masià","","","","","application/pdf","11 p.","application/pdf","","","","consorcis","http://hdl.handle.net/11703/106137","cat","","","","","Reproducció digital del document en suport original","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Inversions Turístiques i Comercials 2009, S.A.","http://creativecommons.org/licenses/by/4.0/deed.ca","Inversions Turístiques i Comercials 2009, S.A. | Inversions Turístiques i Comercials 2009, S.A. | Inversions Turístiques i Comercials 2009, S.A.","Sector públic","estatuts | documents digitalitzats","","Estatuts de Inversions Turístiques i Comercials 2009, S.A. [2009 text no oficial]","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Consorci Mercat de les Flors","","","No","2006-12-22","2007","","","Aprovats pel Plenari del Consell Municipal de 22-12-2006 | Podeu consultar la versió publicada al Diari Oficial de la Generalitat de Catalunya a: http://hdl.handle.net/11703/88583","Substituïts pels Estatuts del Consorci Mercat de les Flors [2015 text no oficial] [http://hdl.handle.net/11703/106096]","","","","application/pdf","15 p.","application/pdf","","","","consorcis | consorcis","http://hdl.handle.net/11703/106201","cat","","http://hdl.handle.net/11703/88583","","","Reproducció digital del document en suport original","","http://hdl.handle.net/11703/106096","","","","CC-BY","info:eu-repo/semantics/openAccess","","Consorci Mercat de les Flors","http://creativecommons.org/licenses/by/4.0/deed.ca","Consorci Mercat de les Flors | Consorci Mercat de les Flors | Consorci Mercat de les Flors","Sector públic | Cultura i oci","estatuts | documents digitalitzats","","Estatuts del Consorci Mercat de les Flors/Centre de les Arts de Moviment [2006 text no oficial]","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Gran Teatre del Liceu. Fundació","","","No","1994-09-02","1994","","","Aprovats pel Patronat de la Fundació de 02-09-1994 | Acta notarial, 2 de setembre 1994, dóna fe el notari Robert Follia Camps","Substituït pels Estatuts de la Fundació del Gran Teatre del Liceu [2000 text no oficial] [http://hdl.handle.net/11703/106350]","","Digitalitzat pel SEDAC","","application/pdf","20 p.","application/pdf","17769","","","fundacions","http://hdl.handle.net/11703/88607","cat","","","","","Reproducció digital del document en suport original","","http://hdl.handle.net/11703/106350","","","","CC-BY","info:eu-repo/semantics/openAccess","","Gran Teatre del Liceu. Fundació","http://creativecommons.org/licenses/by/4.0/deed.ca","Gran Teatre del Liceu. Fundació | Gran Teatre del Liceu. Fundació | Gran Teatre del Liceu. Fundació","Sector públic","estatuts | documents digitalitzats","","Estatuts de la Fundació del Gran Teatre del Liceu [1994 text no oficial]","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Barcelona d'Infraestructures Municipals, S.A.","","","Si","2004-07-21","2004","","","Aprovats pel Plenari del Consell Municipal de 21-07-2004 | Podeu consultar la versió publicada al Butlletí Oficial de la Província de Barcelona a: http://hdl.handle.net/11703/84100 | Canvi de nom. Fins aleshores: Infrastructures del Llevant de Barcelona, S.A.","","","","","application/pdf","12 p.","application/pdf","","","","societats mercantils","http://hdl.handle.net/11703/106435","cat","","http://hdl.handle.net/11703/84100","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Barcelona d'Infraestructures Municipals, S.A.","http://creativecommons.org/licenses/by/4.0/deed.ca","Barcelona d'Infraestructures Municipals, S.A. | Barcelona d'Infraestructures Municipals, S.A. | Barcelona d'Infraestructures Municipals, S.A.","Sector públic","estatuts","","Estatuts de Barcelona d'Infraestructures Municipals, S.A. [2004 text no oficial]","","text","info:eu-repo/semantics/other",""
"Mercabarna, S.A.","","","No","2006-06-26","2006","","","Aprovada per la Junta General Ordinària d'Accionistes de 26-06-2006 | Acta notarial, 26 de juny de 2006, dóna fe el notari Don Gonzalo Hernández Valdeolmillos","","Modifica els Estatutos de Mercabarna [1971 text no oficial] [http://hdl.handle.net/11703/106546]","","","application/pdf","3 p.","application/pdf","","","","societats mercantils | societats mercantils","http://hdl.handle.net/11703/106547","spa","","","","","Reproducció digital del document en suport original","","","http://hdl.handle.net/11703/106546","","","CC-BY","info:eu-repo/semantics/openAccess","","Mercabarna, S.A.","http://creativecommons.org/licenses/by/4.0/deed.ca","Mercabarna, S.A. | Mercabarna, S.A. | Mercabarna, S.A.","Sector públic","estatuts | documents digitalitzats","","Estatutos de Mercabarna [1971 text no oficial] : modificación [2006-06-26]","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Fundació Privada Laboral de Serveis Funeraris de Barcelona, S.A. | Cementiris de Barcelona, S.A.","","","Si","2009","2009","","","","","","","","application/pdf","15 p.","application/pdf","","","","fundacions | societats mercantils","http://hdl.handle.net/11703/106561","cat","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Fundació Privada de Serveis Funeraris de Barcelona, S.A. | Cementiris de Barcelona, S.A.","http://creativecommons.org/licenses/by/4.0/deed.ca","Cementiris de Barcelona, S.A. | Fundació Privada de Serveis Funeraris de Barcelona, S.A. | Cementiris de Barcelona, S.A. | Fundació Privada de Serveis Funeraris de Barcelona, S.A. | Cementiris de Barcelona, S.A.","Sector públic","estatuts","","Estatuts de la Fundació Privada Laboral Serveis Funeraris de Barcelona, S.A. i Cementiris de Barcelona, S.A. [2009 text no oficial]","","text","info:eu-repo/semantics/other",""
"Fundació Barcelona Olímpica","","","No","2008-11-04","2008","","","Aprovats pel Patronat de la Fundació el 04-11-2008 | Acta notarial, 4 de novembre de 2008, dóna fe el notari Don José-Javier Cuevas Castaño","Substituït pels Estatuts de la Fundació Barcelona Olímpica [2010 text no oficial] [http://hdl.handle.net/11703/106333]","","","","application/pdf","12 p.","application/pdf","","","","fundacions","http://hdl.handle.net/11703/106332","cat","","","","","Reproducció digital del document en suport original","","http://hdl.handle.net/11703/106333","","","","CC-BY","info:eu-repo/semantics/openAccess","","Fundació Barcelona Olímpica","http://creativecommons.org/licenses/by/4.0/deed.ca","Fundació Barcelona Olímpica | Fundació Barcelona Olímpica | Fundació Barcelona Olímpica","Sector públic","estatuts | documents digitalitzats","","Estatuts de la Fundació Barcelona Olímpica [2008 text no oficial]","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
