"Número registre","Òrgan gestor","Títol","Dotació econòmica directa","Data formalització","Data finalització","Entitats i organitzacions"
"C20000211","BARCELONA INFRAESTRUCTURES MUNICIPALS SA (BIMSA)","CONVENI ENTRE BIMSA I E-DISTRIBUCIÓN LÍNIES DE MITJA TENSIÓ PROJECTE EXECUTIU VAIRANT LÍNIES SUBTERRÀNIES AVINGUDA DIAGONAL CANTONADA PASSEIG DE SANT JOAN AL DISTRICTE DE L'EIXAMPLE",0.0,"02/12/2020","","EDISTRIBUCIÓN REDES DIGITALES, SL."
"C20000212","BARCELONA INFRAESTRUCTURES MUNICIPALS SA (BIMSA)","CONVENI ENTRE BIMSA I E-DISTRIBUCIÓN PROJECTE EXECUTIU MEMÒRIA AMBIENTAL PROJECTE INSTAL·LACIONS, CERTIFICACIÓ ENERGÈTICA I ESTUDI DE SEGURETAT I SALUT RESPECTE DE LES OBRES D'EDIFICACIÓ D'AMPLIACIÓ DE L'EQUIPAMENT EXISTENT DE LA PLAÇA SÓLLER AL DISTRICTE DE NOU BARRIS",0.0,"22/12/2020","","EDISTRIBUCIÓN REDES DIGITALES, SL."
"C20000213","GERENCIA DRETS SOCIALS","ADDENDA NÚMERO 1 CONVENI INTERADMINISTRATIU SIGNAT EL 21-12-19 ENTRE EL DEPARTAMENT PROMOCIÓ GENT GRAN I EL CONSORCI DE L'AUDITORI DE BARCELONA REALITZACIÓ CONCERT DE NADAL DE CANT CORAL DE LA GENT GRAN (CANTA GRAN!)",70000.0,"30/12/2020","","CONSORCI AUDITORI I ORQUESTRA"
"C20000214","GERENCIA DRETS SOCIALS","CONVENI MARC ENTRE L'AJUNTAMENT DE BARCELONA, L'INSTITUT MUNICIPAL DE SERVEIS SOCIALS I CREU ROJA A BARCELONA EN MATÈRIA D'ACCIÓ SOCIAL, COMUNITÀRIA I SOCIOSANITÀRIA A BARCELONA",0.0,"31/12/2020","31/12/2021","CREU ROJA A BARCELONA"
"C20000215","GERENCIA DRETS SOCIALS","CONVENI REGULADOR SUBVENCIÓ CONCEDIDA PER L'AJUNTAMENT DE BARCELONA A L'ENTITAT LAFEDE.CAT-ORGANITZACIONS PER A LA JUSTÍCIA GLOBAL PER A L'EXECUCIÓ DEL PROJECTE JUSTÍCIA GLOBAL: IMPULSAR PRÀCTIQUES COHERENTS AMB EL FEMINISME, L'ANTIRACISME I LA JUSTÍCIA AMBIENTAL A LES ORGANITZACIONS",195000.0,"30/12/2020","","LAFEDE-CAT-ORG JUSTICIA GLOBAL"
"C20000216","PROMOCIO ECONOMICA","ADDENDA AL CONVENI ENTRE L'AJUNTAMENT DE BARCELONA I LA UNIVERSITAT DE BARCELONA PER AL PLA DE TREBALL DE LA CÀTEDRA UB EN ECONOMIA URBANA CIUTAT DE BARCELONA-2020",20000.0,"30/12/2020","","UNIVERSITAT DE BARCELONA"
"C20000217","PROMOCIO ECONOMICA","CONVENI ENTRE L'AJUNTAMENT DE BARCELONA I L'ASSOCIACIÓ SENSE ÀNIM DE LUCRE SCITECH DIPLOHUB PER AL PROJECTE DE PROMOCIÓ ECONÒMICA INTERNACIONAL DE BARCELONA COM A CIUTAT DE CIÈNCIA I INNOVACIÓ 2020-2023",120000.0,"30/12/2020","31/12/2023","SCITECH DIPLOHUB"
"C20000218","PROMOCIO ECONOMICA","CONVENI ENTRE L'AJUNTAMENT DE BARCELONA, ESTUDIS D'HOTELERIA, TURISME CETT, SA. I LA FUNDACIÓ GASPAR ESPUÑA-CETT PER A LA CÀTEDRA UB DE TURISME, HOTELERIA I GASTRONOMIA CETT",55000.0,"09/12/2020","09/12/2024","ESTUDIS HOTELERIA I TURISME CETT, SA.; FUNDACIÓ GASPAR ESPUÑA-CETT"
"C20000219","GERENCIA DRETS SOCIALS","CONVENI REGULADOR DE LA SUBVENCIÓ CONCEDIDA PER L'AJUNTAMENT DE BARCELONA A L'ENTITAT PEN CATALÀ PER A L'EXECUCIÓ DEL PROJECTE PROGRAMA D'ACTIVITATS DE L'ESCRIPTOR ACOLLIT",26000.0,"30/12/2020","28/02/2021","PEN CATALÀ"
"C20000220","SALUT PUBLICA","CONVENI ENTRE L'AJUNTAMENT DE BARCELONA I EL CONSORCI SANITARI DE BARCELONA PER REGULAR LA SEVA COL.LABORACIÓ EN L'EXECUCIÓ I EL FINANÇAMENT DE PROGRAMES COMPLEMENTARIS PER A UNA ATENCIÓ INTEGRAL DELS SERVEIS SANITARIS DE LA CIUTAT",836588.3,"31/12/2020","","CONSORCI SANITARI DE BARCELONA"
"C20000221","GERENCIA DRETS SOCIALS","CONVENI REGULADOR DE LA SUBVENCIÓ CONCEDIDA PER L'AJUNTAMENT DE BARCELONA A L'ENTITAT FUNDACIÓ SOLIDARITAT UB PER A L'EXECUCIÓ DEL PROJECTE ""POTENCIANT SINÈRGIES PER AFRONTAR ELS REPTES PER A LA JUSTÍCIA GLOBAL DES DE LA UNIVERSITAT: EDUCACIÓ, RECERCA I ACCIÓ""",133000.0,"31/12/2020","","FUNDACIÓ SOLIDARITAT UB"
"C20000222","DISTRICTE DE ST. ANDREU","CONVENI ENTRE EL DISTRICTE DE SANT ANDREU I LA FEDERACIÓ D'ENTITATS SOCIO CULTURALS ESPAI 30 PER AL DESENVOLUPAMENT DEL PROJECTE SOCIOCULTURAL ""ESPAI 30-LA SAGRERA""",87477.44,"23/12/2020","","ASSOC. CULTURAL ESPAI 30"
"C20000223","DISTRICTE DE ST. ANDREU","CONVENI ENTRE EL DISTRICTE DE SANT ANDREU, EL CONSORCI D'EDUCACIÓ DE BARCELONA, L'ESCOLA PEGASO I L'INSTITUT PRÍNCEP DE VIANA PER A LA GESTIÓ DE LA UTILITZACIÓ DE LES INSTAL·LACIONS DELS CENTRES",0.0,"02/11/2020","","CONSORCI EDUCACIO DE BARCELONA; ESCOLA PEGASO; INSTITUT PRÍNCEP DE VIANA"
