"Número registre","Òrgan gestor","Títol","Dotació econòmica directa","Data formalització","Data finalització","Entitats i organitzacions"
"C20000144","INSTITUT DE CULTURA","CONVENI ENTRE L'ICUB I INFORMACIÓ I COMUNICACIÓ DE BARCELONA SA. SPM",0.0,"23/06/2020","23/06/2021","SPM INFORMACIO I COMUNICACIO DE BCN"
"C20000145","INSTITUT DE CULTURA","CONVENI ENTRE L'ICUB I L'ASSOCIACIÓ D'EDITORS EN LLENGUA CATALANA PER AL FINANÇAMENT DE LA 38A EDICIÓ DE LA SETMANA DEL LLIBRE EN CATALÀ",102500.0,"08/09/2020","31/12/2020","ASSOC. D'EDITORS EN LLENGUA CATALANA"
"C20000146","INSTITUT DE CULTURA","CONVENI ENTRE L'ICUB I L'AMICAL DE MAUTHAUSEN I ALTRES CAMPS I TOTES LES VÍCTIMES DEL NAZISME D'ESPANYA AMB MOTIU DEL 75È ANIVERSARI DE L'ALLIBERAMENT DELS CAMPS NAZIS",10000.0,"01/09/2020","31/12/2021","L'AMICAL DE MAUTHAUSEN"
"C20000147","INSTITUT DE CULTURA","CONVENI ENTRE L'ICUB I L'AGÈNCIA CATALANA DEL PATRIMONI CULTURAL PER ADHERIR-SE AL PROJECTE QUADERN CULTURA",0.0,"13/08/2020","13/08/2024","AGÈNCIA CATALANA DE PATRIMONI CULTURAL"
"C20000148","INSTITUT DE CULTURA","CONVENI ENTRE L'ICUB I LA SOCIEDAD ESPAÑOLA DE RADIODIFUSIÓN, SL PER A L'ORGANITZACIÓ D'UN CONCERT EL 27 DE SETEMBRE DINS DE LA PROGRAMACIÓ DE LES FESTES DE LA MERCÈ'20",0.0,"18/09/2020","","SOCIEDAD ESPAÑOLA DE RADIODIFUSION, S.A."
"C20000149","INSTITUT DE CULTURA","CONVENI ENTRE L'ICUB I LA COOPERATIVA LA FUNDICIÓ PER AL FINANÇAMENT DE LES ACTIVITATS DE LA XARXA DE COMUNITATS DE MEMÒRIA 2020",65880.0,"18/09/2020","","COOPERATIVA LA FUNDICIÓ"
"C20000150","INSTITUT DE CULTURA","CONVENI REGULADOR  ENTRE L'ICUB I BARCELONA DE SERVEIS MUNICIPALS, SA PER A LA CESSIÓ DE BICICLETES EN EL MARC DE LA CELEBRACIÓ DE LES FESTES DE LA MERCÈ 2020",0.0,"14/09/2020","05/10/2020","BARCELONA DE SERVEIS MUNICIPALS, S.A."
"C20000151","INSTITUT DE CULTURA","CONVENI ENTRE L'ICUB I RADIO POPULAR, SA. CADENA DE ONDAS POPULARES ESPAÑOLAS PER A LA REALITZACIÓ DEL CONCERT DEL DIA 20 DE SETEMBRE DINS DE LA PROGRAMACIÓ DE LES FESTES DE LA MERCÈ 2020",0.0,"22/09/2020","30/09/2020","CADENA COPE"
"C20000152","INSTITUT DE CULTURA","CONVENI ENTRE L'ICUB I LES ENTITATS TELEDUCA, EL PARLANTE, CÀMERES I ACCIÓ, UBUTV, FORA DE QUADRE I QUEPO PER AL FINANÇAMENT DE LES ACTIVITATS DE LA VEÏNAL, UNA TELEVISIÓ COMUNITÀRIA I PARTICIPATIVA DE BARCELONA, EXERCICI 2020",67000.0,"23/09/2020","31/12/2020","TELEDUCA; EL PARLANTE; ASSOCIACIÓ CÀMERES I ACCIÓ; ASSOCIACIÓ UBU TV; ASSOCIACIÓ FORA DE QUADRE; COOPERATIVA QUEPO, SCCL"
"C20000153","INSTITUT DE CULTURA","CONVENI ENTRE L'ICUB I LA FUNDACIÓ PRIVADA PAU CASALS PER AL FINANÇAMENT DE LES ACTIVITATS CULTURALS I ARTÍSTIQUES DE LA FUNDACIÓ",35000.0,"07/10/2020","31/12/2020","FUNDACIÓ PAU CASALS"
"C20000154","INSTITUT DE CULTURA","ACORD D'ADHESIÓ ENTRE L'ICUB I EL CONSORCI DE L'AUDITORI I L'ORQUESTRA PER AL PROGRAMA APROPA CULTURA: ADDENDA ECONÒMICA PER A L'ANY 2020",30562.0,"28/09/2020","21/10/2020","CONSORCI AUDITORI I ORQUESTRA"
"C20000155","DISTRICTE DE LES CORTS","CONVENI ENTRE EL DISTRICTE DE LES CORTS I LA DEMARCACIÓ DE BARCELONA DEL COL·LEGI D'ARQUITECTES DE CATALUNYA",0.0,"06/06/2020","06/06/2023","COL·LEGI D'ARQUITECTES DE CATALUNYA"
"C20000156","DIREC. SERV. JURÍDICS I PROMOC. RECURSOS HUMANS","CONVENI ENTRE L'AJUNTAMENT DE BARCELONA I LA FUNDACIÓ UNIVERSITAT I TECNOLOGIA LA SALLE (FUNITEC)",0.0,"03/11/2020","","FUND. UNIVERSITAT I TECNOLOGIA LA SALLE (FUNITEC)"
"C20000157","AJUNTAMENT DE BARCELONA","CONVENI ENTRE L'AJUNTAMENT DE BARCELONA, LA UNIVERSITAT DE BARCELONA, LA FUNDACIÓ SOLIDARITAT UB I LA FUNDACIÓ JOSEP FINESTRES PER AL RETORN DE LA POSSESSIÓ A L'AJUNTAMENT DEL LOCAL COMERCIAL - 2 SITUAT A LA PLAÇA EUCALIPTUS, 3 DE BARCELONA",0.0,"16/10/2020","","UNIVERSITAT DE BARCELONA; FUNDACIÓ SOLIDARITAT UB; FUNDACIÓ JOSEP FINESTRES;"
"C20000158","DISTRICTE DE LES CORTS","CONVENI ENTRE EL DISTRICTE DE LES CORTS, L'INSTITUT MUNICIPAL DE PERSONES AMB DISCAPACITATI LA FEDERACIÓ PLATAFORMA DE PERSONES AMB DISCAPACITAT DE LES CORTS, PER AL DESENVOLUPAMENT DEL PROJECTE PILOT DE PIS DE TRANSICIÓ A LA VIDA INDEPENDENT PER A PERSONES AMB DISCAPACITAT INTEL·LECTUAL",0.0,"21/10/2020","31/12/2020","IM PERSONES AMB DISCAPACITAT: FEDERACIÓ PLATAFORMA ENTITATS PERSONES AMB DISCAPACITAT DE LES CORTS"
"C20000159","DISTRICTE DE SANTS-MONTJUÏC","CONVENI ENTRE EL DISTRICTE DE SANTS-MONTJUÏC I L'ASSOCIACIÓ DE VEÏNS DE LA VINYA PER A LA GESTIÓ CÍVICA DEL CASAL DE BARRI LA VINYA",35750.0,"06/11/2020","31/12/2021","ASSOC. VEÏNAL LA VINYA"
"C20000160","INSTITUT DE CULTURA","CONVENI ENTRE L'ICUB I L'ORGANITZACIÓ EUROPEA PER A LA RECERCA NUCLEAR (CERN) PER A ""COLLIDE INTERNATIONAL 2020""",56180.0,"28/10/2020","30/06/2021","ORGANITZACIÓ EUROPEA PER A LA RECERCA NUCLEAR"
"C20000161","GERENCIA DRETS SOCIALS","CONVENI ENTRE L'AJUNTAMENT DE BARCELONA I EL DEPARTAMENT DE TREBALL, AFERS SOCIALS I FAMÍLIES EN MATÈRIA DE SERVEIS SOCIALS, ALTRES PROGRAMES I SERVEIS RELATIUS AL BENESTAR SOCIAL I POLÍTIQUES D'IGUALTAT PER A LA IMPLEMENTACIÓ DE MESURES EXTRAORDINÀRIES EN RELACIÓ AMB L'IMPACTE SOCIAL DE LA PANDÈMIA DE LA COVID-19  DURANT L'EXERCICI 2020",0.0,"20/10/2020","","DEPARTAMENT TREBALL GENERALITAT CAT"
"C20000162","GERENCIA DRETS SOCIALS","CONVENI ENTRE L'AJUNTAMENT DE BARCELONA I SOS RACISME PER AL DESENVOLUPAMENT DEL PROJECTE ""ATENCIÓ A PERSONES VICTIMITZADES PER RACISME, INCIDÈNCIA SOCIAL I POLÍTICA: VISIBILITZAR PER A TRANSFORMAR""",50000.0,"10/11/2020","","SOS RACISME CATALUNYA"
