"dcAccrualPeriodicity","dcAccrualPolicy","dccontributorauthor","dccontributorother","dccoveragespatial","dccoveragetemporal","dccoveragevigencia","dcdatecreated","dcdateissued","dcdatereview","dcdescription","dcdescriptionsponsorship","dcdescriptiontableofcontents","dcformat","dcformatextent","dcidentifierBG","dcidentifierab","dcidentifierentitat","dcidentifiermandat","dcidentifieruri","dclanguage","dcpublisher","dcrelation","dcrelationhaspart","dcrelationhasversion","dcrelationisbasedon","dcrelationisformatof","dcrelationispartof","dcrelationisreplacedby","dcrelationisrequiredby","dcrelationisversionof","dcrelationreferences","dcrelationreplaces","dcrelationrequires","dcrights","dcrightsaccessrights","dcrightsrightsHolder","dcrightsuri","dcsubject","dcsubjectcategory","dcsubjectforma","dcsubjectprogramme","dctitle","dctitlealternative","dctype","Unnamed: 45"
"Anual","Oberta","Consorci de la Zona Franca de Barcelona","","Barcelona","2013","No","2014","2014","","Podeu consultar la versió en anglès/francès a: http://hdl.handle.net/11703/87673","","","application/pdf","","18565","","consorcis","Mandat 2011-2015","http://hdl.handle.net/11703/87669","cat. cas","Consorci de la Zona Franca de Barcelona","http://hdl.handle.net/11703/87673","","","","","","","","","","","","CC-BY","openAccess","Consorci de la Zona Franca de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Consorci de la Zona Franca de Barcelona. Logística (Indústria)","Indústria","memòries","","Memòria anual = Memoria anual 2013","","text",""
"Anual","Oberta","Barcelona Activa, S.A.","","Barcelona","2012","No","2013","2013","","Podeu consultar la versió en català a: http://hdl.handle.net/11703/87940. Podeu consultar la versió en anglès a: http://hdl.handle.net/11703/87976","","","application/pdf","","13319","","societats mercantils","Mandat 2011-2015","http://hdl.handle.net/11703/87974","cas","Barcelona Activa, S.A.","http://hdl.handle.net/11703/87940. http://hdl.handle.net/11703/87976","","","","","","","","","","","","CC-BY","openAccess","Barcelona Activa, S.A.","http://creativecommons.org/licenses/by/4.0/deed.ca","Barcelona Activa, S.A.. Desenvolupament econòmic. Serveis municipals","Economia. Ocupació","memòries","","Memoria de actividades 2012","","text",""
"Anual","Oberta","Arxiu Històric de la Ciutat de Barcelona","","Barcelona","2005","No","2005","2005","","","","","application/pdf","40 p.","8680","","","Mandat 2003-2007","http://hdl.handle.net/11703/87433","cat","Arxiu Històric de la Ciutat de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Arxiu Històric de la Ciutat de Barcelona. Arxius municipals","Cultura i oci","memòries","","Memòria 2005","","text",""
"Anual","Oberta","Consorci de l'Habitatge de Barcelona","","Barcelona","2009","No","2010","2010","","Podeu consultar la versió en català a: http://hdl.handle.net/11703/87725","","","application/pdf","","7830","","consorcis","Mandat 2007-2011","http://hdl.handle.net/11703/87693","cas","Consorci de l'Habitatge de Barcelona","http://hdl.handle.net/11703/87725","","","","","","","","","","","","CC-BY","openAccess","Consorci de l'Habitatge de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Consorci de l'Habitatge de Barcelona. Habitatge","Habitatge","memòries","","Memoria 2009","","text",""
"Anual","Oberta","Autoritat del Transport Metropolità","","Barcelona","2003","No","2004","2004","","Podeu consultar la versió en català a: http://hdl.handle.net/11703/88096","","","application/pdf","","18545","","consorcis","Mandat 1999-2003","http://hdl.handle.net/11703/88107","eng","Autoritat del Transport Metropolità","http://hdl.handle.net/11703/88096","","","","","","","","","","","","CC-BY","openAccess","Autoritat del Transport Metropolità","http://creativecommons.org/licenses/by/4.0/deed.ca","Autoritat del Transport Metropolità. . Mobilitat urbana","Transport","memòries","","Activity 2003","","text",""
"Anual","Oberta","Ajuntament de Barcelona","","Barcelona","2002","No","2003-05-26","2003","","Podeu consultar la versió en castellà a:http://hdl.handle.net/11703/89617. Podeu consultar la versió en anglès a:http://hdl.handle.net/11703/89619","","","application/pdf","130 p.","890","","","Mandat 1999-2003","http://hdl.handle.net/11703/89380","cat","Ajuntament de Barcelona","http://hdl.handle.net/11703/89617. http://hdl.handle.net/11703/89619","","","","","","","","","","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Ajuntament de Barcelona. Economia. Finances. Serveis municipals","Sector públic","memòries","","Informe anual de l'Ajuntament de Barcelona 2002","","text",""
"Anual","Oberta","Sector de Serveis Personals i Territori. Districte 2. Eixample","","Barcelona. Districte 2. Eixample","2007","No","2008","2008","","","","","application/pdf","","6085","","districtes","Mandat 2003-2007","http://hdl.handle.net/11703/87841","cat","Districte 2. Eixample","","","","","","","","","","","","","CC-BY","openAccess","Districte 2. Eixample","http://creativecommons.org/licenses/by/4.0/deed.ca","Districte 2. Eixample","Sector públic","memòries","","Memòria dels districtes 2007","","text",""
"Anual","Obert","Fundació Factor Humà","","Barcelona","2014","No","2015","2015","","","","","application/pdf","24 p.","","","fundacions","Mandat 2011-2015","http://hdl.handle.net/11703/106614","cat","","","","","","","","","","","","","","CC-BY","openAccess","Fundació Factor Humà","http://creativecommons.org/licenses/by/4.0/deed.ca","Fundació Factor Humà. Recursos humans","Societat i benestar. Ocupació","memòries","","Memòria 2014","","text",""
"Desconeguda","Tancada","Direcció de Benestar Social","","Barcelona","2005","No","2006-06-28","2006","","","","","application/pdf","26 p.","485","","","Mandat 2003-2007","http://hdl.handle.net/11703/89416","cat","Direcció de Benestar Social","","","","","","","","","","","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Direcció de Benestar Social. Serveis socials","Societat i benestar","memòries","","Memòria 2005","","text",""
"Anual","Oberta","Servei de Documentació i Accés al Coneixement","","Barcelona","2016","Si","2017","2017","","","","","application/pdf","31 p.","","","","Mandat 2015-","http://hdl.handle.net/11703/102317","cat","","","","","","","","","","","","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Cultura. Biblioteques. Servei de Documentació i Accés al Coneixement","Sector públic","memòries","","Memòria 2016","","text",""
"Anual","Oberta","Consell Econòmic i Social de Barcelona","","Barcelona","2004","No","2005","2005","","","","","application/pdf","","1761","","consells","Mandat 2003-2007","http://hdl.handle.net/11703/89432","cat","Consell Economic i Social de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","Consell Econòmic i Social de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Consell Econòmic i Social de Barcelona. Economia. Finances","Economia","memòries","","Memòria d'activitats 2004","","text",""
"Anual","Oberta","Acord Ciutadà per una Barcelona Inclusiva","","Barcelona","2016","Si","2017","2017","","","","","application/pdf","132 p.","","","","Mandat 2015-","http://hdl.handle.net/11703/101819","cat","","","","","","","","","","","","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Acord Ciutadà per una Barcelona Inclusiva. Integració social","Societat i benestar","memòries","","Memòria d'activitats 2016","L'activitat de l'Acord : Memòria 2016","text",""
"Anual","Oberta","Barcelona Activa, S.A.","","Barcelona","2006","No","2007","2007","","","","","application/pdf","","1515","","societats mercantils","Mandat 2003-2007","http://hdl.handle.net/11703/89588","cat","","","","","","","","","","","","","","CC-BY","openAccess","Barcelona Activa, S.A.","http://creativecommons.org/licenses/by/4.0/deed.ca","Barcelona Activa, S.A.. Desenvolupament econòmic. Serveis municipals","Economia. Ocupació","memòries","","Memòria d'activitats 2006","","text",""
"Anual","Oberta","Pla Estratègic Barcelona 2000. Associació","","Barcelona","2002","No","2003","2003","","","","","application/pdf","","3593","","","Mandat 1999-2003","http://hdl.handle.net/11703/87544","cat","Ajuntament de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","Pla Estratègic Barcelona 2000. Associació","http://creativecommons.org/licenses/by/4.0/deed.ca","Pla Estratègic Barcelona 2000. Associació. Finances","Economia","memòries","Pla Estratègic Barcelona 2000","Memòria 2002","","text",""
"Anual","Oberta","Sector de Manteniment i Serveis","","Barcelona","2001","No","2002","2002","","","","","application/pdf","","3382","","","Mandat 1999-2003","http://hdl.handle.net/11703/87765","cat","Ajuntament de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","Sector de Manteniment i Serveis","http://creativecommons.org/licenses/by/4.0/deed.ca","Sector de Manteniment i Serveis","Medi ambient","memòries","","Informe anual 2001","","text",""
"Anual","Oberta","Biblioteca General (Barcelona)","","Barcelona","2010","No","2011-04-07","2011","","","","","application/pdf","61 p.","7394","","","Mandat 2007-2011","http://hdl.handle.net/11703/87457","cat","Biblioteca General","","","","","","","","","","","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Biblioteca General (Barcelona). Biblioteques. Cultura","Sector públic","memòries","","Memòria 2010","","text",""
"Anual","","Consell Tributari Municipal (Barcelona)","","Barcelona","","","2017","2017","","","","","application/pdf","65 p.","","","","Mandat 2015-","http://hdl.handle.net/11703/106311","cat","","","","","","","","","","","","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","Hisenda","memòries","","Memòria 2016","","text",""
"Anual","Oberta","Oficina Municipal d'Informació al Consumidor (Barcelona)","","Barcelona","2010","No","2011","2011","","És continuació de la Memòria 2009 [http://hdl.handle.net/11703/87781]. Continua com Memòria 2011 [http://hdl.handle.net/11703/87783]","","","application/pdf","","7837","","","Mandat 2007-2011","http://hdl.handle.net/11703/87782","cat","Regidoria de Promoció Econòmica, Ocupació, Comerç i Turisme","","","","","","","http://hdl.handle.net/11703/87783","","","","http://hdl.handle.net/11703/87781","","CC-BY","openAccess","Oficina Municipal d'Informació al Consumidor (Barcelona)","http://creativecommons.org/licenses/by/4.0/deed.ca","Oficina Municipal d'Informació al Consumidor (Barcelona). Consum (Economia). Consumidors. Serveis d'informació a la comunitat","Comerç","memòries","","Memòria 2010","","text",""
"Anual","Oberta","Consorci per a la Normalització Lingüística","","Barcelona","2001","No","2002","2002","","","","","application/pdf","","3333","","consorcis","Mandat 1999-2003","http://hdl.handle.net/11703/87647","cat","Consorci per a la Normalització Lingüística de Catalunya","","","","","","","","","","","","","CC-BY","openAccess","Consorci per a la Normalització Lingüística","http://creativecommons.org/licenses/by/4.0/deed.ca","Consorci per a la Normalització Lingüística. Cultura","Cultura i oci","memòries","","Memòria d 'activitats 2001","","text",""
"Anual","Oberta","Centre de Cultura Contemporània de Barcelona","","Barcelona","1998. 1999","No","2000","2000","","","","","application/pdf","","7783","","","Mandat 1995-1999","http://hdl.handle.net/11703/87742","cat","Centre de Cultura Contemporània de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","Centre de Cultura Contemporània de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Centre de Cultura Contemporània de Barcelona. Cultura","Cultura i oci","memòries","","Memòria 1998-1999","","text",""
"Anual","Tancada","Sector de Serveis Personals. Districte 8. Nou Barris","","Barcelona. Districte 8. Nou Barris","2005","No","2006","2006","","","","","application/pdf","","SSPPD2005_NB","","districtes","Mandat 2003-2007","http://hdl.handle.net/11703/89562","cat","Districte 8. Nou Barris","","","","","","","","","","","","","CC-BY","openAccess","Districte 8. Nou Barris","http://creativecommons.org/licenses/by/4.0/deed.ca","Districte 8. Nou Barris","Sector públic","memòries","","Memòria 2005","","text",""
"Anual","Oberta","Consorci el Far (Barcelona)","","Barcelona","2011","No","2012","2012","","","","","application/pdf","","9471","","consorcis","Mandat 2007-2011","http://hdl.handle.net/11703/87705","cat","Consorci El Far (Barcelona)","","","","","","","","","","","","","CC-BY","openAccess","Consorci el Far (Barcelona)","http://creativecommons.org/licenses/by/4.0/deed.ca","Consorci el Far (Barcelona). Medi ambient","Medi ambient. Educació","memòries","","Memòria d'activitat 2011","","text",""
"Anual","Tancada","Programa Barcelona Solidària de Cooperació Internacional i Ajut Humanitari","","Barcelona","2001","No","2002","2002","","","","","application/pdf","","3599","","","Mandat 1999-2003","http://hdl.handle.net/11703/88131","cat","Comissió Municipal de Cooperació Internacional","","","","","","","","","","","","","CC-BY","openAccess","Programa Barcelona Solidària de Cooperació Internacional i Ajut Humanitari. Cooperació internacional","http://creativecommons.org/licenses/by/4.0/deed.ca","Programa Barcelona Solidària de Cooperació Internacional i Ajut Humanitari. Cooperació internacional","Societat i benestar","memòries","","Memòria 2001","","text",""
"Anual","Oberta","Pla Estratègic Barcelona 2000. Associació","","Barcelona","2007","No","2008","2008","","","","","application/pdf","","3300","","","Mandat 2003-2007","http://hdl.handle.net/11703/87549","cat","Ajuntament de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","Pla Estratègic Barcelona 2000. Associació","http://creativecommons.org/licenses/by/4.0/deed.ca","Pla Estratègic Barcelona 2000. Associació. Finances","Economia","memòries","Pla Estratègic Barcelona 2000","Memòria estratègica de l'associació Pla Estratègic Metropolità de Barcelona 2007","","text",""
"Anual","Tancada","Sector de Serveis Personals. Districte 9. Sant Andreu","","Barcelona. Districte 9. Sant Andreu","2005","No","2006","2006","","","","","application/pdf","","SSPPD2005_SA","","districtes","Mandat 2003-2007","http://hdl.handle.net/11703/89565","cat","Districte 9. Sant Andreu","","","","","","","","","","","","","CC-BY","openAccess","Districte 9. Sant Andreu","http://creativecommons.org/licenses/by/4.0/deed.ca","Districte 9. Sant Andreu","Sector públic","memòries","","Memòria 2005","","text",""
"Anual","Oberta","Autoritat del Transport Metropolità","","Barcelona","2012","No","2013","2013","","Podeu consultar la versió en català a: http://hdl.handle.net/11703/88105","","","application/pdf","","18525","","consorcis","Mandat 2011-2015","http://hdl.handle.net/11703/88091","cas","Autoritat del Transport Metropolità","http://hdl.handle.net/11703/88105","","","","","","","","","","","","CC-BY","openAccess","Autoritat del Transport Metropolità","http://creativecommons.org/licenses/by/4.0/deed.ca","Autoritat del Transport Metropolità. Mobilitat urbana. Transport urbà","Transport","memòries","","Memoria 2012","","text",""
"Anual","Oberta","Consell Municipal de Benestar Social (Barcelona)","","Barcelona","2011. 2012","No","2013","2013","","","","","application/pdf","","10475","","consells","Mandat 2011-2015","http://hdl.handle.net/11703/87557","cat","Consell Municipal de Benestar Social (Barcelona)","","","","","","","","","","","","","CC-BY","openAccess","Consell Municipal de Benestar Social (Barcelona)","http://creativecommons.org/licenses/by/4.0/deed.ca","Consell Municipal de Benestar Social (Barcelona). Benestar social","Societat i benestar","memòries","","Memòria 2011-2012","","text",""
"Anual","Oberta","Servei de Prevenció, Extinció d'Incendis i Salvament","","Barcelona","2006","No","2007","2007","","Podeu consultar la versió en castellà a:http://hdl.handle.net/11703/89507","","","application/pdf","","384","","","Mandat 2003-2007","http://hdl.handle.net/11703/89531","cat","Ajuntament de Barcelona","http://hdl.handle.net/11703/89507","","","","","","","","","","","","CC-BY","openAccess","Servei de Prevenció, Extinció d'Incendis i Salvament","http://creativecommons.org/licenses/by/4.0/deed.ca","Servei de Prevenció, Extinció d'Incendis i Salvament. Bombers","Seguretat","memòries","","Memòria 2006","","text",""
"Anual","Oberta","Consell Econòmic i Social de Barcelona","","Barcelona","1998","No","1999","1999","","","","","application/pdf","","1766","","consells","Mandat 1995-1999","http://hdl.handle.net/11703/89438","cat","Consell Econòmic i Social de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","Consell Econòmic i Social de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Consell Econòmic i Social de Barcelona. Economia. Finances","Economia","memòries","","Memòria socioeconòmica de Barcelona 1998","","text",""
"Anual","Oberta","Arxiu Històric de la Ciutat de Barcelona","","Barcelona","2004","No","2004","2004","","","","","application/pdf","42 p.","8681","","","Mandat 2003-2007","http://hdl.handle.net/11703/87432","cat","Arxiu Històric de la Ciutat de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Arxiu Històric de la Ciutat de Barcelona. Arxius municipals","Cultura i oci","memòries","","Memòria 2004","","text",""
"Anual","Oberta","Àrea de Qualitat de Vida, Igualtat i Esports. Acord Ciutadà per una Barcelona Inclusiva","","Barcelona","2014","No","2015","2015","","","","","application/pdf","152 p.","18427","","","Mandat 2011-2015","http://hdl.handle.net/11703/91520","cat","Ajuntament de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Acord Ciutadà per una Barcelona Inclusiva. Integració social","Societat i benestar","memòries","","Memòria d'activitats 2014","","text",""
"Anual","Oberta","Consell Econòmic i Social de Barcelona","","Barcelona","2010","No","2011","2011","","Podeu consultar la versió en català a: http://hdl.handle.net/11703/87529","","","application/pdf","","8281","","consells","Mandat 2007-2011","http://hdl.handle.net/11703/87528","cas","Consell Econòmic i Social de Barcelona","http://hdl.handle.net/11703/87529","","","","","","","","","","","","CC-BY","openAccess","Consell Econòmic i Social de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Consell Econòmic i Social de Barcelona. Economia. Finances","Economia","memòries","","Memoria socioeconómica de Barcelona 2010","","text",""
"Irregular","Tancada","Consorci del Parc de Collserola (Catalunya)","","Barcelona","2012","No","2013","2013","","Podeu consultar la versió en català a: http://hdl.handle.net/11703/87637","","","application/pdf","","18519","","consorcis","Mandat 2011-2015","http://hdl.handle.net/11703/87637","cas","Consorci del Parc de Collserola (Catalunya)","http://hdl.handle.net/11703/87637","","","","","","","","","","","","CC-BY","openAccess","Consorci del Parc de Collserola (Catalunya)","http://creativecommons.org/licenses/by/4.0/deed.ca","Consorci del Parc de Collserola (Catalunya). Educació ambiental. Natura. Zones verdes","Medi ambient","memòries","","Memoria de gestión 2012","","text",""
"Anual","Oberta","Arxiu Històric de la Ciutat de Barcelona","","Barcelona","2013","No","2013","2013","","","","","application/pdf","34 p.","13463","","","Mandat 2011-2015","http://hdl.handle.net/11703/87441","cat","Arxiu Històric de la Ciutat de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Arxiu Històric de la Ciutat de Barcelona. Arxius municipals","Cultura i oci","memòries","","Memòria 2013","","text",""
"Anual","","Arxiu Municipal de Barcelona","","Barcelona. Barcelona. Districte 1. Ciutat Vella. Barcelona. Districte 2. Eixample. Barcelona. Districte 3. Sants-Montjuïc. Barcelona. Districte 4. Les Corts. Barcelona. Districte 5. Sarrià-Sant Gervasi. Barcelona. Districte 6. Gràcia. Barcelona. Districte 7. Horta-Guinardó. Barcelona. Districte 8. Nou Barris. Barcelona. Districte 9. Sant Andreu. Barcelona. Districte 10. Sant Martí","2007","No","2009-02-10","2009","","","","","application/pdf","190 p.","16370","","","Mandat 2003-2007","http://hdl.handle.net/11703/87445","cat","Arxiu Municipal de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Arxiu Municipal de Barcelona. Arxius","Sector públic","memòries","","Memòria 2007","","text",""
"Anual","Oberta","Clavegueram de Barcelona, S.A.","","Barcelona","2010","No","2011","2011","","Podeu consultar la versió en català a: http://hdl.handle.net/11703/87900. Podeu consultar la versió en anglès a: http://hdl.handle.net/11703/87908. Podeu consultar la versió en francès a: http://hdl.handle.net/11703/87911","","","application/pdf","","7819","","societats mercantils","Mandat 2007-2011","http://hdl.handle.net/11703/87904","cas","Clavegueram de Barcelona, S.A.","http://hdl.handle.net/11703/87900http://hdl.handle.net/11703/87908. http://hdl.handle.net/11703/87911","","","","","","","","","","","","CC-BY","openAccess","Clavegueram de Barcelona, S.A.","http://creativecommons.org/licenses/by/4.0/deed.ca","Clavegueram de Barcelona, S.A.","Medi ambient. Urbanisme i infraestructures","memòries","","Informe anual de actividades 2010","","text",""
"Anual","Oberta","Autoritat del Transport Metropolità","","Barcelona","2012","No","2013","2013","","Podeu consultar la versió en català a: http://hdl.handle.net/11703/88105","","","application/pdf","","18536","","consorcis","Mandat 2011-2015","http://hdl.handle.net/11703/88116","eng","Autoritat del Transport Metropolità","http://hdl.handle.net/11703/88105","","","","","","","","","","","","CC-BY","openAccess","Autoritat del Transport Metropolità","http://creativecommons.org/licenses/by/4.0/deed.ca","Autoritat del Transport Metropolità. . Mobilitat urbana","Transport","memòries","","Annual report 2012","","text",""
"Anual","Oberta","Consell Econòmic i Social de Barcelona","","Barcelona","2010","No","2011","2011","","","","","application/pdf","","8270","","consells","Mandat 2007-2011","http://hdl.handle.net/11703/87516","cat","Consell Economic i Social de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","Consell Econòmic i Social de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Consell Econòmic i Social de Barcelona. Economia. Finances","Economia","memòries","","Memòria d'activitats 2010","","text",""
"Anual","Oberta","Consorci Parc de Salut Mar de Barcelona","","Barcelona","2009","No","2010","2010","","","","","application/pdf","","6781","","consorcis","Mandat 2007-2011","http://hdl.handle.net/11703/88004","cat","Consorci Parc de Salut del Mar de Barcelona. Hospitals","","","","","","","","","","","","","CC-BY","openAccess","Consorci Parc de Salut del Mar de Barcelona. Hospitals","http://creativecommons.org/licenses/by/4.0/deed.ca","Consorci Parc de Salut Mar de Barcelona. Salut pública. Hospitals","Salut","memòries","","Memòria 2009","","text",""
"Anual","","Direcció de Turisme. Gerència d'Ocupació, Empresa i Turisme","","Barcelona","","","2015","2015","","","","","application/pdf","144 p.","","","","Mandat 2011-2015","http://hdl.handle.net/11703/107937","cat","Ajuntament de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Turisme sostenible. Política turística","Sector públic. Turisme","memòries","","Memòria de sostenibilitat turística Barcelona 2014","","text",""
"Anual","Oberta","Consell Municipal de Benestar Social (Barcelona)","","Barcelona","2011. 2012","No","2013","2013","","","","","application/pdf","","12516","","consells","Mandat 2011-2015","http://hdl.handle.net/11703/87578","cat","Consell Municipal de Benestar Social (Barcelona)","","","","","","","","","","","","","CC-BY","openAccess","Consell Municipal de Benestar Social (Barcelona)","http://creativecommons.org/licenses/by/4.0/deed.ca","Consell Municipal de Benestar Social (Barcelona). Benestar social. Serveis socials. Assistència social","Sector públic. Societat i benestar","memòries","","Síntesi de l'Informe participatiu 2011-2012","","text",""
"Anual","Oberta","Tractament i Selecció de Residus, S.A. (TERSA)","","Barcelona","2006","No","2007","2007","","","","","application/pdf","","2101","","societats mercantils","Mandat 2003-2007","http://hdl.handle.net/11703/87861","cat","Tractament i Selecció de Residus (Barcelona)","","","","","","","","","","","","","CC-BY","openAccess","Tractament i Selecció de Residus, S.A. (TERSA)","http://creativecommons.org/licenses/by/4.0/deed.ca","Tractament i Selecció de Residus, S.A. (TERSA). Reciclatge (Residus, etc.)","Medi ambient","memòries","","Memòria 2006","","text",""
"Anual","Oberta","Àrea d'Acció Social i Ciutadania. Acord Ciutadà per una Barcelona Inclusiva","","Barcelona","2009","No","2010","2010","","","","","application/pdf","46 p.","9061","","","Mandat 2007-2011","http://hdl.handle.net/11703/91522","cat","Ajuntament de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Integració social. Acord Ciutadà per una Barcelona Inclusiva","Societat i benestar","memòries","","Memòria d'activitats 2009","","text",""
"Anual","Oberta","Consorci per a la Normalització Lingüística","","Barcelona","2009","No","2010","2010","","","","","application/pdf","","5781","","consorcis","Mandat 2007-2011","http://hdl.handle.net/11703/89489","cat","Consorci per a la Normalització Lingüística de Catalunya","","","","","","","","","","","","","CC-BY","openAccess","Consorci per a la Normalització Lingüística","http://creativecommons.org/licenses/by/4.0/deed.ca","Consorci per a la Normalització Lingüística. Cultura","Cultura i oci","memòries","","Memòria 2009","","text",""
"Anual","Oberta","Consorci de Biblioteques de Barcelona","","Barcelona","2009","No","2010","2010","","","","","application/pdf","","5778","","consorcis","Mandat 2007-2011","http://hdl.handle.net/11703/87687","cat","Consorci de Biblioteques de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","Consorci de Biblioteques de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Consorci de Biblioteques de Barcelona","Cultura i oci","memòries","","Memòria 2009","","text",""
"Anual","Tancada","Institut Municipal d'Assistència Sanitària (Barcelona)","","Barcelona","2007","No","2008","2008","","","","","application/pdf","","2660","","organismes autònoms","Mandat 2003-2007","http://hdl.handle.net/11703/88025","cat","Institut Municipal d'Assistència Sanitària (Barcelona)","","","","","","","","http://hdl.handle.net/11703/88003","","","","","CC-BY","openAccess","Institut Municipal d'Assistència Sanitària (Barcelona)","http://creativecommons.org/licenses/by/4.0/deed.ca","Institut Municipal d'Assistència Sanitària (Barcelona). Salut pública","Salut","memòries","","L'IMAS en dades 2007","","text",""
"Anual","Oberta","Centre de Cultura Contemporània de Barcelona","","Barcelona","1995","No","1996","1996","","","","","application/pdf","","7804","","","Mandat 1995-1999","http://hdl.handle.net/11703/87739","cat","Centre de Cultura Contemporània de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","Centre de Cultura Contemporània de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Centre de Cultura Contemporània de Barcelona. Cultura","Cultura i oci","memòries","","Memòria 1995","","text",""
"Anual","Oberta","Institut Municipal de Persones amb Discapacitat (Barcelona)","","Barcelona","2012","No","2013","2013","","","","","application/pdf","","13698","","organismes autònoms","Mandat 2011-2015","http://hdl.handle.net/11703/88064","cat","Institut Municipal de Persones amb Discapacitat (Barcelona)","","","","","","","","","","","","","CC-BY","openAccess","Institut Municipal de Persones amb Discapacitat (Barcelona)","http://creativecommons.org/licenses/by/4.0/deed.ca","Institut Municipal de Persones amb Discapacitat (Barcelona). Discapacitats. Discapacitats mentals","Societat i benestar","memòries","","Memòria 2012","","text",""
"Anual","Oberta","Ajuntament de Barcelona","","Barcelona","2009","No","2010-07-26","2010","","Podeu consultar la versió en català a: http://hdl.handle.net/11703/87414. Podeu consultar la versió en anglès a: http://hdl.handle.net/11703/87410","","","application/pdf","166 p.","6497","","","Mandat 2007-2011","http://hdl.handle.net/11703/87413","cas","Ajuntament de Barcelona","http://hdl.handle.net/11703/87414. http://hdl.handle.net/11703/87410","","","","","","","","","","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Ajuntament de Barcelona","Sector públic","memòries","","Memoria de actividad 2009","","text",""
"Anual","Oberta","Consell Tributari Municipal (Barcelona)","","Barcelona","1998. 1999","No","2000","2000","","Podeu consultar la versió en castellà a:http://hdl.handle.net/11703/89459","","","application/pdf","","1946","","consells","Mandat 1995-1999","http://hdl.handle.net/11703/89458","cat","Consell Tributari Municipal (Barcelona)","http://hdl.handle.net/11703/89459","","","","","","","","","","","","CC-BY","openAccess","","http://creativecommons.org/licenses/by/4.0/deed.ca","Consell Tributari Municipal (Barcelona). Finances municipals. Impostos locals","Economia. Hisenda","memòries","","Memòria 1998-1999","","text",""
"Anual","Tancada","Programa Barcelona Solidària de Cooperació Internacional i Ajut Humanitari","","Barcelona","2012","No","2013","2013","","","","","application/pdf","","18287","","","Mandat 2011-2015","http://hdl.handle.net/11703/88135","cat","Comissió Municipal de Cooperació Internacional","","","","","","","","","","","","","CC-BY","openAccess","Programa Barcelona Solidària de Cooperació Internacional i Ajut Humanitari. Cooperació internacional","http://creativecommons.org/licenses/by/4.0/deed.ca","Programa Barcelona Solidària de Cooperació Internacional i Ajut Humanitari. Cooperació internacional","Societat i benestar","memòries","","Memòria d’activitats 2012","","text",""
