"dcAccrualPeriodicity","dcAccrualPolicy","dccontributorauthor","dccontributorother","dccoveragespatial","dccoveragetemporal","dccoveragevigencia","dcdatecreated","dcdateissued","dcdatevalidfinal","dcdatevalidinici","dcdescription","dcdescriptionLegislationChangedBy","dcdescriptionLegislationChanges","dcdescriptionabstract","dcdescriptiontableofcontents","dcformat","dcformatextent","dcformatmimetype","dcidentifierBG","dcidentifierab","dcidentifiercitation","dcidentifierentitat","dcidentifiermandat","dcidentifieruri","dclanguage","dcpublisher","dcrelation","dcrelationhasformat","dcrelationisbasedon","dcrelationisbasisfor","dcrelationisformatof","dcrelationisreplacedby","dcrelationisrequiredby","dcrelationreferences","dcrelationreplaces","dcrelationrequires","dcrights","dcrightsaccessrights","dcrightsrightsHolder","dcrightsuri","dcsubject","dcsubjectcategory","dcsubjectforma","dcsubjectprogramme","dctitle","dctitlealternative","dctype","dctypedriver","Unnamed: 49"
"Anual","","Ajuntament de Barcelona","","Barcelona | Barcelona | Barcelona","2016","","2016-07-28","2016-08-22","","2016-08-23","Aprovat per la Comissió de Govern de 28-07-2016","","","","","application/pdf","11 p.","application/pdf","","","Butlletí Oficial de la Província de Barcelona (22-08-2016)","","","http://hdl.handle.net/11703/98248","cat","","","","","","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Equipaments culturals | Equipaments col·lectius | Rehabilitació de l'habitatge | Arts facilities | Infrastructure (Economics) | Housing rehabilitation | Equipamientos culturales | Equipamientos colectivos | Rehabilitación de viviendas","Urbanisme i infraestructures | Cultura i oci","ajuts i subvencions","","Arranjament i adequació de locals de la ciutat de Barcelona destinats a activitats d'educació en el lleure d'infants, adolescents i joves 2016 : convocatòria i bases","","text","info:eu-repo/semantics/other",""
"","","Institut de Cultura de Barcelona","","Barcelona | Barcelona | Barcelona","2008","","2008-03-10","2008-06-02","","","Aprovat pel president de l'Institut de Cultura de Barcelona el 10-03-2008","","","","","application/pdf","","application/pdf",12568.0,"","Butlletí Oficial de la Província de Barcelona, núm. 132 (02-06-2008)","entitats públiques empresarials","","http://hdl.handle.net/11703/89362","cat","","","","","","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Equipaments culturals | Arts facilities | Equipamientos culturales","Cultura i oci","ajuts i subvencions","","Subvencions per a la rehabilitació d'equipament per a actuacions musicals en viu a Barcelona 2008 : convocatòria","","text","info:eu-repo/semantics/other",""
"","","Consorci de l'Habitatge de Barcelona","","Barcelona | Barcelona | Barcelona","","No","2015-06-03","2015-06-17","","","Aprovat per la Gerència del Consorci el 03-06-2015","","","","","application/pdf","1 p.","application/pdf",19261.0,"","Butlletí Oficial de la Província de Barcelona (17-06-2015)","consorcis | consorcis","","http://hdl.handle.net/11703/111763","cat","","","","","","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Rehabilitació urbana | Rehabilitación urbana | Urban renewal | Habitatges | Viviendas | Dwellings","Habitatge | Urbanisme i infraestructures","ajuts i subvencions","","Subvencions per a la rehabilitació d'edificis d'ús residencial i d'habitatges 2015 : convocatòria : modificació","","text","info:eu-repo/semantics/other",""
"","","Àrea de Treball, Economia i Planificació Estratègica | Àrea d'Empresa, Cultura i Innovació","","Barcelona | Barcelona | Barcelona","2016","Si","2016-07-28","2016-08-09","","2016-08-10","Aprovació inicial per la Comissió de Govern de 28-07-2016 | Publicat també a la Gaseta Municipal de Barcelona, núm. 23 (10-09-2016), p. 5084-5092 | No s'ha presentat cap al·legació, per tant, estan definitivament aprovades","","","","","application/pdf","7 p.","application/pdf","","","Butlletí Oficial de la Província de Barcelona (09-08-2016)","","","http://hdl.handle.net/11703/98611","cat","","","","","","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Treballadors autònoms | Aturats | Cooperatives | Drets dels treballadors | Self-employed | Unemployed | Cooperative societies | Employee rights | Trabajadores autónomos | Parados | Cooperativas | Derechos de los trabajadores","Ocupació | Economia","ajuts i subvencions","Programa Barcelona : Foment de l'Inici de Nova Activitat Econòmica per a Treballadors i Treballadores Autònomes 2016-","Programa Barcelona : Foment de l'inici de nova activitat econòmica per a treballadors i treballadores autònomes 2016 : convocatòria i bases","Subvencions a treballadors autònoms i noves persones sòcies de cooperatives de treball associat 2016","text","info:eu-repo/semantics/other",""
"","","Consorci de l'Habitatge de Barcelona","","Barcelona | Barcelona | Barcelona","","","2018-05-02","2018-06-04","","","Aprovat per la Junta General del Consorci de l'Habitatge de Barcelona de 02-05-2018 | Document bilingüe català-castellà","","","","","application/pdf","28 p.","application/pdf","","Ref. BDNS 400769","Butlletí Oficial de la Província de Barcelona (04-06-2018)","consorcis","","http://hdl.handle.net/11703/112568","cat | spa","","","","","","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Mediació | Mediación | Mediation | Lloguers | Alquileres | Rents | Persones desfavorides | Marginados sociales | People with social disabilities | Ajuda econòmica | Ayuda económica | Economic assistance | Dret a l'habitatge | Derecho a la vivienda | Right to housing","Habitatge","ajuts i subvencions","","Ajuts d’urgència social per al manteniment de l’habitatge de lloguer i per a les derivades de la mediació a la  ciutat de Barcelona 2018 [versió en català i castellà]","Prestaciones económicas de urgencia social para el mantenimiento de la vivienda de alquiler y para las derivadas de la mediación   en la ciudad de Barcelona 2018","text","info:eu-repo/semantics/other",""
"","","Ajuntament de Barcelona","","Barcelona | Barcelona | Barcelona","2013 | 2014","","2014-05-30","2014-06-10","","","","","","","","application/pdf","","application/pdf",13803.0,"","Gaseta Municipal de Barcelona, núm.  18 (10-06-2014)","","","http://hdl.handle.net/11703/87042","cat","","","","","","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Subvencions | Assistència social | Subsidies | Public welfare | Subvenciones públicas | Asistencia social","Economia | Societat i benestar","ajuts i subvencions","","Ajuts econòmics dels Fons d'Acció Social 2013 : bases","","text","info:eu-repo/semantics/other",""
"","","Consorci de l'Habitatge de Barcelona","","Barcelona | Barcelona | Barcelona","2017","No","2016-10-13","2017-04-06","","2017-04-07","Aprovat per la Junta General del Consorci de l'Habitatge de Barcelona de 13-11-2016","Substituït pels Ajuts del Programa  d'arranjament d'habitatges per a persones en situació de vulnerabilitat a la ciutat de Barcelona 2017 : bases [2018 text refós] [http://hdl.handle.net/11703/108864]","","","","application/pdf","7 p.","application/pdf","","","Diari Oficial de la Generalitat de Catalunya, núm. 7345 (06-04-2017), p. 1-7 | Publicat també al Butlletí Oficial de la Província de Barcelona (10-04-2017)","consorcis","","http://hdl.handle.net/11703/101777","cat","","","","","","","http://hdl.handle.net/11703/108864","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Política de l'habitatge | Persones desfavorides | Rehabilitació de l'habitatge | Housing policy | People with social disabilities | Housing rehabilitation | Política de vivienda | Marginados sociales | Rehabilitación de viviendas","Habitatge","ajuts i subvencions","Programa d'Arranjament d'Habitatges per a Persones en Situació de Vulnerabilitat a la Ciutat de Barcelona 2017- | Pla pel Dret a l'Habitatge de Barcelona 2016-2025","Ajuts del Programa  d'arranjament d'habitatges per a persones en situació de vulnerabilitat a la ciutat de Barcelona 2017 : bases","","text","info:eu-repo/semantics/other",""
"","","Institut de Cultura de Barcelona","","Barcelona | Barcelona | Barcelona","2014","","2014-03-17","2014-04-11","","","Aprovada per la presidenta de l'Institut de Cultura de Barcelona el 17-03-2014","","","","","application/pdf","","application/pdf",13423.0,"","Butlletí Oficial de la Província de Barcelona (11-04-2014 )","entitats públiques empresarials","","http://hdl.handle.net/11703/87034","cat","","","","","","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Equipaments culturals | Arts facilities | Equipamientos culturales","Cultura i oci","ajuts i subvencions","","Rehabilitació i dotació d'equipaments tècnics, destinats a equipaments d'exhibició teatral, auditori o equipaments 2014 : convocatòria","","text","info:eu-repo/semantics/other",""
"","","Consorci de l'Habitatge de Barcelona","","Barcelona | Barcelona | Barcelona","","No","2018-05-30","2018-06-12","","2018-06-13","Aprovat per la Junta General del Consorci de l'Habitatge de Barcelona de 30-05-2018 | document bilingüe","","","","","application/pdf","57 p.","application/pdf","","Ref. BDNS 401735 | Ref. BDNS 401735","Butlletí Oficial de la Província de Barcelona (12-06-2018)","","","http://hdl.handle.net/11703/112563","cat | spa","","","","","","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Política de l'habitatge | Política de vivienda | Housing policy | Rehabilitació de l'habitatge | Rehabilitación de viviendas | Housing rehabilitation","Habitatge","ajuts i subvencions","","Ajuts a la rehabilitació d’elements comuns a la ciutat de Barcelona 2018 : convocatòria i bases [versió en català i castellà]","Ayudas a la rehabilitación de elementos comunes en la ciudad de Barcelona : convocatoria y bases","text","info:eu-repo/semantics/other",""
"Anual","","Institut de Cultura de Barcelona","","Barcelona | Barcelona | Barcelona","2019","Si","2019-06-14","2019-07-03","","2019-07-04","Aprovada per resolució de la Gerència de l'Institut de Cultura de Barcelona de 14-06-2019 | Requereix les bases de les Subvencions per a la rehabilitació i la dotació d'equipament tècnic, destinades a espais privats de creació, experimentació i difusió cultural llibreries i sales de cinemes 2017 [http://hdl.handle.net/11703/105310]","","","","","application/pdf","19 p.","application/pdf","","","Butlletí Oficial de la Província de Barcelona (02-07-2019)","entitats públiques empresarials","","http://hdl.handle.net/11703/114826","cat","","","","","","","","","","","http://hdl.handle.net/11703/105310","Domini públic","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Equipaments culturals | Equipamientos culturales | Arts facilities | Sales de concerts | Salas de conciertos | Concert halls | Galeries d'art | Galerías de arte | Commercial art galleries | Llibreries | Librerías | Bookstores | Cinemes | Cines | Motion picture theaters","Cultura i oci","ajuts i subvencions","","Subvencions per a la rehabilitació i la dotació d'equipament tècnic, destinades a espais privats de creació, experimentació i difusió cultural llibreries i sales de cinemes 2019 : convocatòria","","text","info:eu-repo/semantics/other",""
"","","Institut de Cultura de Barcelona","","Barcelona | Barcelona | Barcelona","2015","","2015-09-02","2015-09-10","","","Aprovat pel president de l'Institut de Cultura de Barcelona el 02-09-2015","","","","Correccions d'errades: Butlletí Oficial de la Província de Barcelona (15-02-2016)","application/pdf","","application/pdf",13203.0,"","Butlletí Oficial de la Província de Barcelona (10-09-2015)","entitats públiques empresarials","","http://hdl.handle.net/11703/87032","cat","","","","","","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Noves tecnologies de la informació i de la comunicació | Innovacions tecnològiques | Information technology | Technological innovations | Tecnología de la información | Innovaciones tecnológicas","Ciència i tecnologia","ajuts i subvencions","","Inversions en tecnologies de la informació i comunicacions 2015 : convocatòria i bases","","text","info:eu-repo/semantics/other",""
"","","Institut Municipal d'Hisenda (Barcelona)","","Barcelona | Barcelona | Barcelona","2014","","2014-05-30","2014-06-12","","","Aprovada pel gerent de l'Institut Municipal d'Hisenda el 30-05-2014","","","","","application/pdf","","application/pdf",13812.0,"","Butlletí Oficial de la Província de Barcelona (12-06-2014)","organismes autònoms","","http://hdl.handle.net/11703/87043","cat","","","","","","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos immobiliaris | Serveis socials | Famílies monoparentals | Real property tax | Human services | Single-parent family | Impuestos inmobiliarios | Servicios sociales | Familia monoparental","Hisenda | Societat i benestar","ajuts i subvencions","","Subvenció a famílies monoparentals per import equivalent a un percentatge de l'IBI del seu habitatge habitual 2014 : convocatòria","","text","info:eu-repo/semantics/other",""
"","","Fundació Barcelona Zoo","","Barcelona | Barcelona | Barcelona","2014","","2014-02-14","2014-02-25","","2014-02-26","","","","","","application/pdf","","application/pdf",17932.0,"","Butlletí Oficial de la Província de Barcelona (25-02-2014)","fundacions","","http://hdl.handle.net/11703/87058","cat","","","","","","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Beques | Fundació Barcelona Zoo | Fauna | Conservació d'espècimens zoològics | Primats | Scholarships | Fundació Barcelona Zoo | Zoology | Preservation of zoological specimens | Primates | Becas | Fundació Barcelona Zoo | Fauna | Conservación de especímenes zoológicos | Primates","Medi ambient","ajuts i subvencions","","Beques i ajuts econòmics per a projectes de recerca i conservació de la Fundació Barcelona Zoo 2014: convocatòria i bases","10a Edició Beca Floquet de Neu | 6a Edició Beques del Programa d'Investigació i Conservació de la Fundació Barcelona Zoo | 2a Edició Beca Antoni Jonch. Projectes que potencien la recerca sobre la fauna autòctona de Catalunya i la seva  conservació","text","info:eu-repo/semantics/other",""
"","","Institut Municipal d'Hisenda (Barcelona)","","Barcelona | Barcelona | Barcelona","2013","","2013-06-05","2013-06-12","","","Aprovada pel gerent de l'Institut Municipal d'Hisenda el 05-06-2013","","","","","application/pdf","","application/pdf",11432.0,"","Butlletí Oficial de la Província de Barcelona (12-06-2013)","organismes autònoms","","http://hdl.handle.net/11703/86989","cat","","","","","","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos immobiliaris | Serveis socials | Famílies monoparentals | Real property tax | Human services | Single-parent family | Impuestos inmobiliarios | Servicios sociales | Familia monoparental","Hisenda | Societat i benestar","ajuts i subvencions","","Subvenció a famílies monoparentals per import equivalent a un percentatge de l'IBI del seu habitatge habitual 2013 : convocatòria","","text","info:eu-repo/semantics/other",""
"","","Ajuntament de Barcelona","","Barcelona | Barcelona. Districte 1. Ciutat Vella | Barcelona. Districte 2. Eixample | Barcelona. Districte 3. Sants-Montjuïc | Barcelona. Districte 4. Les Corts | Barcelona. Districte 5. Sarrià-Sant Gervasi | Barcelona. Districte 6. Gràcia | Barcelona. Districte 7. Horta-Guinardó | Barcelona. Districte 8. Nou Barris | Barcelona. Districte 9. Sant Andreu | Barcelona. Districte 10. Sant Martí | Barcelona | Barcelona. District 1. Ciutat Vella | Barcelona. District 2. Eixample | Barcelona. District 3. Sants-Montjuïc | Barcelona. District 4. Les Corts | Barcelona. District 5. Sarrià-Sant Gervasi | Barcelona. District 6. Gràcia | Barcelona. District 7. Horta-Guinardó | Barcelona. District 8. Nou Barris | Barcelona. District 9. Sant Andreu | Barcelona. District 10. Sant Martí | Barcelona | Barcelona. Distrito 1. Ciutat Vella | Barcelona. Distrito 2. Eixample | Barcelona. Distrito 3. Sants-Montjuïc | Barcelona. Distrito 4. Les Corts | Barcelona. Distrito 5. Sarrià-Sant Gervasi | Barcelona. Distrito 6. Gràcia | Barcelona. Distrito 7. Horta-Guinardó | Barcelona. Distrito 8. Nou Barrios | Barcelona. Distrito 9. Sant Andreu | Barcelona. Distrito 10. Sant Martí","","","2015-12-03","2015-12-15","","2015-12-03","Requereix les bases reguladores aprovades per la Comissió de Govern de 03-12-2015 [http://hdl.handle.net/11703/84030]","","","","","application/pdf","52 p.","application/pdf","","","Butlletí Oficial de la Província de Barcelona (15-12-2015)","","","http://hdl.handle.net/11703/85236","cat","","","","","","","","","","","http://hdl.handle.net/11703/84030","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Activitats culturals | Serveis municipals | Serveis socials | Cultural animation | Municipal services | Human services | Animación cultural | Servicios municipales | Servicios sociales","Economia","ajuts i subvencions","","Subvencions per a la realització de projectes, activitats i serveis de districte i de ciutat 2016 : convocatòria","","text","info:eu-repo/semantics/other",""
"Anual","","Institut de Cultura de Barcelona","","Barcelona | Barcelona | Barcelona","2019","Si","2019-06-14","2019-07-03","2019-09-06","2019-07-04","Aprovada per resolució de la Gerència de l'Institut de Cultura de Barcelona de 14-06-2019 | Requereix les Bases de les subvencions per les Inversions en tecnologies de la informació i comunicacions aprovades per la Presidència de l'Institut de Cultura de Barcelona de 01-08-2016 [http://hdl.handle.net/11703/98344]","","","","","application/pdf","11 p.","application/pdf","","","Butlletí Oficial de la Província de Barcelona (03-07-2019)","entitats públiques empresarials","","http://hdl.handle.net/11703/114827","cat","","","","","","","","","","","http://hdl.handle.net/11703/98344","Domini públic","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Noves tecnologies de la informació i de la comunicació | Tecnología de la información | Information technology | Innovacions tecnològiques | Innovaciones tecnológicas | Technological innovations","Cultura i oci","ajuts i subvencions","","Inversions en tecnologies de la informació i la comunicació per a la realització de projectes d'experimentació i innovació a la ciutat de Barcelona 2019 : convocatòria","","text","info:eu-repo/semantics/other",""
"Anual","","Institut Municipal de Serveis Socials (Barcelona)","","Barcelona | Barcelona | Barcelona","2019","Si","2019-03-28","2019-04-09","","","Aprovat inicialment per acord de la Comissió de Govern de 09-04-2019 | Aprovat definitivament per l'Institut Municipal de Serveis Socials de 24-04-2019","","","","","application/pdf","4 documents (5 fitxers)","application/pdf","","Exp. núm. 2019009 | Exp. Núm. 20190095","Butlletí Oficial de la Província de Barcelona (09-04-2019) | Gaseta Municipal de Barcelona (10-04-2019) | Butlletí Oficial de la Província de Barcelona (13-04-2019) | Gaseta Municipal de Barcelona (14-05-2019)","organismes autònoms","","http://hdl.handle.net/11703/113702","cat","","","","","","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Assistència social | Asistencia social | Public welfare | Subvencions | Subvenciones públicas | Subsidies | Infants | Niños | Children | Adolescents | Adolescentes | Teenagers | Persones desfavorides | Marginados sociales | People with social disabilities","Societat i benestar","ajuts i subvencions","","Fons extraordinari per ajuts puntuals d'urgència social, per a famílies de Barcelona amb infants i/o adolescents menors de 16 anys 2019 : convocatòria i bases","","text","info:eu-repo/semantics/other",""
"","","Institut Municipal de Persones amb Discapacitat (Barcelona) | Àrea de Drets Socials, Justícia Global, Feminismes i LGTBI","","Barcelona | Barcelona | Barcelona","2018 | 2019","Si","2019-11-22","2019-11-26","","2019-11-27","Aprovada per resolució del gerent de l'Institut Municipal de Persones amb Discapacitat de 22-11-2019 | Requereix les Bases aprovades per la Comissió de Govern de 06-11-2014 [http://hdl.handle.net/11703/87052]","","","","","application/pdf","2 p.","application/pdf","","","Butlletí Oficial de la Província de Barcelona (26-11-2019)","organismes autònoms","","http://hdl.handle.net/11703/116049","cat","","","","","","","","","","","http://hdl.handle.net/11703/87052","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos locals | Discapacitats | Vehicles de motor | Local taxation | People with disabilities | Motor vehicles | Impuestos locales | Personas con discapacidad | Vehículos de motor","Societat i benestar | Transport","ajuts i subvencions","","Subvencions per a titulars de vehicles privats adaptats per al transport de persones amb discapacitat, subjectes a l'impost sobre vehicles de tracció mecànica 2018 i 2019 : convocatòria","","text","info:eu-repo/semantics/other",""
"","","Institut Municipal de Persones amb Discapacitat (Barcelona)","","Barcelona | Barcelona | Barcelona","2019","Si","2019-03-25","2019-03-27","","2019-03-28","","","","","","application/pdf","8 p.","application/pdf","","","Butlletí Oficial de la Província de Barcelona (27-03-2019)","organismes autònoms","","http://hdl.handle.net/11703/113496","cat","","","","","","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Integració social | Integración social | Social integration | Discapacitats mentals | Disminuidos mentales | People with mental disabilities | Ocupació | Empleo | Employment (Economic theory)","Societat i benestar","ajuts i subvencions","","Subvencions a projectes d'inclusió laboral de persones amb discapacitat en el mercat ordinari 2019","","text","info:eu-repo/semantics/other",""
"","","Ajuntament de Barcelona","","Barcelona | Barcelona | Barcelona","2004","","2003-12-30","2004-01-30","","","Aprovada per Decret de l'Alcaldia de 30-12-2003","","","","","application/pdf","","application/pdf",12542.0,"","Gaseta Municipal de Barcelona, núm.  3 (30-01-2004)","","","http://hdl.handle.net/11703/87013","cat","","","","","","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Indústria de la construcció | Impostos | Construction industry | Taxation | Industria de la construcción | Impuestos","Hisenda","ajuts i subvencions","","Impost de construccions, instal·lacions i obres per la construcció d'habitatges de protecció oficial 2004 : convocatòria i bases","","text","info:eu-repo/semantics/other",""
"","","Ajuntament de Barcelona","","Barcelona | Barcelona | Barcelona","2012 | 2013","","2013-07-08","2013-07-10","","","Aprovat per Decret de l'Alcaldia 08-07-2013","","","","","application/pdf","","application/pdf",11568.0,"","Gaseta Municipal de Barcelona, núm.  21 (10-07-2013)","","","http://hdl.handle.net/11703/86994","cat","","","","","","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Subvencions | Assistència social | Subsidies | Public welfare | Subvenciones públicas | Asistencia social","Hisenda | Societat i benestar","ajuts i subvencions","","Ajuts econòmics dels Fons d'Acció Social 2012 (2a convocatòria) : bases","","text","info:eu-repo/semantics/other",""
"","Obert","Consorci Mercat de les Flors","","Barcelona | Barcelona | Barcelona","2019","Si","2019-10-30","2019-12-11","","2019-12-12","Aprovades pel Consell General del Consorci del Mercat de les Flors de 30-10-2019 | Bases requerides per la Convocatòria d'Ajuts a la creació d'El Graner, Fàbrica de Creació 2020 [http://hdl.handle.net/11703/116127]","","","","","application/pdf","7 p.","application/pdf","","","Butlletí Oficial de la Província de Barcelona (11-12-2019)","consorcis","","http://hdl.handle.net/11703/116125","cat","","","","","","","","http://hdl.handle.net/11703/116127","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Dansa | Dance | Creació literària, artística, etc. | Creation (Literary, artistic, etc.) | Danza | Creación literaria, artística, etc.","Cultura i oci","ajuts i subvencions","","Ajuts i beques del Consorci Mercat de les Flors per a concursos d'activitats i/o projectes de suport a la creació, investigació, producció i difusió de la dansa, les arts de moviment i altres art similars 2019 : bases","","text","info:eu-repo/semantics/other",""
"","","Consorci de l'Habitatge de Barcelona","","Barcelona | Barcelona | Barcelona","2015","","2015-04-27","2015-09-04","","2015-04-27","","","","","","application/pdf","7 p.","application/pdf","","","Butlletí Oficial de la Província de Barcelona (04-09-2015)","consorcis","","http://hdl.handle.net/11703/84241","cat","","","","","","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Dret a l'habitatge | Habitatge de lloguer | Ajuda econòmica | Arrendament | Persones desfavorides | Right to housing | Rental housing | Economic assistance | Leases | People with social disabilities | Derecho a la vivienda | Vivienda de alquiler | Ayuda económica | Arrendamiento | Marginados sociales","Economia","ajuts i subvencions","","Prestacions econòmiques d'urgència social derivades de la mediació a Barcelona  2015: convocatòria","","text","info:eu-repo/semantics/other",""
"","","Ajuntament de Barcelona","","Barcelona | Barcelona | Barcelona","2013","","2011-12-28","2012-01-18","","","Aprovada per Decret de l'Alcaldia de 28-12-2011","","","","","application/pdf","","application/pdf",11008.0,"","Butlletí Oficial de la Província de Barcelona (18-01-2012)","","","http://hdl.handle.net/11703/86987","cat","","","","","","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","","Ocupació","ajuts i subvencions","","Contractes de formació per a joves en el marc del Projecte Joves amb Futur 2012 : convocatòria i bases","","text","info:eu-repo/semantics/other",""
"","","Àrea de Treball, Economia i Planificació Estratègica | Àrea d'Empresa, Cultura i Innovació","","Barcelona | Barcelona | Barcelona","2016","No","2016-07-28","2016-08-09","","2016-08-10","Aprovació inicial per la Comissió de Govern de 28-07-2016 | No s'ha presentat cap al·legació, per tant, estan definitivament aprovades","","","","","application/pdf","6 p.","application/pdf","","","Butlletí Oficial de la Província de Barcelona (09-08-2016)","","","http://hdl.handle.net/11703/98610","cat","","","","","","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Empreses petites i mitjanes | Small business | Pequeñas y medianas empresas","Ocupació | Economia","ajuts i subvencions","Programa Barcelona : Afavorint la Continuïtat Empresarial 2016-","Programa Barcelona : afavorint la continuïtat empresarial 2016 : subvencions a persones empresàries individuals i microempreses : convocatòria i bases","Subvencions per a persones físiques o jurídiques que adquireixin una empresa de fins a 10 treballadors/es ubicada a la ciutat de Barcelona 2016 : convocatòria i bases","text","info:eu-repo/semantics/other",""
"","","Institut Municipal del Paisatge Urbà i la Qualitat de Vida (Barcelona)","","Barcelona | Barcelona | Barcelona","2020","Si","2020-02-26","2020-03-03","","2020-03-04","Aprovació inicial per la presidència de l'Institut Municipal del Paisatge Urbà i Qualitat de Vida de 20-12-2019 | Aprovació definitiva per la presidència de l'Institut Municipal del Paisatge Urbà i Qualitat de Vida de 26-02-2020","","","","","application/pdf","17 p.","application/pdf","","","Butlletí Oficial de la Província de Barcelona (03-03-2020)","organismes autònoms","Mandat 2019-","http://hdl.handle.net/11703/117634","cat","","","","","","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Concurs de Cobertes Verdes | Concurs de Cobertes Verdes | Concurs de Cobertes Verdes | Cobertes verdes | Green roofs (Gardening) | Techos verdes | Terrats | Flat roofs | Tejados","Medi ambient","ajuts i subvencions","","Concurs de cobertes verdes a la ciutat de Barcelona 2020 : convocatòria i bases","Segon Concurs de cobertes verdes a la ciutat de Barcelona 2020","text","info:eu-repo/semantics/other",""
"","","Ajuntament de Barcelona","","Barcelona | Barcelona | Barcelona","2010","","2010-06-22","2010-07-02","","","Aprovada per Decret de l'Alcaldia de 22-06-2010","","","","","application/pdf","","application/pdf",12497.0,"","Butlletí Oficial de la Província de Barcelona 02-07-2010","","","http://hdl.handle.net/11703/87003","cat","","","","","","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Escoles | Schools | Escuelas","Educació","ajuts i subvencions","","Desenvolupament del Pla d'Acció de l'Agenda 21 Escolar 2010 : convocatòria i bases","","text","info:eu-repo/semantics/other",""
"","","Àrea de Drets Socials | Institut Municipal de Persones amb Discapacitat (Barcelona)","","Barcelona | Barcelona | Barcelona","","","2018-10-09","2018-10-15","","","Aprovació inicial per la Presidenta de l'Institut Municipal de Persones amb Discapacitat el 09-10-2018. No s'ha presentat cap al·legació, per tant, estan definitivament aprovades","","","","","application/pdf","5 p.","application/pdf","","","Butlletí Oficial de la Província de Barcelona (09-10-2018)","organismes autònoms","","http://hdl.handle.net/11703/112544","cat","","","","","","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Emprenedoria | Emprendedores | Entrepreneurship | Comerç | Comercio | Commerce | Formació | Formación | Training","Societat i benestar","ajuts i subvencions","Programa de Formació i Acompanyament en l’Emprenedoria per a la Gestió del Comerç de Proximitat 2018-","Bases generals reguladores del Programa de Formació i Acompanyament en l’Emprenedoria per a la Gestió del Comerç de Proximitat, impulsat per l’Institut Municipal de Persones amb Discapacitat de l’Ajuntament de Barcelona","","text","info:eu-repo/semantics/other",""
