"﻿""Any""","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Sexe","Any_alta_padro","Nombre"
2020,8,"Nou Barris",55,"Ciutat Meridiana","Dona","D'1 a 5 anys",1495
2020,8,"Nou Barris",56,"Vallbona","Dona","D'1 a 5 anys",149
2020,9,"Sant Andreu",57,"la Trinitat Vella","Dona","D'1 a 5 anys",1236
2020,9,"Sant Andreu",58,"Baró de Viver","Dona","D'1 a 5 anys",248
2020,9,"Sant Andreu",59,"el Bon Pastor","Dona","D'1 a 5 anys",1395
2020,9,"Sant Andreu",60,"Sant Andreu","Dona","D'1 a 5 anys",4447
2020,9,"Sant Andreu",61,"la Sagrera","Dona","D'1 a 5 anys",2761
2020,9,"Sant Andreu",62,"el Congrés i els Indians","Dona","D'1 a 5 anys",1400
2020,9,"Sant Andreu",63,"Navas","Dona","D'1 a 5 anys",2044
2020,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Dona","D'1 a 5 anys",4259
2020,10,"Sant Martí",65,"el Clot","Dona","D'1 a 5 anys",2523
2020,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Dona","D'1 a 5 anys",1765
2020,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Dona","D'1 a 5 anys",922
2020,10,"Sant Martí",68,"el Poblenou","Dona","D'1 a 5 anys",3603
2020,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Dona","D'1 a 5 anys",1424
2020,10,"Sant Martí",70,"el Besòs i el Maresme","Dona","D'1 a 5 anys",3051
2020,10,"Sant Martí",71,"Provençals del Poblenou","Dona","D'1 a 5 anys",2100
2020,10,"Sant Martí",72,"Sant Martí de Provençals","Dona","D'1 a 5 anys",2202
2020,10,"Sant Martí",73,"la Verneda i la Pau","Dona","D'1 a 5 anys",2464
2020,1,"Ciutat Vella",1,"el Raval","Dona","De 6 a 15 anys",5589
2020,1,"Ciutat Vella",2,"el Barri Gòtic","Dona","De 6 a 15 anys",1442
2020,1,"Ciutat Vella",3,"la Barceloneta","Dona","De 6 a 15 anys",1217
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Dona","De 6 a 15 anys",2251
2020,2,"Eixample",5,"el Fort Pienc","Dona","De 6 a 15 anys",3385
2020,2,"Eixample",6,"la Sagrada Família","Dona","De 6 a 15 anys",5043
2020,2,"Eixample",7,"la Dreta de l'Eixample","Dona","De 6 a 15 anys",4573
2020,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Dona","De 6 a 15 anys",4417
2020,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Dona","De 6 a 15 anys",5787
2020,2,"Eixample",10,"Sant Antoni","Dona","De 6 a 15 anys",4015
2020,3,"Sants-Montjuïc",11,"el Poble Sec","Dona","De 6 a 15 anys",4641
2020,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Dona","De 6 a 15 anys",111
2020,3,"Sants-Montjuïc",13,"la Marina de Port","Dona","De 6 a 15 anys",3339
2020,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Dona","De 6 a 15 anys",1033
2020,3,"Sants-Montjuïc",15,"Hostafrancs","Dona","De 6 a 15 anys",1710
2020,3,"Sants-Montjuïc",16,"la Bordeta","Dona","De 6 a 15 anys",2014
2020,3,"Sants-Montjuïc",17,"Sants - Badal","Dona","De 6 a 15 anys",2664
2020,3,"Sants-Montjuïc",18,"Sants","Dona","De 6 a 15 anys",4447
2020,4,"Les Corts",19,"les Corts","Dona","De 6 a 15 anys",4644
2020,4,"Les Corts",20,"la Maternitat i Sant Ramon","Dona","De 6 a 15 anys",2342
2020,4,"Les Corts",21,"Pedralbes","Dona","De 6 a 15 anys",1369
2020,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Dona","De 6 a 15 anys",564
2020,5,"Sarrià-Sant Gervasi",23,"Sarrià","Dona","De 6 a 15 anys",3017
2020,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Dona","De 6 a 15 anys",1936
2020,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Dona","De 6 a 15 anys",2987
2020,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Dona","De 6 a 15 anys",5479
2020,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Dona","De 6 a 15 anys",3402
2020,6,"Gràcia",28,"Vallcarca i els Penitents","Dona","De 6 a 15 anys",1750
2020,6,"Gràcia",29,"el Coll","Dona","De 6 a 15 anys",817
2020,6,"Gràcia",30,"la Salut","Dona","De 6 a 15 anys",1361
2020,6,"Gràcia",31,"la Vila de Gràcia","Dona","De 6 a 15 anys",5520
2020,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Dona","De 6 a 15 anys",3410
2020,7,"Horta-Guinardó",33,"el Baix Guinardó","Dona","De 6 a 15 anys",2584
2020,7,"Horta-Guinardó",34,"Can Baró","Dona","De 6 a 15 anys",953
2020,7,"Horta-Guinardó",35,"el Guinardó","Dona","De 6 a 15 anys",3995
2020,7,"Horta-Guinardó",36,"la Font d'en Fargues","Dona","De 6 a 15 anys",876
2020,7,"Horta-Guinardó",37,"el Carmel","Dona","De 6 a 15 anys",3357
2020,7,"Horta-Guinardó",38,"la Teixonera","Dona","De 6 a 15 anys",1162
2020,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Dona","De 6 a 15 anys",734
2020,7,"Horta-Guinardó",40,"Montbau","Dona","De 6 a 15 anys",448
2020,7,"Horta-Guinardó",41,"la Vall d'Hebron","Dona","De 6 a 15 anys",536
2020,7,"Horta-Guinardó",42,"la Clota","Dona","De 6 a 15 anys",63
2020,7,"Horta-Guinardó",43,"Horta","Dona","De 6 a 15 anys",2642
2020,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Dona","De 6 a 15 anys",2622
2020,8,"Nou Barris",45,"Porta","Dona","De 6 a 15 anys",2811
2020,8,"Nou Barris",46,"el Turó de la Peira","Dona","De 6 a 15 anys",1973
2020,8,"Nou Barris",47,"Can Peguera","Dona","De 6 a 15 anys",242
2020,8,"Nou Barris",48,"la Guineueta","Dona","De 6 a 15 anys",1456
2020,8,"Nou Barris",49,"Canyelles","Dona","De 6 a 15 anys",556
2020,8,"Nou Barris",50,"les Roquetes","Dona","De 6 a 15 anys",1777
2020,8,"Nou Barris",51,"Verdun","Dona","De 6 a 15 anys",1390
2020,8,"Nou Barris",52,"la Prosperitat","Dona","De 6 a 15 anys",2746
2020,8,"Nou Barris",53,"la Trinitat Nova","Dona","De 6 a 15 anys",895
2020,8,"Nou Barris",54,"Torre Baró","Dona","De 6 a 15 anys",446
2020,8,"Nou Barris",55,"Ciutat Meridiana","Dona","De 6 a 15 anys",1410
2020,8,"Nou Barris",56,"Vallbona","Dona","De 6 a 15 anys",217
2020,9,"Sant Andreu",57,"la Trinitat Vella","Dona","De 6 a 15 anys",1316
2020,9,"Sant Andreu",58,"Baró de Viver","Dona","De 6 a 15 anys",315
