"﻿""Any""","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Lloc_de_destinacio","Nombre"
2019,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Principat d'Astúries",2
2019,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Principat d'Astúries",8
2019,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Principat d'Astúries",8
2019,6,"Gràcia",28,"Vallcarca i els Penitents","Principat d'Astúries",0
2019,6,"Gràcia",29,"el Coll","Principat d'Astúries",1
2019,6,"Gràcia",30,"la Salut","Principat d'Astúries",1
2019,6,"Gràcia",31,"la Vila de Gràcia","Principat d'Astúries",10
2019,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Principat d'Astúries",7
2019,7,"Horta-Guinardó",33,"el Baix Guinardó","Principat d'Astúries",5
2019,7,"Horta-Guinardó",34,"Can Baró","Principat d'Astúries",0
2019,7,"Horta-Guinardó",35,"el Guinardó","Principat d'Astúries",12
2019,7,"Horta-Guinardó",36,"la Font d'en Fargues","Principat d'Astúries",1
2019,7,"Horta-Guinardó",37,"el Carmel","Principat d'Astúries",0
2019,7,"Horta-Guinardó",38,"la Teixonera","Principat d'Astúries",1
2019,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Principat d'Astúries",2
2019,7,"Horta-Guinardó",40,"Montbau","Principat d'Astúries",0
2019,7,"Horta-Guinardó",41,"la Vall d'Hebron","Principat d'Astúries",0
2019,7,"Horta-Guinardó",42,"la Clota","Principat d'Astúries",0
2019,7,"Horta-Guinardó",43,"Horta","Principat d'Astúries",1
2019,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Principat d'Astúries",5
2019,8,"Nou Barris",45,"Porta","Principat d'Astúries",0
2019,8,"Nou Barris",46,"el Turó de la Peira","Principat d'Astúries",2
2019,8,"Nou Barris",47,"Can Peguera","Principat d'Astúries",0
2019,8,"Nou Barris",48,"la Guineueta","Principat d'Astúries",3
2019,8,"Nou Barris",49,"Canyelles","Principat d'Astúries",0
2019,8,"Nou Barris",50,"les Roquetes","Principat d'Astúries",1
2019,8,"Nou Barris",51,"Verdun","Principat d'Astúries",0
2019,8,"Nou Barris",52,"la Prosperitat","Principat d'Astúries",3
2019,8,"Nou Barris",53,"la Trinitat Nova","Principat d'Astúries",0
2019,8,"Nou Barris",54,"Torre Baró","Principat d'Astúries",0
2019,8,"Nou Barris",55,"Ciutat Meridiana","Principat d'Astúries",1
2019,8,"Nou Barris",56,"Vallbona","Principat d'Astúries",0
2019,9,"Sant Andreu",57,"la Trinitat Vella","Principat d'Astúries",1
2019,9,"Sant Andreu",58,"Baró de Viver","Principat d'Astúries",0
2019,9,"Sant Andreu",59,"el Bon Pastor","Principat d'Astúries",4
2019,9,"Sant Andreu",60,"Sant Andreu","Principat d'Astúries",5
2019,9,"Sant Andreu",61,"la Sagrera","Principat d'Astúries",0
2019,9,"Sant Andreu",62,"el Congrés i els Indians","Principat d'Astúries",0
2019,9,"Sant Andreu",63,"Navas","Principat d'Astúries",0
2019,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Principat d'Astúries",10
2019,10,"Sant Martí",65,"el Clot","Principat d'Astúries",0
2019,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Principat d'Astúries",2
2019,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Principat d'Astúries",7
2019,10,"Sant Martí",68,"el Poblenou","Principat d'Astúries",7
2019,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Principat d'Astúries",1
2019,10,"Sant Martí",70,"el Besòs i el Maresme","Principat d'Astúries",5
2019,10,"Sant Martí",71,"Provençals del Poblenou","Principat d'Astúries",2
2019,10,"Sant Martí",72,"Sant Martí de Provençals","Principat d'Astúries",0
2019,10,"Sant Martí",73,"la Verneda i la Pau","Principat d'Astúries",4
2019,1,"Ciutat Vella",1,"el Raval","Illes Balears",98
2019,1,"Ciutat Vella",2,"el Barri Gòtic","Illes Balears",51
2019,1,"Ciutat Vella",3,"la Barceloneta","Illes Balears",39
2019,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Illes Balears",40
2019,2,"Eixample",5,"el Fort Pienc","Illes Balears",39
2019,2,"Eixample",6,"la Sagrada Família","Illes Balears",63
2019,2,"Eixample",7,"la Dreta de l'Eixample","Illes Balears",75
2019,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Illes Balears",78
2019,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Illes Balears",93
2019,2,"Eixample",10,"Sant Antoni","Illes Balears",60
2019,3,"Sants-Montjuïc",11,"el Poble Sec","Illes Balears",59
2019,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Illes Balears",1
2019,3,"Sants-Montjuïc",13,"la Marina de Port","Illes Balears",13
2019,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Illes Balears",14
2019,3,"Sants-Montjuïc",15,"Hostafrancs","Illes Balears",21
2019,3,"Sants-Montjuïc",16,"la Bordeta","Illes Balears",17
2019,3,"Sants-Montjuïc",17,"Sants - Badal","Illes Balears",19
2019,3,"Sants-Montjuïc",18,"Sants","Illes Balears",44
2019,4,"Les Corts",19,"les Corts","Illes Balears",40
2019,4,"Les Corts",20,"la Maternitat i Sant Ramon","Illes Balears",20
2019,4,"Les Corts",21,"Pedralbes","Illes Balears",14
2019,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Illes Balears",8
2019,5,"Sarrià-Sant Gervasi",23,"Sarrià","Illes Balears",45
2019,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Illes Balears",24
2019,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Illes Balears",55
2019,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Illes Balears",96
2019,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Illes Balears",45
2019,6,"Gràcia",28,"Vallcarca i els Penitents","Illes Balears",8
2019,6,"Gràcia",29,"el Coll","Illes Balears",7
2019,6,"Gràcia",30,"la Salut","Illes Balears",11
2019,6,"Gràcia",31,"la Vila de Gràcia","Illes Balears",60
2019,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Illes Balears",24
2019,7,"Horta-Guinardó",33,"el Baix Guinardó","Illes Balears",22
2019,7,"Horta-Guinardó",34,"Can Baró","Illes Balears",11
2019,7,"Horta-Guinardó",35,"el Guinardó","Illes Balears",23
2019,7,"Horta-Guinardó",36,"la Font d'en Fargues","Illes Balears",2
2019,7,"Horta-Guinardó",37,"el Carmel","Illes Balears",10
2019,7,"Horta-Guinardó",38,"la Teixonera","Illes Balears",9
2019,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Illes Balears",7
2019,7,"Horta-Guinardó",40,"Montbau","Illes Balears",2
2019,7,"Horta-Guinardó",41,"la Vall d'Hebron","Illes Balears",8
2019,7,"Horta-Guinardó",42,"la Clota","Illes Balears",1
2019,7,"Horta-Guinardó",43,"Horta","Illes Balears",16
2019,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Illes Balears",12
2019,8,"Nou Barris",45,"Porta","Illes Balears",16
2019,8,"Nou Barris",46,"el Turó de la Peira","Illes Balears",8
2019,8,"Nou Barris",47,"Can Peguera","Illes Balears",1
2019,8,"Nou Barris",48,"la Guineueta","Illes Balears",5
2019,8,"Nou Barris",49,"Canyelles","Illes Balears",1
2019,8,"Nou Barris",50,"les Roquetes","Illes Balears",2
2019,8,"Nou Barris",51,"Verdun","Illes Balears",4
2019,8,"Nou Barris",52,"la Prosperitat","Illes Balears",10
2019,8,"Nou Barris",53,"la Trinitat Nova","Illes Balears",1
2019,8,"Nou Barris",54,"Torre Baró","Illes Balears",2
2019,8,"Nou Barris",55,"Ciutat Meridiana","Illes Balears",2
2019,8,"Nou Barris",56,"Vallbona","Illes Balears",0
2019,9,"Sant Andreu",57,"la Trinitat Vella","Illes Balears",7
2019,9,"Sant Andreu",58,"Baró de Viver","Illes Balears",3
2019,9,"Sant Andreu",59,"el Bon Pastor","Illes Balears",9
2019,9,"Sant Andreu",60,"Sant Andreu","Illes Balears",18
2019,9,"Sant Andreu",61,"la Sagrera","Illes Balears",24
