"Anys_Periode","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Nombre"
"2009-2013",7,"Horta-Guinardó",43,"Horta",459
"2009-2013",8,"Nou Barris",44,"Vilapicina i la Torre Llobeta",389
"2009-2013",8,"Nou Barris",45,"Porta",363
"2009-2013",8,"Nou Barris",46,"el Turó de la Peira",193
"2009-2013",8,"Nou Barris",47,"Can Peguera",20
"2009-2013",8,"Nou Barris",48,"la Guineueta",213
"2009-2013",8,"Nou Barris",49,"Canyelles",90
"2009-2013",8,"Nou Barris",50,"les Roquetes",183
"2009-2013",8,"Nou Barris",51,"Verdun",155
"2009-2013",8,"Nou Barris",52,"la Prosperitat",327
"2009-2013",8,"Nou Barris",53,"la Trinitat Nova",86
"2009-2013",8,"Nou Barris",54,"Torre Baró",28
"2009-2013",8,"Nou Barris",55,"Ciutat Meridiana",114
"2009-2013",8,"Nou Barris",56,"Vallbona",15
"2009-2013",9,"Sant Andreu",57,"la Trinitat Vella",168
"2009-2013",9,"Sant Andreu",58,"Baró de Viver",29
"2009-2013",9,"Sant Andreu",59,"el Bon Pastor",267
"2009-2013",9,"Sant Andreu",60,"Sant Andreu",1084
"2009-2013",9,"Sant Andreu",61,"la Sagrera",442
"2009-2013",9,"Sant Andreu",62,"el Congrés i els Indians",220
"2009-2013",9,"Sant Andreu",63,"Navas",334
"2009-2013",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",639
"2009-2013",10,"Sant Martí",65,"el Clot",474
"2009-2013",10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou",243
"2009-2013",10,"Sant Martí",67,"la Vila Olímpica del Poblenou",237
"2009-2013",10,"Sant Martí",68,"el Poblenou",826
"2009-2013",10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou",438
"2009-2013",10,"Sant Martí",70,"el Besòs i el Maresme",257
"2009-2013",10,"Sant Martí",71,"Provençals del Poblenou",417
"2009-2013",10,"Sant Martí",72,"Sant Martí de Provençals",390
"2009-2013",10,"Sant Martí",73,"la Verneda i la Pau",356
"2009-2013",99,"No consta",99,"No consta",1076
"2010-2014",1,"Ciutat Vella",1,"el Raval",659
"2010-2014",1,"Ciutat Vella",2,"el Barri Gòtic",218
"2010-2014",1,"Ciutat Vella",3,"la Barceloneta",156
"2010-2014",1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",372
"2010-2014",2,"Eixample",5,"el Fort Pienc",536
"2010-2014",2,"Eixample",6,"la Sagrada Família",871
"2010-2014",2,"Eixample",7,"la Dreta de l'Eixample",1010
"2010-2014",2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",817
"2010-2014",2,"Eixample",9,"la Nova Esquerra de l'Eixample",989
"2010-2014",2,"Eixample",10,"Sant Antoni",640
