"﻿""Any""","Codi_districte","Nom_districte","Codi_barri","Nom_barri","Nacionalitat","Nombre"
2020,7,"Horta-Guinardó",34,"Can Baró","Tots estrangers",372
2020,7,"Horta-Guinardó",35,"el Guinardó","Tots estrangers",1220
2020,7,"Horta-Guinardó",36,"la Font d'en Fargues","Tots estrangers",156
2020,7,"Horta-Guinardó",37,"el Carmel","Tots estrangers",1110
2020,7,"Horta-Guinardó",38,"la Teixonera","Tots estrangers",408
2020,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Tots estrangers",208
2020,7,"Horta-Guinardó",40,"Montbau","Tots estrangers",145
2020,7,"Horta-Guinardó",41,"la Vall d'Hebron","Tots estrangers",103
2020,7,"Horta-Guinardó",42,"la Clota","Tots estrangers",22
2020,7,"Horta-Guinardó",43,"Horta","Tots estrangers",502
2020,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Tots estrangers",633
2020,8,"Nou Barris",45,"Porta","Tots estrangers",713
2020,8,"Nou Barris",46,"el Turó de la Peira","Tots estrangers",595
2020,8,"Nou Barris",47,"Can Peguera","Tots estrangers",41
2020,8,"Nou Barris",48,"la Guineueta","Tots estrangers",196
2020,8,"Nou Barris",49,"Canyelles","Tots estrangers",58
2020,8,"Nou Barris",50,"les Roquetes","Tots estrangers",661
2020,8,"Nou Barris",51,"Verdun","Tots estrangers",480
2020,8,"Nou Barris",52,"la Prosperitat","Tots estrangers",709
2020,8,"Nou Barris",53,"la Trinitat Nova","Tots estrangers",273
2020,8,"Nou Barris",54,"Torre Baró","Tots estrangers",84
2020,8,"Nou Barris",55,"Ciutat Meridiana","Tots estrangers",548
2020,8,"Nou Barris",56,"Vallbona","Tots estrangers",36
2020,9,"Sant Andreu",57,"la Trinitat Vella","Tots estrangers",537
2020,9,"Sant Andreu",58,"Baró de Viver","Tots estrangers",56
2020,9,"Sant Andreu",59,"el Bon Pastor","Tots estrangers",280
2020,9,"Sant Andreu",60,"Sant Andreu","Tots estrangers",954
2020,9,"Sant Andreu",61,"la Sagrera","Tots estrangers",731
2020,9,"Sant Andreu",62,"el Congrés i els Indians","Tots estrangers",383
2020,9,"Sant Andreu",63,"Navas","Tots estrangers",663
2020,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Tots estrangers",1747
2020,10,"Sant Martí",65,"el Clot","Tots estrangers",948
2020,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Tots estrangers",846
2020,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Tots estrangers",504
2020,10,"Sant Martí",68,"el Poblenou","Tots estrangers",1888
2020,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Tots estrangers",765
2020,10,"Sant Martí",70,"el Besòs i el Maresme","Tots estrangers",1248
2020,10,"Sant Martí",71,"Provençals del Poblenou","Tots estrangers",794
2020,10,"Sant Martí",72,"Sant Martí de Provençals","Tots estrangers",669
2020,10,"Sant Martí",73,"la Verneda i la Pau","Tots estrangers",699
2020,1,"Ciutat Vella",1,"el Raval","Domicilis mixtos",3702
2020,1,"Ciutat Vella",2,"el Barri Gòtic","Domicilis mixtos",1163
2020,1,"Ciutat Vella",3,"la Barceloneta","Domicilis mixtos",933
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Domicilis mixtos",1721
2020,2,"Eixample",5,"el Fort Pienc","Domicilis mixtos",1691
2020,2,"Eixample",6,"la Sagrada Família","Domicilis mixtos",2788
2020,2,"Eixample",7,"la Dreta de l'Eixample","Domicilis mixtos",2405
2020,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Domicilis mixtos",2425
2020,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Domicilis mixtos",2979
2020,2,"Eixample",10,"Sant Antoni","Domicilis mixtos",2269
2020,3,"Sants-Montjuïc",11,"el Poble Sec","Domicilis mixtos",2753
2020,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Domicilis mixtos",43
2020,3,"Sants-Montjuïc",13,"la Marina de Port","Domicilis mixtos",1342
2020,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Domicilis mixtos",537
2020,3,"Sants-Montjuïc",15,"Hostafrancs","Domicilis mixtos",908
2020,3,"Sants-Montjuïc",16,"la Bordeta","Domicilis mixtos",800
2020,3,"Sants-Montjuïc",17,"Sants - Badal","Domicilis mixtos",1271
2020,3,"Sants-Montjuïc",18,"Sants","Domicilis mixtos",2070
2020,4,"Les Corts",19,"les Corts","Domicilis mixtos",1679
2020,4,"Les Corts",20,"la Maternitat i Sant Ramon","Domicilis mixtos",888
