"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Sexe","CCAA","Província naixement","Nombre"
2019,3,"Sants-Montjuïc",15,"Hostafrancs","Dona","Andalusia","Còrdova",48
2019,3,"Sants-Montjuïc",16,"la Bordeta","Dona","Andalusia","Còrdova",104
2019,3,"Sants-Montjuïc",17,"Sants - Badal","Dona","Andalusia","Còrdova",143
2019,3,"Sants-Montjuïc",18,"Sants","Dona","Andalusia","Còrdova",137
2019,4,"Les Corts",19,"les Corts","Dona","Andalusia","Còrdova",107
2019,4,"Les Corts",20,"la Maternitat i Sant Ramon","Dona","Andalusia","Còrdova",97
2019,4,"Les Corts",21,"Pedralbes","Dona","Andalusia","Còrdova",24
2019,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Dona","Andalusia","Còrdova",12
2019,5,"Sarrià-Sant Gervasi",23,"Sarrià","Dona","Andalusia","Còrdova",27
2019,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Dona","Andalusia","Còrdova",16
2019,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Dona","Andalusia","Còrdova",38
2019,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Dona","Andalusia","Còrdova",52
2019,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Dona","Andalusia","Còrdova",36
2019,6,"Gràcia",28,"Vallcarca i els Penitents","Dona","Andalusia","Còrdova",43
2019,6,"Gràcia",29,"el Coll","Dona","Andalusia","Còrdova",32
2019,6,"Gràcia",30,"la Salut","Dona","Andalusia","Còrdova",39
2019,6,"Gràcia",31,"la Vila de Gràcia","Dona","Andalusia","Còrdova",105
2019,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Dona","Andalusia","Còrdova",90
2019,7,"Horta-Guinardó",33,"el Baix Guinardó","Dona","Andalusia","Còrdova",80
2019,7,"Horta-Guinardó",34,"Can Baró","Dona","Andalusia","Còrdova",47
2019,7,"Horta-Guinardó",35,"el Guinardó","Dona","Andalusia","Còrdova",120
2019,7,"Horta-Guinardó",36,"la Font d'en Fargues","Dona","Andalusia","Còrdova",46
2019,7,"Horta-Guinardó",37,"el Carmel","Dona","Andalusia","Còrdova",313
2019,7,"Horta-Guinardó",38,"la Teixonera","Dona","Andalusia","Còrdova",94
2019,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Dona","Andalusia","Còrdova",60
2019,7,"Horta-Guinardó",40,"Montbau","Dona","Andalusia","Còrdova",21
2019,7,"Horta-Guinardó",41,"la Vall d'Hebron","Dona","Andalusia","Còrdova",23
2019,7,"Horta-Guinardó",42,"la Clota","Dona","Andalusia","Còrdova",2
2019,7,"Horta-Guinardó",43,"Horta","Dona","Andalusia","Còrdova",148
2019,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Dona","Andalusia","Còrdova",150
2019,8,"Nou Barris",45,"Porta","Dona","Andalusia","Còrdova",188
2019,8,"Nou Barris",46,"el Turó de la Peira","Dona","Andalusia","Còrdova",81
2019,8,"Nou Barris",47,"Can Peguera","Dona","Andalusia","Còrdova",14
2019,8,"Nou Barris",48,"la Guineueta","Dona","Andalusia","Còrdova",155
2019,8,"Nou Barris",49,"Canyelles","Dona","Andalusia","Còrdova",84
2019,8,"Nou Barris",50,"les Roquetes","Dona","Andalusia","Còrdova",174
2019,8,"Nou Barris",51,"Verdun","Dona","Andalusia","Còrdova",125
