"Anys_Periode","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Nombre"
"2008-2012",7,"Horta-Guinardó",41,"la Vall d'Hebron",890.0
"2008-2012",7,"Horta-Guinardó",42,"la Clota",1009.9
"2008-2012",7,"Horta-Guinardó",43,"Horta",947.5
"2008-2012",8,"Nou Barris",44,"Vilapicina i la Torre Llobeta",872.7
"2008-2012",8,"Nou Barris",45,"Porta",863.8
"2008-2012",8,"Nou Barris",46,"el Turó de la Peira",831.2
"2008-2012",8,"Nou Barris",47,"Can Peguera",1196.4
"2008-2012",8,"Nou Barris",48,"la Guineueta",917.2
"2008-2012",8,"Nou Barris",49,"Canyelles",903.2
"2008-2012",8,"Nou Barris",50,"les Roquetes",1040.2
"2008-2012",8,"Nou Barris",51,"Verdun",916.2
"2008-2012",8,"Nou Barris",52,"la Prosperitat",848.5
"2008-2012",8,"Nou Barris",53,"la Trinitat Nova",1098.6
"2008-2012",8,"Nou Barris",54,"Torre Baró",1480.8
"2008-2012",8,"Nou Barris",55,"Ciutat Meridiana",941.0
"2008-2012",8,"Nou Barris",56,"Vallbona",1158.5
"2008-2012",9,"Sant Andreu",57,"la Trinitat Vella",881.6
"2008-2012",9,"Sant Andreu",58,"Baró de Viver",1157.7
"2008-2012",9,"Sant Andreu",59,"el Bon Pastor",1038.2
"2008-2012",9,"Sant Andreu",60,"Sant Andreu",854.9
"2008-2012",9,"Sant Andreu",61,"la Sagrera",803.7
"2008-2012",9,"Sant Andreu",62,"el Congrés i els Indians",811.1
"2008-2012",9,"Sant Andreu",63,"Navas",814.7
"2008-2012",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",801.3
"2008-2012",10,"Sant Martí",65,"el Clot",841.7
"2008-2012",10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou",898.1
"2008-2012",10,"Sant Martí",67,"la Vila Olímpica del Poblenou",742.0
"2008-2012",10,"Sant Martí",68,"el Poblenou",960.2
"2008-2012",10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou",846.0
"2008-2012",10,"Sant Martí",70,"el Besòs i el Maresme",949.9
"2008-2012",10,"Sant Martí",71,"Provençals del Poblenou",891.4
"2008-2012",10,"Sant Martí",72,"Sant Martí de Provençals",890.6
"2008-2012",10,"Sant Martí",73,"la Verneda i la Pau",905.8
"2009-2013",1,"Ciutat Vella",1,"el Raval",1064.1
"2009-2013",1,"Ciutat Vella",2,"el Barri Gòtic",1028.2
"2009-2013",1,"Ciutat Vella",3,"la Barceloneta",1048.6
"2009-2013",1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",919.4
