"﻿""Any""","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Sexe","Edat_quinquennal","Nombre"
2020,10,"Sant Martí",73,"la Verneda i la Pau","Dona","40-44 anys",78
2020,1,"Ciutat Vella",1,"el Raval","Dona","45-49 anys",194
2020,1,"Ciutat Vella",2,"el Barri Gòtic","Dona","45-49 anys",74
2020,1,"Ciutat Vella",3,"la Barceloneta","Dona","45-49 anys",71
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Dona","45-49 anys",130
2020,2,"Eixample",5,"el Fort Pienc","Dona","45-49 anys",111
2020,2,"Eixample",6,"la Sagrada Família","Dona","45-49 anys",240
2020,2,"Eixample",7,"la Dreta de l'Eixample","Dona","45-49 anys",199
2020,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Dona","45-49 anys",169
2020,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Dona","45-49 anys",255
2020,2,"Eixample",10,"Sant Antoni","Dona","45-49 anys",153
2020,3,"Sants-Montjuïc",11,"el Poble Sec","Dona","45-49 anys",180
2020,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Dona","45-49 anys",4
2020,3,"Sants-Montjuïc",13,"la Marina de Port","Dona","45-49 anys",93
2020,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Dona","45-49 anys",46
2020,3,"Sants-Montjuïc",15,"Hostafrancs","Dona","45-49 anys",82
2020,3,"Sants-Montjuïc",16,"la Bordeta","Dona","45-49 anys",60
2020,3,"Sants-Montjuïc",17,"Sants - Badal","Dona","45-49 anys",98
2020,3,"Sants-Montjuïc",18,"Sants","Dona","45-49 anys",212
2020,4,"Les Corts",19,"les Corts","Dona","45-49 anys",153
2020,4,"Les Corts",20,"la Maternitat i Sant Ramon","Dona","45-49 anys",73
2020,4,"Les Corts",21,"Pedralbes","Dona","45-49 anys",23
2020,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Dona","45-49 anys",10
2020,5,"Sarrià-Sant Gervasi",23,"Sarrià","Dona","45-49 anys",79
2020,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Dona","45-49 anys",37
2020,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Dona","45-49 anys",73
2020,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Dona","45-49 anys",169
2020,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Dona","45-49 anys",150
2020,6,"Gràcia",28,"Vallcarca i els Penitents","Dona","45-49 anys",70
2020,6,"Gràcia",29,"el Coll","Dona","45-49 anys",35
2020,6,"Gràcia",30,"la Salut","Dona","45-49 anys",56
2020,6,"Gràcia",31,"la Vila de Gràcia","Dona","45-49 anys",325
2020,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Dona","45-49 anys",164
2020,7,"Horta-Guinardó",33,"el Baix Guinardó","Dona","45-49 anys",103
2020,7,"Horta-Guinardó",34,"Can Baró","Dona","45-49 anys",40
2020,7,"Horta-Guinardó",35,"el Guinardó","Dona","45-49 anys",159
2020,7,"Horta-Guinardó",36,"la Font d'en Fargues","Dona","45-49 anys",39
2020,7,"Horta-Guinardó",37,"el Carmel","Dona","45-49 anys",104
2020,7,"Horta-Guinardó",38,"la Teixonera","Dona","45-49 anys",45
2020,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Dona","45-49 anys",22
2020,7,"Horta-Guinardó",40,"Montbau","Dona","45-49 anys",18
2020,7,"Horta-Guinardó",41,"la Vall d'Hebron","Dona","45-49 anys",21
2020,7,"Horta-Guinardó",42,"la Clota","Dona","45-49 anys",5
2020,7,"Horta-Guinardó",43,"Horta","Dona","45-49 anys",111
2020,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Dona","45-49 anys",108
2020,8,"Nou Barris",45,"Porta","Dona","45-49 anys",122
2020,8,"Nou Barris",46,"el Turó de la Peira","Dona","45-49 anys",56
2020,8,"Nou Barris",47,"Can Peguera","Dona","45-49 anys",9
2020,8,"Nou Barris",48,"la Guineueta","Dona","45-49 anys",42
2020,8,"Nou Barris",49,"Canyelles","Dona","45-49 anys",13
2020,8,"Nou Barris",50,"les Roquetes","Dona","45-49 anys",52
2020,8,"Nou Barris",51,"Verdun","Dona","45-49 anys",73
2020,8,"Nou Barris",52,"la Prosperitat","Dona","45-49 anys",94
2020,8,"Nou Barris",53,"la Trinitat Nova","Dona","45-49 anys",19
2020,8,"Nou Barris",54,"Torre Baró","Dona","45-49 anys",8
2020,8,"Nou Barris",55,"Ciutat Meridiana","Dona","45-49 anys",25
2020,8,"Nou Barris",56,"Vallbona","Dona","45-49 anys",5
2020,9,"Sant Andreu",57,"la Trinitat Vella","Dona","45-49 anys",28
2020,9,"Sant Andreu",58,"Baró de Viver","Dona","45-49 anys",7
2020,9,"Sant Andreu",59,"el Bon Pastor","Dona","45-49 anys",30
2020,9,"Sant Andreu",60,"Sant Andreu","Dona","45-49 anys",250
2020,9,"Sant Andreu",61,"la Sagrera","Dona","45-49 anys",92
2020,9,"Sant Andreu",62,"el Congrés i els Indians","Dona","45-49 anys",60
2020,9,"Sant Andreu",63,"Navas","Dona","45-49 anys",72
2020,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Dona","45-49 anys",168
2020,10,"Sant Martí",65,"el Clot","Dona","45-49 anys",96
2020,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Dona","45-49 anys",55
2020,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Dona","45-49 anys",35
2020,10,"Sant Martí",68,"el Poblenou","Dona","45-49 anys",164
2020,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Dona","45-49 anys",62
2020,10,"Sant Martí",70,"el Besòs i el Maresme","Dona","45-49 anys",55
2020,10,"Sant Martí",71,"Provençals del Poblenou","Dona","45-49 anys",51
2020,10,"Sant Martí",72,"Sant Martí de Provençals","Dona","45-49 anys",97
2020,10,"Sant Martí",73,"la Verneda i la Pau","Dona","45-49 anys",71
2020,1,"Ciutat Vella",1,"el Raval","Dona","50-54 anys",162
2020,1,"Ciutat Vella",2,"el Barri Gòtic","Dona","50-54 anys",65
2020,1,"Ciutat Vella",3,"la Barceloneta","Dona","50-54 anys",79
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Dona","50-54 anys",129
2020,2,"Eixample",5,"el Fort Pienc","Dona","50-54 anys",105
2020,2,"Eixample",6,"la Sagrada Família","Dona","50-54 anys",212
2020,2,"Eixample",7,"la Dreta de l'Eixample","Dona","50-54 anys",194
2020,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Dona","50-54 anys",190
2020,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Dona","50-54 anys",205
2020,2,"Eixample",10,"Sant Antoni","Dona","50-54 anys",173
2020,3,"Sants-Montjuïc",11,"el Poble Sec","Dona","50-54 anys",184
2020,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Dona","50-54 anys",4
2020,3,"Sants-Montjuïc",13,"la Marina de Port","Dona","50-54 anys",106
2020,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Dona","50-54 anys",27
2020,3,"Sants-Montjuïc",15,"Hostafrancs","Dona","50-54 anys",72
2020,3,"Sants-Montjuïc",16,"la Bordeta","Dona","50-54 anys",68
2020,3,"Sants-Montjuïc",17,"Sants - Badal","Dona","50-54 anys",104
2020,3,"Sants-Montjuïc",18,"Sants","Dona","50-54 anys",205
2020,4,"Les Corts",19,"les Corts","Dona","50-54 anys",158
2020,4,"Les Corts",20,"la Maternitat i Sant Ramon","Dona","50-54 anys",65
2020,4,"Les Corts",21,"Pedralbes","Dona","50-54 anys",29
2020,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Dona","50-54 anys",16
2020,5,"Sarrià-Sant Gervasi",23,"Sarrià","Dona","50-54 anys",87
2020,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Dona","50-54 anys",45
2020,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Dona","50-54 anys",70
2020,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Dona","50-54 anys",150
2020,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Dona","50-54 anys",145
2020,6,"Gràcia",28,"Vallcarca i els Penitents","Dona","50-54 anys",65
2020,6,"Gràcia",29,"el Coll","Dona","50-54 anys",35
2020,6,"Gràcia",30,"la Salut","Dona","50-54 anys",44
2020,6,"Gràcia",31,"la Vila de Gràcia","Dona","50-54 anys",283
2020,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Dona","50-54 anys",157
2020,7,"Horta-Guinardó",33,"el Baix Guinardó","Dona","50-54 anys",90
2020,7,"Horta-Guinardó",34,"Can Baró","Dona","50-54 anys",38
2020,7,"Horta-Guinardó",35,"el Guinardó","Dona","50-54 anys",175
