"CODI_EQUIPAMENT","EQUIPAMENT","SECCIO","TIPUS_VIA","NOM_CARRER","NUM_CARRER_1","NUM_CARRER_2","CODI_BARRI","NUM_BARRI","CODI_DISTRICTE","NOM_DISTRICTE","CODI_POSTAL","CODI_POBLACIO","POBLACIO","LATITUD","LONGITUD","X_ETRS89","Y_ETRS89","X_ED50","Y_ED50","TELEFON_NUM","TELEFON_TIPUS","TELEFON_INFO_COM","HORARI_PERIODE_INICI","HORARI_PERIODE_FI","HORARI_DIES","HORARI_HORES_INICI","HORARI_HORES_FI","HORARI_OBSERVACIONS","3ER_NIVELL","2N_NIVELL","1ER_NIVELL","Unnamed: 32"
99400286207,"Contenidor de Sal *Torre de Sant Salvador","#","Camí","Torre de Sansalvador",9,9,22,"Vallvidrera, el Tibidabo i les Planes",5,"Sarrià-Sant Gervasi",8017,19,"BARCELONA",41.411901,2.1055740000000003,425247.28,4584869.588,425339.164,4585070.547,"","","","","","","","","","Contenidors de sal","Medi ambient","Medi ambient",""
99400475486,"Contenidor de Sal *Hospital de la Santa Creu i Sant Pau - Sant Quintí - Reinaxença","#","C","Sant Quintí",95,95,35,"el Guinardó",7,"Horta-Guinardó",8041,19,"BARCELONA",41.415088,2.175816,431121.224,4585165.185,431213.162,4585366.149,"","","","","","","","","","Contenidors de sal","Medi ambient","Medi ambient",""
99400475493,"Contenidor de Sal *Hospital Vall d'Hebron","#","Pg","Vall d'Hebron",117,117,40,"Montbau",7,"Horta-Guinardó",8035,19,"BARCELONA",41.425727,2.1423900000000002,428339.446,4586373.46,428431.35799999995,4586574.433999999,"","","","","","","","","","Contenidors de sal","Medi ambient","Medi ambient",""
99400475507,"Contenidor de Sal *Font Balliarda","#","C","Font Baliarda",1,1,43,"Horta",7,"Horta-Guinardó",8035,19,"BARCELONA",41.44146,2.155993,429493.144,4588108.864,429585.066,4588309.853999999,"","","","","","","","","","Contenidors de sal","Medi ambient","Medi ambient",""
99400475526,"Contenidor de Sal *Boix - Lligabosc","#","C","Lligabosc",29,29,22,"Vallvidrera, el Tibidabo i les Planes",5,"Sarrià-Sant Gervasi",8017,19,"BARCELONA",41.424707,2.098986,424711.45200000005,4586296.978,424803.331,4586497.95,"","","","","","","","","","Contenidors de sal","Medi ambient","Medi ambient",""
99400475530,"Contenidor de Sal *Bohemis - Ptge Anemone","#","C","Bohemis",2,2,22,"Vallvidrera, el Tibidabo i les Planes",5,"Sarrià-Sant Gervasi",8017,19,"BARCELONA",41.424513,2.097495,424586.61799999996,4586276.779,424678.495,4586477.751,"","","","","","","","","","Contenidors de sal","Medi ambient","Medi ambient",""
99400475531,"Contenidor de Sal *Cami Balasch - Camí Can Castellvi","#","Camí","Can Castellví",12,12,22,"Vallvidrera, el Tibidabo i les Planes",5,"Sarrià-Sant Gervasi",8017,19,"BARCELONA",41.42025,2.082042,423290.381,4585817.04,423382.24700000003,4586018.007,"","","","","","","","","","Contenidors de sal","Medi ambient","Medi ambient",""
99400475537,"Contenidor de Sal *Bosc - Gratallops","#","C","Gratallops",40,40,23,"Sarrià",5,"Sarrià-Sant Gervasi",8017,19,"BARCELONA",41.413101,2.1108130000000003,425686.459,4584998.28,425778.347,4585199.24,"","","","","","","","","","Contenidors de sal","Medi ambient","Medi ambient",""
99400475540,"Contenidor de Sal *Bosc - Santpedor","#","C","Santpedor",34,34,23,"Sarrià",5,"Sarrià-Sant Gervasi",8017,19,"BARCELONA",41.412059,2.110284,425641.089,4584883.053,425732.976,4585084.012,"","","","","","","","","","Contenidors de sal","Medi ambient","Medi ambient",""
99400475543,"Contenidor de Sal *Ctra Aigües 67","#","Ctra","Aigües",67,67,22,"Vallvidrera, el Tibidabo i les Planes",5,"Sarrià-Sant Gervasi",8017,19,"BARCELONA",41.40252,2.10564,425242.016,4583828.103,425333.9,4584029.052,"","","","","","","","","","Contenidors de sal","Medi ambient","Medi ambient",""
