"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Tipus_Vehicles","Antiguitat","Nombre"
2019,"1","Ciutat Vella","3","la Barceloneta","Motos","1 any",120
2019,"1","Ciutat Vella","3","la Barceloneta","Motos","2 anys",83
2019,"1","Ciutat Vella","3","la Barceloneta","Motos","3 anys",97
2019,"1","Ciutat Vella","3","la Barceloneta","Motos","4 anys",82
2019,"1","Ciutat Vella","3","la Barceloneta","Motos","5 anys",52
2019,"1","Ciutat Vella","3","la Barceloneta","Motos","6 anys",205
2019,"1","Ciutat Vella","3","la Barceloneta","Motos","7 anys",62
2019,"1","Ciutat Vella","3","la Barceloneta","Motos","8 anys",58
2019,"1","Ciutat Vella","3","la Barceloneta","Motos","9 anys",81
2019,"1","Ciutat Vella","3","la Barceloneta","Motos","10 anys",77
2019,"1","Ciutat Vella","3","la Barceloneta","Motos","D'11 a 20 anys",629
2019,"1","Ciutat Vella","3","la Barceloneta","Motos","Més de 20 anys",186
2019,"1","Ciutat Vella","3","la Barceloneta","Motos","No consta",1
2019,"1","Ciutat Vella","3","la Barceloneta","Ciclomotors","Menys d'un any d'antiguitat",9
2019,"1","Ciutat Vella","3","la Barceloneta","Ciclomotors","1 any",6
2019,"1","Ciutat Vella","3","la Barceloneta","Ciclomotors","2 anys",6
2019,"1","Ciutat Vella","3","la Barceloneta","Ciclomotors","3 anys",9
2019,"1","Ciutat Vella","3","la Barceloneta","Ciclomotors","4 anys",5
2019,"1","Ciutat Vella","3","la Barceloneta","Ciclomotors","5 anys",4
2019,"1","Ciutat Vella","3","la Barceloneta","Ciclomotors","6 anys",8
2019,"1","Ciutat Vella","3","la Barceloneta","Ciclomotors","7 anys",12
2019,"1","Ciutat Vella","3","la Barceloneta","Ciclomotors","8 anys",7
2019,"1","Ciutat Vella","3","la Barceloneta","Ciclomotors","9 anys",8
2019,"1","Ciutat Vella","3","la Barceloneta","Ciclomotors","10 anys",9
2019,"1","Ciutat Vella","3","la Barceloneta","Ciclomotors","D'11 a 20 anys",425
2019,"1","Ciutat Vella","3","la Barceloneta","Ciclomotors","Més de 20 anys",3
2019,"1","Ciutat Vella","3","la Barceloneta","Furgonetes","Menys d'un any d'antiguitat",12
2019,"1","Ciutat Vella","3","la Barceloneta","Furgonetes","1 any",13
2019,"1","Ciutat Vella","3","la Barceloneta","Furgonetes","2 anys",8
2019,"1","Ciutat Vella","3","la Barceloneta","Furgonetes","3 anys",20
2019,"1","Ciutat Vella","3","la Barceloneta","Furgonetes","4 anys",18
2019,"1","Ciutat Vella","3","la Barceloneta","Furgonetes","5 anys",20
2019,"1","Ciutat Vella","3","la Barceloneta","Furgonetes","6 anys",9
2019,"1","Ciutat Vella","3","la Barceloneta","Furgonetes","7 anys",11
2019,"1","Ciutat Vella","3","la Barceloneta","Furgonetes","8 anys",15
2019,"1","Ciutat Vella","3","la Barceloneta","Furgonetes","9 anys",11
2019,"1","Ciutat Vella","3","la Barceloneta","Furgonetes","10 anys",35
2019,"1","Ciutat Vella","3","la Barceloneta","Furgonetes","D'11 a 20 anys",225
2019,"1","Ciutat Vella","3","la Barceloneta","Furgonetes","Més de 20 anys",52
2019,"1","Ciutat Vella","3","la Barceloneta","Camions","Menys d'un any d'antiguitat",1
2019,"1","Ciutat Vella","3","la Barceloneta","Camions","1 any",1
2019,"1","Ciutat Vella","3","la Barceloneta","Camions","2 anys",4
2019,"1","Ciutat Vella","3","la Barceloneta","Camions","3 anys",5
2019,"1","Ciutat Vella","3","la Barceloneta","Camions","4 anys",2
2019,"1","Ciutat Vella","3","la Barceloneta","Camions","5 anys",2
2019,"1","Ciutat Vella","3","la Barceloneta","Camions","6 anys",2
2019,"1","Ciutat Vella","3","la Barceloneta","Camions","7 anys",5
2019,"1","Ciutat Vella","3","la Barceloneta","Camions","8 anys",5
2019,"1","Ciutat Vella","3","la Barceloneta","Camions","9 anys",1
2019,"1","Ciutat Vella","3","la Barceloneta","Camions","10 anys",2
2019,"1","Ciutat Vella","3","la Barceloneta","Camions","D'11 a 20 anys",68
2019,"1","Ciutat Vella","3","la Barceloneta","Camions","Més de 20 anys",13
2019,"1","Ciutat Vella","3","la Barceloneta","Altres vehicles","Menys d'un any d'antiguitat",3
2019,"1","Ciutat Vella","3","la Barceloneta","Altres vehicles","1 any",1
2019,"1","Ciutat Vella","3","la Barceloneta","Altres vehicles","2 anys",4
2019,"1","Ciutat Vella","3","la Barceloneta","Altres vehicles","3 anys",1
2019,"1","Ciutat Vella","3","la Barceloneta","Altres vehicles","4 anys",1
2019,"1","Ciutat Vella","3","la Barceloneta","Altres vehicles","5 anys",1
2019,"1","Ciutat Vella","3","la Barceloneta","Altres vehicles","7 anys",2
2019,"1","Ciutat Vella","3","la Barceloneta","Altres vehicles","8 anys",2
2019,"1","Ciutat Vella","3","la Barceloneta","Altres vehicles","9 anys",2
2019,"1","Ciutat Vella","3","la Barceloneta","Altres vehicles","10 anys",3
2019,"1","Ciutat Vella","3","la Barceloneta","Altres vehicles","D'11 a 20 anys",46
2019,"1","Ciutat Vella","3","la Barceloneta","Altres vehicles","Més de 20 anys",26
2019,"1","Ciutat Vella","3","la Barceloneta","Altres vehicles","No consta",1
2019,"1","Ciutat Vella","4","Sant Pere, Santa Caterina i la Ribera","Turismes","Menys d'un any d'antiguitat",133
2019,"1","Ciutat Vella","4","Sant Pere, Santa Caterina i la Ribera","Turismes","1 any",177
2019,"1","Ciutat Vella","4","Sant Pere, Santa Caterina i la Ribera","Turismes","2 anys",192
2019,"1","Ciutat Vella","4","Sant Pere, Santa Caterina i la Ribera","Turismes","3 anys",188
2019,"1","Ciutat Vella","4","Sant Pere, Santa Caterina i la Ribera","Turismes","4 anys",144
2019,"1","Ciutat Vella","4","Sant Pere, Santa Caterina i la Ribera","Turismes","5 anys",137
2019,"1","Ciutat Vella","4","Sant Pere, Santa Caterina i la Ribera","Turismes","6 anys",106
2019,"1","Ciutat Vella","4","Sant Pere, Santa Caterina i la Ribera","Turismes","7 anys",123
2019,"1","Ciutat Vella","4","Sant Pere, Santa Caterina i la Ribera","Turismes","8 anys",109
2019,"1","Ciutat Vella","4","Sant Pere, Santa Caterina i la Ribera","Turismes","9 anys",131
