"Any","Codi_Districte","Nom_Districte","Codi_Barri","Desc_Barri","Tipus_vehicle","Nombre"
2018,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Furgonetes",8.0
2018,7,"Horta-Guinardó",40,"Montbau","Furgonetes",2.0
2018,7,"Horta-Guinardó",41,"la Vall d'Hebron","Furgonetes",9.0
2018,7,"Horta-Guinardó",42,"la Clota","Furgonetes",1.0
2018,7,"Horta-Guinardó",43,"Horta","Furgonetes",22.0
2018,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Furgonetes",33.0
2018,8,"Nou Barris",45,"Porta","Furgonetes",21.0
2018,8,"Nou Barris",46,"el Turó de la Peira","Furgonetes",15.0
2018,8,"Nou Barris",47,"Can Peguera","Furgonetes",5.0
2018,8,"Nou Barris",48,"la Guineueta","Furgonetes",10.0
2018,8,"Nou Barris",49,"Canyelles","Furgonetes",7.0
2018,8,"Nou Barris",50,"les Roquetes","Furgonetes",12.0
2018,8,"Nou Barris",51,"Verdun","Furgonetes",18.0
2018,8,"Nou Barris",52,"la Prosperitat","Furgonetes",17.0
2018,8,"Nou Barris",53,"la Trinitat Nova","Furgonetes",7.0
2018,8,"Nou Barris",54,"Torre Baró","Furgonetes",4.0
2018,8,"Nou Barris",55,"Ciutat Meridiana","Furgonetes",6.0
2018,8,"Nou Barris",56,"Vallbona","Furgonetes",2.0
2018,9,"Sant Andreu",57,"la Trinitat Vella","Furgonetes",14.0
2018,9,"Sant Andreu",58,"Baró de Viver","Furgonetes",3.0
2018,9,"Sant Andreu",59,"el Bon Pastor","Furgonetes",26.0
2018,9,"Sant Andreu",60,"Sant Andreu","Furgonetes",56.0
2018,9,"Sant Andreu",61,"la Sagrera","Furgonetes",17.0
2018,9,"Sant Andreu",62,"el Congrés i els Indians","Furgonetes",11.0
2018,9,"Sant Andreu",63,"Navas","Furgonetes",12.0
2018,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Furgonetes",29.0
2018,10,"Sant Martí",65,"el Clot","Furgonetes",27.0
2018,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Furgonetes",38.0
2018,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Furgonetes",15.0
2018,10,"Sant Martí",68,"el Poblenou","Furgonetes",23.0
2018,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Furgonetes",9.0
2018,10,"Sant Martí",70,"el Besòs i el Maresme","Furgonetes",18.0
2018,10,"Sant Martí",71,"Provençals del Poblenou","Furgonetes",83.0
2018,10,"Sant Martí",72,"Sant Martí de Provençals","Furgonetes",25.0
2018,10,"Sant Martí",73,"la Verneda i la Pau","Furgonetes",44.0
2018,99,"No consta",99,"No consta","Furgonetes",0.0
2018,1,"Ciutat Vella",1,"el Raval","Camions",1.0
2018,1,"Ciutat Vella",2,"el Barri Gòtic","Camions",10.0
2018,1,"Ciutat Vella",3,"la Barceloneta","Camions",2.0
2018,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Camions",3.0
2018,2,"Eixample",5,"el Fort Pienc","Camions",10.0
2018,2,"Eixample",6,"la Sagrada Família","Camions",7.0
2018,2,"Eixample",7,"la Dreta de l'Eixample","Camions",16.0
2018,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Camions",11.0
2018,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Camions",9.0
2018,2,"Eixample",10,"Sant Antoni","Camions",8.0
2018,3,"Sants-Montjuïc",11,"el Poble Sec - AEI Parc Montjuïc","Camions",7.0
2018,3,"Sants-Montjuïc",12,"la Marina del Prat Vermelll - AEI Zona Franca","Camions",123.0
2018,3,"Sants-Montjuïc",13,"la Marina de Port","Camions",7.0
2018,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Camions",1.0
2018,3,"Sants-Montjuïc",15,"Hostafrancs","Camions",1.0
2018,3,"Sants-Montjuïc",16,"la Bordeta","Camions",2.0
2018,3,"Sants-Montjuïc",17,"Sants - Badal","Camions",2.0
2018,3,"Sants-Montjuïc",18,"Sants","Camions",3.0
2018,4,"Les Corts",19,"les Corts","Camions",7.0
2018,4,"Les Corts",20,"la Maternitat i Sant Ramon","Camions",3.0
2018,4,"Les Corts",21,"Pedralbes","Camions",3.0
