"CODI_EQUIPAMENT","EQUIPAMENT","SECCIO","TIPUS_VIA","NOM_CARRER","NUM_CARRER_1","NUM_CARRER_2","CODI_BARRI","NUM_BARRI","CODI_DISTRICTE","NOM_DISTRICTE","CODI_POSTAL","CODI_POBLACIO","POBLACIO","LATITUD","LONGITUD","X_ETRS89","Y_ETRS89","X_ED50","Y_ED50","TELEFON_NUM","TELEFON_TIPUS","TELEFON_INFO_COM","HORARI_PERIODE_INICI","HORARI_PERIODE_FI","HORARI_DIES","HORARI_HORES_INICI","HORARI_HORES_FI","HORARI_OBSERVACIONS","3ER_NIVELL","2N_NIVELL","1ER_NIVELL","Unnamed: 32"
99400174011,"Punt de Recollida d'Arbres a Rovira i Virgili-Gran de Sant Andreu","#","C","Rovira i Virgili",4,4,60,"Sant Andreu",9,"Sant Andreu",8030,19,"BARCELONA",41.427898,2.190516,432363.071,4586575.695,432455.02,4586776.672,"","","","07/01","17/01",0,"00:00:00","23:59:00","","Punt de recollida d'arbres de Nadal","Medi ambient","Medi ambient",""
99400174011,"Punt de Recollida d'Arbres a Rovira i Virgili-Gran de Sant Andreu","#","C","Rovira i Virgili",4,4,60,"Sant Andreu",9,"Sant Andreu",8030,19,"BARCELONA",41.427898,2.190516,432363.071,4586575.695,432455.02,4586776.672,"","","","07/01","17/01",0,"00:00:00","23:59:00","","","Recollida d'arbres","Planol",""
99400174012,"Punt de Recollida d'Arbres als Jardins de Joaquim Ruyra","#","C","Entença",328,328,19,"les Corts",4,"Les Corts",8029,19,"BARCELONA",41.390389,2.138387,427965.945,4582453.536,428057.855,4582654.473999999,"","","","07/01","17/01",0,"00:00:00","23:59:00","","","Recollida d'arbres","Planol",""
99400174012,"Punt de Recollida d'Arbres als Jardins de Joaquim Ruyra","#","C","Entença",328,328,19,"les Corts",4,"Les Corts",8029,19,"BARCELONA",41.390389,2.138387,427965.945,4582453.536,428057.855,4582654.473999999,"","","","07/01","17/01",0,"00:00:00","23:59:00","","Punt de recollida d'arbres de Nadal","Medi ambient","Medi ambient",""
99400174015,"Punt de Recollida d'Arbres a Acàcies-Garcilaso-Passeig Maragall","#","C","Acàcies",1,1,62,"el Congrés i els Indians",9,"Sant Andreu",8027,19,"BARCELONA",41.423929,2.1781770000000003,431327.87700000004,4586144.84,431419.81700000004,4586345.813,"","","","07/01","17/01",0,"00:00:00","23:59:00","","Punt de recollida d'arbres de Nadal","Medi ambient","Medi ambient",""
99400174015,"Punt de Recollida d'Arbres a Acàcies-Garcilaso-Passeig Maragall","#","C","Acàcies",1,1,62,"el Congrés i els Indians",9,"Sant Andreu",8027,19,"BARCELONA",41.423929,2.1781770000000003,431327.87700000004,4586144.84,431419.81700000004,4586345.813,"","","","07/01","17/01",0,"00:00:00","23:59:00","","","Recollida d'arbres","Planol",""
99400174016,"Punt de Recollida d'Arbres als Jardins de Bacardí","#","Trav","Corts",122,122,20,"la Maternitat i Sant Ramon",4,"Les Corts",8028,19,"BARCELONA",41.379967,2.126015,426919.862,4581306.841,427011.76200000005,4581507.768,"","","","07/01","17/01",0,"00:00:00","23:59:00","","Punt de recollida d'arbres de Nadal","Medi ambient","Medi ambient",""
99400174016,"Punt de Recollida d'Arbres als Jardins de Bacardí","#","Trav","Corts",122,122,20,"la Maternitat i Sant Ramon",4,"Les Corts",8028,19,"BARCELONA",41.379967,2.126015,426919.862,4581306.841,427011.76200000005,4581507.768,"","","","07/01","17/01",0,"00:00:00","23:59:00","","","Recollida d'arbres","Planol",""
99400174017,"Punt de Recollida d'Arbres a la Plaça Can Rosés","#","Pl","Can Rosés",1,1,19,"les Corts",4,"Les Corts",8029,19,"BARCELONA",41.387923,2.135282,427703.566,4582182.411,427795.473,4582383.346,"","","","07/01","17/01",0,"00:00:00","23:59:00","","","Recollida d'arbres","Planol",""
99400174017,"Punt de Recollida d'Arbres a la Plaça Can Rosés","#","Pl","Can Rosés",1,1,19,"les Corts",4,"Les Corts",8029,19,"BARCELONA",41.387923,2.135282,427703.566,4582182.411,427795.473,4582383.346,"","","","07/01","17/01",0,"00:00:00","23:59:00","","Punt de recollida d'arbres de Nadal","Medi ambient","Medi ambient",""
