"Any","Indicador","Equipament","Valor","Notes_Dades","Notes_Equipament","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Titularitat","TipusGeneral","TipusEquipament","Ambit","Latitud","Longitud"
2019,"Inscripcions de les activitats de formacio","Centre Cívic El Sortidor",2615,"","",3,"Sants-Montjuïc",11,"el Poble-sec","Municipal","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.372066796999995,2.1625317280000003
2019,"Inscripcions de les activitats de formacio","Centre Cultural Albareda",1262,"","",3,"Sants-Montjuïc",11,"el Poble-sec","Municipal","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.373999934000004,2.173269239
2019,"Inscripcions de les activitats de formacio","Centre Cívic Can Basté",2379,"","",8,"Nou Barris",46,"el Turó de la Peira","Municipal","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.430458546,2.173212158
2019,"Inscripcions de les activitats de formacio","Centre Cívic Sarrià",1884,"","",5,"Sarrià-Sant Gervasi",23,"Sarrià","Municipal","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.393871979000004,2.121163587
2019,"Inscripcions de les activitats de formacio","Centre Cívic La Sagrera",2176,"","",9,"Sant Andreu",61,"la Sagrera","Municipal","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.423942321,2.189139414
2019,"Inscripcions de les activitats de formacio","Centre Cívic Tomasa Cuevas - Les Corts",2070,"","",4,"Les Corts",19,"les Corts","Municipal","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.384783744,2.1283183969999997
2019,"Inscripcions de les activitats de formacio","Centre Cívic Cotxeres de Sants",12313,"Inclou les dades del Casinet d'Hostafrancs.","",3,"Sants-Montjuïc",18,"Sants","Municipal","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.375264199,2.136876024
2019,"Nombre d'activitats de formació","Centre Cívic Josep M. Trias i Peitx - Riera Blanca",387,"","",4,"Les Corts",20,"la Maternitat i Sant Ramon","Municipal","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.377780128000005,2.121762772
2019,"Nombre d'activitats de formació","Centre Cívic Drassanes",130,"","",1,"Ciutat Vella",1,"el Raval","Municipal","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.377644996,2.172852395
2019,"Nombre d'activitats de formació","Centre Cívic Baró de Viver",86,"","",9,"Sant Andreu",58,"Baró de Viver","Municipal","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.448391924,2.199921143
2019,"Inscripcions de les activitats de formacio","Centre Cívic Casa del Rellotge",815,"","",3,"Sants-Montjuïc",13,"la Marina de Port","Municipal","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.357544067,2.1413899219999997
