"Equipament","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Titularitat","TipusGeneral","TipusEquipament","Ambit","Latitud","Longitud","Web","Notes_Equipament"
"Centre Comarcal Lleidatà",2,"Eixample",7.0,"la Dreta de Eixample","Privada","Ateneus","Ateneus","Multidisciplinaris i altres",41.386374700000005,2.1646697,"https://www.cclleidata.cat/",""
"Centre Cultural els Catalanistes",9,"Sant Andreu",60.0,"Sant Andreu","Privada","Ateneus","Ateneus","Multidisciplinaris i altres",41.432009,2.1913912,"http://www.sant-andreu.com/entitats/catalanistes/",""
"Centre Cultural Els Propis",8,"Nou Barris",51.0,"Verdum","Privada","Ateneus","Ateneus","Multidisciplinaris i altres",41.445237799999994,2.1789977,"https://elspropis.business.site/",""
"Centre Cultural Sant Vicenç de Sarrià",5,"Sarrià-Sant Gervasi",23.0,"Sarrià","Privada","Ateneus","Ateneus","Multidisciplinaris i altres",41.400585,2.1207044000000224,"http://www.centredesarria.entitatsbcn.net/",""
"Centre Moral i Cultural del Poblenou",10,"Sant Martí",68.0,"el Poblenou","Privada","Ateneus","Ateneus","Multidisciplinaris i altres",41.401115000000004,2.200169800000026,"http://www.elcentrepoblenou.cat/",""
"Centre Moral i Instructiu de Gràcia",6,"Gràcia",31.0,"la Vila de Gràcia","Privada","Ateneus","Ateneus","Multidisciplinaris i altres",41.40108370000001,2.15471320000006,"http://elcentregracia.cat/",""
"Centre Sant Pere Apòstol",1,"Ciutat Vella",4.0,"Sant Pere, Santa Caterina i la Ribera","Privada","Ateneus","Ateneus","Multidisciplinaris i altres",41.38812720000001,2.1762837999999647,"https://www.centresantpere.cat/",""
"Cercle Catòlic de Gràcia",6,"Gràcia",31.0,"la Vila de Gràcia","Privada","Ateneus","Ateneus","Multidisciplinaris i altres",41.403731799999996,2.152953000000025,"https://www.elcercle.cat/",""
"Foment Hortenc",7,"Horta-Guinardó",43.0,"Horta","Privada","Ateneus","Ateneus","Multidisciplinaris i altres",41.430973200000004,2.1594603999999435,"https://www.fomenthortenc.cat/web2.0/",""
"Foment Martinenc",10,"Sant Martí",64.0,"el Camp de l'Arpa del Clot","Privada","Ateneus","Ateneus","Multidisciplinaris i altres",41.4104593,2.182719499999962,"http://www.fomentmartinenc.org",""
"Lluïsos d'Horta",7,"Horta-Guinardó",43.0,"Horta","Privada","Ateneus","Ateneus","Multidisciplinaris i altres",41.432317,2.1602766999999403,"https://www.lluisoshorta.cat/",""
"Lluïsos de Gràcia",6,"Gràcia",31.0,"la Vila de Gràcia","Privada","Ateneus","Ateneus","Multidisciplinaris i altres",41.4072721,2.1556355000000167,"http://lluisosdegracia.cat/",""
"Orfeó Martinenc",10,"Sant Martí",65.0,"el Clot","Privada","Ateneus","Ateneus","Multidisciplinaris i altres",41.4070588,2.1865715000000137,"http://orfeomartinenc.cat/ca/",""
