"Equipament","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Titularitat","TipusGeneral","TipusEquipament","Ambit","Latitud","Longitud","Web","Notes_Equipament"
"Castell de Montjuïc",3,"Sants-Montjuïc",11.0,"el Poble-sec","Municipal","Museus i espais d'exposicions","Museus i col·leccions","Història i memòria",41.3675648,2.1685315,"http://www.bcn.cat/castelldemontjuic",""
"Centre de Cultura Contemporània de Barcelona. CCCB",1,"Ciutat Vella",1.0,"el Raval","Consorci o fundació amb presència municipal","Museus i espais d'exposicions","Centres d'exposicions","Arts visuals",41.383883057,2.1667951519999997,"http://www.cccb.org",""
"CosmoCaixa",5,"Sarrià-Sant Gervasi",25.0,"Sant Gervasi - la Bonanova","Privada","Museus i espais d'exposicions","Museus i col·leccions","Ciència",41.413267366999996,2.130658424,"https://cosmocaixa.es/es/cosmocaixa-barcelona",""
"El Born Centre de Cultura i Memòria",1,"Ciutat Vella",4.0,"Sant Pere, Santa Caterina i la Ribera","Municipal","Museus i espais d'exposicions","Museus i col·leccions","Història i memòria",41.385641483,2.1835680440000003,"http://elborncentrecultural.bcn.cat",""
"Espai Bombers Parc de la Prevenció",3,"Sants-Montjuïc",11.0,"el Poble-sec","Municipal","Museus i espais d'exposicions","Museus i col·leccions","Història i memòria",41.373639000000004,2.1543787999999995,"https://ajuntament.barcelona.cat/espaibombers/",""
"Espais VolART i VolART2. Fundació Vila Casas",2,"Eixample",7.0,"la Dreta de Eixample","Privada","Museus i espais d'exposicions","Centres d'exposicions","Arts visuals",41.390963134,2.1752939980000003,"https://www.fundaciovilacasas.com/es/museo/espais-volart-barcelona",""
"Fabra i Coats - Centre d'Art Contemporani",9,"Sant Andreu",60.0,"Sant Andreu","Municipal","Museus i espais d'exposicions","Centres d'exposicions","Arts visuals",41.433762956,2.190815632,"http://centredart.bcn.cat",""
"Fundació Antoni Tàpies",2,"Eixample",7.0,"la Dreta de Eixample","Consorci o fundació amb presència municipal","Museus i espais d'exposicions","Museus i col·leccions","Arts visuals",41.391522171,2.163757744,"http://www.fundaciotapies.org",""
"Fundació Foto Colectania",1,"Ciutat Vella",4.0,"Sant Pere, Santa Caterina i la Ribera","Privada","Museus i espais d'exposicions","Museus i col·leccions","Arts visuals",41.3876349,2.1827391,"http://www.fotocolectania.org/",""
"Fundació Fran Daurel",3,"Sants-Montjuïc",11.0,"el Poble-sec","Privada","Museus i espais d'exposicions","Museus i col·leccions","Arts visuals",41.369116603,2.146724957,"http://www.fundaciofrandaurel.org",""
"Fundació Joan Miró",3,"Sants-Montjuïc",11.0,"el Poble-sec","Consorci o fundació amb presència municipal","Museus i espais d'exposicions","Museus i col·leccions","Arts escèniques,Arts visuals",41.368629999999996,2.1598509999999997,"https://www.fmirobcn.org/es/",""
"Fundació Suñol",4,"Les Corts",20.0,"la Maternitat i Sant Ramon","Privada","Museus i espais d'exposicions","Museus i col·leccions","Arts visuals",41.3826167,2.1262746,"http://www.fundaciosunol.org",""
"Fundación Mapfre Casa Garriga i Nogués",2,"Eixample",7.0,"la Dreta de Eixample","Privada","Museus i espais d'exposicions","Centres d'exposicions","Arts visuals",41.3888884,2.1652352,"https://www.fundacionmapfre.org",""
"Hash Marihuana Cáñamo & Hemp Museum",1,"Ciutat Vella",2.0,"el Barri Gòtic","Privada","Museus i espais d'exposicions","Museus i col·leccions","Història i memòria",41.380783393,2.180139311,"http://hashmuseum.com",""
"L'Aquàrium",1,"Ciutat Vella",2.0,"el Barri Gòtic","Privada","Museus i espais d'exposicions","Museus i col·leccions","Ciència",41.376477557,2.184560919,"http://www.aquariumbcn.com",""
"La Capella",1,"Ciutat Vella",1.0,"el Raval","Municipal","Museus i espais d'exposicions","Centres d'exposicions","Arts visuals",41.381057326,2.1697938569999997,"http://lacapella.bcn.cat",""
"La Pedrera",2,"Eixample",7.0,"la Dreta de Eixample","Privada","Museus i espais d'exposicions","Espais d'interès arquitectònic","Arts visuals",41.395316302,2.162043384,"http://www.lapedrera.com",""
"La Virreina Centre de la Imatge",1,"Ciutat Vella",1.0,"el Raval","Municipal","Museus i espais d'exposicions","Centres d'exposicions","Arts visuals",41.382498322,2.17170863,"http://lavirreina.bcn.cat",""
"MCNB Jardí Botànic de Barcelona",3,"Sants-Montjuïc",11.0,"el Poble-sec","Consorci o fundació amb presència municipal","Museus i espais d'exposicions","Museus i col·leccions","Ciència",41.361147184000004,2.152670465,"https://museuciencies.cat/el-nat/les-seus/jardi-botanic-de-barcelona/",""
"MECM Montcada",1,"Ciutat Vella",4.0,"Sant Pere, Santa Caterina i la Ribera","Municipal","Museus i espais d'exposicions","Museus i col·leccions","Arts visuals",41.3853317,2.1805103,"https://www.barcelona.cat/museu-etnologic-culturesmon/",""
"MMB Museu Marítim de Barcelona",1,"Ciutat Vella",1.0,"el Raval","Consorci o fundació amb presència municipal","Museus i espais d'exposicions","Museus i col·leccions","Història i memòria",41.375949813000005,2.176041471,"http://www.mmb.cat",""
"MUHBA Casa de l'Aigua",8,"Nou Barris",53.0,"la Trinitat Nova","Municipal","Museus i espais d'exposicions","Museus i col·leccions","Història i memòria",41.45358945,2.18753684,"",""
"MUHBA Domus Avinyó",1,"Ciutat Vella",2.0,"el Barri Gòtic","Municipal","Museus i espais d'exposicions","Museus i col·leccions","Història i memòria",41.3811464,2.1766718999999997,"http://ajuntament.barcelona.cat/museuhistoria/ca/muhba-domus-avinyo",""
"MUHBA Domus de Sant Honorat",1,"Ciutat Vella",2.0,"el Barri Gòtic","Municipal","Museus i espais d'exposicions","Museus i col·leccions","Història i memòria",41.383007,2.175869,"http://ajuntament.barcelona.cat/museuhistoria/ca/muhba-domus-de-sant-honorat",""
"MUHBA El Call",1,"Ciutat Vella",2.0,"el Barri Gòtic","Municipal","Museus i espais d'exposicions","Museus i col·leccions","Història i memòria",41.383012,2.1753970000000002,"http://ajuntament.barcelona.cat/museuhistoria/ca/muhba-el-call",""
"MUHBA Fabra i Coats",9,"Sant Andreu",60.0,"Sant Andreu","Municipal","Museus i espais d'exposicions","Museus i col·leccions","Història i memòria",41.4336755,2.1915119,"http://ajuntament.barcelona.cat/museuhistoria/es/muhba-en-fabra-i-coats",""
"MUHBA Oliva Artés",10,"Sant Martí",71.0,"Provençals del Poblenou","Municipal","Museus i espais d'exposicions","Museus i col·leccions","Història i memòria",41.408333500000005,2.201517,"http://ajuntament.barcelona.cat/museuhistoria/es/muhba-oliva-artes",""
"MUHBA Park Güell. Casa del Guarda",6,"Gràcia",30.0,"la Salut","Municipal","Museus i espais d'exposicions","Museus i col·leccions","Història i memòria",41.413478226,2.153109601,"http://ajuntament.barcelona.cat/museuhistoria/es/muhba-park-guell-casa-del-guarda",""
"MUHBA Refugi 307",3,"Sants-Montjuïc",11.0,"el Poble-sec","Municipal","Museus i espais d'exposicions","Museus i col·leccions","Història i memòria",41.371817,2.16647,"http://ajuntament.barcelona.cat/museuhistoria/es/muhba-refugi-307",""
"MUHBA Turó de la Rovira",7,"Horta-Guinardó",34.0,"Can Baró","Municipal","Museus i espais d'exposicions","Museus i col·leccions","Història i memòria",41.4194856,2.1637004,"http://ajuntament.barcelona.cat/museuhistoria/es/muhba-turo-de-la-rovira",""
"MUHBA Via Sepulcral Romana",1,"Ciutat Vella",2.0,"el Barri Gòtic","Municipal","Museus i espais d'exposicions","Museus i col·leccions","Història i memòria",41.384719,2.172543,"http://ajuntament.barcelona.cat/museuhistoria/es/muhba-sepulcral-romana",""
"MUHBA Vil·la Joana",5,"Sarrià-Sant Gervasi",22.0,"Vallvidrera, el Tibidabo i les Planes","Municipal","Museus i espais d'exposicions","Museus i col·leccions","Història i memòria",41.419737,2.0997369999999997,"http://ajuntament.barcelona.cat/museuhistoria/es/muhba-villa-joana",""
"MUHBA. Porta del Mar",1,"Ciutat Vella",2.0,"el Barri Gòtic","Municipal","Museus i espais d'exposicions","Museus i col·leccions","Història i memòria",41.381460600000004,2.1791487000000003,"http://ajuntament.barcelona.cat/museuhistoria/ca/la-porta-de-mar-i-les-termes-portuaries",""
"MUHBA. Santa Caterina",1,"Ciutat Vella",4.0,"Sant Pere, Santa Caterina i la Ribera","Municipal","Museus i espais d'exposicions","Espais d'interès arquitectònic","Història i memòria",41.386264000000004,2.178572,"http://ajuntament.barcelona.cat/museuhistoria/es/muhba-santa-caterina",""
"MUHBA. Temple d'August",1,"Ciutat Vella",2.0,"el Barri Gòtic","Municipal","Museus i espais d'exposicions","Espais d'interès arquitectònic","Història i memòria",41.384316,2.177521,"http://ajuntament.barcelona.cat/museuhistoria/es/muhba-temple-daugust",""
"Museu d'Arqueologia de Catalunya",3,"Sants-Montjuïc",11.0,"el Poble-sec","Pública no municipal","Museus i espais d'exposicions","Museus i col·leccions","Història i memòria",41.370153865,2.157646024,"http://www.mac.cat",""
"Museu d'Art Contemporani de Barcelona. MACBA",1,"Ciutat Vella",1.0,"el Raval","Consorci o fundació amb presència municipal","Museus i espais d'exposicions","Museus i col·leccions","Arts visuals",41.383145956,2.167830774,"http://www.macba.cat",""
"Museu d'Història de Barcelona. MUHBA",1,"Ciutat Vella",2.0,"el Barri Gòtic","Municipal","Museus i espais d'exposicions","Museus i col·leccions","Història i memòria",41.384316,2.177521,"http://ajuntament.barcelona.cat/museuhistoria/ca",""
"Museu d'Història de Catalunya",1,"Ciutat Vella",3.0,"la Barceloneta","Pública no municipal","Museus i espais d'exposicions","Museus i col·leccions","Història i memòria",41.380668608,2.18550348,"http://www.mhcat.cat",""
"Museu de Cera",1,"Ciutat Vella",2.0,"el Barri Gòtic","Privada","Museus i espais d'exposicions","Museus i col·leccions","Història i memòria",41.377099024,2.177442932,"http://www.museocerabcn.com",""
"Museu de Ciències Naturals de Barcelona. MCNB",10,"Sant Martí",70.0,"el Besòs i el Maresme","Consorci o fundació amb presència municipal","Museus i espais d'exposicions","Museus i col·leccions","Ciència",41.410779883000004,2.220482541,"http://www.museuciencies.bcn.cat",""
"Museu de l'Eròtica",1,"Ciutat Vella",2.0,"el Barri Gòtic","Privada","Museus i espais d'exposicions","Museus i col·leccions","Història i memòria",41.382282529,2.172714946,"",""
"Museu de la Moto",1,"Ciutat Vella",2.0,"el Barri Gòtic","Privada","Museus i espais d'exposicions","Museus i col·leccions","Història i memòria",41.383402205,2.174487766,"http://www.museumoto.com","El Museu de la Moto va tancar el 3/10/2017."
"Museu de la Música",2,"Eixample",5.0,"el Fort Pienc","Consorci o fundació amb presència municipal","Museus i espais d'exposicions","Museus i col·leccions","Història i memòria",41.398366625,2.184867722,"http://www.museumusica.bcn.es",""
"Museu de la Xocolata",1,"Ciutat Vella",4.0,"Sant Pere, Santa Caterina i la Ribera","Privada","Museus i espais d'exposicions","Museus i col·leccions","Història i memòria",41.387387733000004,2.181708405,"http://www.museuxocolata.cat",""
"Museu del Disseny de Barcelona",10,"Sant Martí",66.0,"el Parc i la Llacuna del Poblenou","Municipal","Museus i espais d'exposicions","Museus i col·leccions","Arts visuals",41.402569756999995,2.188032505,"http://www.museudeldisseny.cat",""
"Museu del Futbol Club Barcelona",4,"Les Corts",20.0,"la Maternitat i Sant Ramon","Privada","Museus i espais d'exposicions","Museus i col·leccions","Història i memòria",41.379059282,2.120267204,"http://www.fcbarcelona.cat",""
"Museu del Modernisme de Barcelona",2,"Eixample",7.0,"la Dreta de Eixample","Privada","Museus i espais d'exposicions","Museus i col·leccions","Arts visuals",41.388876026999995,2.163384936,"http://mmcat.cat",""
"Museu dels Autòmats del Tibidabo",5,"Sarrià-Sant Gervasi",22.0,"Vallvidrera, el Tibidabo i les Planes","Municipal","Museus i espais d'exposicions","Museus i col·leccions","Història i memòria",41.42174827,2.11979347,"https://www.tibidabo.cat/ca/en-el-parc/atraccions/museu-dautomats",""
"Museu Egipci de Barcelona",2,"Eixample",7.0,"la Dreta de Eixample","Privada","Museus i espais d'exposicions","Museus i col·leccions","Història i memòria",41.393626241999996,2.164736478,"http://www.museuegipci.com",""
"Museu Etnològic i de Cultures del Món. MECM",3,"Sants-Montjuïc",11.0,"el Poble-sec","Municipal","Museus i espais d'exposicions","Museus i col·leccions","Arts visuals",41.36906211,2.1559833040000003,"https://www.barcelona.cat/museu-etnologic-culturesmon/",""
"Museu Europeu d'Art Modern. MEAM",1,"Ciutat Vella",4.0,"Sant Pere, Santa Caterina i la Ribera","Privada","Museus i espais d'exposicions","Museus i col·leccions","Arts visuals",41.384912046,2.180305787,"http://www.meam.es",""
"Museu Frederic Marès",1,"Ciutat Vella",2.0,"el Barri Gòtic","Municipal","Museus i espais d'exposicions","Museus i col·leccions","Arts visuals",41.384173998,2.176939205,"http://www.museumares.bcn.cat",""
"Museu Geològic del Seminari de Barcelona",2,"Eixample",8.0,"l'Antiga Esquerra de l'Eixample","Privada","Museus i espais d'exposicions","Museus i col·leccions","Ciència",41.3882329,2.1629603,"http://www.mgsb.es",""
"Museu Marítim de Barcelona. MMB",1,"Ciutat Vella",1.0,"el Raval","Consorci o fundació amb presència municipal","Museus i espais d'exposicions","Museus i col·leccions","Història i memòria",41.375949813000005,2.176041471,"http://www.mmb.cat",""
"Museu Nacional d'Art de Catalunya. MNAC",3,"Sants-Montjuïc",11.0,"el Poble-sec","Consorci o fundació amb presència municipal","Museus i espais d'exposicions","Museus i col·leccions","Arts visuals",41.368853566,2.1533631730000002,"http://museunacional.cat",""
"Museu Olímpic i de l'Esport Joan Antoni Samaranch",3,"Sants-Montjuïc",11.0,"el Poble-sec","Municipal","Museus i espais d'exposicions","Museus i col·leccions","Història i memòria",41.366249335999996,2.157076095,"http://www.museuolimpicbcn.cat",""
"Museu Picasso",1,"Ciutat Vella",4.0,"Sant Pere, Santa Caterina i la Ribera","Consorci o fundació amb presència municipal","Museus i espais d'exposicions","Museus i col·leccions","Arts visuals",41.385152311999995,2.180834795,"http://www.museupicasso.bcn.cat",""
"Palau Güell",1,"Ciutat Vella",1.0,"el Raval","Pública no municipal","Museus i espais d'exposicions","Espais d'interès arquitectònic","Història i memòria",41.3791747,2.1744127,"http://palauguell.cat",""
"Palau Robert",2,"Eixample",7.0,"la Dreta de Eixample","Pública no municipal","Museus i espais d'exposicions","Centres d'exposicions","Arts visuals",41.396100952,2.159514266,"http://www.gencat.cat/palaurobert",""
"Park Güell",6,"Gràcia",30.0,"la Salut","Municipal","Museus i espais d'exposicions","Espais d'interès arquitectònic","Història i memòria",41.4134251,2.1531849,"https://parkguell.barcelona/",""
"Pavelló Mies van der Rohe",3,"Sants-Montjuïc",11.0,"el Poble-sec","Municipal","Museus i espais d'exposicions","Espais d'interès arquitectònic","Història i memòria",41.370666,2.149491,"http://www.miesbcn.com",""
"Recinte Modernista de Sant Pau",7,"Horta-Guinardó",35.0,"el Guinardó","Consorci o fundació amb presència municipal","Museus i espais d'exposicions","Espais d'interès arquitectònic","Història i memòria",41.41184129999999,2.1744033,"https://www.santpaubarcelona.org/",""
"Reial Monestir de Santa Maria de Pedralbes",4,"Les Corts",21.0,"Pedralbes","Municipal","Museus i espais d'exposicions","Museus i col·leccions","Història i memòria",41.395574165999996,2.112056853,"http://monestirpedralbes.bcn.cat",""
"Zoo de Barcelona",1,"Ciutat Vella",4.0,"Sant Pere, Santa Caterina i la Ribera","Municipal","Museus i espais d'exposicions","Museus i col·leccions","Ciència",41.386823,2.190346,"http://www.zoobarcelona.cat",""
"Arenas de Barcelona Multicines 3D",2,"Eixample",9.0,"la Nova Esquerra de l'Eixample","Privada","Sales de cinema","Cinemes","Audiovisuals",41.376006901,2.149957276,"https://www.grupbalana.com/cine/sales/arenas-de-barcelona-multicines/",""
"Aribau Club",2,"Eixample",8.0,"l'Antiga Esquerra de l'Eixample","Privada","Sales de cinema","Cinemes","Audiovisuals",41.384561731999995,2.1613678469999997,"",""
"Aribau Multicines",2,"Eixample",8.0,"l'Antiga Esquerra de l'Eixample","Privada","Sales de cinema","Cinemes","Audiovisuals",41.385954553000005,2.162368705,"https://www.grupbalana.com/es/cine/salas/aribau-multicines/",""
"Balmes Multicines",2,"Eixample",27.0,"el Putxet i el Farró","Privada","Sales de cinema","Cinemes","Audiovisuals",41.4071804,2.1386013999999998,"https://www.grupbalana.com/cine/sales/balmes-multicines-vo/",""
"Boliche Cinemes",5,"Sarrià-Sant Gervasi",26.0,"Sant Gervasi - Galvany","Privada","Sales de cinema","Cinemes","Audiovisuals",41.395305248,2.153688873,"http://bolichecinemes.cat",""
"Bosque Multicines",6,"Gràcia",31.0,"la Vila de Gràcia","Privada","Sales de cinema","Cinemes","Audiovisuals",41.40136605,2.151704124,"https://www.grupbalana.com/cine/sales/bosque-multicines/",""
"Cinema Maldà",1,"Ciutat Vella",2.0,"el Barri Gòtic","Privada","Sales de cinema","Cinemes","Audiovisuals",41.383570270999996,2.17314987,"http://www.cinemamalda.com",""
"Cinemes Girona",2,"Eixample",7.0,"la Dreta de Eixample","Privada","Sales de cinema","Cinemes","Audiovisuals",41.399596039,2.164612168,"http://www.cinemesgirona.cat",""
"Cinesa Diagonal",5,"Sarrià-Sant Gervasi",26.0,"Sant Gervasi - Galvany","Privada","Sales de cinema","Cinemes","Audiovisuals",41.39426894,2.1373586430000002,"https://www.cinesa.es/Cines/Diagonal",""
"Cinesa Diagonal Mar",10,"Sant Martí",35.0,"el Guinardó","Privada","Sales de cinema","Cinemes","Audiovisuals",41.4109744,2.2185808259999997,"https://www.cinesa.es/Cines/Diagonal-Mar",""
"Cinesa Heron City",8,"Nou Barris",45.0,"Porta","Privada","Sales de cinema","Cinemes","Audiovisuals",41.435093783,2.181024677,"https://www.cinesa.es/Cines/SOM-Multiespai",""
"Cinesa La Maquinista",9,"Sant Andreu",59.0,"el Bon Pastor","Privada","Sales de cinema","Cinemes","Audiovisuals",41.442744917,2.200222125,"https://www.cinesa.es/Cines/La-Maquinista",""
"Comèdia",2,"Eixample",7.0,"la Dreta de Eixample","Privada","Sales de cinema","Cinemes","Audiovisuals",41.389525773,2.1676430680000003,"http://yelmocines.es/cartelera/barcelona/yelmo-cines-comedia",""
"Filmoteca de Catalunya",1,"Ciutat Vella",1.0,"el Raval","Pública no municipal","Sales de cinema","Cinemes","Audiovisuals",41.3784206,2.1712328,"http://www.filmoteca.cat",""
"Glòries Multicines",10,"Sant Martí",66.0,"el Parc i la Llacuna del Poblenou","Privada","Sales de cinema","Cinemes","Audiovisuals",41.404944395,2.192504086,"https://www.grupbalana.com/cine/sales/glories-multicines/",""
"Gran Sarrià Multicinemes",5,"Sarrià-Sant Gervasi",24.0,"les Tres Torres","Privada","Sales de cinema","Cinemes","Audiovisuals",41.393832748,2.1331947540000002,"https://www.grupbalana.com/cine/sales/gran-sarria-multicines/",""
"Méliès",2,"Eixample",8.0,"l'Antiga Esquerra de l'Eixample","Privada","Sales de cinema","Cinemes","Audiovisuals",41.385184686,2.156966709,"http://www.meliescinemes.com",""
"Multicines Verdi",6,"Gràcia",31.0,"la Vila de Gràcia","Privada","Sales de cinema","Cinemes","Audiovisuals",41.404163335999996,2.157212897,"http://www.cines-verdi.com",""
"Palau Balaña Multicines",3,"Sants-Montjuïc",18.0,"Sants","Privada","Sales de cinema","Cinemes","Audiovisuals",41.377785599,2.137771002,"https://www.grupbalana.com/cine/sales/palau-balana-multicines/",""
"Phenomena",2,"Eixample",6.0,"la Sagrada Família","Privada","Sales de cinema","Cinemes","Audiovisuals",41.409098,2.171725,"http://www.phenomena-experience.com/",""
"Renoir Floridablanca",2,"Eixample",10.0,"Sant Antoni","Privada","Sales de cinema","Cinemes","Audiovisuals",41.381679719,2.162556081,"http://www.cinesrenoir.com",""
"Texas Cinemes",2,"Eixample",31.0,"la Vila de Gràcia","Privada","Sales de cinema","Cinemes","Audiovisuals",41.402039,2.163669,"https://cinemestexas.cat/",""
"Verdi Park",6,"Gràcia",31.0,"la Vila de Gràcia","Privada","Sales de cinema","Cinemes","Audiovisuals",41.404433026,2.1576642130000003,"http://www.cines-verdi.com",""
"Yelmo Cines Icària",10,"Sant Martí",67.0,"la Vila Olímpica del Poblenou","Privada","Sales de cinema","Cinemes","Audiovisuals",41.390895879,2.197851326,"http://www.yelmocines.es",""
