"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Seccio_censal","Tipologia_parc","Nombre_vehicles"
2019,"1","Ciutat Vella","1","el Raval","16","Turismes",169
2019,"1","Ciutat Vella","1","el Raval","16","Motos",150
2019,"1","Ciutat Vella","1","el Raval","16","Ciclomotors",52
2019,"1","Ciutat Vella","1","el Raval","16","Furgonetes",33
2019,"1","Ciutat Vella","1","el Raval","16","Camions",10
2019,"1","Ciutat Vella","1","el Raval","17","Turismes",251
2019,"1","Ciutat Vella","1","el Raval","17","Motos",148
2019,"1","Ciutat Vella","1","el Raval","17","Ciclomotors",75
2019,"1","Ciutat Vella","1","el Raval","17","Furgonetes",39
2019,"1","Ciutat Vella","1","el Raval","17","Camions",7
2019,"1","Ciutat Vella","1","el Raval","17","Altres vehicles",3
2019,"1","Ciutat Vella","1","el Raval","18","Turismes",158
2019,"1","Ciutat Vella","1","el Raval","18","Motos",100
2019,"1","Ciutat Vella","1","el Raval","18","Ciclomotors",88
2019,"1","Ciutat Vella","1","el Raval","18","Furgonetes",17
2019,"1","Ciutat Vella","1","el Raval","18","Camions",11
2019,"1","Ciutat Vella","1","el Raval","18","Altres vehicles",9
2019,"1","Ciutat Vella","1","el Raval","19","Turismes",329
2019,"1","Ciutat Vella","1","el Raval","19","Motos",185
2019,"1","Ciutat Vella","1","el Raval","19","Ciclomotors",88
2019,"1","Ciutat Vella","1","el Raval","19","Furgonetes",59
2019,"1","Ciutat Vella","1","el Raval","19","Camions",15
2019,"1","Ciutat Vella","1","el Raval","19","Altres vehicles",6
2019,"1","Ciutat Vella","1","el Raval","20","Turismes",344
2019,"1","Ciutat Vella","1","el Raval","20","Motos",191
2019,"1","Ciutat Vella","1","el Raval","20","Ciclomotors",45
2019,"1","Ciutat Vella","1","el Raval","20","Furgonetes",39
2019,"1","Ciutat Vella","1","el Raval","20","Camions",7
2019,"1","Ciutat Vella","1","el Raval","20","Altres vehicles",7
2019,"1","Ciutat Vella","1","el Raval","21","Turismes",438
2019,"1","Ciutat Vella","1","el Raval","21","Motos",203
2019,"1","Ciutat Vella","1","el Raval","21","Ciclomotors",61
2019,"1","Ciutat Vella","1","el Raval","21","Furgonetes",58
2019,"1","Ciutat Vella","1","el Raval","21","Camions",40
2019,"1","Ciutat Vella","1","el Raval","21","Altres vehicles",43
2019,"1","Ciutat Vella","2","el Barri Gòtic","22","Turismes",266
2019,"1","Ciutat Vella","2","el Barri Gòtic","22","Motos",147
2019,"1","Ciutat Vella","2","el Barri Gòtic","22","Ciclomotors",33
2019,"1","Ciutat Vella","2","el Barri Gòtic","22","Furgonetes",29
2019,"1","Ciutat Vella","2","el Barri Gòtic","22","Camions",6
2019,"1","Ciutat Vella","2","el Barri Gòtic","22","Altres vehicles",7
2019,"1","Ciutat Vella","2","el Barri Gòtic","23","Turismes",449
2019,"1","Ciutat Vella","2","el Barri Gòtic","23","Motos",261
2019,"1","Ciutat Vella","2","el Barri Gòtic","23","Ciclomotors",54
2019,"1","Ciutat Vella","2","el Barri Gòtic","23","Furgonetes",76
2019,"1","Ciutat Vella","2","el Barri Gòtic","23","Camions",15
2019,"1","Ciutat Vella","2","el Barri Gòtic","23","Altres vehicles",11
2019,"1","Ciutat Vella","2","el Barri Gòtic","25","Turismes",2069
2019,"1","Ciutat Vella","2","el Barri Gòtic","25","Motos",596
2019,"1","Ciutat Vella","2","el Barri Gòtic","25","Ciclomotors",31
2019,"1","Ciutat Vella","2","el Barri Gòtic","25","Furgonetes",736
2019,"1","Ciutat Vella","2","el Barri Gòtic","25","Camions",591
2019,"1","Ciutat Vella","2","el Barri Gòtic","25","Altres vehicles",215
2019,"1","Ciutat Vella","2","el Barri Gòtic","26","Turismes",306
2019,"1","Ciutat Vella","2","el Barri Gòtic","26","Motos",1053
2019,"1","Ciutat Vella","2","el Barri Gòtic","26","Ciclomotors",48
2019,"1","Ciutat Vella","2","el Barri Gòtic","26","Furgonetes",329
2019,"1","Ciutat Vella","2","el Barri Gòtic","26","Camions",142
2019,"1","Ciutat Vella","2","el Barri Gòtic","26","Altres vehicles",10
2019,"1","Ciutat Vella","2","el Barri Gòtic","27","Turismes",339
2019,"1","Ciutat Vella","2","el Barri Gòtic","27","Motos",770
2019,"1","Ciutat Vella","2","el Barri Gòtic","27","Ciclomotors",47
2019,"1","Ciutat Vella","2","el Barri Gòtic","27","Furgonetes",122
2019,"1","Ciutat Vella","2","el Barri Gòtic","27","Camions",136
2019,"1","Ciutat Vella","2","el Barri Gòtic","27","Altres vehicles",40
2019,"1","Ciutat Vella","2","el Barri Gòtic","28","Turismes",341
2019,"1","Ciutat Vella","2","el Barri Gòtic","28","Motos",201
2019,"1","Ciutat Vella","2","el Barri Gòtic","28","Ciclomotors",48
2019,"1","Ciutat Vella","2","el Barri Gòtic","28","Furgonetes",34
2019,"1","Ciutat Vella","2","el Barri Gòtic","28","Camions",4
2019,"1","Ciutat Vella","2","el Barri Gòtic","28","Altres vehicles",3
2019,"1","Ciutat Vella","2","el Barri Gòtic","29","Turismes",231
2019,"1","Ciutat Vella","2","el Barri Gòtic","29","Motos",156
2019,"1","Ciutat Vella","2","el Barri Gòtic","29","Ciclomotors",39
2019,"1","Ciutat Vella","2","el Barri Gòtic","29","Furgonetes",34
2019,"1","Ciutat Vella","2","el Barri Gòtic","29","Camions",8
2019,"1","Ciutat Vella","2","el Barri Gòtic","29","Altres vehicles",3
2019,"1","Ciutat Vella","2","el Barri Gòtic","30","Turismes",479
2019,"1","Ciutat Vella","2","el Barri Gòtic","30","Motos",490
2019,"1","Ciutat Vella","2","el Barri Gòtic","30","Ciclomotors",142
2019,"1","Ciutat Vella","2","el Barri Gòtic","30","Furgonetes",63
2019,"1","Ciutat Vella","2","el Barri Gòtic","30","Camions",36
