"Any","Codi_districte","Nom_districte","Codi_barri","Nom_barri","Seccio_censal","Tipus_Vehicles","Nacionalitat_propietari","Nombre"
2019,"1","Ciutat Vella","4","Sant Pere, Santa Caterina i la Ribera","47","Turismes","Nacionalitat espanyola",215
2019,"1","Ciutat Vella","4","Sant Pere, Santa Caterina i la Ribera","47","Turismes","Altres nacionalitats",57
2019,"1","Ciutat Vella","4","Sant Pere, Santa Caterina i la Ribera","47","Motos","Nacionalitat espanyola",123
2019,"1","Ciutat Vella","4","Sant Pere, Santa Caterina i la Ribera","47","Motos","Altres nacionalitats",40
2019,"1","Ciutat Vella","4","Sant Pere, Santa Caterina i la Ribera","48","Turismes","Nacionalitat espanyola",207
2019,"1","Ciutat Vella","4","Sant Pere, Santa Caterina i la Ribera","48","Turismes","Altres nacionalitats",97
2019,"1","Ciutat Vella","4","Sant Pere, Santa Caterina i la Ribera","48","Motos","Nacionalitat espanyola",135
2019,"1","Ciutat Vella","4","Sant Pere, Santa Caterina i la Ribera","48","Motos","Altres nacionalitats",48
2019,"1","Ciutat Vella","4","Sant Pere, Santa Caterina i la Ribera","49","Turismes","Nacionalitat espanyola",203
2019,"1","Ciutat Vella","4","Sant Pere, Santa Caterina i la Ribera","49","Turismes","Altres nacionalitats",26
2019,"1","Ciutat Vella","4","Sant Pere, Santa Caterina i la Ribera","49","Motos","Nacionalitat espanyola",122
2019,"1","Ciutat Vella","4","Sant Pere, Santa Caterina i la Ribera","49","Motos","Altres nacionalitats",45
2019,"1","Ciutat Vella","4","Sant Pere, Santa Caterina i la Ribera","50","Turismes","Nacionalitat espanyola",178
2019,"1","Ciutat Vella","4","Sant Pere, Santa Caterina i la Ribera","50","Turismes","Altres nacionalitats",46
2019,"1","Ciutat Vella","4","Sant Pere, Santa Caterina i la Ribera","50","Motos","Nacionalitat espanyola",88
2019,"1","Ciutat Vella","4","Sant Pere, Santa Caterina i la Ribera","50","Motos","Altres nacionalitats",55
2019,"1","Ciutat Vella","4","Sant Pere, Santa Caterina i la Ribera","51","Turismes","Nacionalitat espanyola",166
2019,"1","Ciutat Vella","4","Sant Pere, Santa Caterina i la Ribera","51","Turismes","Altres nacionalitats",56
2019,"1","Ciutat Vella","4","Sant Pere, Santa Caterina i la Ribera","51","Motos","Nacionalitat espanyola",87
