"ID_TRAM","UTM_IX","UTM_FX","UTM_IY","UTM_FY","LATITUD_I","LONGITUD_I","LATITUD_F","LONGITUD_F","ID_TARIFA","ID_HORARIO","ID_TARIFA1","ID_HORARIO1","TIPUS_TRAM","ADREÇA","COLOR_RGB","PLACES"
4929,432146.995,432143.815,4583203.653,4583200.672,41.397503547335,2.188302960882,41.397476430808,2.188265259991,47,82,"",82,"AZL","SANCHO DE AVILA, 22-42, C","0000FF",9.0
4929,432186.98299999995,432152.143,4583243.36,4583208.777,41.39786453921,2.188776797574,41.397550130698,2.1883639603060003,47,82,"",82,"AZL","SANCHO DE AVILA, 22-42, C","0000FF",9.0
4929,432209.526,432192.436,4583265.754,4583248.791,41.398068130179,2.189043921482,41.397913913021,2.1888414113240002,47,82,"",82,"AZL","SANCHO DE AVILA, 22-42, C","0000FF",9.0
4930,432064.894,432086.279,4583258.416,4583233.073,41.397989835831,2.187314834628,41.397763391799,2.187573457614,47,82,"",82,"AZL","ZAMORA, 108-118, C","0000FF",15.0
4930,432088.276,432113.7,4583230.69,4583200.561000001,41.397742098088,2.187597610406,41.397472889511,2.187905077094,47,82,"",82,"AZL","ZAMORA, 108-118, C","0000FF",15.0
4931,432046.287,432042.249,4583268.106000001,4583268.095,41.398075536175,2.187091193491,41.398075095883,2.18704289714,47,82,"",82,"AZL","ZAMORA, 121-127, C","0000FF",17.0
4931,432050.751,432046.951,4583266.193,4583267.977,41.398058684049,2.187144801025,41.398074430452,2.187099149918,47,82,"",82,"AZL","ZAMORA, 121-127, C","0000FF",17.0
4931,432054.11799999996,432051.24100000004,4583262.812,4583265.942,41.398028517755,2.1871854522909997,41.398056464834,2.1871506899649997,47,82,"",82,"AZL","ZAMORA, 121-127, C","0000FF",17.0
4931,432110.393,432062.315,4583196.74,4583253.444,41.397438196722,2.187865951557,41.39794483793,2.187284545658,47,82,"",82,"AZL","ZAMORA, 121-127, C","0000FF",17.0
4933,433030.61299999995,433001.67100000003,4582236.855,4582218.553,41.388870173287,2.198978537006,41.388702926729,2.198634440259,47,85,"",85,"AZL","LITORAL, 34 bis  (Marina - Rosa Sensat), AV","0000FF",13.0
4934,433212.542,433183.005,4582469.913,4582445.196,41.390984331729,2.201128554051,41.390759265496996,2.200778032318,47,85,"",85,"AZL","LITORAL, 44 (Arquitecte Sert - Federic Mompou), AV","0000FF",16.0
4935,433509.925,433472.93299999996,4582697.853999999,4582639.424,41.393061916664,2.204660090829,41.392532608758,2.204224087733,47,85,"",85,"AZL","LITORAL, 58 ( Front. entrada Rda.), AV","0000FF",11.0
4937,429371.417,429371.357,4582584.596,4582572.58,41.391689115161,2.155177583541,41.391580889243,2.155178267005,46,81,"",81,"AZL","ARIBAU, 140, C","0000FF",2.0
4939,431196.534,431200.10299999994,4582472.091,4582475.594,41.390834033973,2.177017940145,41.390865888766,2.177060225436,46,81,"",81,"AZL","ALI BEI, 7, C","0000FF",8.0
4939,431203.624,431210.24,4582478.546,4582485.041,41.390892776895,2.1771019992919998,41.390951839478,2.177180385276,46,81,"",81,"AZL","ALI BEI, 7, C","0000FF",8.0
4939,431215.61299999995,431222.23,4582490.058,4582496.553,41.390997484213,2.177244073639,41.391056546786,2.177322471837,46,81,"",81,"AZL","ALI BEI, 7, C","0000FF",8.0
4939,431227.343,431233.96,4582501.487,4582507.982,41.39110142168,2.177383060364,41.391160484159,2.177461458813,46,81,"",81,"AZL","ALI BEI, 7, C","0000FF",8.0
