"N_EXPEDIENT","DISTRICTE","BARRI","TIPUS_CARRER","CARRER","TIPUS_NUM","NUM1","LLETRA1","NUM2","LLETRA2","BLOC","PORTAL","ESCALA","PIS","PORTA","NUMERO_REGISTRE_GENERALITAT","NUMERO_PLACES","LONGITUD_X","LATITUD_Y"
"01-2013-0753","CIUTAT VELLA","el Raval","Carrer","HOSPITAL",1,25,"","","","","","","1","2","HUTB-000715",9.0,2.171125169,41.37903472
"02-2014-0566","L'EIXAMPLE","la Sagrada Família","Avinguda","GAUDI",1,51,"",53.0,"","","","","EN","1","HUTB-010412",7.0,2.173113256,41.40659454
"02-2014-0207","L'EIXAMPLE","la Dreta de l'Eixample","Plaça","TETUAN",1,33,"","","","","","","SA","2","HUTB-008754",4.0,2.174958331,41.39378781
"01-2014-0073","CIUTAT VELLA","el Raval","Carrer","JUNTA DE COMERÇ",1,23,"","","","","","","2","1A","HUTB-013228",4.0,2.170787869,41.37759776
"02-2014-1125","L'EIXAMPLE","la Dreta de l'Eixample","Gran Via","CORTS CATALANES",2,682,"","","","","","","2","1","HUTB-011029",8.0,2.171954431,41.39083613
"02-2014-0241","L'EIXAMPLE","l'Antiga Esquerra de l'Eixample","Carrer","ENRIC GRANADOS",1,125,"","","","","","","2","1","HUTB-008826",5.0,2.153479697,41.39170841
"02-2014-0227","L'EIXAMPLE","Sant Antoni","Carrer","CALABRIA",1,5,"","","","","","","1","","HUTB-008655",5.0,2.159359248,41.37360076
"02-2014-0228","L'EIXAMPLE","Sant Antoni","Carrer","CALABRIA",1,5,"","","","","","","AT","","HUTB-008656",2.0,2.159359248,41.37360076
"04-2013-0191","LES CORTS","les Corts","Avinguda","JOSEP TARRADELLAS",1,147,"","","","","","","6","2","HUTB-006268",19.0,2.142388471,41.38924578
"02-2013-0972","L'EIXAMPLE","Sant Antoni","Carrer","COMTE BORRELL",1,37,"","","","","","","EN","4","HUTB-006257",7.0,2.162267759,41.37481218
"02-2013-0975","L'EIXAMPLE","la Dreta de l'Eixample","Passeig","GRACIA",1,3,"","","","","","","5","2","HUTB-006316",5.0,2.168168546,41.38636943
"06-2013-0312","GRACIA","la Vila de Gràcia","Carrer","MASSENS",1,23,"","","","","","","BJ","","HUTB-006302",8.0,2.156327261,41.40554654
"06-2013-0313","GRACIA","la Vila de Gràcia","Carrer","MASSENS",1,23,"","","","","","","1","1","HUTB-006304",4.0,2.156327261,41.40554654
"06-2013-0315","GRACIA","la Vila de Gràcia","Carrer","MASSENS",1,23,"","","","","","","2","1","HUTB-006303",4.0,2.156327261,41.40554654
"06-2013-0316","GRACIA","la Vila de Gràcia","Carrer","MASSENS",1,23,"","","","","","","2","2","HUTB-006306",4.0,2.156327261,41.40554654
"02-2013-0998","L'EIXAMPLE","la Nova Esquerra de l'Eixample","Carrer","CALABRIA",2,120,"","","","","","","4","2","HUTB-006490",7.0,2.152615513,41.37897176
"06-2013-0314","GRACIA","la Vila de Gràcia","Carrer","MASSENS",1,23,"","","","","","","1","2","HUTB-006305",4.0,2.156327261,41.40554654
"02-2013-1086","L'EIXAMPLE","Sant Antoni","Carrer","MUNTANER",1,7,"","","","","","","3","1","HUTB-006569",4.0,2.161808251,41.38199327
"02-2013-1087","L'EIXAMPLE","Sant Antoni","Carrer","MUNTANER",1,7,"","","","","","","3","2A","HUTB-006570",4.0,2.161808251,41.38199327
"03-2013-0335","SANTS-MONTJUÏC","el Poble Sec","Carrer","CREU DELS MOLERS",2,76,"","","","","","","3","","HUTB-006298",5.0,2.1597702169999997,41.36987372
"02-2013-1043","L'EIXAMPLE","la Nova Esquerra de l'Eixample","Carrer","CORSEGA",1,77,"","","","","","","5","4","HUTB-006635",5.0,2.143383342,41.38361524
