"Any","Codi_districte","Nom_districte","Codi_barri","Nom_barri","Seccio_censal","Tipus_Vehicles","Desc_tipus_propietari","Nombre"
2019,"5","Sarrià-St. Gervasi","26","Sant Gervasi - Galvany","66","Motos","Subjecte Jurí­dic",51
2019,"5","Sarrià-St. Gervasi","26","Sant Gervasi - Galvany","66","Motos","Subjecte Fí­sic",256
2019,"5","Sarrià-St. Gervasi","26","Sant Gervasi - Galvany","67","Turismes","Subjecte Jurí­dic",677
2019,"5","Sarrià-St. Gervasi","26","Sant Gervasi - Galvany","67","Turismes","Subjecte Fí­sic",438
2019,"5","Sarrià-St. Gervasi","26","Sant Gervasi - Galvany","67","Motos","Subjecte Jurí­dic",158
2019,"5","Sarrià-St. Gervasi","26","Sant Gervasi - Galvany","67","Motos","Subjecte Fí­sic",295
2019,"5","Sarrià-St. Gervasi","26","Sant Gervasi - Galvany","68","Turismes","Subjecte Jurí­dic",355
2019,"5","Sarrià-St. Gervasi","26","Sant Gervasi - Galvany","68","Turismes","Subjecte Fí­sic",470
2019,"5","Sarrià-St. Gervasi","26","Sant Gervasi - Galvany","68","Motos","Subjecte Jurí­dic",115
2019,"5","Sarrià-St. Gervasi","26","Sant Gervasi - Galvany","68","Motos","Subjecte Fí­sic",312
2019,"5","Sarrià-St. Gervasi","26","Sant Gervasi - Galvany","69","Turismes","Subjecte Jurí­dic",143
2019,"5","Sarrià-St. Gervasi","26","Sant Gervasi - Galvany","69","Turismes","Subjecte Fí­sic",489
2019,"5","Sarrià-St. Gervasi","26","Sant Gervasi - Galvany","69","Motos","Subjecte Jurí­dic",67
2019,"5","Sarrià-St. Gervasi","26","Sant Gervasi - Galvany","69","Motos","Subjecte Fí­sic",305
2019,"5","Sarrià-St. Gervasi","26","Sant Gervasi - Galvany","70","Turismes","Subjecte Jurí­dic",44
2019,"5","Sarrià-St. Gervasi","26","Sant Gervasi - Galvany","70","Turismes","Subjecte Fí­sic",427
2019,"5","Sarrià-St. Gervasi","26","Sant Gervasi - Galvany","70","Motos","Subjecte Jurí­dic",37
2019,"5","Sarrià-St. Gervasi","26","Sant Gervasi - Galvany","70","Motos","Subjecte Fí­sic",303
2019,"5","Sarrià-St. Gervasi","26","Sant Gervasi - Galvany","70","Motos","Altres",1
2019,"5","Sarrià-St. Gervasi","26","Sant Gervasi - Galvany","71","Turismes","Subjecte Jurí­dic",168
2019,"5","Sarrià-St. Gervasi","26","Sant Gervasi - Galvany","71","Turismes","Subjecte Fí­sic",442
2019,"5","Sarrià-St. Gervasi","26","Sant Gervasi - Galvany","71","Motos","Subjecte Jurí­dic",69
2019,"5","Sarrià-St. Gervasi","26","Sant Gervasi - Galvany","71","Motos","Subjecte Fí­sic",279
2019,"5","Sarrià-St. Gervasi","26","Sant Gervasi - Galvany","72","Turismes","Subjecte Jurí­dic",73
2019,"5","Sarrià-St. Gervasi","26","Sant Gervasi - Galvany","72","Turismes","Subjecte Fí­sic",527
2019,"5","Sarrià-St. Gervasi","26","Sant Gervasi - Galvany","72","Turismes","Altres",1
2019,"5","Sarrià-St. Gervasi","26","Sant Gervasi - Galvany","72","Motos","Subjecte Jurí­dic",22
2019,"5","Sarrià-St. Gervasi","26","Sant Gervasi - Galvany","72","Motos","Subjecte Fí­sic",331
2019,"5","Sarrià-St. Gervasi","26","Sant Gervasi - Galvany","73","Turismes","Subjecte Jurí­dic",252
2019,"5","Sarrià-St. Gervasi","26","Sant Gervasi - Galvany","73","Turismes","Subjecte Fí­sic",511
2019,"5","Sarrià-St. Gervasi","26","Sant Gervasi - Galvany","73","Motos","Subjecte Jurí­dic",42
2019,"5","Sarrià-St. Gervasi","26","Sant Gervasi - Galvany","73","Motos","Subjecte Fí­sic",364
2019,"5","Sarrià-St. Gervasi","26","Sant Gervasi - Galvany","74","Turismes","Subjecte Jurí­dic",146
2019,"5","Sarrià-St. Gervasi","26","Sant Gervasi - Galvany","74","Turismes","Subjecte Fí­sic",556
2019,"5","Sarrià-St. Gervasi","26","Sant Gervasi - Galvany","74","Turismes","Altres",1
2019,"5","Sarrià-St. Gervasi","26","Sant Gervasi - Galvany","74","Motos","Subjecte Jurí­dic",35
2019,"5","Sarrià-St. Gervasi","26","Sant Gervasi - Galvany","74","Motos","Subjecte Fí­sic",333
2019,"5","Sarrià-St. Gervasi","26","Sant Gervasi - Galvany","75","Turismes","Subjecte Jurí­dic",192
2019,"5","Sarrià-St. Gervasi","26","Sant Gervasi - Galvany","75","Turismes","Subjecte Fí­sic",558
2019,"5","Sarrià-St. Gervasi","26","Sant Gervasi - Galvany","75","Motos","Subjecte Jurí­dic",173
2019,"5","Sarrià-St. Gervasi","26","Sant Gervasi - Galvany","75","Motos","Subjecte Fí­sic",361
2019,"5","Sarrià-St. Gervasi","26","Sant Gervasi - Galvany","76","Turismes","Subjecte Jurí­dic",69
2019,"5","Sarrià-St. Gervasi","26","Sant Gervasi - Galvany","76","Turismes","Subjecte Fí­sic",407
2019,"5","Sarrià-St. Gervasi","26","Sant Gervasi - Galvany","76","Turismes","Altres",1
2019,"5","Sarrià-St. Gervasi","26","Sant Gervasi - Galvany","76","Motos","Subjecte Jurí­dic",27
2019,"5","Sarrià-St. Gervasi","26","Sant Gervasi - Galvany","76","Motos","Subjecte Fí­sic",345
2019,"5","Sarrià-St. Gervasi","26","Sant Gervasi - Galvany","76","Motos","Altres",1
2019,"5","Sarrià-St. Gervasi","26","Sant Gervasi - Galvany","77","Turismes","Subjecte Jurí­dic",119
2019,"5","Sarrià-St. Gervasi","26","Sant Gervasi - Galvany","77","Turismes","Subjecte Fí­sic",427
2019,"5","Sarrià-St. Gervasi","26","Sant Gervasi - Galvany","77","Turismes","Altres",1
2019,"5","Sarrià-St. Gervasi","26","Sant Gervasi - Galvany","77","Motos","Subjecte Jurí­dic",43
2019,"5","Sarrià-St. Gervasi","26","Sant Gervasi - Galvany","77","Motos","Subjecte Fí­sic",362
2019,"5","Sarrià-St. Gervasi","26","Sant Gervasi - Galvany","78","Turismes","Subjecte Jurí­dic",93
2019,"5","Sarrià-St. Gervasi","26","Sant Gervasi - Galvany","78","Turismes","Subjecte Fí­sic",659
2019,"5","Sarrià-St. Gervasi","26","Sant Gervasi - Galvany","78","Turismes","Altres",2
2019,"5","Sarrià-St. Gervasi","26","Sant Gervasi - Galvany","78","Motos","Subjecte Jurí­dic",29
2019,"5","Sarrià-St. Gervasi","26","Sant Gervasi - Galvany","78","Motos","Subjecte Fí­sic",459
2019,"5","Sarrià-St. Gervasi","26","Sant Gervasi - Galvany","78","Motos","Altres",2
2019,"5","Sarrià-St. Gervasi","26","Sant Gervasi - Galvany","79","Turismes","Subjecte Jurí­dic",45
2019,"5","Sarrià-St. Gervasi","26","Sant Gervasi - Galvany","79","Turismes","Subjecte Fí­sic",414
2019,"5","Sarrià-St. Gervasi","26","Sant Gervasi - Galvany","79","Motos","Subjecte Jurí­dic",12
2019,"5","Sarrià-St. Gervasi","26","Sant Gervasi - Galvany","79","Motos","Subjecte Fí­sic",330
2019,"5","Sarrià-St. Gervasi","27","el Putxet i el Farró","80","Turismes","Subjecte Jurí­dic",34
2019,"5","Sarrià-St. Gervasi","27","el Putxet i el Farró","80","Turismes","Subjecte Fí­sic",330
2019,"5","Sarrià-St. Gervasi","27","el Putxet i el Farró","80","Turismes","Altres",2
2019,"5","Sarrià-St. Gervasi","27","el Putxet i el Farró","80","Motos","Subjecte Jurí­dic",12
2019,"5","Sarrià-St. Gervasi","27","el Putxet i el Farró","80","Motos","Subjecte Fí­sic",244
2019,"5","Sarrià-St. Gervasi","27","el Putxet i el Farró","81","Turismes","Subjecte Jurí­dic",52
2019,"5","Sarrià-St. Gervasi","27","el Putxet i el Farró","81","Turismes","Subjecte Fí­sic",463
2019,"5","Sarrià-St. Gervasi","27","el Putxet i el Farró","81","Motos","Subjecte Jurí­dic",51
2019,"5","Sarrià-St. Gervasi","27","el Putxet i el Farró","81","Motos","Subjecte Fí­sic",344
2019,"5","Sarrià-St. Gervasi","27","el Putxet i el Farró","82","Turismes","Subjecte Jurí­dic",75
2019,"5","Sarrià-St. Gervasi","27","el Putxet i el Farró","82","Turismes","Subjecte Fí­sic",379
2019,"5","Sarrià-St. Gervasi","27","el Putxet i el Farró","82","Motos","Subjecte Jurí­dic",25
2019,"5","Sarrià-St. Gervasi","27","el Putxet i el Farró","82","Motos","Subjecte Fí­sic",273
2019,"5","Sarrià-St. Gervasi","27","el Putxet i el Farró","83","Turismes","Subjecte Jurí­dic",72
2019,"5","Sarrià-St. Gervasi","27","el Putxet i el Farró","83","Turismes","Subjecte Fí­sic",326
2019,"5","Sarrià-St. Gervasi","27","el Putxet i el Farró","83","Turismes","Altres",1
2019,"5","Sarrià-St. Gervasi","27","el Putxet i el Farró","83","Motos","Subjecte Jurí­dic",24
2019,"5","Sarrià-St. Gervasi","27","el Putxet i el Farró","83","Motos","Subjecte Fí­sic",225
2019,"5","Sarrià-St. Gervasi","27","el Putxet i el Farró","84","Turismes","Subjecte Jurí­dic",24
2019,"5","Sarrià-St. Gervasi","27","el Putxet i el Farró","84","Turismes","Subjecte Fí­sic",354
2019,"5","Sarrià-St. Gervasi","27","el Putxet i el Farró","84","Motos","Subjecte Jurí­dic",8
2019,"5","Sarrià-St. Gervasi","27","el Putxet i el Farró","84","Motos","Subjecte Fí­sic",255
2019,"5","Sarrià-St. Gervasi","27","el Putxet i el Farró","85","Turismes","Subjecte Jurí­dic",35
2019,"5","Sarrià-St. Gervasi","27","el Putxet i el Farró","85","Turismes","Subjecte Fí­sic",331
2019,"5","Sarrià-St. Gervasi","27","el Putxet i el Farró","85","Motos","Subjecte Jurí­dic",16
2019,"5","Sarrià-St. Gervasi","27","el Putxet i el Farró","85","Motos","Subjecte Fí­sic",231
2019,"5","Sarrià-St. Gervasi","27","el Putxet i el Farró","86","Turismes","Subjecte Jurí­dic",33
2019,"5","Sarrià-St. Gervasi","27","el Putxet i el Farró","86","Turismes","Subjecte Fí­sic",342
2019,"5","Sarrià-St. Gervasi","27","el Putxet i el Farró","86","Motos","Subjecte Jurí­dic",12
2019,"5","Sarrià-St. Gervasi","27","el Putxet i el Farró","86","Motos","Subjecte Fí­sic",212
2019,"5","Sarrià-St. Gervasi","27","el Putxet i el Farró","87","Turismes","Subjecte Jurí­dic",51
2019,"5","Sarrià-St. Gervasi","27","el Putxet i el Farró","87","Turismes","Subjecte Fí­sic",476
2019,"5","Sarrià-St. Gervasi","27","el Putxet i el Farró","87","Turismes","Altres",1
2019,"5","Sarrià-St. Gervasi","27","el Putxet i el Farró","87","Motos","Subjecte Jurí­dic",66
2019,"5","Sarrià-St. Gervasi","27","el Putxet i el Farró","87","Motos","Subjecte Fí­sic",326
2019,"5","Sarrià-St. Gervasi","27","el Putxet i el Farró","88","Turismes","Subjecte Jurí­dic",42
2019,"5","Sarrià-St. Gervasi","27","el Putxet i el Farró","88","Turismes","Subjecte Fí­sic",556
2019,"5","Sarrià-St. Gervasi","27","el Putxet i el Farró","88","Motos","Subjecte Jurí­dic",29
2019,"5","Sarrià-St. Gervasi","27","el Putxet i el Farró","88","Motos","Subjecte Fí­sic",341
2019,"5","Sarrià-St. Gervasi","27","el Putxet i el Farró","89","Turismes","Subjecte Jurí­dic",38
2019,"5","Sarrià-St. Gervasi","27","el Putxet i el Farró","89","Turismes","Subjecte Fí­sic",585
2019,"5","Sarrià-St. Gervasi","27","el Putxet i el Farró","89","Motos","Subjecte Jurí­dic",15
2019,"5","Sarrià-St. Gervasi","27","el Putxet i el Farró","89","Motos","Subjecte Fí­sic",344
2019,"5","Sarrià-St. Gervasi","27","el Putxet i el Farró","90","Turismes","Subjecte Jurí­dic",25
2019,"5","Sarrià-St. Gervasi","27","el Putxet i el Farró","90","Turismes","Subjecte Fí­sic",613
2019,"5","Sarrià-St. Gervasi","27","el Putxet i el Farró","90","Motos","Subjecte Jurí­dic",14
2019,"5","Sarrià-St. Gervasi","27","el Putxet i el Farró","90","Motos","Subjecte Fí­sic",402
2019,"5","Sarrià-St. Gervasi","27","el Putxet i el Farró","91","Turismes","Subjecte Jurí­dic",15
