"CODI_CAPA","CAPA_GENERICA","NOM_CAPA","ED50_COORD_X","ED50_COORD_Y","ETRS89_COORD_X","ETRS89_COORD_Y","LONGITUD","LATITUD","EQUIPAMENT","DISTRICTE","BARRI","NOM_DISTRICTE","NOM_BARRI","ADRECA","TELEFON"
"K014","Transports i serveis relacionats","Autobusos diürns",428102.434,4586009.53,428010.525,4585808.561000001,2.138521,41.420609999999996,"BUS -119--",6,28,"Gràcia","Vallcarca i els Penitents","",""
"K014","Transports i serveis relacionats","Autobusos diürns",428150.08,4585699.279,428058.17,4585498.313,2.139128,41.41782,"BUS -119-123-124--",6,28,"Gràcia","Vallcarca i els Penitents","",""
"K014","Transports i serveis relacionats","Autobusos diürns",424570.7,4585585.408,424478.823,4585384.444,2.096316,41.416466,"BUS -118--",5,22,"Sarrià-Sant Gervasi","Vallvidrera, el Tibidabo i les Planes","",""
"K014","Transports i serveis relacionats","Autobusos diürns",423937.539,4586773.5430000005,423845.669,4586572.568,2.088591,41.427107,"BUS -118--",5,22,"Sarrià-Sant Gervasi","Vallvidrera, el Tibidabo i les Planes","",""
"K014","Transports i serveis relacionats","Autobusos diürns",424079.112,4586885.752,423987.24,4586684.776000001,2.090271,41.428131,"BUS -118--",5,22,"Sarrià-Sant Gervasi","Vallvidrera, el Tibidabo i les Planes","",""
"K014","Transports i serveis relacionats","Autobusos diürns",424603.314,4586436.353999999,424511.43700000003,4586235.382,2.0966,41.424133000000005,"BUS -128--",5,22,"Sarrià-Sant Gervasi","Vallvidrera, el Tibidabo i les Planes","",""
"K014","Transports i serveis relacionats","Autobusos diürns",424307.235,4586637.199,424215.36100000003,4586436.226,2.093032,41.425914,"BUS -128--",5,22,"Sarrià-Sant Gervasi","Vallvidrera, el Tibidabo i les Planes","",""
"K014","Transports i serveis relacionats","Autobusos diürns",430539.906,4581398.483,430447.973,4581197.556,2.168216,41.379295,"BUS -120--",1,1,"Ciutat Vella","el Raval","",""
"K014","Transports i serveis relacionats","Autobusos diürns",431319.271,4586420.366,431227.33200000005,4586219.393,2.176965,41.424592,"BUS -19-V25--",9,62,"Sant Andreu","el Congrés i els Indians","",""
"K015","Transports i serveis relacionats","Autobusos nocturns",432123.22799999994,4585186.11,432031.282,4584985.148,2.1867240000000003,41.413544,"NITBUS -N3--",10,64,"Sant Martí","el Camp de l'Arpa del Clot","",""
"K014","Transports i serveis relacionats","Autobusos diürns",431800.869,4588136.331,431708.92600000004,4587935.342,2.182534,41.440088,"BUS -132--",8,52,"Nou Barris","la Prosperitat","",""
"K014","Transports i serveis relacionats","Autobusos diürns",427603.20399999997,4586873.344,427511.3,4586672.368,2.132444,41.428345,"BUS -112--",7,39,"Horta-Guinardó","Sant Genís dels Agudells","",""
"K014","Transports i serveis relacionats","Autobusos diürns",428653.786,4581111.719,428561.87,4580910.796,2.145696,41.376546999999995,"BUS -115--",3,15,"Sants-Montjuïc","Hostafrancs","",""
"K014","Transports i serveis relacionats","Autobusos diürns",429935.602,4586987.805,429843.67600000004,4586786.827,2.160342,41.429583,"BUS -185-V25-V23--",7,43,"Horta-Guinardó","Horta","",""
"K014","Transports i serveis relacionats","Autobusos diürns",429117.72,4586624.938999999,429025.802,4586423.964,2.1505970000000003,41.426243,"BUS -112-185--",7,42,"Horta-Guinardó","la Clota","",""
"K014","Transports i serveis relacionats","Autobusos diürns",428884.357,4586433.816000001,428792.441,4586232.843,2.147827,41.424501,"BUS -112-185--",7,38,"Horta-Guinardó","la Teixonera","",""
"K014","Transports i serveis relacionats","Autobusos diürns",425757.156,4582802.991,425665.268,4582602.053,2.110853,41.391517,"BUS -113--",4,21,"Les Corts","Pedralbes","",""
"K014","Transports i serveis relacionats","Autobusos diürns",430108.909,4585613.676,430016.981,4585412.71,2.162575,41.417221999999995,"BUS -114--",7,34,"Horta-Guinardó","Can Baró","",""
"K014","Transports i serveis relacionats","Autobusos diürns",432492.117,4584142.752,432400.167,4583941.799,2.1912540000000003,41.404178,"BUS -7-V25--",10,66,"Sant Martí","el Parc i la Llacuna del Poblenou","",""
"K015","Transports i serveis relacionats","Autobusos nocturns",432492.117,4584142.752,432400.167,4583941.799,2.1912540000000003,41.404178,"NITBUS -N7--",10,66,"Sant Martí","el Parc i la Llacuna del Poblenou","",""
"K014","Transports i serveis relacionats","Autobusos diürns",429445.95700000005,4588103.437,429354.036,4587902.449,2.154352,41.439588,"BUS -102-185--",7,43,"Horta-Guinardó","Horta","",""
"K014","Transports i serveis relacionats","Autobusos diürns",426263.089,4585769.913,426171.19700000004,4585568.947,2.116542,41.418285,"BUS -111--",5,22,"Sarrià-Sant Gervasi","Vallvidrera, el Tibidabo i les Planes","",""
"K014","Transports i serveis relacionats","Autobusos diürns",425710.278,4585499.326,425618.391,4585298.363,2.109961,41.415797,"BUS -111--",5,22,"Sarrià-Sant Gervasi","Vallvidrera, el Tibidabo i les Planes","",""
