"﻿""Any""","Trimestre","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Superfície_mitjana","Nombre"
2020,4,4,"Les Corts",19,"les Corts","m2_construïts",75.6
2020,4,4,"Les Corts",20,"la Maternitat i Sant Ramon","m2_construïts",75.1
2020,4,4,"Les Corts",21,"Pedralbes","m2_construïts",112.4
2020,4,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","m2_construïts",106.3
2020,4,5,"Sarrià-Sant Gervasi",23,"Sarrià","m2_construïts",86.9
2020,4,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","m2_construïts",111.0
2020,4,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","m2_construïts",95.5
2020,4,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","m2_construïts",98.4
2020,4,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","m2_construïts",77.2
2020,4,6,"Gràcia",28,"Vallcarca i els Penitents","m2_construïts",74.0
2020,4,6,"Gràcia",29,"el Coll","m2_construïts",67.1
2020,4,6,"Gràcia",30,"la Salut","m2_construïts",75.8
2020,4,6,"Gràcia",31,"la Vila de Gràcia","m2_construïts",68.3
2020,4,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","m2_construïts",70.2
2020,4,7,"Horta-Guinardó",33,"el Baix Guinardó","m2_construïts",66.9
2020,4,7,"Horta-Guinardó",34,"Can Baró","m2_construïts",59.0
2020,4,7,"Horta-Guinardó",35,"el Guinardó","m2_construïts",65.2
2020,4,7,"Horta-Guinardó",36,"la Font d'en Fargues","m2_construïts",69.9
2020,4,7,"Horta-Guinardó",37,"el Carmel","m2_construïts",58.9
2020,4,7,"Horta-Guinardó",38,"la Teixonera","m2_construïts",59.4
2020,4,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","m2_construïts",70.9
2020,4,7,"Horta-Guinardó",40,"Montbau","m2_construïts",65.5
2020,4,7,"Horta-Guinardó",41,"la Vall d'Hebron","m2_construïts",78.7
2020,4,7,"Horta-Guinardó",42,"la Clota","m2_construïts",52.0
2020,4,7,"Horta-Guinardó",43,"Horta","m2_construïts",64.5
2020,4,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","m2_construïts",66.9
