"Any","Codi_districte","Nom_districte","Codi_barri","Nom_barri","Seccio_censal","Desc_locals","Nombre"
2020,1,"Ciutat Vella",2,"el Gòtic",25,"de 51 a 100",1
2020,1,"Ciutat Vella",2,"el Gòtic",26,"cap",3
2020,1,"Ciutat Vella",2,"el Gòtic",26,"1 local",9
2020,1,"Ciutat Vella",2,"el Gòtic",26,"2 locals",16
2020,1,"Ciutat Vella",2,"el Gòtic",26,"de 3 a 5",24
2020,1,"Ciutat Vella",2,"el Gòtic",26,"de 6 a 10",54
2020,1,"Ciutat Vella",2,"el Gòtic",26,"d'11 a 20",48
2020,1,"Ciutat Vella",2,"el Gòtic",26,"de 21 a 50",17
2020,1,"Ciutat Vella",2,"el Gòtic",27,"1 local",8
2020,1,"Ciutat Vella",2,"el Gòtic",27,"2 locals",4
2020,1,"Ciutat Vella",2,"el Gòtic",27,"de 3 a 5",7
2020,1,"Ciutat Vella",2,"el Gòtic",27,"de 6 a 10",42
2020,1,"Ciutat Vella",2,"el Gòtic",27,"d'11 a 20",61
2020,1,"Ciutat Vella",2,"el Gòtic",27,"de 21 a 50",7
2020,1,"Ciutat Vella",2,"el Gòtic",27,"de 51 a 100",1
2020,1,"Ciutat Vella",2,"el Gòtic",28,"1 local",29
2020,1,"Ciutat Vella",2,"el Gòtic",28,"2 locals",32
2020,1,"Ciutat Vella",2,"el Gòtic",28,"de 3 a 5",72
2020,1,"Ciutat Vella",2,"el Gòtic",28,"de 6 a 10",103
2020,1,"Ciutat Vella",2,"el Gòtic",28,"d'11 a 20",58
2020,1,"Ciutat Vella",2,"el Gòtic",28,"de 21 a 50",13
2020,1,"Ciutat Vella",2,"el Gòtic",28,"més de 100",1
2020,1,"Ciutat Vella",2,"el Gòtic",29,"1 local",20
2020,1,"Ciutat Vella",2,"el Gòtic",29,"2 locals",14
2020,1,"Ciutat Vella",2,"el Gòtic",29,"de 3 a 5",29
2020,1,"Ciutat Vella",2,"el Gòtic",29,"de 6 a 10",71
2020,1,"Ciutat Vella",2,"el Gòtic",29,"d'11 a 20",34
2020,1,"Ciutat Vella",2,"el Gòtic",29,"de 21 a 50",9
2020,1,"Ciutat Vella",2,"el Gòtic",30,"cap",2
2020,1,"Ciutat Vella",2,"el Gòtic",30,"1 local",11
2020,1,"Ciutat Vella",2,"el Gòtic",30,"2 locals",17
2020,1,"Ciutat Vella",2,"el Gòtic",30,"de 3 a 5",22
2020,1,"Ciutat Vella",2,"el Gòtic",30,"de 6 a 10",59
2020,1,"Ciutat Vella",2,"el Gòtic",30,"d'11 a 20",60
2020,1,"Ciutat Vella",2,"el Gòtic",30,"de 21 a 50",20
2020,1,"Ciutat Vella",2,"el Gòtic",30,"més de 100",3
2020,1,"Ciutat Vella",2,"el Gòtic",31,"cap",2
2020,1,"Ciutat Vella",2,"el Gòtic",31,"1 local",9
2020,1,"Ciutat Vella",2,"el Gòtic",31,"2 locals",13
2020,1,"Ciutat Vella",2,"el Gòtic",31,"de 3 a 5",13
2020,1,"Ciutat Vella",2,"el Gòtic",31,"de 6 a 10",48
2020,1,"Ciutat Vella",2,"el Gòtic",31,"d'11 a 20",54
2020,1,"Ciutat Vella",2,"el Gòtic",31,"de 21 a 50",10
2020,1,"Ciutat Vella",3,"la Barceloneta",32,"cap",3
2020,1,"Ciutat Vella",3,"la Barceloneta",32,"1 local",17
2020,1,"Ciutat Vella",3,"la Barceloneta",32,"2 locals",15
2020,1,"Ciutat Vella",3,"la Barceloneta",32,"de 3 a 5",31
2020,1,"Ciutat Vella",3,"la Barceloneta",32,"de 6 a 10",59
2020,1,"Ciutat Vella",3,"la Barceloneta",32,"d'11 a 20",27
2020,1,"Ciutat Vella",3,"la Barceloneta",32,"de 21 a 50",8
2020,1,"Ciutat Vella",3,"la Barceloneta",32,"de 51 a 100",3
2020,1,"Ciutat Vella",3,"la Barceloneta",33,"cap",1
2020,1,"Ciutat Vella",3,"la Barceloneta",33,"1 local",8
2020,1,"Ciutat Vella",3,"la Barceloneta",33,"2 locals",11
2020,1,"Ciutat Vella",3,"la Barceloneta",33,"de 3 a 5",15
2020,1,"Ciutat Vella",3,"la Barceloneta",33,"de 6 a 10",22
2020,1,"Ciutat Vella",3,"la Barceloneta",33,"d'11 a 20",18
2020,1,"Ciutat Vella",3,"la Barceloneta",33,"de 21 a 50",12
2020,1,"Ciutat Vella",3,"la Barceloneta",34,"1 local",10
2020,1,"Ciutat Vella",3,"la Barceloneta",34,"2 locals",4
2020,1,"Ciutat Vella",3,"la Barceloneta",34,"de 3 a 5",6
2020,1,"Ciutat Vella",3,"la Barceloneta",34,"de 6 a 10",36
2020,1,"Ciutat Vella",3,"la Barceloneta",34,"d'11 a 20",19
2020,1,"Ciutat Vella",3,"la Barceloneta",34,"de 21 a 50",7
2020,1,"Ciutat Vella",3,"la Barceloneta",35,"1 local",4
2020,1,"Ciutat Vella",3,"la Barceloneta",35,"de 3 a 5",9
2020,1,"Ciutat Vella",3,"la Barceloneta",35,"de 6 a 10",13
2020,1,"Ciutat Vella",3,"la Barceloneta",35,"d'11 a 20",33
2020,1,"Ciutat Vella",3,"la Barceloneta",35,"de 21 a 50",8
2020,1,"Ciutat Vella",3,"la Barceloneta",36,"1 local",9
2020,1,"Ciutat Vella",3,"la Barceloneta",36,"2 locals",8
2020,1,"Ciutat Vella",3,"la Barceloneta",36,"de 3 a 5",17
2020,1,"Ciutat Vella",3,"la Barceloneta",36,"de 6 a 10",13
2020,1,"Ciutat Vella",3,"la Barceloneta",36,"d'11 a 20",16
2020,1,"Ciutat Vella",3,"la Barceloneta",36,"de 21 a 50",7
2020,1,"Ciutat Vella",3,"la Barceloneta",36,"de 51 a 100",2
2020,1,"Ciutat Vella",3,"la Barceloneta",36,"més de 100",6
2020,1,"Ciutat Vella",3,"la Barceloneta",37,"1 local",3
2020,1,"Ciutat Vella",3,"la Barceloneta",37,"2 locals",3
2020,1,"Ciutat Vella",3,"la Barceloneta",37,"de 3 a 5",8
2020,1,"Ciutat Vella",3,"la Barceloneta",37,"de 6 a 10",16
2020,1,"Ciutat Vella",3,"la Barceloneta",37,"d'11 a 20",16
2020,1,"Ciutat Vella",3,"la Barceloneta",37,"de 21 a 50",7
2020,1,"Ciutat Vella",3,"la Barceloneta",37,"de 51 a 100",1
2020,1,"Ciutat Vella",3,"la Barceloneta",37,"més de 100",2
2020,1,"Ciutat Vella",3,"la Barceloneta",38,"1 local",1
2020,1,"Ciutat Vella",3,"la Barceloneta",38,"2 locals",8
2020,1,"Ciutat Vella",3,"la Barceloneta",38,"de 3 a 5",32
2020,1,"Ciutat Vella",3,"la Barceloneta",38,"de 6 a 10",55
2020,1,"Ciutat Vella",3,"la Barceloneta",38,"d'11 a 20",21
2020,1,"Ciutat Vella",3,"la Barceloneta",38,"de 21 a 50",8
2020,1,"Ciutat Vella",3,"la Barceloneta",39,"1 local",9
2020,1,"Ciutat Vella",3,"la Barceloneta",39,"2 locals",17
2020,1,"Ciutat Vella",3,"la Barceloneta",39,"de 3 a 5",29
2020,1,"Ciutat Vella",3,"la Barceloneta",39,"de 6 a 10",40
2020,1,"Ciutat Vella",3,"la Barceloneta",39,"d'11 a 20",22
2020,1,"Ciutat Vella",3,"la Barceloneta",39,"de 21 a 50",4
2020,1,"Ciutat Vella",3,"la Barceloneta",39,"de 51 a 100",1
2020,1,"Ciutat Vella",3,"la Barceloneta",39,"més de 100",1
2020,1,"Ciutat Vella",3,"la Barceloneta",40,"1 local",15
2020,1,"Ciutat Vella",3,"la Barceloneta",40,"2 locals",10
2020,1,"Ciutat Vella",3,"la Barceloneta",40,"de 3 a 5",27
2020,1,"Ciutat Vella",3,"la Barceloneta",40,"de 6 a 10",31
2020,1,"Ciutat Vella",3,"la Barceloneta",40,"d'11 a 20",23
2020,1,"Ciutat Vella",3,"la Barceloneta",40,"de 21 a 50",7
2020,1,"Ciutat Vella",3,"la Barceloneta",41,"cap",1
2020,1,"Ciutat Vella",3,"la Barceloneta",41,"1 local",19
2020,1,"Ciutat Vella",3,"la Barceloneta",41,"2 locals",15
2020,1,"Ciutat Vella",3,"la Barceloneta",41,"de 3 a 5",39
2020,1,"Ciutat Vella",3,"la Barceloneta",41,"de 6 a 10",86
2020,1,"Ciutat Vella",3,"la Barceloneta",41,"d'11 a 20",27
2020,1,"Ciutat Vella",3,"la Barceloneta",41,"de 21 a 50",2
2020,1,"Ciutat Vella",3,"la Barceloneta",42,"1 local",7
2020,1,"Ciutat Vella",3,"la Barceloneta",42,"2 locals",11
2020,1,"Ciutat Vella",3,"la Barceloneta",42,"de 3 a 5",8
2020,1,"Ciutat Vella",3,"la Barceloneta",42,"de 6 a 10",16
2020,1,"Ciutat Vella",3,"la Barceloneta",42,"d'11 a 20",33
2020,1,"Ciutat Vella",3,"la Barceloneta",42,"de 21 a 50",6
2020,1,"Ciutat Vella",3,"la Barceloneta",42,"de 51 a 100",4
2020,1,"Ciutat Vella",3,"la Barceloneta",42,"més de 100",1
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",43,"cap",2
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",43,"1 local",16
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",43,"2 locals",10
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",43,"de 3 a 5",34
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",43,"de 6 a 10",48
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",43,"d'11 a 20",44
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",43,"de 21 a 50",9
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",43,"de 51 a 100",3
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",43,"més de 100",3
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",44,"cap",2
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",44,"1 local",6
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",44,"2 locals",7
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",44,"de 3 a 5",16
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",44,"de 6 a 10",35
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",44,"d'11 a 20",35
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",44,"de 21 a 50",14
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",44,"de 51 a 100",2
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",44,"més de 100",1
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",45,"cap",1
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",45,"1 local",31
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",45,"2 locals",19
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",45,"de 3 a 5",33
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",45,"de 6 a 10",103
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",45,"d'11 a 20",57
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",45,"de 21 a 50",5
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",46,"1 local",31
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",46,"2 locals",19
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",46,"de 3 a 5",28
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",46,"de 6 a 10",84
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",46,"d'11 a 20",43
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",46,"de 21 a 50",11
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",46,"de 51 a 100",1
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",47,"cap",1
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",47,"1 local",30
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",47,"2 locals",10
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",47,"de 3 a 5",32
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",47,"de 6 a 10",74
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",47,"d'11 a 20",47
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",47,"de 21 a 50",6
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",47,"de 51 a 100",3
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",47,"més de 100",1
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",48,"cap",1
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",48,"1 local",19
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",48,"2 locals",11
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",48,"de 3 a 5",23
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",48,"de 6 a 10",65
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",48,"d'11 a 20",58
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",48,"de 21 a 50",9
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",49,"cap",2
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",49,"1 local",6
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",49,"2 locals",3
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",49,"de 3 a 5",15
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",49,"de 6 a 10",21
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",49,"d'11 a 20",36
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",49,"de 21 a 50",7
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",49,"de 51 a 100",1
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",49,"més de 100",1
