"dcAccrualPeriodicity","dccontributorauthor","dccontributorother","dccoveragespatial","dccoveragetemporal","dccoveragevigencia","dcdatecreated","dcdateissued","dcdatereview","dcdescription","dcdescriptionabstract","dcdescriptionsponsorship","dcdescriptiontableofcontents","dcformat","dcformatextent","dcidentifierBG","dcidentifierab","dcidentifiercitation","dcidentifierentitat","dcidentifiermandat","dcidentifieruri","dclanguage","dcpublisher","dcrelation","dcrelationhaspart","dcrelationhasversion","dcrelationisbasedon","dcrelationisbasisfor","dcrelationisformatof","dcrelationispartof","dcrelationisreferencedby","dcrelationisversionof","dcrelationreferences","dcrelationrequires","dcrights","dcrightsaccessrights","dcrightsnotes","dcrightsrightsHolder","dcrightsuri","dcsubject","dcsubjectcategory","dcsubjectforma","dcsubjectprogramme","dctitle","dctitlealternative","dctype","Unnamed: 46"
"","Àrea de Qualitat de Vida, Igualtat i Esports","","Barcelona","2013. 2014. 2015. 2016","","2014","2014","","","","","","application/pdf","87 p","","","","","Mandat 2011-2015","http://hdl.handle.net/11703/85087","cat","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Infants. Adolescents","Societat i benestar","plans estratègics","Pla Municipal per a la infància 2013-2016 (Barcelona)","Pla Municipal per a la infància : 2013-2016","Programa Municipal per a la infància 2013-2016","text",""
"","Àrea de Presidència, Règim Interior, Seguretat i Mobilitat. Agència d'Ecologia Urbana de Barcelona","","Barcelona","2013. 2014. 2015. 2016. 2017. 2018","","2015","2015","","Aprovat pel Plenari del Consell Municipal de 27-03-2015","","","","application/pdf","494 p.","","","","consorcis","Mandat 2011-2015","http://hdl.handle.net/11703/85163","cat","","","","","","http://hdl.handle.net/11703/99264","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona. Agència d'Ecologia Urbana de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Mobilitat urbana. Circulació urbana","Transport","plans estratègics","Pla de Mobilitat Urbana de Barcelona 2013-2018","Pla de Mobilitat Urbana de Barcelona PMU: 2013-2018","Pla de Mobilitat Urbana de Barcelona 2013-2018","text",""
"","Barcelona Gestió Urbanística, S.A.. Patronat Municipal de l'Habitatge de Barcelona. Institut Municipal del Paisatge Urbà i la Qualitat de Vida (Barcelona). Institut Municipal d'Urbanisme (Barcelona). Regidoria d'Habitatge. Àrea d'Habitatge, Urbanisme i Règim Interior","","Barcelona","2008. 2009. 2010. 2011. 2012. 2013. 2014. 2015. 2016","","2011","2011","","","","","","application/pdf","120 p.","","","","organismes autònoms","Mandat 2007-2011","http://hdl.handle.net/11703/84971","cat","Ajuntament de Barcelona. Institut Municipal d'Urbanisme","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Habitatge públic. Política de l'habitatge","Habitatge","plans estratègics","Pla d'Habitatge de Barcelona 2008-2016","L'Habitatge a Barcelona 2008-2010 : Pla d'Habitatge de Barcelona 2008-2016","Pla d'Habitatge de Barcelona 2008-2016","text",""
"","Districte 8. Nou Barris","","Barcelona. Districte 8. Nou Barris","2004. 2005. 2006. 2007","","2004-05","2004-05","","","","","","application/pdf","42 p.","PAD_2004_2007_NB_42pag","","","districtes","Mandat 2003-2007","http://hdl.handle.net/11703/96344","cat","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Planificació estratègica. Política social. Equipaments col·lectius. Política de l'habitatge. Ordenació del territori. Rehabilitació urbana. Política ambiental. Política econòmica. Política pública","Sector públic","plans estratègics","Programa d'Actuació del Districte de Nou Barris (PAD) 2004-2007 (Barcelona)","Programa d'Actuació Municipal al Districte de Nou Barris 2004-2007","","text",""
"","Àrea de Qualitat de Vida, Igualtat i Esports","","Barcelona","2013. 2014. 2015. 2016","","2014","2014","","","","","","application/pdf","17 p.","","","","","Mandat 2011-2015","http://hdl.handle.net/11703/85091","cat","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Adolescents. Joventut. Política de la joventut","Societat i benestar","plans estratègics","Pla d'Adolescència i Joventut 2013-2016 (Barcelona)","Pla d'Adolescència i Joventut 2013-2016 : Textos de Lectura Fàcil","","text",""
"","Generalitat de Catalunya. Servei Català de Trànsit. Àrea de Presidència, Règim Interior, Seguretat i Mobilitat","","Barcelona","2013. 2014. 2015. 2016. 2017. 2018","","2013","2013","","","","","","application/pdf","101 p.","14023","","","","Mandat 2011-2015","http://hdl.handle.net/11703/86334","cat","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Seguretat viària. Circulació urbana","Seguretat","plans estratègics","Pla de Seguretat Viària de Barcelona 2013-2018","Pla local de seguretat viària de Barcelona : 2013-2018","","text",""
"","Districte 2. Eixample","","Barcelona. Districte 2. Eixample","2008. 2009. 2010. 2011","","2008","2008","","","","","","application/pdf","32 p.","PAD2008_2012_EI_DEF","","","districtes","Mandat 2007-2011","http://hdl.handle.net/11703/96368","cat","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Planificació estratègica. Espais públics. Convivència. Ordenació del territori. Rehabilitació urbana. Equipaments col·lectius. Mobilitat urbana. Política de l'habitatge. Comerç. Política social. Política tecnològica. Política pública","Sector públic","plans estratègics","Programa d'Actuació del Districte de l'Eixample (PAD) 2008-2011 (Barcelona)","Programa d'Actuació del Districte de l'Eixample: 2008-2011: proposta de Programa d'Actuació del Districte aprovat inicialment per la Comissió de Govern de l'Ajuntament","","text",""
"","Àrea de Presidència, Règim Interior, Seguretat i Mobilitat","","Barcelona","2013. 2014. 2015. 2016","","2013-01-10","2013","","Tercer Pla director de la cooperació al desenvolupament de l'Ajuntament de Barcelona. Pla aprovat per unanimitat en la sessió plenària extraordinària del Consell Municipal de Cooperació Internacional per al Desenvolupament del 10-01-2013 i al Plenari del Consell Municipal de l'01-02-2013","","","","application/pdf","56 p.","12993","","","","Mandat 2011-2015","http://hdl.handle.net/11703/86312","cat","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona. Generalitat de Catalunya","http://creativecommons.org/licenses/by/4.0/deed.ca","Cooperació internacional. Relacions internacionals","Economia. Sector públic","plans estratègics","Pla Director de Cooperació al Desenvolupament 2013-2016","Pla Director de Cooperació al Desenvolupament, Solidaritat i Pau de l'Ajuntament de Barcelona 2013-2016","","text",""
"","Districte 2. Eixample. SIGMA servicios profesionales para asociaciones","","Fort Pienc (Barcelona : Barri). Barcelona. Districte 2. Eixample","2012. 2011","","2011-12-30","2011","","Inclou el pla d'activitats 2012","","","","application/pdf","37 p.","18075","","","districtes","Mandat 2011-2015","http://hdl.handle.net/11703/86340","cat","SIGMA servicios profesionales para asociaciones","","","","","","","","","","","","Tots els drets reservats","restrictedAccess","","SIGMA servicios profesionales para asociaciones","","Equipaments col·lectius. Barris. Comerç","Sector públic","plans estratègics","Pla Estratègic del Barri de Fort Pienc 2011 (Barcelona)","Pla Estratègic del barri de Fort Pienc","","text",""
"","Sector de Serveis Generals. Direcció de Solidaritat i Cooperació Internacional","","Barcelona","2006. 2007. 2008","","2005-10-14","2005","","Aprovat pel Plenari en data de 14-10-2005","","","","application/pdf","23 p.","","","","","Mandat 2003-2007","http://hdl.handle.net/11703/84949","cat","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Solidaritat. Cooperació internacional","Societat i benestar","plans estratègics","Pla Director de Cooperació Internacional i Solidaritat 2006-2008 (Barcelona)","Pla Director de Cooperació Internacional i Solidaritat 2006-2008 : ""Barcelona ciutat solidària: un compromís amb el món""","","text",""
"","Consorci de les Drassanes Reials i Museu Marítim de Barcelona","","Barcelona","2015","No","2014-12-02","2014","","Aprovat per la Comissió Executiva i el Consell General del Consorci de les Drassanes Reials i Museu Marítim de Barcelona de 02-12-2014","","","","application/pdf","2 documents","","","","consorcis","Mandat 2015-","http://hdl.handle.net/11703/108708","cat","","","","","","","","","","","","","CC-BY","openAccess","","Consorci de les Drassanes Reials i Museu Marítim de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Museus. Activitats culturals. Consorci de les Drassanes Reials i Museu Marítim de Barcelona","Cultura i oci","plans estratègics","Pla d'Actuació del Consorci de les Drassanes Reials i Museu Marítim de Barcelona 2015","Pla d'actuació 2015","","text",""
"","Àrea de Qualitat de Vida, Igualtat i Esports","","Barcelona","2013. 2014. 2015. 2016","","2014","2014","","","","","","application/pdf","29 p","","","","","Mandat 2011-2015","http://hdl.handle.net/11703/85089","cat","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Infants. Adolescents","Societat i benestar","plans estratègics","Pla Municipal per a la infància 2013-2016 (Barcelona)","Síntesi del Pla Municipal per a la infància : 2013-2016","Programa Municipal per a la infància 2013-2016","text",""
"","Districte 2. Eixample","","Barcelona. Districte 2. Eixample","2008. 2009. 2010. 2011","","2008","2008","","","","","","application/pdf","31 p.","PAD2008_2012_EI_MARC","","","districtes","Mandat 2007-2011","http://hdl.handle.net/11703/96383","cat","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Planificació estratègica. Espais públics. Convivència. Ordenació del territori. Rehabilitació urbana. Equipaments col·lectius. Mobilitat urbana. Política de l'habitatge. Comerç. Política social","Sector públic","plans estratègics","Programa d'Actuació del Districte de l'Eixample (PAD) 2008-2011 (Barcelona)","Pla d'Actuació del Districte de l'Eixample 2008-2011: document marc","","text",""
"","Àrea de Medi Ambient. Direcció d'Espais Verds i Biodiversitat","","Barcelona","2007","","2007","2008-01","","","","","","application/pdf","77 p.","3449","","","","Mandat 2007-2011","http://hdl.handle.net/11703/86303","cat","Àrea de Medi Ambient. Direcció d'Espais Verds","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Arbres en les ciutats","Medi ambient","plans estratègics","Pla de Gestió de l'Arbrat Viari de Barcelona","Pla de gestió de l'arbrat viari de Barcelona 2007","","text",""
"","Àrea de Qualitat de Vida, Igualtat i Esports","","Barcelona","2012. 2013. 2014. 2015","","2013","2013","","","","","","application/pdf","136 p.","","","","","Mandat 2011-2015","http://hdl.handle.net/11703/85134","cas","Ajuntament de Barcelona","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Integració social. Serveis socials","Societat i benestar","plans estratègics","Pla per a la Inclusió Social de Barcelona 2012-2015","Plan para la Inclusión Social de Barcelona : 2012-2015","","text",""
"","Àrea de Medi Ambient","","Barcelona","2011. 2012. 2013. 2014. 2015. 2016. 2017. 2018. 2019. 2020","","2011","2011","","A la portada: Agència d'Energia de Barcelona.","","","","application/pdf","393 p.","17489","","","","Mandat 2007-2011","http://hdl.handle.net/11703/96402","cat","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Aire. Canvis climàtics. Energia. Política ambiental","Energia. Medi ambient","plans estratègics","Pla d'Energia, Canvi Climàtic i Qualitat de l'Aire 2011-2020 (Barcelona)","Pla d'energia, canvi climàtic i qualitat de l'aire de Barcelona 2011-2020 (PECQ)","","text",""
"","Comissions Obreres del Barcelonès. Unió General de Treballadors de Catalunya. PIMEC. Foment del Treball Nacional. Ajuntament de Barcelona","","Barcelona","2004. 2005. 2006. 2007","","2004","2004","","","","","","application/pdf","32 p.","POB2004_2007_cat_cas","","","","Mandat 2003-2007","http://hdl.handle.net/11703/96355","cat. cas","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Negociacions col·lectives de treball. Ocupació","Ocupació","plans estratègics","Pacte Local per l'Ocupació a Barcelona 2004-2007","Pacte local per a l'ocupació a Barcelona 2004-2007 [versió en català i castellà]","Pacto local para el empleo en Barcelona 2004-2007","text",""
"","Sector de Serveis Urbans i Medi Ambient. Parcs i Jardins de Barcelona, Institut Municipal","","Barcelona","2004","","2004-11","2004","","","","","","application/pdf","56 p.","3264","","","entitats públiques empresarials","Mandat 2003-2007","http://hdl.handle.net/11703/86306","cat","Parcs i Jardins de Barcelona, Institut Municipal","","","","","","","","","","","","CC-BY","openAccess","","Parcs i Jardins de Barcelona, Institut Municipal","http://creativecommons.org/licenses/by/4.0/deed.ca","Arbres en les ciutats","Medi ambient","plans estratègics","Pla de Gestió de l'Arbrat Viari de Barcelona","Pla de gestió de l'arbrat viari de Barcelona 2004","","text",""
"","Districte 7. Horta-Guinardó","","Barcelona. Districte 7. Horta-Guinardó","2008. 2009. 2010. 2011","","2008","2008","","","","","","application/pdf","23 p.","PAD2008_2012_HG_ANT","","","districtes","Mandat 2007-2011","http://hdl.handle.net/11703/96373","cat","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Planificació estratègica. Ordenació del territori. Rehabilitació urbana. Equipaments col·lectius. Política social. Mobilitat urbana. Política de l'habitatge","Sector públic","plans estratègics","Programa d'Actuació del Districte d'Horta-Guinardó (PAD) 2008-2011 (Barcelona)","Programa d'Actuació del Districte d'Horta-Guinardó: 2008-2011","","text",""
"","Àrea de Treball, Economia i Planificació Estratègica. Districte 1. Ciutat Vella. Barcelona Activa, S.A.","","Barcelona. Districte 1. Ciutat Vella","2016. 2017. 2018. 2019. 2020. 2021","","2016","2016","","Podeu consultar la versió en català a: http://hdl.handle.net/11703/108062","","","","application/pdf","60 p.","","","","districtes. societats mercantils","Mandat 2015-","http://hdl.handle.net/11703/108625","cas","","http://hdl.handle.net/11703/108062","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Districte 1. Ciutat Vella. Política laboral. Política econòmica. Política social. Comerç. Turisme urbà","Economia","plans estratègics","Pla de Desenvolupament Econòmic Ciutat Vella 2016-2021 (Barcelona)","Plan de Desarrollo Económico Ciutat Vella 2016-2021","","text",""
"","Gerència de Serveis Generals i Coordinació Territorial. Àrea d'Habitatge, Urbanisme i Règim Interior","","Poble Sec (Barcelona : Barri)","2010. 2011. 2012. 2013. 2014. 2015. 2016. 2017. 2018. 2019. 2020","","2010","2010","","","","","","application/pdf","31 p.","7614","","","","Mandat 2007-2011","http://hdl.handle.net/11703/84987","cat","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Equipaments col·lectius. Infraestructures urbanes. Barris","Sector públic","plans estratègics","Pla de Futur del Barri del Poble Sec 2010-2020 (Barcelona)","Pla de futur del barri del Poble Sec : 2010-2020","","text",""
"","Àrea d'Acció Social i Ciutadania","","Barcelona","2008. 2009. 2010. 2011","","2009","2009","","Presentat al Plenari Municipal de maig de 2009","","","","application/pdf","55 p.","","","","","Mandat 2007-2011","http://hdl.handle.net/11703/85065","cat","Ajuntament de Barcelona","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Pobresa. Benestar social","Societat i benestar","plans estratègics","Programa d'Acció Contra la Pobresa (Barcelona)","Programa d'Acció Social contra la Pobresa","","text",""
"","Àrea d'Habitatge, Urbanisme i Règim Interior","","Barcelona","2008. 2009. 2010. 2011. 2012. 2013. 2014. 2015. 2016","","2009","2009","","A la portada: Dossier de premsa. Barcelona, 28 de maig de 2009","","","","application/pdf","5 p.","DS20090528_PHB2008-2016","","","","Mandat 2007-2011","http://hdl.handle.net/11703/96382","cat","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Habitatge. Urbanisme","Habitatge","plans estratègics","Pla d'Habitatge de Barcelona 2008-2016","Pla d'Habitatge de Barcelona : 2008-2016 [versió resum]","","text",""
"","Sector de Serveis Personals","","Barcelona","2005. 2006. 2007. 2008. 2009. 2010. 2011","","2004-10-21","2004-10-21","","Versió reduïda.","","","","application/pdf","17 p.","PMISR2","","","","Mandat 2003-2007","http://hdl.handle.net/11703/96357","cat","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Integració social. Serveis socials. Benestar social","Societat i benestar","plans estratègics","Pla Municipal per a la Inclusió Social 2005-2010 (Barcelona)","Pla Municipal per a la Inclusió Social: Barcelona Inclusiva 2005-2010 [versió resum]","Pla Municipal per a la Inclusió Social 2005-2010","text",""
"","Sector de Serveis Personals","","Barcelona","2004. 2005. 2006. 2007","","2006","2005","","","","","","application/pdf","60 p.","persones_sense_sostre_2_cast","","","","Mandat 2003-2007","http://hdl.handle.net/11703/96366","cas","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Indigents. Benestar social","Societat i benestar","plans estratègics","Programa Municipal d'Atenció Social a Persones Sense Sostre (Barcelona)","Programa Municipal de Atención Social a Personas Sin Techo","","text",""
"","Àrea d'Acció Social i Ciutadania","Bayés, Pilarín","Barcelona","2007. 2008. 2009. 2010","","2008","2008","","","","","","application/pdf","15 p.","","","","","Mandat 2007-2011","http://hdl.handle.net/11703/85050","cat","Ajuntament de Barcelona","","","","","","","","","","","","CC-BY [només pel text] ; Tots els drets reservats [per les fotografies]","openAccess","","Ajuntament de Barcelona (text) ; Pilarin Bayés (il·lustracions)","http://creativecommons.org/licenses/by/4.0/deed.ca","Infants. Adolescents","Societat i benestar","plans estratègics","Programa Municipal per a la Infància i l'Adolescència 2007-2010 (Barcelona)","Barcelona, ciutat amiga de la infància : coneix el Programa Municipal per la Infància i l'Adolescència 2007-2010","","text",""
"","Àrea d'Economia, Empresa i Ocupació. Institut Municipal de Mercats (Barcelona)","","Barcelona. Districte 2. Eixample","2013. 2014. 2015. 2016","","2013","2013","","","","","","application/pdf","42 p.","","","","organismes autònoms. districtes","Mandat 2011-2015","http://hdl.handle.net/11703/85140","cat","Barcelona. Districte 2. Eixample","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Turisme urbà. Política turística","Turisme","plans estratègics","Pla de Turisme del Districte de l'Eixample 2013-2016 (Barcelona). Desconcentració Territorial de l'Activitat Turística 2013-2016 (Barcelona)","Pla de Turisme del Districte de l'Eixample : Programes d'Actuació","","text",""
"","Àrea de Presidència, Règim Interior, Seguretat i Mobilitat. Districte 10. Sant Martí","","Barcelona. Districte 10. Sant Martí","2012. 2013. 2014. 2015","","2012-06-26","2012-06-26","","Presentat a la Comissió de Govern Extraordinària del Districte el 26-06-2012","","","","application/pdf","53 p.","","","","districtes","Mandat 2011-2015","http://hdl.handle.net/11703/85115","cat","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Planificació estratègica. Organització i organigrames. Política social. Política econòmica. Política pública","Sector públic","plans estratègics","Programa d'Actuació del Districte de Sant Martí (PAD) 2012-2015 (Barcelona)","Programa d'Actuació del Districte de Sant Martí: 2012-2015: Marc Estratègic de l'Ajuntament de Barcelona","","text",""
"","Parc d'Atraccions del Tibidabo, S.A.","","Parc del Tibidabo (Barcelona)","2015. 2016. 2017. 2018. 2019. 2020","Si","2014-11","2014",2021.0,"","","","","application/pdf","11 p.","","","","societats mercantils","Mandat 2015-","http://hdl.handle.net/11703/85208","cat","Parc d'Atraccions del Tibidabo, S.A.","","","","","","","","","","","","Domini públic","openAccess","","Parc d'Atraccions del Tibidabo, S.A.","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Política econòmica. Lleure","Cultura i oci","plans estratègics","Pla Estratègic del Parc d'Atraccions del Tibidabo 2015-2020 (Barcelona)","Pla Estratègic del Parc d'Atraccions del Tibidabo 2015-2020","","text",""
"","Àrea de Drets de Ciutadania, Participació i Transparència","","Barcelona","2017. 2018. 2019","","2016-07-01","2016","","Presentada al Plenari del Consell Municipal de 01-07-2016. Citada a la Gaseta Municipal de Barcelona, núm. 23 (10-09-2016), p. 4817-4821","","","","application/pdf","18 p.","","","","","Mandat 2015-","http://hdl.handle.net/11703/97857","cat","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Drets humans. Drets civils. Política pública","Societat i benestar. Sector públic","mesures de govern. plans estratègics","Programa Barcelona Ciutat de Drets 2016-2019","Programa Barcelona Ciutat de Drets:  mesura de govern","Accions de prevenció i garantia de drets de ciutadania i accions per incloure l'enfocament de drets humans a les polítiques públiques","text",""
"","Sector de Serveis Personals","","Barcelona","2006. 2007. 2008. 2009. 2010","","2006-04-28","2006","","Document aprovat pel plenari del Consell Municipal del 28-04-2006","","","","application/pdf","89 p.","","","","","Mandat 2003-2007","http://hdl.handle.net/11703/84958","cat","Regidoria de Dona i Igualtat d'Oportunitats","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Prostitució","Societat i benestar","plans estratègics","Pla per a l'Abordatge Integral del Treball Sexual (Barcelona)","Pla per a l'Abordatge Integral del Treball Sexual","","text",""
"","Sector de Serveis Personals. Institut Barcelona Esports","","Barcelona","1999. 2000. 2001. 2002. 2003","","2003","2003","","","","","","application/pdf","3 p.","","","","","Mandat 1999-2003","http://hdl.handle.net/11703/84927","cat","","","","","","","","","","","","","CC-BY","openAccess","","Institut Barcelona Esports","http://creativecommons.org/licenses/by/4.0/deed.ca","Esports","Esport","plans estratègics","Pla Estratègic de l'Esport de Barcelona 1999-2003","Pla de l'Esport en edat escolar de la ciutat de Barcelona","","text",""
"","Àrea d'Habitatge, Urbanisme i Règim Interior. Gerència de Serveis Generals i Coordinació Territorial","","Ciutat Meridiana (Barcelona : Barri)","2010. 2011. 2012. 2013. 2014. 2015. 2016. 2017. 2018. 2019. 2020","","2010","2010","","","","","","application/pdf","20 p.","","","","","Mandat 2007-2011","http://hdl.handle.net/11703/85019","cat","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Equipaments col·lectius. Infraestructures urbanes. Barris","Sector públic","plans estratègics","Pla de Futur de Ciutat Meridiana 2010-2020 (Barcelona)","Pla de futur de Ciutat Meridiana : 2010-2020","","text",""
"","Àrea de Presidència, Règim Interior, Seguretat i Mobilitat","","Barcelona","2012. 2013. 2014","","2014-03-05","2014","","","","","","application/pdf","26 p.","13300","","","","Mandat 2011-2015","http://hdl.handle.net/11703/86326","cat","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Vianants. Transport públic. Aparcaments. Política de transports. Circulació urbana","Transport","plans estratègics","Pacte per la Mobilitat 2012-2014 (Barcelona)","Pacte per la Mobilitat","","text",""
"","Àrea d'Hàbitat Urbà","","Barcelona","2011. 2012. 2013. 2014. 2015. 2016. 2017. 2018. 2019. 2020","","2013","2013","","","","","","application/pdf","156 p.","","","","","Mandat 2011-2015","http://hdl.handle.net/11703/85099","cat","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Zones verdes. Parcs. Jardins","Medi ambient","plans estratègics","Pla del Verd i la Biodiversitat de Barcelona 2012-2020","Pla del Verd i la Biodiversitat de Barcelona 2012-2020","","text",""
"","Àrea d'Ecologia, Urbanisme i Mobilitat","","Barcelona","2015. 2016. 2017. 2018","","2015-11-27","2015","","Presentada al Plenari del Consell Municipal de 27-11-2015","","","","application/pdf","238 p.","","","","","Mandat 2015-","http://hdl.handle.net/11703/84218","cat","","","","","","","","","","","","","CC-BY","openAccess","","","http://creativecommons.org/licenses/by/4.0/deed.ca","Mobilitat. Desplaçaments en bicicleta. Circulació urbana. Vies ciclistes","Transport","mesures de govern. plans estratègics","Pla de Mobilitat Urbana de Barcelona 2013-2018","Estratègia de la bicicleta per Barcelona : mesura de govern","","text",""
"","Direcció d'Adolescència i Joventut. Àrea de Qualitat de Vida, Igualtat i Esports. Regidoria d'Adolescència i Joventut","","Barcelona","2013","","2013-05","2013","","Aprovat pel Consell Plenari de l'Ajuntament del 15 de març de 2013","","","","application/pdf","80 p.","13230","","","","Mandat 2011-2015","http://hdl.handle.net/11703/86324","cat","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Infants. Adolescents. Política de la joventut","Societat i benestar","plans estratègics","Programa Municipal per a la Infància i l'Adolescència 2013-2016 (Barcelona). Pla d'Adolescència i Joventut 2013-2016 (Barcelona)","Pla d'Adolescència i Joventut 2013-2016 : pla d'accions 2013","","text",""
"","Districte 7. Horta-Guinardó","","Barcelona. Districte 7. Horta-Guinardó","2016. 2017. 2018. 2019","","2016-12-01","2016-12-01","","Presentada al Consell Plenari del Districte d'Horta-Guinardó de 01-12-2016","","","","application/pdf","32 p.","","","","districtes","Mandat 2015-","http://hdl.handle.net/11703/102296","cat","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Planificació estratègica. Política social. Política econòmica. Política ambiental. Política pública","Sector públic","mesures de govern. plans estratègics","Programa d'Actuació del Districte d'Horta-Guinardó (PAD) 2016-2019 (Barcelona). Programa d'Actuació Municipal (PAM) 2016-2019 (Barcelona)","Mesura de Govern de les Línies d'Actuació del Districte d'Horta-Guinardó 2016-2019","","text",""
"","Sector de Manteniment i Serveis","","Barcelona","2002. 2003. 2004. 2005. 2006. 2007. 2008. 2009. 2010","","2002-02-15","2002","","Presentada al Plenari del Consell Municipal de 15-02-2001. Citada a la Gaseta Municipal núm. 13 (30-04-2002)","","","","application/pdf","37 p.","13489","","","","Mandat 1999-2003","http://hdl.handle.net/11703/96304","cat","Ajuntament de Barcelona","http://hdl.handle.net/11703/84929","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Arquitectura i estalvi d'energia. Consum d'energia. Política energètica","Energia","mesures de govern. plans estratègics","Pla de Millora Energètica de Barcelona 2002-2010","Pla de millora energètica de Barcelona : resum : mesura de govern","","text",""
"","Gerència de Serveis Generals i Coordinació Territorial. Àrea d'Habitatge, Urbanisme i Règim Interior","","Coll (Barcelona : Barri)","2010. 2011. 2012. 2013. 2014. 2015. 2016. 2017. 2018. 2019. 2020","","2010","2010","","","","","","application/pdf","50 p.","","","","","Mandat 2007-2011","http://hdl.handle.net/11703/84999","cat","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Equipaments col·lectius. Infraestructures urbanes. Barris","Sector públic","plans estratègics","Pla de Futur del Barri del Coll 2010-2020 (Barcelona)","Pla de futur del barri del Coll : 2010-2020","","text",""
