"dcAccrualPeriodicity","dcAccrualPolicy","dccontributorauthor","dccontributorother","dccoveragespatial","dccoveragetemporal","dccoveragevigencia","dcdatecreated","dcdateissued","dcdatevalidfinal","dcdatevalidinici","dcdescription","dcdescriptiontableofcontents","dcformat","dcformatextent","dcidentifierBG","dcidentifierab","dcidentifiercitation","dcidentifierentitat","dcidentifieruri","dclanguage","dcrelation","dcrelationisreplacedby","dcrelationisrequiredby","dcrelationreplaces","dcrelationrequires","dcrights","dcrightsaccessrights","dcrightsuri","dcsubject","dcsubjectcategory","dcsubjectforma","dcsubjectprogramme","dctitle","dctitlealternative","dctype","Unnamed: 36"
"","","Institut Barcelona Esports","","Barcelona","2013","No","2014-12-11","2014-12-15","","","Aprovada per la Presidenta de l'Institut Barcelona Esports el 11-12-2014. Les ""Bases generals reguladores del Premi Dona i Esport"" han estat aprovades definitivament 12-11-2014","","application/pdf","","","17909","Butlletí Oficial de la Província de Barcelona (15-12-2014)","organismes autònoms","http://hdl.handle.net/11703/86976","cat","","http://hdl.handle.net/11703/96553","","","","Domini públic","openAccess","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Premi Dona i Esport","Esport","premis","","Premi Dona i Esport 2013 : convocatòria i bases","","text",""
"","","Districte 10. Sant Martí","","Barcelona","2014","","2014-07-23","2014-09-19","","","Aprovades inicialment el 23-07-2014 per la Comissió de Govern. Atès que dins del termini d'informació pública de les indicades bases particulars no s'han presentat al·legacions, aquestes bases han quedat aprovades definitivament","","application/pdf","","14105","","Butlletí Oficial de la Província de Barcelona (19-09-2014)","districtes","http://hdl.handle.net/11703/86967","cat","","","","","","Domini públic","openAccess","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Certamen Literari Paraules a Icària. Certàmens literaris","Cultura i oci","premis","","Certamen literari Paraules a Icària 2014 : bases","","text",""
"","","Ajuntament de Barcelona","","Barcelona","2011","","2011-03-18","2011-04-10","","","Aprovat per Decret d'Alcaldia de 18-03-2011","","application/pdf","","12481","","Publicat també a la: Gaseta Municipal de Barcelona, núm. 11 (10-04-2011), p. 1683-1685. Butlletí Oficial de la Província de Barcelona  19-04-2011","","http://hdl.handle.net/11703/86950","cat","","","","","","Domini públic","openAccess","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Premi Barcelona, els millors mercats del món","Comerç","premis","","Premi Barcelona, els millors mercats del món 2011 : convocatòria i bases","","text",""
"Anual","","Institut Municipal de Mercats (Barcelona). Regidoria de Comerç i Mercats","","Barcelona","2017","","2017-07-05","2017-07-19","","2017-07-20","Aprovades per la Regidora de Comerç i Mercats i la Presidenta de l'Institut Municipal de Mercats el 15-07-2017","","application/pdf","3 p.","","","Butlletí Oficial de la Província de Barcelona (19-07-2017)","organismes autònoms","http://hdl.handle.net/11703/105061","cat","","","","","","Domini públic","openAccess","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Premi Mercats de Barcelona. Mercats","Comerç","premis","","Premi Mercats de Barcelona 2017 : bases i convocatòria","","text",""
"","","Ajuntament de Barcelona","","Barcelona","2010","","2010-07-26","2010-09-21","","","Aprovat per Decret de l'Alcaldia de 26-07-2010","","application/pdf","","12476","","Butlletí Oficial de la Província de Barcelona (21-09-2010)","","http://hdl.handle.net/11703/86947","cat","","","","","","Domini públic","openAccess","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Premi Consell Municipal d'Immigració de Barcelona","Demografia","premis","","Premi Consell Municipal d'Immigració de Barcelona 2010 : convocatòria i bases","","text",""
"","","Ajuntament de Barcelona","","Barcelona","2002","","2002-05-24","2002-06-26","","","Aprovat per Decret de l'Alcaldia 24-05-2002","","application/pdf","","12336","","Butlletí Oficial de la Província de Barcelona, núm. 152 (26-06-2002)","","http://hdl.handle.net/11703/89307","cat","","","","","","Domini públic","openAccess","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Premi Consell Municipal de Benestar Social als Mitjans de Comunicació","Societat i benestar","premis","","Premi Consell Municipal de Benestar Social als Mitjans de Comunicació  2002 : convocatòria","","text",""
"","","Ajuntament de Barcelona","","Barcelona","2014","","2014-01-20","2014-02-03","","","Aprovat per Decret de l'Alcaldia de 20-01-2014","","application/pdf","","12897","","Butlletí Oficial de la Província de Barcelona (03-02-2014)","","http://hdl.handle.net/11703/86955","cat","","","","","","Domini públic","openAccess","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Premi Barcelona VisualSound. Festival Barcelona VisualSound. Audiovisuals. Joves. Creativitat","Cultura i oci. Ciència i tecnologia","premis","","Premi Barcelona Visualsound, Festival audiovisual de creació jove 2014 : convocatòria i bases","","text",""
"","","Institut Municipal de Mercats (Barcelona)","","Barcelona","","","2015-07-08","2015-07-13","","2015-07-14","","","application/pdf","3 p.","","","Butlletí Oficial de la Província de Barcelona (13-07-2015)","organismes autònoms","http://hdl.handle.net/11703/83477","cat","","","","","","Domini públic","openAccess","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Premi Mercats de Barcelona. Mercats","Comerç","premis","","Premi Mercats de Barcelona 2015: bases i convocatòria","","text",""
"","","Ajuntament de Barcelona","","Barcelona","2011","","2011-01-18","2011-01-25","","","Aprovat per Decret de l'Alcaldia de 18-01-2011","","application/pdf","","12091","","Butlletí Oficial de la Província de Barcelona (25-01-2011)","","http://hdl.handle.net/11703/86921","cat","","","","","","Domini públic","openAccess","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Premi 8 de març - Maria Aurèlia Capmany","Societat i benestar","premis","","Premi 8 de març -Maria Aurèlia Capmany 2011 : convocatòria  i bases","","text",""
"","","Institut de Cultura de Barcelona","","Barcelona","2017","Si","2017-07-24","2017-08-08","","2017-08-29","Aprovació inicial per la Presidència de l'Institut de Cultura el 24-07-2017. No s'ha presentat cap al·legació, per tant, estan definitivament aprovades","","application/pdf","5 p.","","","Butlletí Oficial de la Província de Barcelona (08-08-2017)","entitats públiques empresarials","http://hdl.handle.net/11703/105412","cat","","","","","","Domini públic","openAccess","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Literatura. Premi Montserrat Roig","Cultura i oci","premis","Barcelona Ciutat de la Literatura 2015-","Premis Montserrat Roig 2018 : convocatòria i bases","","text",""
"","","Ajuntament de Barcelona","Consell Assessor de Salut Laboral de Barcelona","Barcelona","2012","","2012-06-14","2012-06-07","","","Aprovat per Decret de l'Alcaldia de 14-06-2012","","application/pdf","","12424","","Butlletí Oficial de la Província de Barcelona (07-06-2012)","consells","http://hdl.handle.net/11703/86939","cat","","","","","","Domini públic","openAccess","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Premi Ignasi Fina de Salut Laboral","Ocupació. Salut","premis","","Premi Ignasi Fina de Salut Laboral 2012 : convocatòria i bases","","text",""
"","","Ajuntament de Barcelona","","Barcelona","2010","","2010-07-01","2010-07-09","","","Aprovat per Decret de l'Alcaldia de 01-07-2010","","application/pdf","","12358","","Butlletí Oficial de la Província de Barcelona (09-07-2010)","","http://hdl.handle.net/11703/86930","cat","","","","","","Domini públic","openAccess","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Premi Consell Municipal de Benestar Social als Mitjans de Comunicació","Societat i benestar","premis","","Premi Consell Municipal de Benestar Social als Mitjans de Comunicació 2010 : convocatòria","","text",""
"","","Ajuntament de Barcelona","","Barcelona","2014","","2014-06-06","2014-06-23","","","Aprovat per Decret de l'Alcaldia de 06-06-2014","","application/pdf","","13837","","Butlletí Oficial de la Província de Barcelona (23-06-2014)","","http://hdl.handle.net/11703/86962","cat","","","","","","Domini públic","openAccess","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Premi Consell Municipal de Benestar Social als Mitjans de Comunicació","Demografia","premis","","Premi Consell Municipal de Benestar Social als Mitjans de Comunicació  2014 : convocatòria i bases","","text",""
"","","Ajuntament de Barcelona","","Barcelona","2008","","2008-07-08","2008-07-23","","","Aprovat per Decret de l'Alcaldia de 08-07-2008","","application/pdf","","12351","","Butlletí Oficial de la Província de Barcelona, núm. 176 (23-07-2008)","","http://hdl.handle.net/11703/89313","cat","","","","","","Domini públic","openAccess","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Premi Consell Municipal de Benestar Social als Mitjans de Comunicació","Societat i benestar","premis","","Premi Consell Municipal de Benestar Social als Mitjans de Comunicació 2008 : convocatòria","","text",""
"Anual","Obert","Districte 3. Sants-Montjuïc","","Barcelona. Districte 3. Sants-Montjuïc","2017","","2017-01-19","2017-03-08","","2017-03-09","Aprovació inicial per la Comissió de Govern de 19-01-2017. Atès que dins del termini d'informació pública de les indicades bases particulars no s'han presentat al·legacions, aquestes bases han quedat aprovades definitivament","","application/pdf","","","Núm. Exp. 20172012","Butlletí Oficial de la Província de Barcelona (08-03-2017)","districtes","http://hdl.handle.net/11703/101033","cat","","","","","","Domini públic","openAccess","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Cartells. Concursos. Festes majors. Concurs de Cartells de la Festa Major de Sants","Cultura i oci","premis","","XXII Concurs de Cartells de la Festa Major de Sants  2017 : convocatòria i bases","","text",""
"","","Ajuntament de Barcelona","","Barcelona","2015","","2015-09-18","2015-09-30","","","","","application/pdf","5 p.","","","Butlletí Oficial de la Província de Barcelona (30-09-2015)","","http://hdl.handle.net/11703/83945","cat","","","","","","Domini públic","openAccess","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Premi 25 de novembre - Dia Internacional per a l'eliminació de la violència vers les dones. Violència envers les dones","Societat i benestar","premis","","Premi 25 de novembre - Dia Internacional per a l'eliminació de la violència vers les dones 2015: convocatòria","","text",""
"","","Ajuntament de Barcelona","","Barcelona","2008","","2008-01-04","2008-01-09","","","Aprovat per Decret de l'Alcaldia 04-01-2008","","application/pdf","","12089","","Butlletí Oficial de la Província de Barcelona, núm.  8 (09-01-2008)","","http://hdl.handle.net/11703/89302","cat","","","","","","Domini públic","openAccess","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Premi 8 de març - Maria Aurèlia Capmany","Societat i benestar","premis","","Premi 8 de març -Maria Aurèlia Capmany 2008 : convocatòria i bases","","text",""
"","","Ajuntament de Barcelona","","Barcelona","2013","","2013-09-05","2013-09-16","","","Aprovat pel gerent de Qualitat de vida, Igualtat i Esports el 05-09-2013","","application/pdf","","11634","","Butlletí Oficial de la Província de Barcelona (16-09-2013)","","http://hdl.handle.net/11703/86918","cat","","","","","","Domini públic","openAccess","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Premi 25 de novembre - Dia Internacional per a l'eliminació de la violència vers les dones. Violència envers les dones","Societat i benestar","premis","","Premi 25 de Novembre - Dia Internacional per a l'eliminació de la violència vers les dones 2013: convocatòria i bases","","text",""
"","","Institut Barcelona Esports","","Barcelona","2016","","2016-05-19","2016-05-20","2016-05-25","2016-05-21","Aprovada per la presidenta de l'Institut Barcelona Esport el 19-05-2016","","application/pdf","2 p.","","Núm. Reg. 022016008563","Butlletí Oficial de la Província de Barcelona (20-05-2016)","organismes autònoms","http://hdl.handle.net/11703/97298","cat","","","","","","Domini públic","openAccess","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Premi Joan Serra a la dansa educativa","Cultura i oci. Educació","premis","","Premi Joan Serra a la Dansa Educativa 2015-2016: convocatòria","","text",""
"","","Ajuntament de Barcelona","","Barcelona","2007","","2007-01-31","2007-02-06","","","Aprovat per Decret de l'Alcaldia de 31-01-2007","","application/pdf","","12419","","Butlletí Oficial de la Província de Barcelona, núm. 32 (06-02-2007)","","http://hdl.handle.net/11703/89322","cat","","","","","","Domini públic","openAccess","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Premi Barcelona de Salut Laboral","Ocupació. Salut","premis","","Premi Barcelona de Salut Laboral 2007 : convocatòria","","text",""
"","","Ajuntament de Barcelona","","Barcelona","2006","","2006-03-29","2006-04-01","","","Aprovades per DA de 29-03-2006","","application/pdf","","12509","","Butlletí Oficial de la Província de Barcelona, núm. 78 (01-04-2006)","","http://hdl.handle.net/11703/89330","cat","","","","","","Domini públic","openAccess","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Concurs Fotoweb","Cultura i oci","premis","","Concurs Fotoweb a través de la web de l'Ajuntament de Barcelona 2006 : bases","","text",""
"Biennal","","Centre de Cultura Contemporània de Barcelona","","Barcelona","2014. 2015","No","2014-09-23","2014-10-13","","2014-10-14","Aprovat per la Direcció General del Consorci de del Centre de Cultura Contemporània el 23-09-2014","","application/pdf","5 p.","","","Butlletí Oficial de la Província de Barcelona (13-10-2014)","consorcis","http://hdl.handle.net/11703/98462","cat","","","","","","Domini públic","openAccess","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Premi Internacional a la Innovació Cultural. Cultura","Ciència i tecnologia. Cultura i oci","premis","","Premi d'Innovació Cultural 2014-2015 : convocatòria i bases","","text",""
"Anual","","Districte 10. Sant Martí. Regidoria de Cicle de Vida, Feminismes i LGTBI. Consorci de Biblioteques de Barcelona","","Barcelona. Districte 10. Sant Martí","2016","No","2016-06-16","2016-08-12","","","Aprovades inicialment el 16-06-2016 per la Comissió de Govern. Atès que dins del termini d'informació pública de les indicades bases particulars no s'han presentat al·legacions, aquestes bases han quedat aprovades definitivament","","application/pdf","","","Núm. Reg. 022016011438","Butlletí Oficial de la Província de Barcelona (12-08-2016). Publicat també a la Gaseta Municipal de Barcelona, núm. 21 (20-07-2016), p. 4477-4484. Aprovació inicial [inclou les Bases]: Butlletí Oficial de la Província de Barcelona (07-07-2016)","districtes. consorcis","http://hdl.handle.net/11703/97649","cat","","","","","","Domini públic","openAccess","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Premi Jove de Còmic Sant Martí, per a la Prevenció i Eradicació de la Violència Masclista. Masclisme. Violència envers les dones. Còmics. Prevenció","Societat i benestar","premis","","Premi Jove de Còmic Sant Martí per a la prevenció i eradicació de la violència masclista 2016: bases i convocatòria","","text",""
"Anual","","Districte 10. Sant Martí. Regidoria de Cicle de Vida, Feminismes i LGTBI. Consorci de Biblioteques de Barcelona","","Barcelona. Districte 10. Sant Martí","2015","","2015-04-08","2015-06-22","","","Aprovades inicialment el 08-04-2015 per la Comissió de Govern. Atès que dins del termini d'informació pública de les indicades bases particulars no s'han presentat al·legacions, aquestes bases han quedat aprovades definitivament","","application/pdf","","19374. 19375","","Butlletí Oficial de la Província de Barcelona (22-06-2015). Aprovació inicial [inclou les Bases]: Butlletí Oficial de la Província de Barcelona (08-05-2015)","districtes. consorcis","http://hdl.handle.net/11703/86982","cat","","","","","","Domini públic","openAccess","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Premi Jove de Còmic Sant Martí, per a la Prevenció i Eradicació de la Violència Masclista. Masclisme. Violència envers les dones. Còmics. Prevenció","Societat i benestar","premis","","Premi Jove de Còmic de Sant Martí, per a la prevenció i eradicació de la violència masclista 2015 : convocatòria","","text",""
"","","Ajuntament de Barcelona","","Barcelona","2018","Si","2017-12-21","2018-01-04","","2017-12-22","Aprovació inicial de les bases per la Comissió de Govern de 11-10-2017. No s'ha presentat cap al·legació, per tant, estan definitivament aprovades. Convocatòria aprovada per la Comissió de Govern de 21-12-2017","","application/pdf","2 documents","","","Convocatòria: Butlletí Oficial de la Província de Barcelona (04-01-2018). Bases:  Butlletí Oficial de la Província de Barcelona (27-11-2017)","","http://hdl.handle.net/11703/107113","cat","","","","","","Domini públic","openAccess","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Premi 8 de març - Maria Aurèlia Capmany. Dones. Moda. Sexisme","Cultura i oci","premis","","Premi 8 de març -Maria Aurèlia Capmany 2018 : convocatòria i bases","XXXII Premis 8 de març -Maria Aurèlia Capmany. Desvestint el gènere : estètica i representació cultural del gènere 2018 : convocatòria i bases","text",""
