"dccontributorauthor","dccoveragespatial","dccoveragetemporal","dccoveragevigencia","dcdatecreated","dcdateissued","dcdescription","dcdescriptionabstract","dcdescriptionsponsorship","dcdescriptiontableofcontents","dcformat","dcformatextent","dcformatmimetype","dcidentifierBG","dcidentifierab","dcidentifiercitation","dcidentifierentitat","dcidentifiermandat","dcidentifieruri","dcidentifiervideo","dclanguage","dcpublisher","dcrelation","dcrelationhasversion","dcrelationisbasisfor","dcrelationisformatof","dcrelationisreferencedby","dcrelationisrequiredby","dcrelationisversionof","dcrelationreferences","dcrelationuri","dcrights","dcrightsaccessrights","dcrightsrightsHolder","dcrightsuri","dcsubject","dcsubjectcategory","dcsubjectforma","dcsubjectprogramme","dctitle","dctitlealternative","dctype","dctypedriver","Unnamed: 43"
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","","","2017-01-23","2017-02-10","Presentada al Plenari del Consell Municipal de 23-01-2017","","","","application/pdf","2 p.","application/pdf","","","","","Mandat 2015-2019","http://hdl.handle.net/11703/100451","","cat","","","","","Reproducció digital del document en suport original","","","","","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Accidents | Ferrocarrils | Víctimes d'accidents | Accidents | Railroads | Accident victims | Accidentes | Ferrocarriles | Víctimas de accidentes","Societat i benestar | Transport","declaracions institucionals | documents digitalitzats","","Declaració institucional Alvia","","text","info:eu-repo/semantics/other",""
"Districte 4. Les Corts. Consell Plenari","Barcelona | Barcelona | Barcelona","","","2016-02-19","2016-02-19","Presentada al Plenari del Consell del Districte de Les Corts de 19-02-2016","","","","application/pdf","2 p.","application/pdf","","","","districtes","Mandat 2015-2019","http://hdl.handle.net/11703/97573","","cat","","","","","Reproducció digital del document en suport original","","","","","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Drets dels infants | Children's rights | Derechos de los niños","Societat i benestar","declaracions institucionals | documents digitalitzats","","Declaració institucional per protegir i garantir els drets dels infants","","text","info:eu-repo/semantics/other",""
"Districte 4. Les Corts. Consell Plenari","Barcelona. Districte 4. Les Corts | Barcelona. District 4. Les Corts | Barcelona. Distrito 4. Les Corts","2020","","2020-02-27","2020-03-10","Presentada al Plenari del Consell del Districte de Les Corts de 10-03-2020","","Digitalitzat pel Districte de Les Corts","","application/pdf","3 p.","application/pdf","","","","districtes","Mandat 2019-","http://hdl.handle.net/11703/117838","","cat","","","","","Reproducció digital del document  en suport original","","","","","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Ecofeminisme | Igualtat entre els sexes | Conciliació laboral | Masclisme | Protecció ambiental | Ecofeminism | Gender equality | Industrial conciliation | Machismo | Environmental protection | Ecofeminismo | Igualdad de género | Conciliación laboral | Machismo | Protección ambiental","Societat i benestar | Medi ambient","declaracions institucionals | documents digitalitzats","","Declaració institucional l'ecofeminisme és la resposta","","text","info:eu-repo/semantics/other",""
"Districte 4. Les Corts. Consell Plenari","Barcelona. Districte 4. Les Corts | Barcelona. District 4. Les Corts | Barcelona. Distrito 4. Les Corts","","","2017-07-06","2017-07-06","Presentada al Plenari del Consell del Districte de Les Corts de 06-06-2017","","Digitalitzat pel Districte de Les Corts","","application/pdf","2 p.","application/pdf","","","","districtes","Mandat 2015-2019","http://hdl.handle.net/11703/104929","","spa","","","","","Reproducció digital del document en suport original","","","","","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Drets civils | Drets socials | Gais | Bisexuals | Transsexuals | Homofòbia | Bifòbia | Transfòbia | LGTBI | Civil rights | Social rights | Gay men | Bisexuals | Transsexuals | Homophobia | Biphobia | Transphobia | LGTBI | Derechos políticos y civiles | Derechos civiles y políticos | Gais | Bisexuales | Transexuales | Homofobia | Bifobia | Transfobia | LGTBI","Societat i benestar","declaracions institucionals | documents digitalitzats","","Declaración Institucional de condena de los actos de odio contra el colectivo LGTBI","","text","info:eu-repo/semantics/other",""
"Àrea de Drets de Ciutadania, Participació i Transparència | Àrea de Drets de Ciutadania, Participació i Transparència | Àrea de Drets de Ciutadania, Participació i Transparència | Àrea de Drets de Ciutadania, Participació i Transparència | Àrea de Drets de Ciutadania, Participació i Transparència | Àrea de Drets de Ciutadania, Participació i Transparència | Àrea de Drets de Ciutadania, Participació i Transparència | Àrea de Drets de Ciutadania, Participació i Transparència | Àrea de Drets de Ciutadania, Participació i Transparència | Àrea de Drets de Ciutadania, Participació i Transparència | Àrea de Drets de Ciutadania, Participació i Transparència | Àrea de Drets de Ciutadania, Participació i Transparència | Àrea de Drets de Ciutadania, Participació i Transparència | Àrea de Drets de Ciutadania, Participació i Transparència | Àrea de Drets de Ciutadania, Participació i Transparència | Direcció de Serveis de Drets de Ciutadania i Diversitat | Direcció de Serveis de Drets de Ciutadania i Diversitat | Direcció de Serveis de Drets de Ciutadania i Diversitat | Direcció de Serveis de Drets de Ciutadania i Diversitat | Direcció de Serveis de Drets de Ciutadania i Diversitat | Direcció de Serveis de Drets de Ciutadania i Diversitat | Direcció de Serveis de Drets de Ciutadania i Diversitat | Direcció de Serveis de Drets de Ciutadania i Diversitat | Direcció de Serveis de Drets de Ciutadania i Diversitat | Direcció de Serveis de Drets de Ciutadania i Diversitat | Direcció de Serveis de Drets de Ciutadania i Diversitat | Direcció de Serveis de Drets de Ciutadania i Diversitat | Direcció de Serveis de Drets de Ciutadania i Diversitat | Direcció de Serveis de Drets de Ciutadania i Diversitat | Direcció de Serveis de Drets de Ciutadania i Diversitat | Consell Municipal d'Immigració (Barcelona) | Consell Municipal d'Immigració (Barcelona) | Consell Municipal d'Immigració (Barcelona) | Consell Municipal d'Immigració (Barcelona) | Consell Municipal d'Immigració (Barcelona) | Consell Municipal d'Immigració (Barcelona) | Consell Municipal d'Immigració (Barcelona) | Consell Municipal d'Immigració (Barcelona) | Consell Municipal d'Immigració (Barcelona) | Consell Municipal d'Immigració (Barcelona) | Consell Municipal d'Immigració (Barcelona) | Consell Municipal d'Immigració (Barcelona) | Consell Municipal d'Immigració (Barcelona) | Consell Municipal d'Immigració (Barcelona) | Consell Municipal d'Immigració (Barcelona)","Barcelona","","","2017-10-22 | 2017-10-22 | 2017-10-22 | 2017-10-22 | 2017-10-22 | 2017-10-22 | 2017-10-22 | 2017-10-22 | 2017-10-22 | 2017-10-22 | 2017-10-22 | 2017-10-22 | 2017-10-22 | 2017-10-22 | 2017-10-22","2017-10-22 | 2017-10-22 | 2017-10-22 | 2017-10-22 | 2017-10-22 | 2017-10-22 | 2017-10-22 | 2017-10-22 | 2017-10-22 | 2017-10-22 | 2017-10-22 | 2017-10-22 | 2017-10-22 | 2017-10-22 | 2017-10-22 | 2017-10-22","","","","","application/pdf","2 p. | 2 p. | 2 p. | 2 p. | 2 p. | 2 p. | 2 p. | 2 p. | 2 p. | 2 p. | 2 p. | 2 p. | 2 p. | 2 p. | 2 p.","application/pdf","","","","","","http://hdl.handle.net/11703/110834","","cas | cas | cas | cas | cas | cas | cas | cas | cas | cas | cas | cas | cas | cas | cas","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","Consell Municipal d'Immigració","http://creativecommons.org/licenses/by/4.0/deed.es","","","declaracions institucionals","","Manifiesto del Consejo Municipal de Inmigración de Barcelona por la Dignificación del trabajo del hogar y los cuidados | Manifiesto del Consejo Municipal de Inmigración de Barcelona por la Dignificación del trabajo del hogar y los cuidados | Manifiesto del Consejo Municipal de Inmigración de Barcelona por la Dignificación del trabajo del hogar y los cuidados | Manifiesto del Consejo Municipal de Inmigración de Barcelona por la Dignificación del trabajo del hogar y los cuidados | Manifiesto del Consejo Municipal de Inmigración de Barcelona por la Dignificación del trabajo del hogar y los cuidados | Manifiesto del Consejo Municipal de Inmigración de Barcelona por la Dignificación del trabajo del hogar y los cuidados | Manifiesto del Consejo Municipal de Inmigración de Barcelona por la Dignificación del trabajo del hogar y los cuidados | Manifiesto del Consejo Municipal de Inmigración de Barcelona por la Dignificación del trabajo del hogar y los cuidados | Manifiesto del Consejo Municipal de Inmigración de Barcelona por la Dignificación del trabajo del hogar y los cuidados | Manifiesto del Consejo Municipal de Inmigración de Barcelona por la Dignificación del trabajo del hogar y los cuidados | Manifiesto del Consejo Municipal de Inmigración de Barcelona por la Dignificación del trabajo del hogar y los cuidados | Manifiesto del Consejo Municipal de Inmigración de Barcelona por la Dignificación del trabajo del hogar y los cuidados | Manifiesto del Consejo Municipal de Inmigración de Barcelona por la Dignificación del trabajo del hogar y los cuidados | Manifiesto del Consejo Municipal de Inmigración de Barcelona por la Dignificación del trabajo del hogar y los cuidados | Manifiesto del Consejo Municipal de Inmigración de Barcelona por la Dignificación del trabajo del hogar y los cuidados","","text","info:eu-repo/semantics/other",""
"Consell Econòmic i Social de Barcelona","Barcelona | Barcelona | Barcelona","","","2007-02-22","2007","","","","","application/pdf","3 p.","application/pdf","17652","","","consells","Mandat 2003-2007","http://hdl.handle.net/11703/89739","","cat","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Integració social | Dret del treball | Social integration | Labor laws and legislation | Integración social | Derecho del trabajo","Societat i benestar | Ocupació","declaracions institucionals","","Declaració Immigració i Mercat de Treball a Barcelona","","text","info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","","","2020-04-29","2020-04-29","Presentada al Plenari del Consell Municipal de 29-04-2020","","","","application/pdf","2 p.","application/pdf","","","","","Mandat 2019-","http://hdl.handle.net/11703/118639","","cat","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Feixisme | Fascism | Fascismo | Prevenció | Prevención | Memòria col·lectiva | Collective memory | Memoria colectiva | Amical de Mauthausen i Altres Camps de Concentració Nazis | Amical de Mauthausen i Altres Camps de Concentració Nazis | Amical de Mauthausen i Altres Camps de Concentració Nazis | Víctimes | Victims | Víctimas | Associacions, institucions, etc. | Associations, institutions, etc. | Asociaciones, instituciones, etc. | Escoles secundàries | High schools | Escuelas secundarias","Sector públic | Societat i benestar","declaracions institucionals","","Declaració institucional d'adhesió a la ""Xarxa de Memòria i de Prevenció del Feixisme. Mai Més""","","text","info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","","","2017-03-02","2017-03-02","Podeu consultar la versió en català a: http://hdl.handle.net/11703/101555","","","","application/pdf","5 p.","application/pdf","","","","","Mandat 2015-2019","http://hdl.handle.net/11703/115628","","spa","","http://hdl.handle.net/11703/101555","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Contractes administratius | Adjudicació de contractes | Responsabilitat social | Política laboral | Public contracts | Letting of contracts | Social responsability | Labor policy | Contratos administrativos | Adjudicación administrativa | Responsabilidad social | Política laboral","Sector públic","declaracions institucionals","","Declaración municipalista en favor de una contratación pública sostenible","","text","info:eu-repo/semantics/other",""
"Ajuntament de Barcelona | Direcció de Serveis de Coordinació de Contractació Administrativa","Barcelona | Barcelona | Barcelona","","","2016-10-24","2016-10-24","Podeu consultar la fotografia de l'acte a: http://hdl.handle.net/11703/100795 | Podeu consultar la nota de premsa  referent a la declaració [http://hdl.handle.net/11703/101764]","","Digitalitzat","","application/pdf","4 p.","application/pdf","","","","","Mandat 2015-2019","http://hdl.handle.net/11703/100794","","cat","","http://hdl.handle.net/11703/100795 | http://hdl.handle.net/11703/101764","","","Reproducció digital del document  en suport original","","","","","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Contractes administratius | Responsabilitat social | Adjudicació de contractes | Public contracts | Social responsability | Letting of contracts | Contratos administrativos | Responsabilidad social | Adjudicación administrativa","Sector públic","declaracions institucionals | documents digitalitzats","","Declaració institucional a favor de la contractació pública amb responsabilitat social","","text","info:eu-repo/semantics/other",""
"Cimera de Ciutats per l'Alta Velocitat","Barcelona | Besiers (França) | Figueres (Catalunya) | Girona (Catalunya) | Montpeller (França) | Narbona (França) | Perpinyà (França) | Tolosa (França) | Barcelona | Béziers (France) | Figueres (Catalonia) | Girona (Catalonia) | Montpellier (France) | Narbona (França) | Perpignan (France) | Toulouse (France) | Barcelona | Béziers (Francia) | Figueres (Cataluña) | Girona (Cataluña) | Montpellier (Francia) | Narbona (Francia) | Perpiñán (Francia) | Toulouse (Francia)","","","2009-10-29","2009","","","","","application/pdf","2 p.","application/pdf","2953","","","","Mandat 2007-2011","http://hdl.handle.net/11703/89888","","cat","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Ferrocarrils | Trens d'alta velocitat | Railroads | High speed trains | Ferrocarriles | Trenes de alta velocidad","Transport","declaracions institucionals","","Declaració d'alcaldes per la interconnexió de les xarxes d'alta velocitat espanyola i francesa: Narbona, 29 d'octubre de 2009.","Cimera de Ciutats per l'Alta Velocitat = Sommet de villes pour la grande vitesse : Barcelona, Béziers, Figueres, Girona, Montpellier, Narbonne, Perpignan, Toulouse.","text","info:eu-repo/semantics/other",""
"Districte 4. Les Corts. Consell Plenari","Barcelona | Barcelona | Barcelona","","","2018-12-13","2019-02-08","","","","","application/pdf","2 p.","application/pdf","","Declaració institucional suport presos polítics","","districtes","Mandat 2015-2019","http://hdl.handle.net/11703/112406","","cat","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Dret de vaga | Drets civils | Presó provisional | Forn Chiariello, Joaquim | Sánchez Picanyol, Jordi | Right to strike | Civil rights | Remand (detention) | Forn Chiariello, Joaquim | Sánchez Picanyol, Jordi | Derecho de huelga | Derechos políticos y civiles | Prisión provisional | Forn Chiariello, Joaquim | Sánchez Picanyol, Jordi","Sector públic","declaracions institucionals","","Declaració institucional suport presos polítics","","text","info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","","","2014-07-25","2014-07-25","Presentada al Consell Plenari de 25-07-2014","","","","application/pdf","2 p.","application/pdf","16477","","","","Mandat 2011-2015","http://hdl.handle.net/11703/89731","","cat","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Gitanos | Drets humans | Romanies | Human rights | Gitanos | Derechos humanos","Cultura i oci","declaracions institucionals","","Declaració institucional per al reconeixement del Poble gitano i del seu genocidi durant la segona Guerra Mundial","","text","info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","","","2009","2009","","","","","","4 p.","","13362","","","","Mandat 2007-2011","http://hdl.handle.net/11703/111667","","cat","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Violència envers les dones | Dones | Violence against women | Women | Violencia contra las mujeres | Mujeres","Societat i benestar","declaracions institucionals","Pla Municipal contra la Violència vers les Dones 2007-2009 (Barcelona) | Acord Ciutadà per una Barcelona lliure de violència vers les dones 2002-","Acord ciutadà per una Barcelona lliure de violència vers les dones","","text","info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","","","2016-02-14","2016-02-08","Presentada a la Comissió d'Economia i Hisenda de 14-02-2016","","","","application/pdf","2 p.","application/pdf","","","","","Mandat 2015-2019","http://hdl.handle.net/11703/100836","","cat","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Xarxes locals sense fil Wi-Fi | Internet | Wireless LANs | Internet | Redes de área local inalámbricas | Internet","Ciència i tecnologia","declaracions institucionals","","Declaració institucional per a garantir l'accés a una xarxa wifi lliure i de qualitat","","text","info:eu-repo/semantics/other",""
"Tinència d'Alcaldia d’Agenda 2030, Transició Digital, Esports i Coordinació Territorial i Metropolitana","Barcelona | Barcelona | Barcelona","2019","","2019-11-25","2019-11-25","Presentada al Plenari del Consell Municipal de 25-11-2019","","","","application/pdf","2 p.","application/pdf","","","","","Mandat 2019-","http://hdl.handle.net/11703/116149","","cat","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Drets dels infants | Ciutats | Children's rights | Cities and towns | Derechos de los niños | Ciudades","Societat i benestar","declaracions institucionals","","Declaració institucional en commemoració, el 20 de novembre, del Dia Internacional de la Infància i el 30è Aniversari de la Convenció dels Drets dels Infants","","text | text","info:eu-repo/semantics/other",""
"Districte 1. Ciutat Vella","Barcelona. Districte 1. Ciutat Vella | Barcelona. District 1. Ciutat Vella | Barcelona. Distrito 1. Ciutat Vella","","","2011-10-06","2011-10-06","","","","","application/pdf","2 p.","application/pdf","","","","","Mandat 2011-2015","http://hdl.handle.net/11703/114509","","cat","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Crisis econòmiques | Serveis públics | Serveis socials | Depressions | Public utilities | Human services | Crisis económicas | Servicios públicos | Servicios sociales","Societat i benestar","declaracions institucionals","","Declaració institucional del Districte de Ciutat Vella davant la situació de crisi actual","","text","info:eu-repo/semantics/other",""
"Districte 4. Les Corts. Consell Plenari","Barcelona. Districte 4. Les Corts | Barcelona. District 4. Les Corts | Barcelona. Distrito 4. Les Corts","","","2017-04-24","2017-04-24","Presentada al Plenari del Consell del Districte de Les Corts de 24-04-2017 | La data de presentació de la declaració institucional al Plenari és errònia. Des del Districte de Les Corts ens han comunicat la data correcta 24-04-2017.","","Digitalitzat pel Districte de Les Corts","","application/pdf","2 p.","application/pdf","","","","districtes","Mandat 2015-2019","http://hdl.handle.net/11703/102159","","cat","","","","","Reproducció digital del document  en suport original","","","","","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Vandalisme | Okupes | Polítics | Vandalism | Squatters | Politicians | Vandalismo | Okupas | Políticos","Seguretat | Societat i benestar","declaracions institucionals | documents digitalitzats","","Declaració institucional de rebuig als actes de vandalisme dirigits a qualsevol partit polític, als seus representants, afiliats i votants","","text","info:eu-repo/semantics/other",""
"Districte 4. Les Corts. Consell Plenari","Barcelona. Districte 4. Les Corts | Barcelona. District 4. Les Corts | Barcelona. Distrito 4. Les Corts","","","2017-02-20","2017-02-20","Presentada al Plenari del Consell del Districte de Les Corts de  20-02-2017","","Digitalitzat pel Districte de Les Corts","","application/pdf","2 p.","application/pdf","","","","districtes","Mandat 2015-2019","http://hdl.handle.net/11703/102298","","cat","","","","","Reproducció digital del document en suport original","","","","","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Residències de persones grans | Reclamacions | Old age homes | Claims | Hogares para ancianos | Reclamaciones","Societat i benestar","declaracions institucionals | documents digitalitzats","","Declaració institucional  relativa  a  la  millor  atenció  a  la  gent  gran  del  Districte  de  les  Corts","","text","info:eu-repo/semantics/other",""
"Gerència de Recursos | Direcció de Serveis de Comunicació Digital | Goroka (Firma)","Barcelona | Barcelona | Barcelona","","","2019-10-14","2019-10-14","","Compareixença pública de l'Alcaldessa Ada Colau posicionant-se davant la sentència condemnatòria del Tribunal Suprem als líders independentistes, coneguda el 14 d'octubre de 2019. Comenta el resultat de la sentència i dóna el seu suport als líders socials i polítics presos i a les seves famílies i en especial a Quim Forn, regidor de l'Ajuntament. Critica el retrocés de l'estat de dret i la judicialització del procès i crida als partits polítics a trobar una sortida política així com a treballar en tres objectius: el compromís per la llibertat, el diàleg polític i oferir solucions democràtiques al conflicte.","","","video/mp4","6 min. 19 s.","video/mp4","","","","","Mandat 2019-","http://hdl.handle.net/11703/115852","https://bcnroc.ajuntament.barcelona.cat/videos/11703_115852_c1f0d892-df66-4ec4-b3fa-76c6fbd2220d.mp4","cat","Ajuntament de Barcelona","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","http://creativecommons.org/licenses/by/4.0/deed.ca","Colau Ballano, Ada | Drets civils | Democràcia | Llibertat d'expressió | Presos | Colau Ballano, Ada | Civil rights | Democracy | Freedom of speech | Prisoners | Colau Ballano, Ada | Derechos políticos y civiles | Democracia | Libertad de expresión | Presos","Sector públic","videos | declaracions institucionals","","Declaració institucional d'Ada Colau per la sentència als líders independentistes","","movingImage","info:eu-repo/semantics/other",""
"Districte 4. Les Corts. Consell Plenari","Barcelona | Barcelona | Barcelona","","","2018-05-08","2018-05-08","Presentada al Plenari del Consell del Districte de Les Corts de 08-05-2018","","Digitalitzat pel Districte de Les Corts","","application/pdf","2 p.","application/pdf","","","","districtes","Mandat 2015-2019","http://hdl.handle.net/11703/109137","","cat","","","","","Reproducció digital del document  en suport original","","","","","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Delictes sexuals | Penes | Víctimes d'abús sexual | Sex crimes | Punishment | Sexual abuse victims | Delitos sexuales | Penas | Víctimas de agresiones sexuales","Legislació i justícia | Societat i benestar","declaracions institucionals | documents digitalitzats","","Declaració institucional davant la sentència judicial de l'Audiència Provincial de Navarra en l'anomenat cas de ""La Manada""","","text","info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","","","2019-09-30","2019-09-30","Presentada al Plenari del Consell Municipal de 30-09-2019","","","","application/pdf","3 p.","application/pdf","","","","","Mandat 2019-","http://hdl.handle.net/11703/116243","","cat","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Ciutats | Política pública | Desenvolupament sostenible | Integració social | Cities and towns | Government policy | Sustainable development | Social integration | Ciudades | Política gubernamental | Desarrollo sostenible | Integración social","Sector públic | Societat i benestar | Medi ambient","declaracions institucionals","","Compromís de la Ciutat de Barcelona envers els Objectius de Desenvolupament Sostenible i l'Agenda 2030","","text","info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","","","2012-06-19","2012","","","","","application/pdf","2 p.","application/pdf","17566","","","","Mandat 2011-2015","http://hdl.handle.net/11703/89734","","cat","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Drets dels homosexuals | Homofòbia | Gay rights | Homophobia | Derechos de los homosexuales | Homofobia","Societat i benestar","declaracions institucionals","","Declaració institucional contra la pena de mort en els supòsits derivats per homosexualitat i identitat de genère","","text","info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","","","2005","2005","A la part superior de la portada: Declaración institucional","","","","application/pdf","2 p.","application/pdf","3412","","","","Mandat 2003-2007","http://hdl.handle.net/11703/89765","","spa","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Societat de la informació | Internet | Information society | Internet | Sociedad de la información | Internet","Ciència i tecnologia","declaracions institucionals","","Carta dels drets dels ciutadans en la societat de la informació i del coneixement [versió en castellà]","Carta de los derechos de los ciudadanos en la sociedad de la información y del conocimiento [versió en castellà]","text","info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","","","2008-11-25","2008","","","","","application/pdf","2 p.","application/pdf","13387","","","","Mandat 2007-2011","http://hdl.handle.net/11703/89728","","cat","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Drets humans | Materials de lectura fàcil | Human rights | High interest-low vocabulary books | Derechos humanos | Materiales de lectura fácil","Legislació i justícia","declaracions institucionals","","Declaració Universal dels Drets Humans [versió lectura fàcil]","","text","info:eu-repo/semantics/other",""
