"dccontributorauthor","dccoveragespatial","dcdatecreated","dcdateissued","dcdescription","dcdescriptiontableofcontents","dcformat","dcformatextent","dcidentifierab","dcidentifieruri","dclanguage","dcrelationisrequiredby","dcrelationrequires","dcrights","dcrightsaccessrights","dcrightsrightsHolder","dcrightsuri","dcsubject","dcsubjectcategory","dcsubjectforma","dctitle","dctype","Unnamed: 22"
"Junta Arbitral de Consum de Barcelona","Barcelona","2016-04-05","2016-04-05","","","application/pdf","1 p.","Núm. Exp. 1922/15","http://hdl.handle.net/11703/98636","cat","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Arbitratge i laude. Bugaderia","Comerç","laudes","Laude 1922/2015 sobre el procés de neteja d'uns coixins","text",""
"Junta Arbitral de Consum de Barcelona","Barcelona","2016-09-20","2016-09-20","","","application/pdf","1 p.","Núm. Exp. 0909/16","http://hdl.handle.net/11703/99593","cat","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Arbitratge i laude. Telefonia mòbil","Comerç","laudes","Laude 0909/2016 sobre una factura controvertida","text",""
"Junta Arbitral de Consum de Barcelona","Barcelona","2017-11-14","2017-11-14","","","application/pdf","1 p.","Núm. Exp. 1530/16","http://hdl.handle.net/11703/108118","cat","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Arbitratge i laude. Garantia de qualitat. Productes defectuosos","Comerç","laudes","Laude 1530/2016 sobre la garantia d'un producte","text",""
"Junta Arbitral de Consum de Barcelona","Barcelona","2016-02-02","2016-02-02","","","application/pdf","1 p.","Núm. Exp. 1572/15","http://hdl.handle.net/11703/97919","cat","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Arbitratge i laude. Bugaderia","Comerç","laudes","Laude 1572/2015 sobre el procés de neteja d'un vestit","text",""
"Junta Arbitral de Consum de Barcelona","Barcelona","2017-11-14","2017-11-14","","","application/pdf","1 p.","Núm. Exp. 1253/16","http://hdl.handle.net/11703/108356","cat","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Arbitratge i laude. Productes defectuosos","Comerç","laudes","Laude 1253/2016 sobre la compra d'un descalsificador","text",""
"Junta Arbitral de Consum de Barcelona","Barcelona","2016-09-27","2016-09-27","","","application/pdf","1 p.","Núm. Exp. 0728/16","http://hdl.handle.net/11703/99617","cas","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Arbitratge i laude. Contractes de serveis","Comerç","laudes","Laudo 0728/2016 sobre un contrato de enseñanza","text",""
"Junta Arbitral de Consum de Barcelona","Barcelona","2016-01-26","2016-01-26","","","application/pdf","1 p.","Núm. Exp. 1425/15","http://hdl.handle.net/11703/97905","cat","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Arbitratge i laude. Automòbils","Comerç","laudes","Laude 1425/2015 sobre la reparació d'un vehicle","text",""
"Junta Arbitral de Consum de Barcelona","Barcelona","2016-09-27","2016-09-27","","","application/pdf","1 p.","Núm. Exp 0435/16","http://hdl.handle.net/11703/99614","cat","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Arbitratge i laude. Telefonia per internet","Comerç","laudes","Laude 0435/2016 sobre una factura controvertida","text",""
"Junta Arbitral de Consum de Barcelona","Barcelona","2016-05-18","2016-05-18","","","application/pdf","1 p.","Núm. Exp. 0186/16","http://hdl.handle.net/11703/99045","cat","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Arbitratge i laude. Telefonia per internet","Comerç","laudes","Laude 0186/2016 sobre el desistiment d'una contractació","text",""
"Junta Arbitral de Consum de Barcelona","Barcelona","2016-01-19","2016-01-19","","","application/pdf","1 p.","Núm. Exp. 1540/15","http://hdl.handle.net/11703/97915","cat","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Arbitratge i laude. Telefonia mòbil","Comerç","laudes","Laude 1540/2015 sobre la comunicació del canvi de condicions de la tarifa contractada","text",""
"Junta Arbitral de Consum de Barcelona","Barcelona","2016-09-08","2016-09-08","","","application/pdf","1 p.","Núm. Exp. 0421/16","http://hdl.handle.net/11703/99521","cas","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Arbitratge i laude. Tractament de bellesa","Comerç","laudes","Laudo 0421/2016 sobre un tratamiento estético (peeling TCA) controvertido","text",""
"Junta Arbitral de Consum de Barcelona","Barcelona","2016-09-27","2016-09-27","","","application/pdf","1 p.","Núm. Exp. 0960/16","http://hdl.handle.net/11703/99612","cas","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Arbitratge i laude. Contractes de serveis","Comerç","laudes","Laudo 0960/2016 sobre un contrato de enseñanza","text",""
